"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所属路線","キロ程","所属事業者","開業年月日","駅構造","ホーム","所在地","備考","駅番号","電報略号","乗車人員,-統計年度-","乗降人員,-統計年度-","乗換","乗降人員,-統計年次-","標高","標高差","最長滑走距離","最大傾斜","コース数"
"関ケ原駅","関ケ原駅（せきがはらえき）","https://ja.wikipedia.org/wiki/関ケ原駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯35度21分49.255秒東経136度28分14.692秒","CA東海道本線（上り本線・垂井線）","423.8 km（東京起点）","東海旅客鉄道（JR東海）","1883年（明治16年）5月1日","地上駅","2面4線","岐阜県不破郡関ケ原町大字関ケ原北緯35度21分49.255秒東経136度28分14.692秒","業務委託駅JR全線きっぷうりば有","CA  79 ","セラ","974人/日（降車客含まず）-2019年-","","","","","","","",""
"関川駅","関川駅（せきがわえき）","https://ja.wikipedia.org/wiki/関川駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯33度57分20.8秒東経133度23分33.2秒","■予讃線","92.2 km（高松起点）","四国旅客鉄道（JR四国）","1961年（昭和36年）4月15日","地上駅","1面1線+通過線1線","愛媛県四国中央市土居町北野北緯33度57分20.8秒東経133度23分33.2秒﻿ / ﻿北緯33.955778度 東経133.392556度﻿ /33.955778; 133.392556座標:北緯33度57分20.8秒東経133度23分33.2秒﻿ / ﻿北緯33.955778度 東経133.392556度﻿ /33.955778; 133.392556","無人駅","○Y27","セキ","","106[1]人/日-2019年-","","","","","","",""
"関口駅","関口駅（せきぐちえき）","https://ja.wikipedia.org/wiki/関口駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯35度28分48.12秒東経136度55分43.8秒","越美南線","9.7 km（美濃太田起点）","長良川鉄道","1952年12月26日[1]","地上駅","1面1線","岐阜県関市関口町1-3北緯35度28分48.12秒東経136度55分43.8秒﻿ / ﻿北緯35.4800333度 東経136.928833度﻿ /35.4800333; 136.928833座標:北緯35度28分48.12秒東経136度55分43.8秒﻿ / ﻿北緯35.4800333度 東経136.928833度﻿ /35.4800333; 136.928833","無人駅","5","クチ","402人/日（降車客含まず）-2017年-","","","","","","","",""
"積志駅","積志駅（せきしえき）","https://ja.wikipedia.org/wiki/積志駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯34度46分3.89秒東経137度45分47.35秒","鉄道線","7.8 km（新浜松駅起点）","遠州鉄道","1909年（明治42年）12月6日","地上駅","1面2線","浜松市東区積志町814北緯34度46分3.89秒東経137度45分47.35秒﻿ / ﻿北緯34.7677472度 東経137.7631528度﻿ /34.7677472; 137.7631528座標:北緯34度46分3.89秒東経137度45分47.35秒﻿ / ﻿北緯34.7677472度 東経137.7631528度﻿ /34.7677472; 137.7631528","* 1909年松木駅→1923年遠州松木駅→1962年積志駅** 1日当たりの乗車人員は、年間の乗車人員を日数で除することにより算出した。"," 10 ","","953人/日（降車客含まず）-2019年-","1,891人/日-2019年-","","","","","","",""
"関下有知駅","関下有知駅（せきしもうちえき）","https://ja.wikipedia.org/wiki/関下有知駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯35度30分49.23秒東経136度54分52.6秒","越美南線","14.6 km（美濃太田起点）","長良川鉄道","1986年12月11日[1]","地上駅","1面1線","岐阜県関市下有知北緯35度30分49.23秒東経136度54分52.6秒﻿ / ﻿北緯35.5136750度 東経136.914611度﻿ /35.5136750; 136.914611座標:北緯35度30分49.23秒東経136度54分52.6秒﻿ / ﻿北緯35.5136750度 東経136.914611度﻿ /35.5136750; 136.914611","無人駅","9","シセ","91人/日（降車客含まず）-2015年-","","","","","","","",""
"関市役所前駅","関市役所前駅（せきしやくしょまええき）","https://ja.wikipedia.org/wiki/関市役所前駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯35度29分57.26秒東経136度54分45.97秒","越美南線","13.0 km（美濃太田起点）","長良川鉄道","1999年4月1日[1]","地上駅","1面1線","岐阜県関市下有知北緯35度29分57.26秒東経136度54分45.97秒﻿ / ﻿北緯35.4992389度 東経136.9127694度﻿ /35.4992389; 136.9127694座標:北緯35度29分57.26秒東経136度54分45.97秒﻿ / ﻿北緯35.4992389度 東経136.9127694度﻿ /35.4992389; 136.9127694","無人駅","8","シヤ","18人/日（降車客含まず）-2015年-","","","","","","","",""
"赤十字病院前停留場","赤十字病院前停留場（せきじゅうじびょういんまえていりゅうじょう）","https://ja.wikipedia.org/wiki/赤十字病院前停留場","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯33度50分52.87秒東経132度46分20.89秒","城北線","2.5 km（古町起点）","伊予鉄道","1927年（昭和2年）4月3日（練兵場前停留場として）","地上駅","2面1線","愛媛県松山市平和通一丁目北緯33度50分52.87秒東経132度46分20.89秒﻿ / ﻿北緯33.8480194度 東経132.7724694度﻿ /33.8480194; 132.7724694﻿ (赤十字病院前停留場)","1944年3月6日戦局悪化により廃止1947年8月1日赤十字病院前停留場として復活","14","","","1505[1]人/日-2015年-","","","","","","",""
"赤十字前駅","赤十字前駅（せきじゅうじまええき）","https://ja.wikipedia.org/wiki/赤十字前駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯36度2分54.5秒東経136度13分0秒","福武線","17.8 km（越前武生駅起点）","福井鉄道","1925年（大正14年）7月26日","地上駅","1面2線","福井県福井市みのり一丁目北緯36度2分54.5秒東経136度13分0秒﻿ / ﻿北緯36.048472度 東経136.21667度﻿ /36.048472; 136.21667座標:北緯36度2分54.5秒東経136度13分0秒﻿ / ﻿北緯36.048472度 東経136.21667度﻿ /36.048472; 136.21667","","○F18","","","292人/日-2019年-","","","","","","",""
"関都駅","関都駅（せきとえき）","https://ja.wikipedia.org/wiki/関都駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","","■磐越西線","31.0 km（郡山起点）","東日本旅客鉄道（JR東日本）","1899年（明治32年）7月15日[1]","地上駅","2面2線[2]","","無人駅[2]","","セト","36人/日（降車客含まず）-2004年-","","","","","","","",""
"関富岡駅","関富岡駅（せきとみおかえき）","https://ja.wikipedia.org/wiki/関富岡駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯35度28分42.90秒東経136度56分42.93秒","越美南線","8.2 km（美濃太田起点）","長良川鉄道","1986年12月11日[1]","地上駅","1面1線","岐阜県関市肥田瀬北緯35度28分42.90秒東経136度56分42.93秒﻿ / ﻿北緯35.4785833度 東経136.9452583度﻿ /35.4785833; 136.9452583座標:北緯35度28分42.90秒東経136度56分42.93秒﻿ / ﻿北緯35.4785833度 東経136.9452583度﻿ /35.4785833; 136.9452583","無人駅","4","オカ","54人/日（降車客含まず）-2015年-","","","","","","","",""
"関根駅","関根駅（せきねえき）","https://ja.wikipedia.org/wiki/関根駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯37度51分52.52秒東経140度8分47.15秒","■奥羽本線（山形線）","34.8 km（福島起点）","東日本旅客鉄道（JR東日本）","1899年（明治32年）5月15日","地上駅","2面2線","山形県米沢市大字関根北緯37度51分52.52秒東経140度8分47.15秒座標:北緯37度51分52.52秒 東経140度8分47.15秒","無人駅","","キネ","16人/日（降車客含まず）-2004年-","","","","","","","",""
"関ノ宮駅","関ノ宮駅（せきのみやえき）","https://ja.wikipedia.org/wiki/関ノ宮駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯34度38分15.80秒東経136度20分23.00秒","名松線","23.3 km（松阪起点）","東海旅客鉄道（JR東海）","1938年（昭和13年）1月20日[1]","地上駅","1面1線","三重県津市白山町川口51北緯34度38分15.80秒東経136度20分23.00秒﻿ / ﻿北緯34.6377222度 東経136.3397222度﻿ /34.6377222; 136.3397222座標:北緯34度38分15.80秒東経136度20分23.00秒﻿ / ﻿北緯34.6377222度 東経136.3397222度﻿ /34.6377222; 136.3397222","駅員無配置駅","","セミ","11人/日（降車客含まず）-2019年-","","","","","","","",""
"関目駅","関目駅（せきめえき）","https://ja.wikipedia.org/wiki/関目駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯34度42分44.99秒東経135度32分48.48秒","■京阪本線","5.3 km（淀屋橋起点）","京阪電気鉄道","1931年（昭和6年）10月14日","高架駅","2面2線*","大阪市城東区関目五丁目1番6号北緯34度42分44.99秒東経135度32分48.48秒﻿ / ﻿北緯34.7124972度 東経135.5468000度﻿ /34.7124972; 135.5468000﻿ (関目駅)座標:北緯34度42分44.99秒東経135度32分48.48秒﻿ / ﻿北緯34.7124972度 東経135.5468000度﻿ /34.7124972; 135.5468000﻿ (関目駅)","* この間に通過線2本あり無人駅（自動券売機有）","KH  06","関（駅名略称方式）","","14,673人/日-2019年-","関目成育駅（Osaka Metro今里筋線）","","","","","",""
"関目成育駅","関目成育駅（せきめせいいくえき）","https://ja.wikipedia.org/wiki/関目成育駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯34度42分45.94秒東経135度32分47.27秒","●今里筋線","7.1 km（井高野起点）","大阪市高速電気軌道(Osaka Metro)","2006年（平成18年）12月24日","地下駅","2層式2面2線 ホームドア有り","大阪市城東区関目5丁目北緯34度42分45.94秒東経135度32分47.27秒﻿ / ﻿北緯34.7127611度 東経135.5464639度﻿ /34.7127611; 135.5464639﻿ (関目成育駅)座標:北緯34度42分45.94秒東経135度32分47.27秒﻿ / ﻿北緯34.7127611度 東経135.5464639度﻿ /34.7127611; 135.5464639﻿ (関目成育駅)",""," I17 ","","2,786人/日（降車客含まず）-2020年-","5,431人/日-2020年-","関目駅（京阪本線）","","","","","",""
"関目高殿駅","関目高殿駅（せきめたかどのえき）","https://ja.wikipedia.org/wiki/関目高殿駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯34度42分54.70秒東経135度32分44.86秒","●谷町線","5.1 km（大日起点）","大阪市高速電気軌道(Osaka Metro)","1977年（昭和52年）4月6日","地下駅","1面2線","大阪市旭区高殿4丁目北緯34度42分54.70秒東経135度32分44.86秒﻿ / ﻿北緯34.7151944度 東経135.5457944度﻿ /34.7151944; 135.5457944﻿ (関目高殿駅*)","* 1997年 関目駅より改称。"," T15 ","","6,956人/日（降車客含まず）-2020年-","13,817人/日-2020年-","","","","","","",""
"関屋駅 (新潟県)","関屋駅 (新潟県)（せきやえき・東日本旅客鉄道越後線）","https://ja.wikipedia.org/wiki/関屋駅_(新潟県)","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯37度54分21.34秒東経139度0分53.85秒","■越後線","79.2 km（柏崎起点）","東日本旅客鉄道（JR東日本）","1913年（大正2年）11月15日[1]","地上駅（橋上駅）","1面2線[1]","新潟市中央区関屋大川前[1]二丁目2-1北緯37度54分21.34秒東経139度0分53.85秒座標:北緯37度54分21.34秒 東経139度0分53.85秒","業務委託駅みどりの窓口有[1]","","セヤ","1,873人/日（降車客含まず）-2019年-","","","","","","","",""
"関屋駅 (奈良県)","関屋駅 (奈良県)（せきやえき・近鉄大阪線）","https://ja.wikipedia.org/wiki/関屋駅_(奈良県)","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯34度33分13.6秒東経135度40分4.38秒","D大阪線","22.0 km（大阪上本町起点）","近畿日本鉄道（近鉄）","1927年（昭和2年）7月1日","地上駅（橋上駅）","2面2線","奈良県香芝市関屋1578-3北緯34度33分13.6秒東経135度40分4.38秒﻿ / ﻿北緯34.553778度 東経135.6678833度﻿ /34.553778; 135.6678833座標:北緯34度33分13.6秒東経135度40分4.38秒﻿ / ﻿北緯34.553778度 東経135.6678833度﻿ /34.553778; 135.6678833",""," D20 ","セキヤ","2,061人/日（降車客含まず）-2018年-","","","","","","","",""
"関山駅","関山駅（せきやまえき）","https://ja.wikipedia.org/wiki/関山駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯36度55分58.85秒東経138度13分35.29秒","■妙高はねうまライン[1]","6.4km（妙高高原起点）長野から43.7 km","えちごトキめき鉄道[1]","1886年（明治19年）8月15日*[1][3][2]","地上駅","1面2線[1][2]","新潟県妙高市大字関山[1][2]北緯36度55分58.85秒東経138度13分35.29秒﻿ / ﻿北緯36.9330139度 東経138.2264694度﻿ /36.9330139; 138.2264694座標:北緯36度55分58.85秒東経138度13分35.29秒﻿ / ﻿北緯36.9330139度 東経138.2264694度﻿ /36.9330139; 138.2264694","直営駅標高：333m[1]","","セキ[1]","125人/日（降車客含まず）-2019年-","","","","","","","",""
"膳所駅","膳所駅（ぜぜえき）","https://ja.wikipedia.org/wiki/膳所駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯34度59分57.91秒東経135度52分51.75秒","A東海道本線（琵琶湖線）","501.9km（東京起点）米原から56.0 km","西日本旅客鉄道（JR西日本）日本貨物鉄道（JR貨物）**","1880年（明治13年）7月15日","地上駅","2面4線","滋賀県大津市馬場二丁目11-8北緯34度59分57.91秒東経135度52分51.75秒﻿ / ﻿北緯34.9994194度 東経135.8810417度﻿ /34.9994194; 135.8810417座標:北緯34度59分57.91秒東経135度52分51.75秒﻿ / ﻿北緯34.9994194度 東経135.8810417度﻿ /34.9994194; 135.8810417","業務委託駅みどりの券売機プラス設置駅","JR-A28","セセ","12,915人/日（降車客含まず）-2019年-","","京阪膳所駅（京阪石山坂本線）","","","","","",""
"瀬々串駅","瀬々串駅（せせくしえき）","https://ja.wikipedia.org/wiki/瀬々串駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯31度25分16.95秒東経130度31分22.05秒","指宿枕崎線","20.6 km（鹿児島中央起点）","九州旅客鉄道（JR九州）","1934年（昭和9年）5月20日","地上駅","2面2線","鹿児島県鹿児島市喜入瀬々串町3313北緯31度25分16.95秒東経130度31分22.05秒","無人駅駅集中管理システム（Smart Support Station）採用[1]","","セセ","184人/日（降車客含まず）-2015年-","364人/日-2015年-","","","","","","",""
"膳所本町駅","膳所本町駅（ぜぜほんまちえき）","https://ja.wikipedia.org/wiki/膳所本町駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯34度59分42.38秒東経135度53分21.66秒","▼石山坂本線","3.8 km（石山寺起点）","京阪電気鉄道","1913年（大正2年）3月1日","地上駅","2面2線","滋賀県大津市膳所二丁目8-5北緯34度59分42.38秒東経135度53分21.66秒﻿ / ﻿北緯34.9951056度 東経135.8893500度﻿ /34.9951056; 135.8893500座標:北緯34度59分42.38秒東経135度53分21.66秒﻿ / ﻿北緯34.9951056度 東経135.8893500度﻿ /34.9951056; 135.8893500","*1937年に膳所駅から改称","OT  07","","1,984人/日（降車客含まず）-2019年-","3,372人/日-2019年-","","","","","","",""
"瀬田駅 (滋賀県)","瀬田駅 (滋賀県)（せたえき・西日本旅客鉄道東海道本線）","https://ja.wikipedia.org/wiki/瀬田駅_(滋賀県)","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯34度59分13.07秒東経135度55分31.31秒","A東海道本線（琵琶湖線）","496.6km（東京起点）米原から50.7 km","西日本旅客鉄道（JR西日本）","1969年（昭和44年）8月12日","地上駅（橋上駅）","2面4線","滋賀県大津市大萱一丁目10-1北緯34度59分13.07秒東経135度55分31.31秒﻿ / ﻿北緯34.9869639度 東経135.9253639度﻿ /34.9869639; 135.9253639座標:北緯34度59分13.07秒東経135度55分31.31秒﻿ / ﻿北緯34.9869639度 東経135.9253639度﻿ /34.9869639; 135.9253639","業務委託駅みどりの券売機プラス設置駅","JR-A26","セタ","18,224人/日（降車客含まず）-2019年-","","","","","","","",""
"瀬田駅 (熊本県)","瀬田駅 (熊本県)（せたえき・九州旅客鉄道豊肥本線）","https://ja.wikipedia.org/wiki/瀬田駅_(熊本県)","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯32度52分21.12秒東経130度54分50.23秒","■豊肥本線","120.6 km（大分起点）","九州旅客鉄道（JR九州）","1916年（大正5年）11月11日[2]","地上駅","2面2線[1]","熊本県菊池郡大津町大字大林[1]北緯32度52分21.12秒東経130度54分50.23秒","無人駅[1]","","セタ","53人/日（降車客含まず）-2005年-","","","","","","","",""
"瀬高駅","瀬高駅（せたかえき）","https://ja.wikipedia.org/wiki/瀬高駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯33度9分25.06秒東経130度29分6.5秒","JB鹿児島本線","132.2 km（門司港起点）","九州旅客鉄道（JR九州）","1891年（明治24年）4月1日[1]","地上駅","2面3線[1]","福岡県みやま市瀬高町下庄2315[1][2]北緯33度9分25.06秒東経130度29分6.5秒﻿ / ﻿北緯33.1569611度 東経130.485139度﻿ /33.1569611; 130.485139﻿ (瀬高駅)座標:北緯33度9分25.06秒東経130度29分6.5秒﻿ / ﻿北緯33.1569611度 東経130.485139度﻿ /33.1569611; 130.485139﻿ (瀬高駅)","業務委託駅[2]みどりの窓口有[1]","JB  22 ","セカ","1,081人/日（降車客含まず）-2019年-","","","","","","","",""
"世田谷駅","世田谷駅（せたがやえき）","https://ja.wikipedia.org/wiki/世田谷駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯35度38分36.4秒東経139度39分2.2秒","■世田谷線","1.9 km（三軒茶屋起点）","東急電鉄","1925年（大正14年）1月18日","地上駅","2面2線","東京都世田谷区世田谷四丁目9-6北緯35度38分36.4秒東経139度39分2.2秒﻿ / ﻿北緯35.643444度 東経139.650611度﻿ /35.643444; 139.650611座標:北緯35度38分36.4秒東経139度39分2.2秒﻿ / ﻿北緯35.643444度 東経139.650611度﻿ /35.643444; 139.650611","","SG05","","","","","","","","","",""
"世田谷代田駅","世田谷代田駅（せたがやだいたえき）","https://ja.wikipedia.org/wiki/世田谷代田駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯35度39分29.5秒東経139度39分40.5秒","小田原線","5.6 km（新宿起点）","小田急電鉄","1927年（昭和2年）4月1日","地下駅","1面2線","東京都世田谷区代田二丁目31-12北緯35度39分29.5秒東経139度39分40.5秒﻿ / ﻿北緯35.658194度 東経139.661250度﻿ /35.658194; 139.661250座標:北緯35度39分29.5秒東経139度39分40.5秒﻿ / ﻿北緯35.658194度 東経139.661250度﻿ /35.658194; 139.661250","*1946年- 世田ヶ谷中原駅より改称","OH08","","","9,348人/日-2019年-","","","","","","",""
"清児駅","清児駅（せちごえき）","https://ja.wikipedia.org/wiki/清児駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯34度25分29.65秒東経135度22分19.98秒","水間線","2.8 km（貝塚起点）","水間鉄道","1925年（大正14年）12月24日","地上駅","単式 1面1線","大阪府貝塚市清児654-49北緯34度25分29.65秒東経135度22分19.98秒﻿ / ﻿北緯34.4249028度 東経135.3722167度﻿ /34.4249028; 135.3722167座標:北緯34度25分29.65秒東経135度22分19.98秒﻿ / ﻿北緯34.4249028度 東経135.3722167度﻿ /34.4249028; 135.3722167","無人駅","","","","","","1,252人/日-2019年-","","","","",""
"接岨峡温泉駅","接岨峡温泉駅（せっそきょうおんせんえき）","https://ja.wikipedia.org/wiki/接岨峡温泉駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯35度10分43.1秒東経138度11分6.7秒","井川線","15.5 km（千頭起点）","大井川鐵道","1959年（昭和34年）8月1日","地上駅","1面2線","静岡県榛原郡川根本町犬間北緯35度10分43.1秒東経138度11分6.7秒﻿ / ﻿北緯35.178639度 東経138.185194度﻿ /35.178639; 138.185194座標:北緯35度10分43.1秒東経138度11分6.7秒﻿ / ﻿北緯35.178639度 東経138.185194度﻿ /35.178639; 138.185194","標高496m","","","16人/日（降車客含まず）-2019年-","69人/日-2019年-","","","","","","",""
"摂待駅","摂待駅（せったいえき）","https://ja.wikipedia.org/wiki/摂待駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯39度48分33.51秒東経141度57分43.74秒","■リアス線","113.5 km（盛起点）","三陸鉄道","1984年（昭和59年）4月1日","地上駅","1面1線","岩手県宮古市田老字摂待北緯39度48分33.51秒東経141度57分43.74秒座標:北緯39度48分33.51秒 東経141度57分43.74秒","","","セタ","","","","","","","","",""
"摂津駅","摂津駅（せっつえき・大阪モノレール本線）","https://ja.wikipedia.org/wiki/摂津駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯34度46分48.64秒東経135度33分40.93秒","■本線","16.0 km（大阪空港起点）","大阪モノレール","1997年（平成9年）8月22日[1]","高架駅","島式 1面2線","大阪府摂津市鶴野1丁目116-1北緯34度46分48.64秒東経135度33分40.93秒﻿ / ﻿北緯34.7801778度 東経135.5613694度﻿ /34.7801778; 135.5613694座標:北緯34度46分48.64秒東経135度33分40.93秒﻿ / ﻿北緯34.7801778度 東経135.5613694度﻿ /34.7801778; 135.5613694",""," 21 ","","","","","5,467人/日-2019年-","","","","",""
"須磨浦山上遊園","せっつ駅（須磨浦遊園観光リフト）","https://ja.wikipedia.org/wiki/須磨浦山上遊園#山上の施設","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"摂津市駅","摂津市駅（せっつしえき）","https://ja.wikipedia.org/wiki/摂津市駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","","■京都本線","10.9km（十三起点）大阪梅田から13.3 km","阪急電鉄","2010年（平成22年）3月14日","地上駅","2面2線","","","HK67","","","（特定日）13,333人/日-2019年-","","（通年平均）11,527人/日-2019年-","","","","",""
"摂津富田駅","摂津富田駅（せっつとんだえき）","https://ja.wikipedia.org/wiki/摂津富田駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯34度50分15.62秒東経135度35分36.06秒","A東海道本線（JR京都線）","538.1km（東京起点）京都から24.5 km","西日本旅客鉄道（JR西日本）","1924年（大正13年）7月25日","地上駅（橋上駅）","2面4線（乗降は2面2線のみ）","大阪府高槻市富田町一丁目1-18北緯34度50分15.62秒東経135度35分36.06秒﻿ / ﻿北緯34.8376722度 東経135.5933500度﻿ /34.8376722; 135.5933500座標:北緯34度50分15.62秒東経135度35分36.06秒﻿ / ﻿北緯34.8376722度 東経135.5933500度﻿ /34.8376722; 135.5933500","直営駅みどりの窓口有","JR-A39","トタ","20,170人/日（降車客含まず）-2019年-","","","","","","","",""
"摂津本山駅","摂津本山駅（せっつもとやまえき）","https://ja.wikipedia.org/wiki/摂津本山駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯34度43分36.05秒東経135度16分35.22秒","A東海道本線（JR神戸線）","578.5km（東京起点）大阪から22.1 km","西日本旅客鉄道（JR西日本）","1935年（昭和10年）12月25日[1]","地上駅（橋上駅）","2面4線[1]（乗降は2面2線のみ）","神戸市東灘区岡本一丁目1-1[1]北緯34度43分36.05秒東経135度16分35.22秒﻿ / ﻿北緯34.7266806度 東経135.2764500度﻿ /34.7266806; 135.2764500﻿ (摂津本山駅)座標:北緯34度43分36.05秒東経135度16分35.22秒﻿ / ﻿北緯34.7266806度 東経135.2764500度﻿ /34.7266806; 135.2764500﻿ (摂津本山駅)","直営駅[1]みどりの窓口有神戸市内駅","JR-A56","モヤ","22,028人/日（降車客含まず）-2019年-","","","","","","","",""
"瀬戸駅","瀬戸駅（せとえき）","https://ja.wikipedia.org/wiki/瀬戸駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯34度44分3.47秒東経134度2分29.83秒","S山陽本線","128.0 km（神戸起点）","西日本旅客鉄道（JR西日本）","1891年（明治24年）3月18日","地上駅","2面3線","岡山市東区瀬戸町瀬戸91-2北緯34度44分3.47秒東経134度2分29.83秒﻿ / ﻿北緯34.7342972度 東経134.0416194度﻿ /34.7342972; 134.0416194座標:北緯34度44分3.47秒東経134度2分29.83秒﻿ / ﻿北緯34.7342972度 東経134.0416194度﻿ /34.7342972; 134.0416194","直営駅みどりの券売機プラス設置駅[1]","JR-S06","セト","2,680人/日（降車客含まず）-2019年-","","","","","","","",""
"瀬戸石駅","瀬戸石駅（せといしえき）","https://ja.wikipedia.org/wiki/瀬戸石駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯32度22分17.55秒東経130度38分46.01秒","肥薩線","19.6 km（八代起点）","九州旅客鉄道（JR九州）","1910年（明治43年）6月25日[1]","地上駅","1面2線","熊本県八代市坂本町川嶽瀬戸石3145北緯32度22分17.55秒東経130度38分46.01秒﻿ / ﻿北緯32.3715417度 東経130.6461139度﻿ /32.3715417; 130.6461139﻿ (瀬戸石駅)","無人駅","","セト","0.2人/日（降車客含まず）-2015年-","","","","","","","",""
"瀬戸口駅","瀬戸口駅（せとぐちえき）","https://ja.wikipedia.org/wiki/瀬戸口駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯35度12分23秒東経137度4分55秒","■愛知環状鉄道線","36.7 km（岡崎起点）","愛知環状鉄道","1988年（昭和63年）1月31日","高架駅","1面2線","愛知県瀬戸市東赤重町二丁目220-1北緯35度12分23秒東経137度4分55秒﻿ / ﻿北緯35.20639度 東経137.08194度﻿ /35.20639; 137.08194座標:北緯35度12分23秒東経137度4分55秒﻿ / ﻿北緯35.20639度 東経137.08194度﻿ /35.20639; 137.08194","終日有人駅","○20","セク","","4,175人/日-2018年-","","","","","","",""
