"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","所有者","位置","運用者","グラウンド","開場","大型映像装置","照明","ピッチサイズ","設計者","建設者","修繕","建設費","起工","拡張","運営者","分類","公式サイト","設備・遊具"
"大分市営陸上競技場","[大分市営陸上競技場/ 大分陸] 大分市営陸上競技場 （おおいたしえいりくじょうきょうぎじょう）は、 大分県 大分市 の津留運動公園にある 陸上競技場 。施設は大分市が所有し、株式会社スポーツジョイ、大分市陸上競技協会および株式会社グリーンフジタの3団体で構成される「大分リバースタジアム共同企業体」が 指定管理者 として運営管理を行っている。","https://ja.wikipedia.org/wiki/大分市営陸上競技場","日本のサッカー競技場一覧","https://ja.wikipedia.org/wiki/日本のサッカー競技場一覧","箇条書き,制限あり","北緯33度14分47.2秒東経131度37分22.87秒","大分県大分市西浜1-1","大分市","北緯33度14分47.2秒東経131度37分22.87秒﻿ / ﻿北緯33.246444度 東経131.6230194度﻿ /33.246444; 131.6230194座標:北緯33度14分47.2秒東経131度37分22.87秒﻿ / ﻿北緯33.246444度 東経131.6230194度﻿ /33.246444; 131.6230194","大分リバースタジアム共同企業体","天然芝","1965年7月1日","","","70m×100m","","","1984年2月1日","","","1993年10月13日、1997年1月31日","","","",""
"沖縄市陸上競技場","[沖縄市陸上競技場/ 沖縄市陸] 沖縄市陸上競技場 （おきなわしりくじょうきょうぎじょう）は、 沖縄県 沖縄市 のコザ運動公園（沖縄市総合運動場）にある 陸上競技場 。 球技場 としても使用される。施設は沖縄市が所有し、おきなわスポーツイノベーション協会株式会社が 指定管理者 として運営管理を行っている。","https://ja.wikipedia.org/wiki/沖縄市陸上競技場","日本のサッカー競技場一覧","https://ja.wikipedia.org/wiki/日本のサッカー競技場一覧","箇条書き,制限あり","北緯26度19分59.63秒東経127度47分18.39秒","沖縄県沖縄市諸見里2-1","沖縄市","北緯26度19分59.63秒東経127度47分18.39秒﻿ / ﻿北緯26.3332306度 東経127.7884417度﻿ /26.3332306; 127.7884417座標:北緯26度19分59.63秒東経127度47分18.39秒﻿ / ﻿北緯26.3332306度 東経127.7884417度﻿ /26.3332306; 127.7884417","おきなわスポーツイノベーション協会株式会社","","1973年","無し","6基","","","","2008年","","","","","","",""
"西目カントリーパークサッカー場","[西目カントリーパークサッカー場/ 秋田西目] 由利本荘市西目カントリーパークサッカー場 （ゆりほんじょうしにしめカントリーパークサッカーじょう）は、 秋田県 由利本荘市 西目町出戸の西目カントリーパーク内にあるサッカー専用の球技場である。 西目サッカー場 とも呼ばれる。","https://ja.wikipedia.org/wiki/西目カントリーパークサッカー場","日本のサッカー競技場一覧","https://ja.wikipedia.org/wiki/日本のサッカー競技場一覧","箇条書き,制限あり","北緯39度20分37.82秒東経140度0分9.80秒","秋田県由利本荘市西目町出戸字浜山6-1","由利本荘市","北緯39度20分37.82秒東経140度0分9.80秒﻿ / ﻿北緯39.3438389度 東経140.0027222度﻿ /39.3438389; 140.0027222座標:北緯39度20分37.82秒東経140度0分9.80秒﻿ / ﻿北緯39.3438389度 東経140.0027222度﻿ /39.3438389; 140.0027222","","天然芝","2004年","","","118m×93m","","","","","","","","","",""
"七ヶ浜サッカースタジアム","[七ヶ浜サッカースタジアム/ 七ヶ浜] 七ヶ浜サッカースタジアム （しちがはまサッカースタジアム）は 宮城県 七ヶ浜町 の町営総合スポーツセンター内にある サッカー 専用スタジアムである。","https://ja.wikipedia.org/wiki/七ヶ浜サッカースタジアム","日本のサッカー競技場一覧","https://ja.wikipedia.org/wiki/日本のサッカー競技場一覧","箇条書き,制限あり","北緯38度18分2.6秒東経141度3分48.6秒","宮城県宮城郡七ヶ浜町吉田浜字野山1-2","","北緯38度18分2.6秒東経141度3分48.6秒﻿ / ﻿北緯38.300722度 東経141.063500度﻿ /38.300722; 141.063500座標:北緯38度18分2.6秒東経141度3分48.6秒﻿ / ﻿北緯38.300722度 東経141.063500度﻿ /38.300722; 141.063500","","人工芝","1998年（平成10年）","なし","なし","","針生承一","","","","","","","","",""
"宮城県サッカー場","[めぐみ生協めぐみ野サッカー場(宮城県サッカー場)A・Bグラウンド/ めぐみA・B] 宮城県サッカー場 （みやぎけんサッカーじょう）は、 宮城県 宮城郡 利府町 にある サッカー 専用スタジアムである。同じ利府町にある グランディ・21 宮城スタジアム とは谷筋を挟んで離れているが、 陸橋 を通って2.6 km （車で5分）の距離にある。宮城県の公式サイトには当スタジアムをグランディ・21の一部とみなしている記述がある ","https://ja.wikipedia.org/wiki/宮城県サッカー場","日本のサッカー競技場一覧","https://ja.wikipedia.org/wiki/日本のサッカー競技場一覧","箇条書き,制限あり","北緯38度20分36.0秒東経140度58分23.3秒","宮城県宮城郡利府町森郷字内ノ目南119-1","宮城県","北緯38度20分36.0秒東経140度58分23.3秒﻿ / ﻿北緯38.343333度 東経140.973139度﻿ /38.343333; 140.973139","","A・Bコート：西洋芝Cコート：人工芝","1988年（昭和63年）6月","1基","","","","","","","","","","","",""
"古河市立古河市サッカー場","[古河市立古河市サッカー場/ 古河] 古河市立古河市サッカー場 （こがしりつこがしサッカーじょう）は、 茨城県 古河市 にあるサッカー専用グラウンドである。","https://ja.wikipedia.org/wiki/古河市立古河市サッカー場","日本のサッカー競技場一覧","https://ja.wikipedia.org/wiki/日本のサッカー競技場一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"習志野市秋津公園サッカー場","[習志野市秋津総合運動公園サッカー場/ 秋津] 習志野市秋津サッカー場 （ならしのし あきつサッカーじょう）は、 千葉県 習志野市 の秋津総合運動公園にあるサッカー専用 スタジアム である。施設は習志野市が所有し、 公益財団法人 習志野市スポーツ振興協会が 指定管理者 として運営管理を行っている。","https://ja.wikipedia.org/wiki/習志野市秋津公園サッカー場","日本のサッカー競技場一覧","https://ja.wikipedia.org/wiki/日本のサッカー競技場一覧","箇条書き,制限あり","北緯35度40分10.9秒東経140度0分44.8秒","千葉県習志野市秋津3-7-3","習志野市","北緯35度40分10.9秒東経140度0分44.8秒﻿ / ﻿北緯35.669694度 東経140.012444度﻿ /35.669694; 140.012444座標:北緯35度40分10.9秒東経140度0分44.8秒﻿ / ﻿北緯35.669694度 東経140.012444度﻿ /35.669694; 140.012444","公益財団法人習志野市スポーツ振興協会","","","なし","4基","","","","","","","","","","",""
"国立西が丘サッカー場","[国立西が丘サッカー場（味の素フィールド西が丘） / 味フィ西] 西が丘サッカー場 （にしがおかサッカーじょう）は、 東京都 北区 の 国立スポーツ科学センター にある サッカー 専用の球技場である。施設は 独立行政法人日本スポーツ振興センター （以下「JSC」）が所有しており、JSCが運営・管理も行っている。正式な施設名称は「 国立スポーツ科学センター（西が丘）サッカー場 」（こくりつスポーツかがくセンター（にしがおか）サッカーじょう）である  。","https://ja.wikipedia.org/wiki/国立西が丘サッカー場","日本のサッカー競技場一覧","https://ja.wikipedia.org/wiki/日本のサッカー競技場一覧","箇条書き,制限あり","北緯35度46分8.98秒東経139度42分28.29秒","東京都北区西が丘3丁目15−1","独立行政法人日本スポーツ振興センター","北緯35度46分8.98秒東経139度42分28.29秒﻿ / ﻿北緯35.7691611度 東経139.7078583度﻿ /35.7691611; 139.7078583座標:北緯35度46分8.98秒東経139度42分28.29秒﻿ / ﻿北緯35.7691611度 東経139.7078583度﻿ /35.7691611; 139.7078583","独立行政法人日本スポーツ振興センター","天然芝","1972年","","4基","105m×68m","","","2010年","","1969年","","","","",""
"神奈川県立保土ヶ谷公園サッカー場","[神奈川県立保土ヶ谷公園サッカー場/保土ヶ谷] 神奈川県立保土ケ谷公園サッカー場 （かながわけんりつ・ほどがやこうえん・サッカーじょう）は、 横浜市 保土ケ谷区 の 保土ケ谷公園 にある 球技場 。","https://ja.wikipedia.org/wiki/神奈川県立保土ヶ谷公園サッカー場","日本のサッカー競技場一覧","https://ja.wikipedia.org/wiki/日本のサッカー競技場一覧","箇条書き,制限あり","北緯35度27分17.6秒 東経139度35分5.3秒","","","","","","","","","","","","","","","","","","",""
"ホンダ都田サッカー場","[Honda都田サッカー場/ 都田] Honda都田サッカー場 （ほんだ みやこだサッカーじょう）は 静岡県 浜松市 北区 にある サッカー 専用スタジアムである。施設は 本田技研工業 が所有し、運営管理も同社が行っている。","https://ja.wikipedia.org/wiki/ホンダ都田サッカー場","日本のサッカー競技場一覧","https://ja.wikipedia.org/wiki/日本のサッカー競技場一覧","箇条書き,制限あり","北緯34度48分38.33秒東経137度43分20.95秒","静岡県浜松市北区都田町7945","本田技研工業株式会社","北緯34度48分38.33秒東経137度43分20.95秒﻿ / ﻿北緯34.8106472度 東経137.7224861度﻿ /34.8106472; 137.7224861座標:北緯34度48分38.33秒東経137度43分20.95秒﻿ / ﻿北緯34.8106472度 東経137.7224861度﻿ /34.8106472; 137.7224861","","天然芝","","","有","","","","","","","1996年","","","",""
"名古屋市港サッカー場","[名古屋市港サッカー場/ 名古屋港] 名古屋市港サッカー場 （なごやしみなとサッカーじょう）は、 愛知県 名古屋市 港区 の 稲永公園 内にある球技場。施設は 名古屋市 が所有し、財団法人名古屋市教育スポーツ振興事業団が 指定管理者 として運営管理を行っている。","https://ja.wikipedia.org/wiki/名古屋市港サッカー場","日本のサッカー競技場一覧","https://ja.wikipedia.org/wiki/日本のサッカー競技場一覧","箇条書き,制限あり","北緯35度4分33.96秒東経136度51分2.46秒","日本名古屋市港区野跡4-11-12","名古屋市","北緯35度4分33.96秒東経136度51分2.46秒﻿ / ﻿北緯35.0761000度 東経136.8506833度﻿ /35.0761000; 136.8506833座標:北緯35度4分33.96秒東経136度51分2.46秒﻿ / ﻿北緯35.0761000度 東経136.8506833度﻿ /35.0761000; 136.8506833","財団法人名古屋市教育スポーツ振興事業団","天然芝","1993年","電光掲示板","鉄塔式 4基","146m x 83m","","","","","","","","","",""
"堺市立サッカー・ナショナルトレーニングセンター","[堺市立サッカー・ナショナルトレーニングセンター/ J-G堺メイン] 堺市立サッカー・ナショナルトレーニングセンター （さかいしりつサッカー・ナショナルトレーニングセンター）は、 大阪府 堺市 堺区 築港八幡町にある サッカー 練習場を中心としたスポーツ施設。愛称は J-GREEN堺 （ジェイ・グリーンさかい）。略称は堺トレセン、堺NTCなど。ジェイズパークグループ（代表団体：株式会社ジャパンフットボールマーチャンダイズ、構成団体： 日本管財 、関西ユニベール株式会社）が 指定管理者 として運営管理を行っている。","https://ja.wikipedia.org/wiki/堺市立サッカー・ナショナルトレーニングセンター","日本のサッカー競技場一覧","https://ja.wikipedia.org/wiki/日本のサッカー競技場一覧","箇条書き,制限あり","北緯34度36分14.69秒東経135度26分38.1秒","日本大阪府堺市堺区築港八幡町145","","","","","","","","","","","","","","","ジェイズパークグループ","","","#施設を参照。"
"島根県立サッカー場","[島根県立サッカー場/ 島根サ] 島根県立サッカー場 （しまねけんりつサッカーじょう）は、 島根県 益田市 にある サッカー 専用の 球技場 である。","https://ja.wikipedia.org/wiki/島根県立サッカー場","日本のサッカー競技場一覧","https://ja.wikipedia.org/wiki/日本のサッカー競技場一覧","箇条書き,制限あり","北緯34度41分9.78秒東経131度51分26.856秒","島根県益田市乙吉町631-2","","北緯34度41分9.78秒東経131度51分26.856秒﻿ / ﻿北緯34.6860500度 東経131.85746000度﻿ /34.6860500; 131.85746000","","天然芝（暖地型西洋芝）","1978年3月","なし。時期反転式掲示板を設置。","100ルクス〜500ルクス","11,860㎡","","","","約12億円","","2000年5月","","","",""
"新青森県総合運動公園","[新青森県総合運動公園/ 新青森球] 新青森県総合運動公園 （しんあおもりけんそうごううんどうこうえん）は 青森県 青森市 大字宮田にある 運動公園 。施設は青森県が所有し、スポルト青い森グループが 指定管理者 として運営管理を行っている。","https://ja.wikipedia.org/wiki/新青森県総合運動公園","日本のサッカー競技場一覧","https://ja.wikipedia.org/wiki/日本のサッカー競技場一覧","箇条書き,制限あり","北緯40度50分36秒東経140度50分24.2秒","青森県青森市大字宮田字高瀬22-2","","","","","","","","","アーバンデザインコンサルタント","","","","","","青森県（指定管理者：スポルト青い森グループ）","都市公園（広域公園）","青森県のサイト",""
"石巻フットボール場","[石巻市総合運動公園フットボール場（宮城県石巻市） / 石巻フ] 石巻フットボール場 （いしのまきフットボールじょう）は、 宮城県 石巻市 南境の 石巻市総合運動公園 内にある サッカー ・ ラグビー 専用 競技場 。サッカー場のピッチサイズは105m×68m。","https://ja.wikipedia.org/wiki/石巻フットボール場","日本のサッカー競技場一覧","https://ja.wikipedia.org/wiki/日本のサッカー競技場一覧","箇条書き,制限あり","北緯38度27分27.9秒東経141度18分33.5秒","宮城県石巻市南境字新小堤18番地","石巻市","北緯38度27分27.9秒東経141度18分33.5秒﻿ / ﻿北緯38.457750度 東経141.309306度﻿ /38.457750; 141.309306座標:北緯38度27分27.9秒東経141度18分33.5秒﻿ / ﻿北緯38.457750度 東経141.309306度﻿ /38.457750; 141.309306","","天然芝","","なし","なし","174m× 84m （サッカー場のピッチサイズは105m×68m）","","","","","","","","","",""
"フクダ電子アリーナ","[千葉市蘇我球技場（フクダ電子アリーナ） / フクアリ] 千葉市の 条例 上の名称は 千葉市蘇我球技場 （ちばしそがきゅうぎじょう）であるが、開業当初から医療機器の製造販売を行う フクダ電子 が施設 命名権 を取得し、「フクダ電子アリーナ」の名称を用いている（ 後述 ）。略称は フクアリ 。","https://ja.wikipedia.org/wiki/フクダ電子アリーナ","日本のサッカー競技場一覧","https://ja.wikipedia.org/wiki/日本のサッカー競技場一覧","箇条書き,制限あり","北緯35度34分38.95秒東経140度7分22.34秒","千葉県千葉市中央区川崎町1-20","千葉市","北緯35度34分38.95秒東経140度7分22.34秒﻿ / ﻿北緯35.5774861度 東経140.1228722度﻿ /35.5774861; 140.1228722座標:北緯35度34分38.95秒東経140度7分22.34秒﻿ / ﻿北緯35.5774861度 東経140.1228722度﻿ /35.5774861; 140.1228722","SSP UNITED","天然芝","2005年10月","オーロラビジョン","","111m×74m","日本設計安宅防災設計都市再生機構","清水建設・大林組・新日本建設JV、関電工・JFE電制・モデン工業JV、日本電設工業・橋本電業社JV、川崎設備工業・芝工業JV、朝日工業社・川本工業・京葉工管JV","","81億円","2003年12月","","","","",""
"藤枝市民グラウンド球技場","[藤枝市民グラウンド球技場] 藤枝市民グラウンドサッカー場  （ふじえだしみんグラウンドサッカーじょう）は、 静岡県 藤枝市 の藤枝市民グラウンドにある サッカー などの専用 スタジアム である。施設は藤枝市が所有し、株式会社協栄が 指定管理者 として運営管理を行っている  。","https://ja.wikipedia.org/wiki/藤枝市民グラウンド球技場","日本のサッカー競技場一覧","https://ja.wikipedia.org/wiki/日本のサッカー競技場一覧","箇条書き,制限あり","北緯34度52分53.29秒東経138度13分57.95秒","静岡県藤枝市駿河台1-6-1","藤枝市","北緯34度52分53.29秒東経138度13分57.95秒﻿ / ﻿北緯34.8814694度 東経138.2327639度﻿ /34.8814694; 138.2327639座標:北緯34度52分53.29秒東経138度13分57.95秒﻿ / ﻿北緯34.8814694度 東経138.2327639度﻿ /34.8814694; 138.2327639","株式会社協栄","天然芝","1967年","なし","","105m x 68m","","","","","","","","","",""
"豊橋市岩田総合球技場 (存在しないページ)","[豊橋市岩田総合球技場/ 豊橋]","https://ja.wikipedia.org/w/index.php?title=豊橋市岩田総合球技場&amp;action=edit&amp;redlink=1","日本のサッカー競技場一覧","https://ja.wikipedia.org/wiki/日本のサッカー競技場一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"岡山県美作ラグビー・サッカー場","[岡山県美作ラグビー・サッカー場/ 美作サ] 岡山県美作ラグビー・サッカー場 （おかやまけんみまさかラグビー・サッカーじょう）は、 岡山県 美作市 にある 球技場 。","https://ja.wikipedia.org/wiki/岡山県美作ラグビー・サッカー場","日本のサッカー競技場一覧","https://ja.wikipedia.org/wiki/日本のサッカー競技場一覧","箇条書き,制限あり","北緯35度0分10秒東経134度8分4秒","岡山県美作市入田436-3","岡山県","北緯35度0分10秒東経134度8分4秒﻿ / ﻿北緯35.00278度 東経134.13444度﻿ /35.00278; 134.13444{{#coordinates:}} 関数に無効な引数が渡されました","美作市教育委員会スポーツ振興課","天然芝","1988年","","","144×69","","","","","","","","","",""
"香川県営サッカー・ラグビー場","[香川県総合運動公園サッカー・ラグビー場] 香川県総合運動公園サッカー・ラグビー場 （かがわけんえいサッカー・ラグビーじょう）は、 香川県 高松市 生島町 の 香川県総合運動公園 内にある サッカー 、 ラグビー 専用の球技場。 1987年 4月に完成。メインとサブの2面がある。 2009年 12月 には香川県内では初の、 ジャパンラグビートップリーグ 公式戦（ ホンダヒートvs 神戸製鋼コベルコスティーラーズ ）が開催されている。","https://ja.wikipedia.org/wiki/香川県営サッカー・ラグビー場","日本のサッカー競技場一覧","https://ja.wikipedia.org/wiki/日本のサッカー競技場一覧","箇条書き,制限あり","北緯34度21分46.5秒東経133度57分50.6秒","香川県高松市生島町614番地（香川県総合運動公園内）","","北緯34度21分46.5秒東経133度57分50.6秒﻿ / ﻿北緯34.362917度 東経133.964056度﻿ /34.362917; 133.964056座標:北緯34度21分46.5秒東経133度57分50.6秒﻿ / ﻿北緯34.362917度 東経133.964056度﻿ /34.362917; 133.964056","","暖地芝","1987年4月","","","","","","","","","","","","",""
"大分スポーツ公園サッカー・ラグビー場","[大分スポーツ公園サッカー・ラグビー場/ 昭和電サA] 大分スポーツ公園サッカー・ラグビー場 （おおいたスポーツこうえん サッカー・ラグビーじょう）は、 大分県 大分市 の 大分スポーツ公園 内にある 球技場 である。施設は大分県が所有し、株式会社大宣が 指定管理者 として運営管理を行っている。 2019年 3月1日 より 昭和電工サッカー・ラグビー場 の名称を使用している（ 後述 ）。","https://ja.wikipedia.org/wiki/大分スポーツ公園サッカー・ラグビー場","日本のサッカー競技場一覧","https://ja.wikipedia.org/wiki/日本のサッカー競技場一覧","箇条書き,制限あり","北緯33度11分56.91秒東経131度39分3.15秒","大分県大分市大字横尾1351","大分県","北緯33度11分56.91秒東経131度39分3.15秒﻿ / ﻿北緯33.1991417度 東経131.6508750度﻿ /33.1991417; 131.6508750座標:北緯33度11分56.91秒東経131度39分3.15秒﻿ / ﻿北緯33.1991417度 東経131.6508750度﻿ /33.1991417; 131.6508750","株式会社大宣","天然芝2面","","無し","Aコートのみ有り","90m×150m（両面とも）","","","","","","","","","",""
"仁賀保グリーンフィールド","[仁賀保総合運動公園多目的広場/ 仁賀保] 仁賀保グリーンフィールド （にかほグリーンフィールド）は 秋田県 にかほ市 の仁賀保運動公園内にあるサッカーやラグビーなどに使用されるスタジアム。施設はにかほ市が所有し、にかほ市が運営管理も行っている。","https://ja.wikipedia.org/wiki/仁賀保グリーンフィールド","日本のサッカー競技場一覧","https://ja.wikipedia.org/wiki/日本のサッカー競技場一覧","箇条書き,制限あり","北緯39度17分14.0秒東経139度57分49.73秒","秋田県にかほ市平沢字馬飼森30","にかほ市","北緯39度17分14.0秒東経139度57分49.73秒﻿ / ﻿北緯39.287222度 東経139.9638139度﻿ /39.287222; 139.9638139座標:北緯39度17分14.0秒東経139度57分49.73秒﻿ / ﻿北緯39.287222度 東経139.9638139度﻿ /39.287222; 139.9638139","にかほ市","天然芝","","","","111m×118m","","","2005年","","","","","","",""
"八戸市東陸上競技場","[八戸市東陸上競技場/ 八戸東陸] 八戸市東陸上競技場 （はちのへしひがしりくじょうきょうぎじょう）は、 青森県 八戸市 の 東運動公園 内にある 陸上競技場 である。","https://ja.wikipedia.org/wiki/八戸市東陸上競技場","日本のサッカー競技場一覧","https://ja.wikipedia.org/wiki/日本のサッカー競技場一覧","箇条書き,制限あり","北緯40度30分10.6秒東経141度32分37.5秒","青森県八戸市湊高台8丁目1-1","八戸市","北緯40度30分10.6秒東経141度32分37.5秒﻿ / ﻿北緯40.502944度 東経141.543750度﻿ /40.502944; 141.543750座標:北緯40度30分10.6秒東経141度32分37.5秒﻿ / ﻿北緯40.502944度 東経141.543750度﻿ /40.502944; 141.543750","エスプロモ（指定管理者）","天然芝","1983年","なし","なし","","","","1996年","約2億3,500万円","1980年","","","","",""
"五戸町ひばり野公園","[五戸町ひばり野陸上競技場/ 五戸陸] 五戸町ひばり野公園 （ごのへまちひばりのこうえん）は 青森県 三戸郡 五戸町 にある 都市公園 （ 運動公園 ）である。五戸町が五戸町都市公園条例に基づいて施設を建設・所有し、 指定管理者 として 公益財団法人 「五戸町スポーツ振興公社」が運営している。","https://ja.wikipedia.org/wiki/五戸町ひばり野公園","日本のサッカー競技場一覧","https://ja.wikipedia.org/wiki/日本のサッカー競技場一覧","箇条書き,制限あり","北緯40度30分38.5秒東経141度19分47秒","青森県三戸郡五戸町大字豊間内地蔵平1-275","","","","","","","","","","","","","","","五戸町（指定管理者：公益財団法人五戸町スポーツ振興公社）","都市公園（運動公園）","http://www.gonohe-sppc.com/shisetu-1.html","#施設を参照。"
"青森県総合運動公園陸上競技場","[青森県総合運動公園陸上競技場/ 青森陸] 青森県総合運動公園陸上競技場 （あおもりけん・そうごううんどうこうえん・りくじょうきょうぎじょう）は、 青森県 青森市 の 青森県総合運動公園 にあった 陸上競技場 兼 球技場 。現在は広場として一般開放されている。施設は青森県が所有し、スポルト青い森グループ（鹿内組と大坂組による企業体）が 指定管理者 として運営管理を行っている。","https://ja.wikipedia.org/wiki/青森県総合運動公園陸上競技場","日本のサッカー競技場一覧","https://ja.wikipedia.org/wiki/日本のサッカー競技場一覧","箇条書き,制限あり","北緯40度48分23.62秒東経140度42分27.32秒","青森県青森市安田字近野234-7","青森県","北緯40度48分23.62秒東経140度42分27.32秒﻿ / ﻿北緯40.8065611度 東経140.7075889度﻿ /40.8065611; 140.7075889座標:北緯40度48分23.62秒東経140度42分27.32秒﻿ / ﻿北緯40.8065611度 東経140.7075889度﻿ /40.8065611; 140.7075889","スポルト青い森グループ","","1966年","","","","","","","","","","","","",""
"弘前市運動公園","[弘前市運動公園/ 弘前陸] 弘前市運動公園 （ひろさきしうんどうこうえん）は、 青森県 弘前市 にある 運動公園 。","https://ja.wikipedia.org/wiki/弘前市運動公園","日本のサッカー競技場一覧","https://ja.wikipedia.org/wiki/日本のサッカー競技場一覧","箇条書き,制限あり","北緯40度35分33.1秒東経140度30分16秒","青森県弘前市大字豊田2丁目3番地","","","","","","","","","","","","","","","弘前市（指定管理者：弘前市スポーツ協会）","","弘前市体育協会",""
"宮城スタジアム","[ひとめぼれスタジアム宮城（宮城スタジアム）/ 宮城ス] 宮城スタジアム （みやぎスタジアム）は、 宮城県 宮城郡 利府町 の 宮城県総合運動公園 （グランディ・21）内にある 陸上競技場 兼 サッカー 球技場 。宮城県が建設・整備し、（公財）宮城県スポーツ振興財団を筆頭とする「G21指定管理グループ」が 指定管理者 として管理を行っている。","https://ja.wikipedia.org/wiki/宮城スタジアム","日本のサッカー競技場一覧","https://ja.wikipedia.org/wiki/日本のサッカー競技場一覧","箇条書き,制限あり","北緯38度20分12.913秒東経140度57分11.185秒","宮城県宮城郡利府町菅谷字舘40-1","宮城県","北緯38度20分12.913秒東経140度57分11.185秒﻿ / ﻿北緯38.33692028度 東経140.95310694度﻿ /38.33692028; 140.95310694座標:北緯38度20分12.913秒東経140度57分11.185秒﻿ / ﻿北緯38.33692028度 東経140.95310694度﻿ /38.33692028; 140.95310694","G21指定管理グループ（（公財）宮城県スポーツ振興財団・同和興業・セントラルスポーツ）（指定管理者）","天然芝","2000年（平成12年）3月31日","1基","1500lx","107m× 71m","針生・阿部共同アトリエ","奥村組","","約270億円","1996年（平成8年）10月","","","","",""
"仙台市陸上競技場","[仙台市陸上競技場/ 仙台市陸] 仙台市陸上競技場 （せんだいしりくじょうきょうぎじょう）は、 宮城県 仙台市 宮城野区 の 宮城野原公園総合運動場 内にある 陸上競技場 。 球技場 としても使用される。 2009年 （ 平成 21年） 3月31日 まで宮城県が所有する宮城陸上競技場だったが、同年 4月1日 に仙台市に譲渡され、名称も変更になった  。2017年（平成29年）4月より 弘進ゴム が 命名権 を取得し、愛称が「 弘進ゴム アスリートパーク仙台 」となる。 指定管理者 は仙台市スポーツ振興事業団である。","https://ja.wikipedia.org/wiki/仙台市陸上競技場","日本のサッカー競技場一覧","https://ja.wikipedia.org/wiki/日本のサッカー競技場一覧","箇条書き,制限あり","北緯38度15分30.55秒東経140度54分14.37秒","宮城県仙台市宮城野区宮城野2-11-6","仙台市","北緯38度15分30.55秒東経140度54分14.37秒﻿ / ﻿北緯38.2584861度 東経140.9039917度﻿ /38.2584861; 140.9039917座標:北緯38度15分30.55秒東経140度54分14.37秒﻿ / ﻿北緯38.2584861度 東経140.9039917度﻿ /38.2584861; 140.9039917","仙台市スポーツ振興事業団","","1952年（昭和27年）","なし","なし","","","","","","","","","","",""
"角田市陸上競技場","[角田市陸上競技場/ 角田] 角田市陸上競技場 （かくだしりくじょうきょうぎじょう）は、 宮城県 角田市 の角田市中央公園にある 陸上競技場 。公益財団法人角田市地域振興公社が 指定管理者 として運営管理を行っている。","https://ja.wikipedia.org/wiki/角田市陸上競技場","日本のサッカー競技場一覧","https://ja.wikipedia.org/wiki/日本のサッカー競技場一覧","箇条書き,制限あり","北緯37度58分15.6秒東経140度48分15.5秒","宮城県角田市枝野字青木155-31","角田市","北緯37度58分15.6秒東経140度48分15.5秒﻿ / ﻿北緯37.971000度 東経140.804306度﻿ /37.971000; 140.804306座標:北緯37度58分15.6秒東経140度48分15.5秒﻿ / ﻿北緯37.971000度 東経140.804306度﻿ /37.971000; 140.804306","公益財団法人角田市地域振興公社","8レーン","","","","","","","","","","","","","",""
"東北電力名取スポーツパーク愛島競技場","[東北電力名取スポーツパーク愛島競技場/ 愛島陸] 東北電力名取スポーツパーク愛島競技場 （とうほくでんりょく なとり スポーツパークめでしまきょうぎじょう）は、かつて 宮城県 名取市 愛島 の 東北電力名取スポーツパーク 内に存在した 陸上競技場 。 球技場 としても使用された。施設は 東北電力 が所有し、子会社の名取スポーツパーク企画が運営管理を行っていた。","https://ja.wikipedia.org/wiki/東北電力名取スポーツパーク愛島競技場","日本のサッカー競技場一覧","https://ja.wikipedia.org/wiki/日本のサッカー競技場一覧","箇条書き,制限あり","北緯38度10分0.3秒 東経140度50分10.3秒","","","","","","","","","","","","","","","","","","",""
"龍ケ崎市陸上競技場たつのこフィールド","[流通経済大学龍ケ崎フィールド（龍ケ崎市陸上競技場たつのこフィールド）/ 龍ケ崎] 龍ケ崎市陸上競技場たつのこフィールド （りゅうがさきしりくじょうきょうぎじょう たつのこフィールド）は、 茨城県 龍ケ崎市 の龍ケ崎市総合運動公園内にある 陸上競技場 。 球技場 としても使用される。施設は 龍ケ崎市 が所有し、たつのこまちづくりパートナーズ（構成企業： コナミスポーツクラブ 、常陽メンテナンス、東洋メンテナンス）が 指定管理者 として運営管理を行っている。第三種陸上競技場である。","https://ja.wikipedia.org/wiki/龍ケ崎市陸上競技場たつのこフィールド","日本のサッカー競技場一覧","https://ja.wikipedia.org/wiki/日本のサッカー競技場一覧","箇条書き,制限あり","北緯35度55分40.9秒東経140度12分16.7秒","茨城県龍ケ崎市中里2-1-7","龍ケ崎市","北緯35度55分40.9秒東経140度12分16.7秒﻿ / ﻿北緯35.928028度 東経140.204639度﻿ /35.928028; 140.204639座標:北緯35度55分40.9秒東経140度12分16.7秒﻿ / ﻿北緯35.928028度 東経140.204639度﻿ /35.928028; 140.204639","たつのこまちづくりパートナーズ","","2007年4月7日","","","","","","","","","","","","",""
