"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","位置","所在地","地図","指定文化財","遺構","築城年","築城主","廃城年","城郭構造","築造時期","史跡","規模","主な城主","形状","別名","出土品","天守構造","埋葬施設","特記事項"
"原山支石墓群","[原山支石墓群（はらやましせきぼぐん）〔南島原市〕] 原山支石墓群 （はらやましせきぼぐん）は、 長崎県 南島原市 （旧南高来郡北有馬町）に所在する 縄文時代 終末期の遺跡。一般に 原山ドルメン とも呼ばれている。日本国内の 支石墓 遺跡としては最古最大級のものと言われる。1972年（昭和47年）11月6日国の 史跡 に指定された。","https://ja.wikipedia.org/wiki/原山支石墓群","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","北緯32度40分45.8秒 東経130度12分22.4秒","","","","","","","","","","","","","","","","","","",""
"日野江城","[日野江城跡（ひのえじょうあと）〔南島原市〕] 日野江城 （ひのえじょう）は、 肥前国 高来郡 有間庄 （ 長崎県 南島原市 北有馬町 戊 谷川名 ）にあった 城 。 日之江城 、 日ノ江城 、 火ノ江城 、 日ノ枝城 とも記される。国の 史跡 。","https://ja.wikipedia.org/wiki/日野江城","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","北緯32度39分36.04秒東経130度15分9.97秒","北緯32度39分36.04秒東経130度15分9.97秒﻿ / ﻿北緯32.6600111度 東経130.2527694度﻿ /32.6600111; 130.2527694","","","国の史跡","石垣、空堀","建保年間（1213年～1219年）","藤原（有馬）経澄","元和2年（1616年）","連郭式平山城","","","","有馬氏","","日之江城、日ノ江城、火ノ江城、日ノ枝城","","不明","",""
"島原藩","[旧島原藩薬園跡（きゅうしまばらはんやくえんあと）〔島原市〕] 島原藩 （しまばらはん）は、 肥前国 島原周辺を支配した 藩 。初期は 日野江藩 （ひのえはん）と呼ばれる。藩庁は初期は 日野江城 （ 長崎県 南島原市 ）、のち 島原城 （長崎県 島原市 ）。徳川譜代の高力氏、 十八松平 の深溝松平家が配され、天領である長崎の監督と、九州諸大名に対する目付役を担った。","https://ja.wikipedia.org/wiki/島原藩","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"鷹島神崎遺跡","[鷹島神崎遺跡（たかしまこうざきいせき）〔松浦市〕] 鷹島神崎遺跡 （たかしまこうざきいせき）は、日本の 長崎県 松浦市 鷹島 東岸（神崎免   ）沖にある 水中遺跡  。2012年3月27日に、水中遺跡として初めて国の 史跡 に指定された   。広さは38万4000 平方メートル  。","https://ja.wikipedia.org/wiki/鷹島神崎遺跡","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","北緯33度25分37秒東経129度46分20秒","","長崎県松浦市鷹島町","","","","","","","","","","","","","","","","",""
"熊本城","[熊本城跡（くまもとじょうあと）〔熊本市〕] 熊本城 （くまもとじょう）は、 肥後国 飽田郡 熊本  （現在の 熊本県 熊本市 中央区 ）に築かれた 安土桃山時代 から 江戸時代 の 日本の城 。別名「銀杏城（ぎんなんじょう）」  。","https://ja.wikipedia.org/wiki/熊本城","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","北緯32度48分21.7秒東経130度42分21.23秒","北緯32度48分21.7秒東経130度42分21.23秒﻿ / ﻿北緯32.806028度 東経130.7058972度﻿ /32.806028; 130.7058972﻿ (熊本城)座標:北緯32度48分21.7秒東経130度42分21.23秒﻿ / ﻿北緯32.806028度 東経130.7058972度﻿ /32.806028; 130.7058972﻿ (熊本城)","","熊本城熊本市の地図を表示熊本城熊本県の地図を表示熊本城日本の地図を表示","国の重要文化財:櫓11棟、門1棟、塀1棟国の特別史跡:熊本城跡","櫓・門・塀、石垣、堀","1469年–1487年頃","出田秀信（千葉城）、鹿子木親員（隈本城）","1874年","梯郭式平山城","","","","加藤氏、細川氏","","千葉城（出田氏）、六実城、隈本城（鹿子木氏、菊池氏、城氏、佐々氏、加藤氏半国期）、銀杏城","","連結式望楼型3重6階地下1階（非現存・1600年築）外観復元（RC造1960年再）","",""
"大牟田市","[宮原坑跡（みやのはらこうあと）〔福岡県大牟田市〕] 大牟田市 （おおむたし）は、 福岡県 の最南端にある 市 である。","https://ja.wikipedia.org/wiki/大牟田市","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","北緯33度1分49秒東経130度26分45.5秒","","〒836-8666福岡県大牟田市有明町二丁目3番地北緯33度1分49秒東経130度26分45.5秒﻿ / ﻿北緯33.03028度 東経130.445972度﻿ /33.03028; 130.445972座標:北緯33度1分49秒東経130度26分45.5秒﻿ / ﻿北緯33.03028度 東経130.445972度﻿ /33.03028; 130.445972市庁舎位置","","","","","","","","","","","","","","","","",""
"荒尾市","[万田坑跡（まんだこうあと）〔熊本県荒尾市〕] 荒尾市 （あらおし）は、 熊本県 北西部にある 市 である。","https://ja.wikipedia.org/wiki/荒尾市","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","北緯32度59分12.3秒東経130度25分59.1秒","","〒864-8686熊本県荒尾市宮内出目390番地北緯32度59分12.3秒東経130度25分59.1秒﻿ / ﻿北緯32.986750度 東経130.433083度﻿ /32.986750; 130.433083﻿ (荒尾市)座標:北緯32度59分12.3秒東経130度25分59.1秒﻿ / ﻿北緯32.986750度 東経130.433083度﻿ /32.986750; 130.433083﻿ (荒尾市)市庁舎位置","","","","","","","","","","","","","","","","",""
"石貫ナギノ横穴群 (存在しないページ)","[石貫ナギノ横穴群（いしぬきなぎのよこあなぐん）〔玉名市〕]","https://ja.wikipedia.org/w/index.php?title=石貫ナギノ横穴群&amp;action=edit&amp;redlink=1","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"石貫穴観音横穴 (存在しないページ)","[石貫穴観音横穴（いしぬきあなかんのんよこあな）〔玉名市〕]","https://ja.wikipedia.org/w/index.php?title=石貫穴観音横穴&amp;action=edit&amp;redlink=1","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"永安寺東古墳 (存在しないページ)","[永安寺東古墳・永安寺西古墳（えいあんじひがしこふん・えいあんじにしこふん）〔玉名市〕]","https://ja.wikipedia.org/w/index.php?title=永安寺東古墳&amp;action=edit&amp;redlink=1","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"大坊古墳 (玉名市)","[大坊古墳（だいぼうこふん）〔玉名市〕] 大坊古墳 （だいぼうこふん）は、 熊本県 玉名市 玉名に所在する 装飾古墳 。国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/大坊古墳_(玉名市)","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","北緯32度56分55.0秒 東経130度34分14.0秒","","","","","","","","","","","","","","","","","","",""
"豊前街道南関御茶屋跡","[南関御茶屋跡（なんかんおちゃやあと）] 豊前街道南関御茶屋跡 （ぶぜんかいどうなんかんおちゃやあと）とは、 熊本県 玉名郡 南関町 にある 国 指定の 史跡 である。本項では 御茶屋跡 と称する。","https://ja.wikipedia.org/wiki/豊前街道南関御茶屋跡","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","北緯33度3分44.1秒 東経130度32分29.8秒","","","","","","","","","","","","","","","","","","",""
"江田穴観音古墳 (存在しないページ)","[江田穴観音古墳（えたあなかんのんこふん）〔玉名郡和水町〕]","https://ja.wikipedia.org/w/index.php?title=江田穴観音古墳&amp;action=edit&amp;redlink=1","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"江田船山古墳","[江田船山古墳附 塚坊主古墳・虚空蔵塚古墳（えたふなやまこふん つけたり つかぼうずこふん・こくんぞうづかこふん）〔玉名郡和水町〕] 江田船山古墳 （えたふなやまこふん）は、 熊本県 玉名郡 和水町 （旧 菊水町 ）に所在する 前方後円墳 。清原（せいばる）古墳群の中で最古・最大の 古墳 で、日本最古の本格的記録文書である75文字の銀 象嵌 （ぎんぞうがん）銘をもつ 大刀 （鉄刀）が出土したことで著名である  。国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/江田船山古墳","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","北緯32度58分16.63秒東経130度36分0.02秒","北緯32度58分16.63秒東経130度36分0.02秒﻿ / ﻿北緯32.9712861度 東経130.6000056度﻿ /32.9712861; 130.6000056座標:北緯32度58分16.63秒東経130度36分0.02秒﻿ / ﻿北緯32.9712861度 東経130.6000056度﻿ /32.9712861; 130.6000056","熊本県玉名郡和水町江田","江田船山古墳熊本県内の位置","","","","","","","5世紀-6世紀初頭","1951年（昭和26年）国の史跡","全長62m、高さ10m","","前方後円墳","","銀象嵌銘大刀、銅鏡など（国宝）","","",""
"田中城 (肥後国)","[田中城跡（たなかじょうあと）〔玉名郡和水町〕2002年3月19日] 田中城 （たなかじょう）は、別名を 和仁城 とも呼ばれ、 中世 に 熊本県 旧 三加和町 一帯を支配した 肥後国 の 国人 和仁氏 が本拠とした 城 。現在の熊本県 玉名郡 和水町 和仁に位置する。天正15年（ 1587年 ）に発生した 肥後国人一揆 において、最後まで抗戦を続けた城のひとつである。","https://ja.wikipedia.org/wiki/田中城_(肥後国)","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","北緯33度4分44.0秒東経130度35分41.0秒","北緯33度4分44.0秒東経130度35分41.0秒﻿ / ﻿北緯33.078889度 東経130.594722度﻿ /33.078889; 130.594722","","田中城","国の史跡","空掘","","和仁氏","天正15年（1587年）","輪郭式平山城","","","","","","和仁城、鰐城","","無し","",""
"熊本県立装飾古墳館","[岩原古墳群（いわばるこふんぐん）〔山鹿市〕] 熊本県立装飾古墳館 （くまもとけんりつそうしょくこふんかん）は、 熊本県 山鹿市 鹿央町 にある 考古学 博物館 。国の 史跡 に指定されている岩原（いわばる）古墳群の一角に立地しており、また周辺には県指定史跡の岩原横穴墓群が並んでいる。","https://ja.wikipedia.org/wiki/熊本県立装飾古墳館","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","北緯32度59分37.2秒東経130度40分10.9秒","北緯32度59分37.2秒東経130度40分10.9秒﻿ / ﻿北緯32.993667度 東経130.669694度﻿ /32.993667; 130.669694座標:北緯32度59分37.2秒東経130度40分10.9秒﻿ / ﻿北緯32.993667度 東経130.669694度﻿ /32.993667; 130.669694","〒861-0561熊本県山鹿市鹿央町岩原308532° 59′ 37.2″ N, 130° 40′ 10.9″ E","","","","","","","","","","","","","","","","",""
"方保田東原遺跡","[方保田東原遺跡（かとうだひがしばるいせき）〔山鹿市〕] 方保田東原遺跡 （かとうだひがしばるいせき）は、 熊本県 山鹿市 にある 弥生時代 後期から 古墳時代 前期のものと考えられる 遺跡 である  。","https://ja.wikipedia.org/wiki/方保田東原遺跡","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","北緯32度59分53.4秒 東経130度43分4.2秒","","","","","","","","","","","","","","","","","","",""
"隈部館","[隈部氏館跡（くまべしやかたあと）〔山鹿市〕] 隈部館 （くまべやかた）は 肥後 隈部氏 が 戦国時代 に築いた 城砦 。永野城とも称される。館跡は熊本県 山鹿市 菊鹿町 上永野地区にあり、「隈部氏館跡」の名称で国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/隈部館","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","北緯33度3分20.0秒 東経130度47分48.0秒","","","","","","","","","","","","","","","","","","",""
"方保田東原遺跡","[方保田東原遺跡（かとうだひがしばるいせき）〔山鹿市〕] 方保田東原遺跡 （かとうだひがしばるいせき）は、 熊本県 山鹿市 にある 弥生時代 後期から 古墳時代 前期のものと考えられる 遺跡 である  。","https://ja.wikipedia.org/wiki/方保田東原遺跡","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","北緯32度59分53.4秒 東経130度43分4.2秒","","","","","","","","","","","","","","","","","","",""
"チブサン古墳","[チブサン・オブサン古墳（ちぶさん・おぶさんこふん）〔山鹿市〕1922年10月12日] チブサン古墳 （チブサンこふん）は、 熊本県 山鹿市 にある装飾 古墳 。国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/チブサン古墳","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","北緯33度1分46.8秒 東経130度40分9.8秒","","","","","","","","","","","","","","","","","","",""
"鍋田横穴","[鍋田横穴（なべたよこあな）〔山鹿市〕] 鍋田横穴 （なべたよこあな）は、 熊本県 山鹿市 鍋田字東にある、 古墳時代 後期（6世紀）の 横穴 群（群集墓）。鍋田横穴群とも呼ばれる  。","https://ja.wikipedia.org/wiki/鍋田横穴","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","北緯33度01分13秒 東経130度40分16秒","","","","","","","","","","","","","","","","","","",""
"弁慶ヶ穴古墳","[弁慶ヶ穴古墳（べんけいがあなこふん）〔山鹿市〕] 弁慶ヶ穴古墳 （べんけいがあなこふん）は、 熊本県 山鹿市 にある 装飾古墳 。国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/弁慶ヶ穴古墳","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","北緯33度1分33.6秒 東経130度41分9.1秒","","","","","","","","","","","","","","","","","","",""
"鞠智城","[鞠智城跡（きくちじょうあと）〔菊池市、山鹿市〕2004年2月27日] 鞠智城 （きくちじょう  /くくちのき  ）は、 熊本県 の 山鹿市 と 菊池市 にまたがる  台地 状の 丘陵 に築かれた  、 日本 の 古代山城 である。 城跡 は、2004年（平成16年）2月27日、国指定の 史跡 「鞠智城跡」に指定されている  。","https://ja.wikipedia.org/wiki/鞠智城","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","北緯33度0分4.64秒東経130度47分19.76秒","北緯33度0分4.64秒東経130度47分19.76秒﻿ / ﻿北緯33.0012889度 東経130.7888222度﻿ /33.0012889; 130.7888222","","鞠智城","国の史跡「鞠智城跡」","土塁・城門・建物跡・貯水池","不明","（推定）大和朝廷","不明","古代山城","","","","","","","","なし","",""
"二子山石器製作遺跡","[二子山石器製作遺跡（ふたごやませっきせいさくいせき）〔合志市〕1972年3月23日] 二子山石器製作遺跡 （ふたごやませっきせいさくいせき）は、 熊本県 合志市 野々島にある 石器 製作場跡である。1972年3月23日、国の 史跡 に指定された。","https://ja.wikipedia.org/wiki/二子山石器製作遺跡","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","北緯32度54分23秒 東経130度44分31秒","","","","","","","","","","","","","","","","","","",""
"西南戦争","[西南戦争遺跡（せいなんせんそういせき）〔熊本市北区・玉名郡玉東町〕] 西南戦争 （せいなんせんそう）、または 西南の役 （せいなんのえき）は、 1877年 （ 明治 10年）に現在の 熊本県 ・ 宮崎県 ・ 大分県 ・ 鹿児島県 において 西郷隆盛 を盟主にして起こった 士族 による 武力 反乱 である。明治初期に起こった一連の 士族反乱 の中でも最大規模のもので、 日本国内で最後 の 内戦 である。","https://ja.wikipedia.org/wiki/西南戦争","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","北緯31度35分59.12秒 東経130度33分0.96秒","","","","","","","","","","","","","","","","","","",""
"釜尾古墳","[釜尾古墳（かまおこふん）〔熊本市〕] 釜尾古墳 （かまおこふん）は、 熊本県 熊本市 北区 釜尾町にある 古墳 。形状は 円墳 。国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/釜尾古墳","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","北緯32度50分20.45秒東経130度41分47.89秒","北緯32度50分20.45秒東経130度41分47.89秒﻿ / ﻿北緯32.8390139度 東経130.6966361度﻿ /32.8390139; 130.6966361座標:北緯32度50分20.45秒東経130度41分47.89秒﻿ / ﻿北緯32.8390139度 東経130.6966361度﻿ /32.8390139; 130.6966361","熊本県熊本市北区釜尾町（字同免）534","釜尾古墳","","","","","","","6世紀後半","国の史跡「釜尾古墳」","直径18m高さ6m","","円墳","","須恵器・管玉・鉄製品","","両袖式複室横穴式石室","装飾古墳"
"熊本藩","[熊本藩川尻米蔵跡（くまもとはんかわしりこめぐらあと）〔熊本市〕] 熊本藩 （くまもとはん）は、 1600年 から 1871年 まで存在した 藩 。52万 石 （細川家の時代に、八代領と両支藩を分封ののち高直しで54万石）。 1871年 肥後国 （ 熊本県 ）の 球磨郡 ・ 天草郡 を除く地域と 豊後国 （ 大分県 ）の一部（ 鶴崎 ・ 佐賀関 など）を 知行 した。 肥後藩 （ひごはん）とも呼ばれる。藩庁は 熊本城 （ 熊本市 ）に置かれた。肥後一円を領有していないが、 国持ち 大名 とされた。","https://ja.wikipedia.org/wiki/熊本藩","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"細川氏","[熊本藩主細川家墓所（くまもとはんしゅほそかわけぼしょ）〔熊本市〕] 細川氏 （ほそかわし）は、 武家 ・ 華族 だった 日本 の 氏族 。 清和源氏 の名門 足利氏 の支流にあたる。名字は鎌倉時代に 三河国 額田郡 細川郷 （現在の 愛知県 岡崎市 細川町 周辺）に土着したことに由来する。 南北朝時代 に 足利尊氏 に従って発展し、嫡流は 室町幕府 の 管領 家に列する有力 守護大名 となる。 江戸時代 には、傍流から 肥後 熊本藩 54万石の藩主家を出した。 維新 後には 華族 の 侯爵 家に列した  。","https://ja.wikipedia.org/wiki/細川氏","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"水前寺成趣園","[水前寺成趣園（すいぜんじじょうじゅいん）〔熊本市〕] 水前寺成趣園 （すいぜんじじょうじゅえん）は、 熊本県 熊本市 中央区 にある 大名庭園 。面積約7万3000平方メートル。通称は 水前寺公園 。豊富な阿蘇伏流水が湧出して作った池を中心にした桃山式回遊庭園で、築山や浮石、芝生、松などの植木で 東海道五十三次 の景勝を模したといわれる。","https://ja.wikipedia.org/wiki/水前寺成趣園","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","北緯32度47分27.93秒 東経130度44分4.54秒","","","","","","","","","","","","","","","","","","",""
"千金甲古墳 (存在しないページ)","[千金甲古墳（甲号）（せごんこうこふん（こうごう））〔熊本市〕]","https://ja.wikipedia.org/w/index.php?title=千金甲古墳&amp;action=edit&amp;redlink=1","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"千金甲古墳 (存在しないページ)","[千金甲古墳（乙号）（せごんこうこふん（おつごう））〔熊本市〕]","https://ja.wikipedia.org/w/index.php?title=千金甲古墳&amp;action=edit&amp;redlink=1","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"池辺寺跡 (存在しないページ)","[池辺寺跡（ちへんじあと）〔熊本市〕]","https://ja.wikipedia.org/w/index.php?title=池辺寺跡&amp;action=edit&amp;redlink=1","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"堅志田城跡 (存在しないページ)","[堅志田城跡（かたしだじょうあと）〔下益城郡美里町〕2006年1月26日]","https://ja.wikipedia.org/w/index.php?title=堅志田城跡&amp;action=edit&amp;redlink=1","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"阿高黒橋貝塚","[阿高・黒橋貝塚（あだか・くろばしかいづか）〔熊本市〕] 阿高黒橋貝塚 （あだかくろはしかいづか）は、 熊本県 熊本市 南区 城南町 阿高字東原に位置する、 縄文時代 中期から後期にかけての 貝塚  。 1916年 （ 大正 5年）に発見され、 1980年 （ 昭和 55年）に 国の史跡 に指定されている  。 佐賀市 の 東名遺跡 と並ぶ西日本最大級の縄文貝塚とされる。","https://ja.wikipedia.org/wiki/阿高黒橋貝塚","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"御領貝塚","[御領貝塚（ごりょうかいづか）〔熊本市〕] 御領貝塚 （ごりょうかいづか）は、 熊本県 南区 城南町 にある 縄文時代 の 貝塚 。 1970年 3月9日、国の史跡に指定された  。 熊本平野 南縁部の標高20メートルの丘陵上に位置する、九州最大級の貝塚である。貝種は98パーセント以上がシジミである。本遺跡出土の土器は「御領式」と呼ばれ、縄文時代後期の標式土器の一つである。土器のほか、石器、骨角器、抜歯痕のある人骨などが出土している。","https://ja.wikipedia.org/wiki/御領貝塚","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","北緯32度41分55秒 東経130度43分25秒","","","","","","","","","","","","","","","","","","",""
"塚原古墳群 (熊本市)","[塚原古墳群（つかはらこふんぐん）〔熊本市〕1976年12月27日] 塚原古墳群 （つかわらこふんぐん）は、 熊本県 熊本市 南区 城南町塚原にある 古墳群 。","https://ja.wikipedia.org/wiki/塚原古墳群_(熊本市)","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"井寺古墳","[井寺古墳（いでらこふん）〔上益城郡嘉島町〕] 井寺古墳 （いでらこふん  /いてらこふん  ）は、 熊本県 上益城郡 嘉島町 大字井寺にある 古墳 。形状は 円墳 または 前方後円墳 。国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/井寺古墳","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","北緯32度45分11.17秒東経130度46分40.37秒","北緯32度45分11.17秒東経130度46分40.37秒﻿ / ﻿北緯32.7531028度 東経130.7778806度﻿ /32.7531028; 130.7778806座標:北緯32度45分11.17秒東経130度46分40.37秒﻿ / ﻿北緯32.7531028度 東経130.7778806度﻿ /32.7531028; 130.7778806","熊本県上益城郡嘉島町大字井手","井寺古墳","","","","","","","5世紀後半-6世紀初頭","国の史跡「井寺古墳」","直径14m高さ6.5m","","円墳または前方後円墳","","鉄刀4本","","横穴式石室","装飾古墳"
"宇土城","[宇土城跡（うとじょうあと）〔宇土市〕1979年3月12日] 宇土古城は、 宇土氏 によって西岡台と称される独立丘陵に築かれ（このため中世宇土城を指して「西岡台」と通称する）、中央の迫地を挟んで東に主郭となる千畳敷（せんじょうじき）、西に三城（さんのじょう）という連郭式の体をなしている。東の千畳敷の周囲は横堀で囲まれており、北から東にかけての斜面には複数の竪堀が穿たれていた。近年、千畳敷と呼ばれる 曲輪 跡から多数の掘立柱建築の痕跡と  、東側に 虎口 、 城門 遺構が発掘されており、一部の遺構については復元表示してある。","https://ja.wikipedia.org/wiki/宇土城","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","北緯32度40分46秒東経130度38分47秒","丘陵全体：北緯32度40分46秒東経130度38分47秒﻿ / ﻿北緯32.67944度 東経130.64639度﻿ /32.67944; 130.64639座標:北緯32度40分46秒東経130度38分47秒﻿ / ﻿北緯32.67944度 東経130.64639度﻿ /32.67944; 130.64639","","宇土古城","国の史跡","建物跡・横堀・虎口・城門（復元）","平安時代中期、不明-伝永承3年（1048年）","藤原頼通","天正16年（1588年）","平山城","","","","宇土為光、名和武顕、名和顕孝、名和顕輝、皆吉武真","","中世宇土城、西岡台、名和城","","なし","",""
"小田良古墳","[小田良古墳（おだらこふん）〔宇城市〕] 小田良古墳 （おだらこふん）は、 熊本県 宇城市 三角町にある 古墳 。1979年（昭和54年）10月23日、国の 史跡 に指定された。","https://ja.wikipedia.org/wiki/小田良古墳","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","北緯32度38分57秒 東経130度29分37秒","","","","","","","","","","","","","","","","","","",""
"富岡吉利支丹供養碑 (存在しないページ)","[富岡吉利支丹供養碑（とみおかきりしたんくようひ）〔天草郡苓北町〕]","https://ja.wikipedia.org/w/index.php?title=富岡吉利支丹供養碑&amp;action=edit&amp;redlink=1","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"野津古墳群","[野津古墳群（のづこふんぐん）〔八代郡氷川町〕] 野津古墳群 （のづこふんぐん）は、 熊本県 八代郡 氷川町 野津・大野にある 古墳群 。4基が国の 史跡 に指定され、出土品の一部は熊本県指定重要文化財・氷川町指定有形文化財に指定されている。","https://ja.wikipedia.org/wiki/野津古墳群","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","北緯32度33分37.77秒 東経130度41分35.40秒","","","","","","","","","","","","","","","","","","",""
"佐敷城 (肥後国)","[佐敷城跡（さしきじょうあと）〔葦北郡芦北町〕2008年3月28日] 佐敷城 （さしきじょう）は、 肥後国 の南部、現在の 熊本県 葦北郡 芦北町 にあった 日本の城 。 加藤清正 によって築城された近世の佐敷城は 佐敷花岡城 とも呼ばれる。佐敷城の城下は 薩摩街道 と人吉街道（相良往還）が通る交通の要地であり、 戦国時代 中期までは相良氏、戦国時代末期には島津氏の勢力拡大をめぐって佐敷城の攻防が繰り返された。","https://ja.wikipedia.org/wiki/佐敷城_(肥後国)","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","北緯32度18分11.0秒 東経130度30分58.7秒","佐敷城熊本市佐敷城の位置（熊本県）","","","国の史跡","曲輪、石垣","1588年（天正16年）","加藤清正","1615年（元和元年）","山城","","","","加藤重次","","佐敷花岡城","","","",""
