"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","面積","分類","運営者","公式サイト","外部リンク","法人番号","国","地方","総人口","人口密度","駐車場","開園","都道府県","市町村コード","隣接自治体","設備・遊具","市長","事務所"
"本荘公園","[13本荘公園市立総合公園秋田県由利本荘市本荘城] 本荘公園 （ほんじょうこうえん）は、 秋田県 由利本荘市 にある 公園 である。 大正 時代に 本荘城 の跡地に整備された。 1952年 （昭和27年）6月20日に本荘公園は秋田魁新報社主催の第一回秋田県観光三十景(有効投票約百九十五万票)では第29位(三万三千六百七十二票)に選出された。","https://ja.wikipedia.org/wiki/本荘公園","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯39度23分5秒東経140度2分51秒","日本秋田県由利本荘市出戸町尾崎","147,000m2","総合公園","由利本荘市","本荘公園- 由利本荘市","","","","","","","","","","","","温水プール、野球場、温泉、復元城門","","由利本荘市都市計画課"
"鶴岡公園","[14鶴岡公園市立総合公園山形県鶴岡市鶴ヶ岡城] 鶴岡公園 （つるおかこうえん）は、 山形県 鶴岡市 にある 公園 。","https://ja.wikipedia.org/wiki/鶴岡公園","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯38度43分41.4秒 東経139度49分31.5秒","","","","","","","","","","","","","","","","","","",""
"日和山公園 (酒田市)","[15日和山公園市立近隣公園山形県酒田市酒田港] 日和山公園 (ひよりやまこうえん)は、 山形県 酒田市 にある 公園 。 日本の都市公園100選 、 日本の歴史公園100選 のひとつ。","https://ja.wikipedia.org/wiki/日和山公園_(酒田市)","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯38度55分8.9秒東経139度49分40.8秒","山形県酒田市南新町一丁目127番外","","都市公園","","公式サイト","","","","","","","あり（63台）","","","","","","",""
"福島県","[16鶴ヶ城公園市立総合公園福島県会津若松市若松城] 面積 は 北海道 、 岩手県 に次ぐ全国3位、 都道府県別の人口 は全国21位、 人口密度 は全国40位である（いずれも 2015年 10月1日 時点の 国勢調査 および全国都道府県市区町村別面積調による）。","https://ja.wikipedia.org/wiki/福島県","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯37度45分1秒東経140度28分3.9秒","〒960-8670福島県福島市杉妻町2番16号北緯37度45分1秒東経140度28分3.9秒﻿ / ﻿北緯37.75028度 東経140.467750度﻿ /37.75028; 140.467750","13,783.90km2","","","","公式ウェブサイト","7000020070009","日本","東北地方","1,808,992人（推計人口、2021年6月1日）","131人/km2","","","","","","","",""
"開成山公園","[17開成山公園市立総合公園福島県郡山市開成山開拓地] 開成山公園 （かいせいざんこうえん）は、 福島県 郡山市 にある 都市公園 （総合公園）である  。","https://ja.wikipedia.org/wiki/開成山公園","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯37度23分53秒東経140度21分29秒","日本福島県郡山市開成一丁目","30.3ha","都市公園（総合公園）","郡山市","開成山公園","","","","","","","448台","1972年（昭和47年）3月31日","","","","スポーツ施設・音楽ホール","","開成山公園管理事務所"
"麓山公園","[18麓山公園市立近隣公園福島県郡山市共楽園] 麓山公園 （はやまこうえん）は、 福島県 郡山市 にある 都市公園 （近隣公園）である  。 日本の歴史公園100選 に選定されている。","https://ja.wikipedia.org/wiki/麓山公園","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯37度23分38.5秒東経140度22分31.1秒","日本福島県郡山市","2.2ha","都市公園（近隣公園）","郡山市","郡山市サイト - 麓山公園","","","","","","","","1965年（昭和40年）4月1日","","","","池、遊具、日陰棚、四阿、植栽、水飲み、麓山の滝、ゆったりトイレ","",""
"白河市","[19城山公園市立総合公園福島県白河市白河小峰城] 白河市 （しらかわし）は、 福島県 中通り 南部に位置する 市 。","https://ja.wikipedia.org/wiki/白河市","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯37度7分34.7秒東経140度12分39.3秒","〒961-8602福島県白河市八幡小路7番地1北緯37度7分34.7秒東経140度12分39.3秒﻿ / ﻿北緯37.126306度 東経140.210917度﻿ /37.126306; 140.210917","305.32km2","","","","公式ウェブサイト","9000020072052","日本","東北地方","58,787人（推計人口、2021年6月1日）","193人/km2","","","福島県","07205-2","西白河郡矢吹町、西郷村、泉崎村、中島村、東白川郡棚倉町、石川郡石川町、浅川町、岩瀬郡天栄村栃木県那須郡那須町","","鈴木和夫",""
"馬陵公園","[20馬陵公園市立総合公園福島県相馬市相馬中村城] 馬陵公園 （ばりょうこうえん）は、 福島県 相馬市 にある 公園 である。 相馬中村城 の 城跡 を整備した公園であり、 日本の歴史公園100選 に選ばれている。","https://ja.wikipedia.org/wiki/馬陵公園","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","","日本福島県相馬市中村字北町140","14.7ha","都市公園（歴史公園）","相馬市","","","","","","","","有り（無料）","","","","","広場、自然散策林、トイレ、ベンチ","",""
"二本松市","[21霞ヶ城公園県立総合公園福島県二本松市二本松城] 二本松市 （にほんまつし）は、 福島県 中通り 北部に位置する 市 。","https://ja.wikipedia.org/wiki/二本松市","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯37度35分5.5秒東経140度25分52.2秒","〒964-8601福島県二本松市金色403番地1北緯37度35分5.5秒東経140度25分52.2秒﻿ / ﻿北緯37.584861度 東経140.431167度﻿ /37.584861; 140.431167","344.42km2","","","","公式ウェブサイト","2000020072109","日本","東北地方","54,203人（推計人口、2021年6月1日）","157人/km2","","","福島県","07210-9","福島市、郡山市、田村市、本宮市、双葉郡浪江町、葛尾村、伊達郡川俣町、安達郡大玉村、田村郡三春町、耶麻郡猪苗代町","","三保恵一",""
"茨城県","[22弘道館公園県立歴史公園茨城県水戸市弘道館] 都道府県人口 は全国11位、 面積 は全国24位である。","https://ja.wikipedia.org/wiki/茨城県","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯36度20分30.2秒東経140度26分48.6秒","〒310-8555茨城県水戸市笠原町978番地6北緯36度20分30.2秒東経140度26分48.6秒﻿ / ﻿北緯36.341722度 東経140.446833度﻿ /36.341722; 140.446833","6,097.19km2","","","","公式ウェブサイト","2000020080004","日本","関東地方","2,843,788人（推計人口、2021年6月1日）","466人/km2","","","","","","","",""
"宇都宮城址公園","[23宇都宮城址公園市立地区公園栃木県宇都宮市宇都宮城] 宇都宮城址公園 （うつのみやじょうしこうえん）は、 栃木県 宇都宮市 本丸町にある宇都宮市立の 都市公園 （地区公園）である  。旧称は御本丸公園（ごほんまるこうえん）。総面積約3.7万 m 2 、災害時避難場所に位置づけられ、防災公園にも指定されている。管轄は宇都宮市 都市計画部 公園緑地課。","https://ja.wikipedia.org/wiki/宇都宮城址公園","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯36度33分16秒東経139度53分09秒","日本栃木県宇都宮市本丸町","3.7ha","都市公園（地区公園）","宇都宮市","宇都宮市. “宇都宮城址公園・清明館”. 2017年7月25日閲覧。","","","","","","","","","","","","城址、緑地等","",""
"日光田母沢御用邸記念公園","[24栃木県日光田母沢御用邸記念公園市立歴史公園栃木県日光市田母沢御用邸] 日光田母沢御用邸記念公園 （にっこうたもざわごようていきねんこうえん）は、 栃木県 日光市 にある栃木県立の都市公園（歴史公園）である。元は 皇太子 時代の 大正天皇 の静養所として造営された旧 御用邸 の建物と庭園を公園として整備し一般公開している。 明治 期以降に数多く造られた御用邸建築のうち、全体がほぼ完存する唯一の例として貴重であり、建造物群は国の 重要文化財 に指定されている。","https://ja.wikipedia.org/wiki/日光田母沢御用邸記念公園","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯36度45分9秒東経139度35分29秒","栃木県日光市本町","","都市公園（歴史公園）","栃木県（指定管理者：公益財団法人栃木県民公園福祉協会）","指定管理者のサイト","","","","","","","","","","","","","","日光田母沢御用邸記念公園管理事務所"
"上毛野はにわの里公園","[25上毛野はにわの里公園市立歴史公園群馬県高崎市保渡田古墳群] 上毛野はにわの里公園 （かみつけのはにわのさとこうえん   ）は、 群馬県 高崎市 に位置する 歴史公園 である。","https://ja.wikipedia.org/wiki/上毛野はにわの里公園","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯36度22分44秒東経138度59分10秒","日本群馬県高崎市保渡田町2000-1","12.9ha","歴史公園","高崎市","公式ホームページ","","","","","","","","","","","","古墳、水流、歌碑、四阿","",""
"太田市","[26西山公園市立風致公園群馬県太田市新田金山城] 太田市 （おおたし）は、 関東地方 の北部、 群馬県 南部の 東毛 地区にある 市 。","https://ja.wikipedia.org/wiki/太田市","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯36度17分28.1秒東経139度22分31.4秒","〒373-8718群馬県太田市浜町2番35号北緯36度17分28.1秒東経139度22分31.4秒﻿ / ﻿北緯36.291139度 東経139.375389度﻿ /36.291139; 139.375389座標:北緯36度17分28.1秒東経139度22分31.4秒﻿ / ﻿北緯36.291139度 東経139.375389度﻿ /36.291139; 139.375389","175.54km2","","","","公式ウェブサイト","7000020102059","日本","関東地方","220,842人（推計人口、2021年6月1日）","1,258人/km2","","","群馬県","10205-9","伊勢崎市、桐生市、みどり市、邑楽郡大泉町、邑楽町栃木県足利市埼玉県：熊谷市、深谷市","","清水聖義",""
"沼田公園","[27沼田公園市立総合公園群馬県沼田市沼田城] 沼田公園 （ぬまたこうえん）は、 群馬県 沼田市 西倉内町 に所在する 総合公園 である。 沼田城 跡に開設され、 日本の歴史公園100選 に選定されている。","https://ja.wikipedia.org/wiki/沼田公園","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯36度38分54.3秒東経139度2分24.4秒","日本群馬県沼田市","102,284m2","総合公園","","","","","","","","","正面駐車場と東駐車場の2か所、計普通車78台、大型7台","1956年（昭和31年）10月15日","","","","","",""
"つつじが岡公園","[28つつじが岡公園市立総合公園群馬県館林市館林城] つつじが岡公園 （つつじがおかこうえん）は、 群馬県 館林市 にある 総合公園 （都市公園）である。 日本の歴史公園100選 に選ばれている  。","https://ja.wikipedia.org/wiki/つつじが岡公園","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯36度14分33.2秒東経139度33分11.1秒","日本群馬県館林市","49,890m2","総合公園","財団法人群馬県公園緑地協会","館林市つつじが岡公園ガイド","","","","","","","","","","","","","","つつじが岡公園管理事務所"
"道の駅月夜野矢瀬親水公園","[29矢瀬親水公園町立特殊公園群馬県みなかみ町矢瀬遺跡] 道の駅月夜野矢瀬親水公園 （みちのえき つきよのやぜしんすいこうえん）は、 群馬県 利根郡 みなかみ町 にある 群馬県道61号沼田水上線 の 道の駅 である。","https://ja.wikipedia.org/wiki/道の駅月夜野矢瀬親水公園","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯36度41分51秒東経138度58分53秒","〒379-1313群馬県利根郡みなかみ町月夜野2936","","","","","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","","","","","","","","","","","","",""
"見沼通船堀公園","[30見沼通船堀公園市立総合公園埼玉県さいたま市見沼通船堀] 見沼通船堀公園 （みぬまつうせんぼりこうえん）は、 さいたま市 緑区 大間木 にある 総合公園  および 緑地 である。さいたま公園緑地協会が運営している。 日本の歴史公園100選 に選ばれている。","https://ja.wikipedia.org/wiki/見沼通船堀公園","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","","","","","","","","","","","","","","","","","","","",""
"さきたま古墳公園","[31さきたま古墳公園県立広域公園埼玉県行田市埼玉古墳群] さきたま古墳公園 （さきたまこふんこうえん）は、 埼玉県 行田市 に位置する埼玉県営の 都市公園 （広域公園）である  。","https://ja.wikipedia.org/wiki/さきたま古墳公園","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯36度07分42秒東経139度28分46秒","日本埼玉県行田市大字佐間、渡柳、樋上、堤根、埼玉","37.4ha（計画：97.0ha）","都市公園（広域公園）","埼玉県","埼玉県のサイト","","","","","","","あり","1976年（昭和51年）4月1日","","","","","",""
"富士見市","[32水子貝塚公園市立歴史公園埼玉県富士見市水子貝塚] 富士見市 （ふじみし）は、 埼玉県 の南東部  に位置する 市 。","https://ja.wikipedia.org/wiki/富士見市","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯35度51分23.6秒東経139度32分57秒","〒354-8511埼玉県富士見市大字鶴馬1800番地1北緯35度51分23.6秒東経139度32分57秒﻿ / ﻿北緯35.856556度 東経139.54917度﻿ /35.856556; 139.54917","19.77km2","","","","公式ウェブサイト","6000020112356","日本","関東地方","110,516人（推計人口、2021年6月1日）","5,590人/km2","","","埼玉県","11235-6","さいたま市、ふじみ野市、川越市、志木市、入間郡三芳町","","星野光弘",""
"寄居町","[33鉢形城公園町立特殊公園埼玉県寄居町鉢形城] 寄居町 （よりいまち）は、 埼玉県 の北西部に位置し、 大里郡 に属する 町 。","https://ja.wikipedia.org/wiki/寄居町","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯36度7分6秒東経139度11分34.7秒","〒369-1292埼玉県大里郡寄居町大字寄居1180番地1北緯36度7分6秒東経139度11分34.7秒﻿ / ﻿北緯36.11833度 東経139.192972度﻿ /36.11833; 139.192972座標:北緯36度7分6秒東経139度11分34.7秒﻿ / ﻿北緯36.11833度 東経139.192972度﻿ /36.11833; 139.192972","64.25km2","","","","公式ウェブサイト","4000020114081","日本","関東地方","31,818人（推計人口、2021年6月1日）","495人/km2","","","埼玉県","11408-1","深谷市、児玉郡美里町、比企郡嵐山町、小川町、秩父郡皆野町、長瀞町、東秩父村","","",""
"千葉県","[34加曽利貝塚公園市立歴史公園千葉県千葉市加曽利貝塚] 首都圏 を構成し、 都道府県人口 ・ 人口密度 は第6位  、 面積 は第28位の規模である。県の 財政力指数 は全国第5位  、訪日旅客数は全国第3位  であり、 中心業務地区 の 幕張新都心 、 アジア地域 有数の 国際見本市 会場である 幕張メッセ 、国際線旅客数・就航都市数・貿易額で 日本一 の 成田国際空港 、日本三大港湾である東京港湾の一角を担う 千葉港 、水揚げ量日本一で日本三大漁港の 銚子漁港 、集客施設来場者数日本一の ディズニーリゾート 、日本で唯一 国際標準模式層断面及び地点 に認定され、 チバニアン（千葉時代） として地質年代の名称になる証拠となった地層 千葉セクション 、日本一の数を有する 海水浴場 、自然豊かな 南房総国定公園 ・ 水郷筑波国定公園 などを筆頭とした 観光 ・ リゾート地 、優れた 社会基盤 、豊かな 地域資源 、バランスの取れた 産業構造 を核としている  。 学区別平均年収 の最も高い 地域 は 千葉市立打瀬小学校 の学区で1064万円である。","https://ja.wikipedia.org/wiki/千葉県","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯35度36分16.4秒東経140度7分23.3秒","〒260-8667千葉県千葉市中央区市場町1番1号北緯35度36分16.4秒東経140度7分23.3秒﻿ / ﻿北緯35.604556度 東経140.123139度﻿ /35.604556; 140.123139","5,157.61km2（境界未定部分あり）","","","","千葉県","4000020120006","日本","関東地方","6,278,933人（推計人口、2021年6月1日）","1,217人/km2","","","","","","","",""
"館山市","[35城山公園市立総合公園千葉県館山市館山城] 館山市 （たてやまし）は、 千葉県 の南部に位置する 市 。","https://ja.wikipedia.org/wiki/館山市","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯34度59分47.7秒東経139度52分11.9秒","〒294-8601千葉県館山市北条 1145-1北緯34度59分47.7秒東経139度52分11.9秒﻿ / ﻿北緯34.996583度 東経139.869972度﻿ /34.996583; 139.869972","110.05km2","","","","公式ウェブサイト","5000020122050","日本","関東地方","44,418人（推計人口、2021年6月1日）","404人/km2","","","千葉県","12205-0","南房総市（海上を隔てて隣接）東京都大島町（館山港から東海汽船の航路が出ている）静岡県伊東市","","金丸謙一",""
"松戸市","[36戸定が丘歴史公園市立歴史公園千葉県松戸市戸定邸] 松戸市 （まつどし）は、 千葉県 の北西部に位置する 市 。","https://ja.wikipedia.org/wiki/松戸市","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯35度47分15.5秒東経139度54分11.4秒","〒271-8588千葉県松戸市根本387番地5北緯35度47分15.5秒東経139度54分11.4秒﻿ / ﻿北緯35.787639度 東経139.903167度﻿ /35.787639; 139.903167","61.38km2","","","","公式ウェブサイト","4000020122076","日本","関東地方","492,667人（推計人口、2021年6月1日）","8,027人/km2","","","千葉県","12207-6","市川市、柏市、流山市、鎌ケ谷市東京都：江戸川区、葛飾区埼玉県：三郷市","","本郷谷健次",""
"成田市","[37三里塚記念公園市立地区公園千葉県成田市宮内庁下総御料牧場] 成田市 （なりたし）は、 千葉県 の北部中央に位置する 市 。","https://ja.wikipedia.org/wiki/成田市","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯35度46分36秒東経140度19分6秒","〒286-8585千葉県成田市花崎町760番地北緯35度46分36秒東経140度19分6秒﻿ / ﻿北緯35.77667度 東経140.31833度﻿ /35.77667; 140.31833","213.84km2","","","","成田市","8000020122114","日本","関東地方","130,428人（推計人口、2021年6月1日）","610人/km2","","","千葉県","12211-4","印西市、富里市、香取市印旛郡：酒々井町、栄町香取郡：多古町、神崎町山武郡：芝山町茨城県：稲敷郡河内町","","小泉一成",""
"佐倉市","[38佐倉城址公園市立歴史公園千葉県佐倉市佐倉城] 佐倉市 （さくらし）は、 千葉県 の北部に位置する 市 。","https://ja.wikipedia.org/wiki/佐倉市","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯35度43分24.5秒東経140度13分26.2秒","〒285-8501千葉県佐倉市海隣寺町97番地北緯35度43分24.5秒東経140度13分26.2秒﻿ / ﻿北緯35.723472度 東経140.223944度﻿ /35.723472; 140.223944","103.69km2","","","","公式ウェブサイト","8000020122122","日本","関東地方","168,543人（推計人口、2021年6月1日）","1,625人/km2","","","千葉県","12212-2","千葉市、四街道市、八千代市、印西市、八街市印旛郡：酒々井町","","西田三十五",""
"東京都","[39中央区立十思公園区立街区公園東京都中央区伝馬町牢屋敷] 区部 （23区）、 多摩地域 （26市と 西多摩郡 3町1村）および 島嶼部 （2町7村）からなる。関東南西部にあって東西に細長い都域を有し、東部は 東京湾 に面する  。西部は 雲取山 を最高峰とする 関東山地 となる  。","https://ja.wikipedia.org/wiki/東京都","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯35度41分22.4秒東経139度41分30.2秒","〒163-8001東京都新宿区西新宿二丁目8番1号北緯35度41分22.4秒東経139度41分30.2秒﻿ / ﻿北緯35.689556度 東経139.691722度﻿ /35.689556; 139.691722座標:北緯35度41分22.4秒東経139度41分30.2秒﻿ / ﻿北緯35.689556度 東経139.691722度﻿ /35.689556; 139.691722東京都庁舎","2,193.96km2（境界未定部分あり）","","","","公式ウェブサイト","8000020130001","日本","関東地方","13,957,977人（推計人口、2021年6月1日）","6,362人/km2","","","","","","","",""
"飛鳥山公園","[40北区立飛鳥山公園区立風致公園東京都北区飛鳥山公園] 飛鳥山公園 （あすかやまこうえん）は、 東京都 北区 にある区立 公園 。東京都内の 桜 の名所の1つ。 江戸 享保 期に行楽地として整備され、 明治 6年（ 1873年 ）3月には日本最初の公園の一つに指定された。園内に残る 渋沢栄一 の旧邸の遺構は国の 重要文化財 に指定されている。","https://ja.wikipedia.org/wiki/飛鳥山公園","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯35度45分2.02秒東経139度44分20.00秒","東京都北区王子1-1-3","73,000 m2","都市公園","","","","","","","","","普通車21台、障害者用2台、大型車輌4台","","","","","博物館、庭園、野外ステージ、児童公園、噴水","",""
"新宿御苑","[41新宿御苑環境省国民公園東京都新宿区・渋谷区新宿植物御苑] 新宿御苑 （しんじゅくぎょえん）は、 東京都 新宿区 と 渋谷区 に跨がる 環境省 所管の 庭園 である。","https://ja.wikipedia.org/wiki/新宿御苑","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯35度41分7秒東経139度42分35秒","日本東京都新宿区、渋谷区","58.3 ha","国民公園","環境省","公式ホームページ","","","","","","","200台","1906年（明治39年）5月","","","","日本庭園、旧洋館御休所、旧御涼亭","","環境省新宿御苑管理事務所"
"甘泉園公園","[42甘泉園公園区立歴史公園東京都新宿区甘泉園] 元々当地は 徳川 御三卿 の一つ・ 清水家 の下屋敷があったところで、当公園は屋敷にあった回遊式の 大名庭園 であった。当地から湧き出ていた湧き水がお茶に適して評判であったことから、「甘泉園」と呼ばれていた。 明治時代 には相馬子爵家の邸宅になったが、昭和13年に近隣にある 早稲田大学 の施設となった。戦後は 東京都 に売却されて都立公園となったが、1969年に新宿区の管轄となって現在に至る。","https://ja.wikipedia.org/wiki/甘泉園公園","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯35度42分42秒 東経139度42分59秒","","","","","","","","","","","","","","","","","","",""
"文京区","[43新江戸川公園東京都文京区肥後細川庭園] 文京区 （ぶんきょうく）は、 東京都 の 区部 中心部近くに位置する 特別区  。","https://ja.wikipedia.org/wiki/文京区","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯35度42分28.8秒東経139度45分8.1秒","〒112-8555東京都文京区春日一丁目16番21号北緯35度42分28.8秒東経139度45分8.1秒﻿ / ﻿北緯35.708000度 東経139.752250度﻿ /35.708000; 139.752250座標:北緯35度42分28.8秒東経139度45分8.1秒﻿ / ﻿北緯35.708000度 東経139.752250度﻿ /35.708000; 139.752250","11.29km2","","","","文京区","6000020131059","日本","関東地方","236,239人（推計人口、2021年6月1日）","20,925人/km2","","","東京都","13105-9","新宿区、千代田区、台東区、豊島区、北区、荒川区","","",""
"薬師池公園","[44町田市立薬師池公園市立風致公園東京都町田市薬師池] 薬師池公園 （やくしいけこうえん）は、 東京都 町田市 野津田町 の暖沢（ぬくざわ）地域にある町田市立の 都市公園 （特殊公園）。 新東京百景 、 日本の歴史公園100選 に選定、 東京都指定名勝 に指定されている。公園の中央部より東側に 薬師池 がある。","https://ja.wikipedia.org/wiki/薬師池公園","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯35度34分44秒東経139度26分52秒","日本東京都町田市野津田町3270","141,654.28m2","都市公園（特殊公園）","町田市","町田市のサイト","","","","","","","あり","1976年（昭和51年）4月1日","","","","#主な施設を参照","",""
"国分寺市","[45国分寺市立歴史公園市立歴史公園東京都国分寺市武蔵国分寺跡] 国分寺市 （こくぶんじし）は、 東京都 の 多摩地域 中部に位置する 市 。","https://ja.wikipedia.org/wiki/国分寺市","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯35度42分39.4秒東経139度27分43.8秒","〒185-8501東京都国分寺市戸倉一丁目6番地1北緯35度42分39.4秒東経139度27分43.8秒﻿ / ﻿北緯35.710944度 東経139.462167度﻿ /35.710944; 139.462167","11.46km2","","","","国分寺市","1000020132144","日本","関東地方","130,381人（推計人口、2021年6月1日）","11,377人/km2","","","東京都","13214-4","府中市、国立市、立川市、小平市、小金井市","","井澤邦夫",""
"横浜公園","[46横浜公園市立総合公園神奈川県横浜市港崎遊郭] 横浜公園 （よこはまこうえん、 Yokohama Park ）は、 神奈川県 横浜市 中区 にある 公園 および地名（郵便番号は231-0022）。旧 横浜市役所 に隣接し、敷地内に 横浜DeNAベイスターズ が本拠地としている 横浜スタジアム がある。 面積 は約63,800m 2 。市内では 山手公園 の次に古い 西洋 式公園で、 日本人 にも開放されていたものとしては日本最古。","https://ja.wikipedia.org/wiki/横浜公園","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯35度26分40秒東経139度38分25秒","日本神奈川県横浜市中区横浜公園","63,787m2","都市公園（総合公園）","横浜市","横浜公園（横浜市HP）","","","","","","","なし（日本大通り地下駐車場を利用）","1876年（明治9年）9月","","","","横浜スタジアム","","環境創造局 南部公園緑地事務所 都心部公園担当"
"元町公園 (横浜市)","[47元町公園、市立近隣公園神奈川県横浜市山手の洋館街] 元町公園 （もとまちこうえん）は、 神奈川県 横浜市 中区 元町 にある 都市公園 である。元町商店街から 山手 にかけての 谷戸 と呼ばれる地形に位置し、西洋館やプール、弓道場などが配置されている。","https://ja.wikipedia.org/wiki/元町公園_(横浜市)","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯35度26分17.65秒東経139度39分4.61秒","日本神奈川県横浜市中区元町1-77-4","23,399m2","都市公園（近隣公園）","横浜市緑の協会（指定管理者）","http://www.hama-midorinokyokai.or.jp/park/motomachi/","","","","","","","","1930年","","","","プール、弓道場","","横浜市役所環境創造局 南部公園緑地事務所 都心部公園担当"
"港の見える丘公園","[港の見える丘公園、市立風致公園] 港の見える丘公園 （みなとのみえるおかこうえん）は、 神奈川県 横浜市 中区 山手町 114にある 都市公園 （ 風致公園 ）。","https://ja.wikipedia.org/wiki/港の見える丘公園","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯35度26分23.6秒東経139度39分18.0秒","日本神奈川県横浜市中区山手町114","5.7ha","都市公園（風致公園）","横浜市","横浜市環境創造局","","","","","","","17台（有料）","1962年（昭和37年）10月","","","","","","環境創造局 南部公園緑地事務所 都心部公園担当"
"山手イタリア山庭園","[山手イタリア山庭園、市立近隣公園] 山手イタリア山庭園 （やまてイタリアやまていえん）は、 横浜市 中区 の 山手 地区にある 庭園 。 1880年 （明治13年）から 1886年 まで イタリア 領事館 が置かれたことから、イタリア山と呼ばれている。水路や 花壇 を 幾何学 式に配した イタリア式庭園 で、 1993年 にはブラフ18番館、 1997年 には外交官の家が移築された。花壇には、バラの季節には 姉妹都市 の リヨン 市から贈られたプレステージ・ドゥ・リヨンが咲く。","https://ja.wikipedia.org/wiki/山手イタリア山庭園","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯35度26分12.2秒東経139度38分36.8秒","日本横浜市中区山手町16","13,286m2","都市公園（近隣公園）","横浜市（指定管理者：横浜市緑の協会）","横浜市緑の協会","","","","","","","","1998年6月25日","","","","","","環境創造局 南部公園緑地事務所 都心部公園担当"
"山手公園","[山手公園市立近隣公園] 山手公園 （やまてこうえん）は、 横浜市 中区 の公園。 日本初の 洋風 公共庭園（洋風公園は 東遊園地 が最初）であり、日本における テニス 発祥の地としても知られる。","https://ja.wikipedia.org/wiki/山手公園","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯35度26分4.5秒東経139度38分56.4秒","日本神奈川県横浜市中区山手町230","27,753m2","都市公園(近隣公園)","横浜市","山手公園公式サイト","","","","","","","20台(有料)","1870年（明治3年）5月","","","","","","環境創造局 南部公園緑地事務所 都心部公園担当"
