"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","位置","標高","山系","種類","初登頂","最新噴火","最高峰","上位山系","山号","宗派","本尊","創建年","正式名","札所等","延長","幅","開基","寺格"
"宝永山","[▲宝永山] 宝永山 （ほうえいざん）は 宝永 4年（ 1707年 ）の 宝永大噴火 で誕生した、 富士山 最大の 側火山 である。標高は2,693  m 。この宝永の大噴火以降は噴火していないため、この宝永山が富士山の最新の側火山になる。","https://ja.wikipedia.org/wiki/宝永山","日本の山一覧","https://ja.wikipedia.org/wiki/日本の山一覧","箇条書き,制限あり","北緯35度20分38秒東経138度45分08秒","静岡県御殿場市","北緯35度20分38秒東経138度45分08秒﻿ / ﻿北緯35.34389度 東経138.75222度﻿ /35.34389; 138.75222座標:北緯35度20分38秒東経138度45分08秒﻿ / ﻿北緯35.34389度 東経138.75222度﻿ /35.34389; 138.75222","2,693m","富士山","側火山","","","","","","","","","","","","","",""
"愛鷹山","[▲愛鷹山] 愛鷹山 （あしたかやま）は 静岡県 の東部にある 山 。 富士山 の南隣に位置する 火山 である。最高峰は標高1504.2mの 越前岳 。狭義には南方にある1,187.5mの愛鷹山峰を指す。愛鷹山塊や愛鷹連峰とも呼ばれることがある。 日本二百名山 の1つ。","https://ja.wikipedia.org/wiki/愛鷹山","日本の山一覧","https://ja.wikipedia.org/wiki/日本の山一覧","箇条書き,制限あり","北緯35度13分0秒東経138度48分0秒","静岡県富士市・沼津市長泉町・裾野市","北緯35度13分0秒東経138度48分0秒﻿ / ﻿北緯35.21667度 東経138.80000度﻿ /35.21667; 138.80000座標:北緯35度13分0秒東経138度48分0秒﻿ / ﻿北緯35.21667度 東経138.80000度﻿ /35.21667; 138.80000","越前岳: 1504.2m","独立峰","成層火山","","","","","","","","","","","","","",""
"経ヶ岳 (長野県)","[経ヶ岳] 経ヶ岳 （きょうがたけ）は、 木曽山脈 （中央アルプス）の北端にある 標高 2,296 m の 山 である。山頂には 石仏 や 石塔 が祀られている。 “経”のつく山 では日本 最高峰 。  日本二百名山","https://ja.wikipedia.org/wiki/経ヶ岳_(長野県)","日本の山一覧","https://ja.wikipedia.org/wiki/日本の山一覧","箇条書き,制限あり","北緯35度54分46秒東経137度51分46秒","長野県塩尻市上伊那郡辰野町、南箕輪村","北緯35度54分46秒東経137度51分46秒﻿ / ﻿北緯35.91278度 東経137.86278度﻿ /35.91278; 137.86278","2,296.25m","木曽山脈","","","","","","","","","","","","","","",""
"木曽駒ヶ岳","[木曽駒ヶ岳- 日本百名山（木曽山脈の最高峰）] 木曽駒ヶ岳 （きそこまがたけ）は 長野県 上松町 ・ 木曽町 ・ 宮田村 の境界にそびえる 標高 2,956 m の 山 で、 木曽山脈 （中央アルプス）の最高峰。 日本百名山  、 新日本百名山  、 花の百名山  に選定されている。 木曾駒ヶ岳 とも表記され、また略して 木曽駒 と呼ばれる事もある。","https://ja.wikipedia.org/wiki/木曽駒ヶ岳","日本の山一覧","https://ja.wikipedia.org/wiki/日本の山一覧","箇条書き,制限あり","北緯35度47分22秒東経137度48分16秒","長野県木曽郡上松町・木曽町上伊那郡宮田村","北緯35度47分22秒東経137度48分16秒﻿ / ﻿北緯35.78944度 東経137.80444度﻿ /35.78944; 137.80444","2,955.95m","木曽山脈（中央アルプス）","","","","","","","","","","","","","","",""
"空木岳","[空木岳（うつぎだけ） - 日本百名山] 空木岳 （うつぎだけ）は 長野県 駒ヶ根市 、 飯島町 、 大桑村 にまたがる 標高 2,864 m の 山 。 木曽駒ヶ岳 山群以外では 木曽山脈 （中央アルプス）で最も標高の高い山であり、 日本百名山 に選定されている。","https://ja.wikipedia.org/wiki/空木岳","日本の山一覧","https://ja.wikipedia.org/wiki/日本の山一覧","箇条書き,制限あり","北緯35度43分08秒東経137度49分02秒","日本長野県駒ヶ根市・上伊那郡飯島町木曽郡大桑村","北緯35度43分08秒東経137度49分02秒﻿ / ﻿北緯35.71889度 東経137.81722度﻿ /35.71889; 137.81722","2,863.98m","木曽山脈","隆起（花崗岩）、圏谷（東面）","","","","","","","","","","","","","",""
"南駒ヶ岳","[南駒ヶ岳] 南駒ヶ岳 （みなみこまがたけ）は、 長野県 の 木曽山脈 にある 標高 2,841 m の 山 。 日本二百名山 に選定されている。","https://ja.wikipedia.org/wiki/南駒ヶ岳","日本の山一覧","https://ja.wikipedia.org/wiki/日本の山一覧","箇条書き,制限あり","北緯35度42分05秒東経137度48分39秒","日本長野県上伊那郡飯島町木曽郡大桑村","北緯35度42分05秒東経137度48分39秒﻿ / ﻿北緯35.70139度 東経137.81083度﻿ /35.70139; 137.81083座標:北緯35度42分05秒東経137度48分39秒﻿ / ﻿北緯35.70139度 東経137.81083度﻿ /35.70139; 137.81083","2,841m","木曽山脈","","","","","","","","","","","","","","",""
"越百山","[越百山（こすもやま）] 越百山 （こすもやま）は、 長野県 上伊那郡 飯島町 と 木曽郡 大桑村 にまたがる 標高 2,614 m の 山   。北には 南駒ヶ岳 、南は 奥念丈岳 へと続く 木曽山脈 （中央アルプス）南部の主稜線上にある。別名が越百岳（こすもだけ）   。","https://ja.wikipedia.org/wiki/越百山","日本の山一覧","https://ja.wikipedia.org/wiki/日本の山一覧","箇条書き,制限あり","北緯35度40分46秒東経137度48分12秒","日本長野県上伊那郡飯島町、木曽郡大桑村","北緯35度40分46秒東経137度48分12秒﻿ / ﻿北緯35.67944度 東経137.80333度﻿ /35.67944; 137.80333座標:北緯35度40分46秒東経137度48分12秒﻿ / ﻿北緯35.67944度 東経137.80333度﻿ /35.67944; 137.80333","2,613.24m","木曽山脈（中央アルプス）","褶曲・隆起","","","","","","","","","","","","","",""
"安平路山","[安平路山（あんぺいじやま）] 安平路山 （あんぺいじやま）は、 長野県 飯田市 と 大桑村 にまたがる 木曽山脈 （中央アルプス）南部にある主稜線上の 標高 2,363 m の 山 。 日本二百名山 に選定されている。","https://ja.wikipedia.org/wiki/安平路山","日本の山一覧","https://ja.wikipedia.org/wiki/日本の山一覧","箇条書き,制限あり","北緯35度37分50秒東経137度46分28秒","日本長野県飯田市、木曽郡大桑村","北緯35度37分50秒東経137度46分28秒﻿ / ﻿北緯35.63056度 東経137.77444度﻿ /35.63056; 137.77444座標:北緯35度37分50秒東経137度46分28秒﻿ / ﻿北緯35.63056度 東経137.77444度﻿ /35.63056; 137.77444","2,363.14m","木曽山脈","","","","","","","","","","","","","","",""
"恵那山","[恵那山- 日本百名山] 恵那山 （えなさん）(胞衣山・胞山）は 長野県 阿智村 と 岐阜県 中津川市 にまたがる、 木曽山脈 （中央アルプス）の最南端の 標高 2,191 m の 山 である  。 日本百名山  及び 新・花の百名山  に選定されている。岐阜県は 胞山県立自然公園 に指定している。","https://ja.wikipedia.org/wiki/恵那山","日本の山一覧","https://ja.wikipedia.org/wiki/日本の山一覧","箇条書き,制限あり","北緯35度26分37秒東経137度35分50秒","日本長野県下伊那郡阿智村岐阜県中津川市","北緯35度26分37秒東経137度35分50秒﻿ / ﻿北緯35.44361度 東経137.59722度﻿ /35.44361; 137.59722座標:北緯35度26分37秒東経137度35分50秒﻿ / ﻿北緯35.44361度 東経137.59722度﻿ /35.44361; 137.59722","2,191m","木曽山脈","","","","","","","","","","","","","","",""
"南木曽岳","[南木曽岳（なぎそだけ）] 南木曽岳 （なぎそだけ）は、 木曽山脈（中央アルプス） 南西部、 長野県 南木曽町 にある 標高 1,679 m  の 山 。 日本三百名山 に選定されていて  、長野県の「県自然環境保全地域」の指定を受けている山である   。","https://ja.wikipedia.org/wiki/南木曽岳","日本の山一覧","https://ja.wikipedia.org/wiki/日本の山一覧","箇条書き,制限あり","北緯35度35分33秒東経137度38分39秒","長野県木曽郡南木曽町","北緯35度35分33秒東経137度38分39秒﻿ / ﻿北緯35.59250度 東経137.64417度﻿ /35.59250; 137.64417座標:北緯35度35分33秒東経137度38分39秒﻿ / ﻿北緯35.59250度 東経137.64417度﻿ /35.59250; 137.64417","1,679m","木曽山脈（中央アルプス）","隆起（花崗岩）","","","","","","","","","","","","","",""
"身延山","[身延山] 身延山 （みのぶさん）は 山梨県 南巨摩郡 身延町 と 早川町 の境にある 山 である。標高1,153m。また同地にある 日蓮宗 総本山 久遠寺 の 山号 でもあり、 日本仏教三大霊山 の一つという別名としてもよく用いられる。","https://ja.wikipedia.org/wiki/身延山","日本の山一覧","https://ja.wikipedia.org/wiki/日本の山一覧","箇条書き,制限あり","北緯35度23分51秒東経138度24分59秒","山梨県南巨摩郡身延町・早川町","北緯35度23分51秒東経138度24分59秒﻿ / ﻿北緯35.39750度 東経138.41639度﻿ /35.39750; 138.41639","1,153m","身延山地","","","","","","","","","","","","","","",""
"七面山","[七面山] 七面山 （しちめんさん）は 山梨県 南巨摩郡 にある1,989mの 山 。 三角点 は1,982.4m  。 日本二百名山 の一つに選定されている。","https://ja.wikipedia.org/wiki/七面山","日本の山一覧","https://ja.wikipedia.org/wiki/日本の山一覧","箇条書き,制限あり","北緯35度22分14秒東経138度21分2秒","日本山梨県南巨摩郡身延町・早川町","北緯35度22分14秒東経138度21分2秒﻿ / ﻿北緯35.37056度 東経138.35056度﻿ /35.37056; 138.35056座標:北緯35度22分14秒東経138度21分2秒﻿ / ﻿北緯35.37056度 東経138.35056度﻿ /35.37056; 138.35056","1,989m","身延山地","","","","","","","","","","","","","","",""
"入笠山","[入笠山] 入笠山 （にゅうかさやま、にゅうがさやま）は、 長野県 の中西部にある 赤石山脈（南アルプス） 北端の標高1,955 m の 山 。","https://ja.wikipedia.org/wiki/入笠山","日本の山一覧","https://ja.wikipedia.org/wiki/日本の山一覧","箇条書き,制限あり","北緯35度53分47秒東経138度10分18秒","長野県伊那市、諏訪郡富士見町","北緯35度53分47秒東経138度10分18秒﻿ / ﻿北緯35.89639度 東経138.17167度﻿ /35.89639; 138.17167座標:北緯35度53分47秒東経138度10分18秒﻿ / ﻿北緯35.89639度 東経138.17167度﻿ /35.89639; 138.17167","1,955.10m","赤石山脈","","","","","","","","","","","","","","",""
"鋸岳 (赤石山脈)","[鋸岳] 鋸岳 （のこぎりだけ）は 赤石山脈 （南アルプス）北端に位置する 標高 2,685 メートル の 山 。 日本二百名山 および 山梨百名山  に選定されている。山頂周辺は 南アルプス国立公園 の特別保護地区に指定されている  。","https://ja.wikipedia.org/wiki/鋸岳_(赤石山脈)","日本の山一覧","https://ja.wikipedia.org/wiki/日本の山一覧","箇条書き,制限あり","北緯35度46分44秒東経138度12分36秒","日本長野県伊那市山梨県北杜市","北緯35度46分44秒東経138度12分36秒﻿ / ﻿北緯35.77889度 東経138.21000度﻿ /35.77889; 138.21000座標:北緯35度46分44秒東経138度12分36秒﻿ / ﻿北緯35.77889度 東経138.21000度﻿ /35.77889; 138.21000","2,685m","赤石山脈","","","","","","","","","","","","","","",""
"甲斐駒ヶ岳","[甲斐駒ヶ岳- 日本百名山] 甲斐駒ヶ岳 （かいこまがたけ）は、 南アルプス国立公園 内の 赤石山脈 （南アルプス）北端の 山梨県 北杜市 と 長野県 伊那市 にまたがる 標高 2,967 m の 山 である。峻険な山容をもち、半ば独立峰のような姿勢で屹立する 日本アルプス 屈指の名峰で、 日本百名山  、 新日本百名山  、 新・花の百名山  、 山梨百名山  、 信州百名山 、 日本百景 に選定されている。","https://ja.wikipedia.org/wiki/甲斐駒ヶ岳","日本の山一覧","https://ja.wikipedia.org/wiki/日本の山一覧","箇条書き,制限あり","北緯35度45分28秒東経138度14分12秒","山梨県北杜市、長野県伊那市","北緯35度45分28秒東経138度14分12秒﻿ / ﻿北緯35.75778度 東経138.23667度﻿ /35.75778; 138.23667座標:北緯35度45分28秒東経138度14分12秒﻿ / ﻿北緯35.75778度 東経138.23667度﻿ /35.75778; 138.23667","2,967m","赤石山脈","隆起（花崗岩）","1818年（小尾権三郎が開山）","","","","","","","","","","","","",""
"鳳凰三山","[鳳凰三山- 日本百名山] 鳳凰山 （ほうおうざん）は 山梨県 の南アルプス北東部にある3つの山の総称である。後述の通り、鳳凰山とはどの山を指すのか歴史的には諸説あったため、地蔵ヶ岳・観音ヶ岳・薬師ヶ岳の3山の総称として特に 鳳凰三山 とも呼ばれる。 南アルプス国立公園 内にあり、 日本百名山  、 新日本百名山  、 新・花の百名山  および 山梨百名山  に選定されている。","https://ja.wikipedia.org/wiki/鳳凰三山","日本の山一覧","https://ja.wikipedia.org/wiki/日本の山一覧","箇条書き,制限あり","北緯35度42分06秒東経138度18分17秒","日本山梨県南アルプス市・韮崎市・北杜市","北緯35度42分06秒東経138度18分17秒﻿ / ﻿北緯35.70167度 東経138.30472度﻿ /35.70167; 138.30472座標:北緯35度42分06秒東経138度18分17秒﻿ / ﻿北緯35.70167度 東経138.30472度﻿ /35.70167; 138.30472","2,841m","赤石山脈","隆起褶曲（花崗岩）","","","","","","","","","","","","","",""
"アサヨ峰","[アサヨ峰] アサヨ峰 （アサヨみね）は、 赤石山脈 の 甲斐駒ヶ岳 と 鳳凰山 とを結ぶ早川尾根上にある 山 である。 標高 は2,799m。甲斐駒ヶ岳、 仙丈ヶ岳 、 北岳 といった南アルプス北部の山々を好位置で展望することができる。","https://ja.wikipedia.org/wiki/アサヨ峰","日本の山一覧","https://ja.wikipedia.org/wiki/日本の山一覧","箇条書き,制限あり","北緯35度43分54秒東経138度14分29秒","日本山梨県南アルプス市・北杜市","北緯35度43分54秒東経138度14分29秒﻿ / ﻿北緯35.73167度 東経138.24139度﻿ /35.73167; 138.24139座標:北緯35度43分54秒東経138度14分29秒﻿ / ﻿北緯35.73167度 東経138.24139度﻿ /35.73167; 138.24139","2,799m","赤石山脈","","","","","","","","","","","","","","",""
"仙丈ヶ岳","[仙丈ヶ岳- 日本百名山] 仙丈ヶ岳 または 仙丈岳 （せんじょうがたけ・せんじょうだけ）は、 長野県 伊那市 と 山梨県 南アルプス市 にまたがる 南アルプス国立公園 内の 赤石山脈 の北部にある 標高 3,033 m の 山 である。","https://ja.wikipedia.org/wiki/仙丈ヶ岳","日本の山一覧","https://ja.wikipedia.org/wiki/日本の山一覧","箇条書き,制限あり","北緯35度43分12秒東経138度11分1秒","日本山梨県南アルプス市長野県伊那市","北緯35度43分12秒東経138度11分1秒﻿ / ﻿北緯35.72000度 東経138.18361度﻿ /35.72000; 138.18361座標:北緯35度43分12秒東経138度11分1秒﻿ / ﻿北緯35.72000度 東経138.18361度﻿ /35.72000; 138.18361","3,032.88m","赤石山脈","氷食尖峰、褶曲隆起","","","","","","","","","","","","","",""
"北岳","[北岳（白根山とも） - 日本百名山（赤石山脈の最高峰）] 北岳 （きただけ）は、 山梨県 南アルプス市 にある 標高 3,193 メートル  の山。 赤石山脈 （南アルプス）北部に位置し、 富士山 に次ぐ 日本第2位 の高峰である  。","https://ja.wikipedia.org/wiki/北岳","日本の山一覧","https://ja.wikipedia.org/wiki/日本の山一覧","箇条書き,制限あり","北緯35度40分28秒東経138度14分20秒","日本山梨県南アルプス市","北緯35度40分28秒東経138度14分20秒﻿ / ﻿北緯35.67444度 東経138.23889度﻿ /35.67444; 138.23889座標:北緯35度40分28秒東経138度14分20秒﻿ / ﻿北緯35.67444度 東経138.23889度﻿ /35.67444; 138.23889","3,193.2m","赤石山脈","隆起","1871年（名取直江）","","","","","","","","","","","","",""
"間ノ岳","[間ノ岳- 日本百名山] 間ノ岳 （あいのだけ）は 赤石山脈 （南アルプス）北部にある 標高 3,190 m の 山      。 飛騨山脈 の 穂高岳 と並んで、 日本第3位の高峰 である。深田久弥の 日本百名山 のひとつ。山頂は 山梨県 と 静岡県 にまたがる。","https://ja.wikipedia.org/wiki/間ノ岳","日本の山一覧","https://ja.wikipedia.org/wiki/日本の山一覧","箇条書き,制限あり","北緯35度38分46秒東経138度13分42秒","日本山梨県南アルプス市、南巨摩郡早川町静岡県静岡市葵区","北緯35度38分46秒東経138度13分42秒﻿ / ﻿北緯35.64611度 東経138.22833度﻿ /35.64611; 138.22833﻿ (間ノ岳)座標:北緯35度38分46秒東経138度13分42秒﻿ / ﻿北緯35.64611度 東経138.22833度﻿ /35.64611; 138.22833﻿ (間ノ岳)","3,189.50m","赤石山脈","隆起","","","","","","","","","","","","","",""
"農鳥岳","[農鳥岳] 農鳥岳 （のうとりだけ）は 南アルプス国立公園 内の 赤石山脈 （南アルプス）にある 標高 3,026 m の 山 である。山頂は 山梨県 と 静岡県 の県境にまたがる。 日本二百名山  、 新日本百名山  、及び 山梨百名山  に選定されている。","https://ja.wikipedia.org/wiki/農鳥岳","日本の山一覧","https://ja.wikipedia.org/wiki/日本の山一覧","箇条書き,制限あり","北緯35度37分16秒東経138度14分13秒","山梨県南巨摩郡早川町静岡県静岡市葵区","北緯35度37分16秒東経138度14分13秒﻿ / ﻿北緯35.62111度 東経138.23694度﻿ /35.62111; 138.23694","3,025.9m","赤石山脈","","","","","","","","","","","","","","",""
"塩見岳","[塩見岳- 日本百名山] 塩見岳 （しおみだけ）は、 長野県 伊那市 と 静岡県 静岡市 葵区 にまたがる 標高 3,052 m の 山 である。 赤石山脈 （南アルプス）中央部の 南アルプス国立公園 内にあり  、山頂周辺はその特別保護地区に指定されている。頂上は 長野県 伊那市 の最高点である。","https://ja.wikipedia.org/wiki/塩見岳","日本の山一覧","https://ja.wikipedia.org/wiki/日本の山一覧","箇条書き,制限あり","北緯35度34分26秒東経138度10分59秒","日本長野県伊那市静岡県静岡市葵区","北緯35度34分26秒東経138度10分59秒﻿ / ﻿北緯35.57389度 東経138.18306度﻿ /35.57389; 138.18306座標:北緯35度34分26秒東経138度10分59秒﻿ / ﻿北緯35.57389度 東経138.18306度﻿ /35.57389; 138.18306","3,047.28m","赤石山脈","隆起・褶曲","","","","","","","","","","","","","",""
"小河内岳","[小河内岳（こごうちだけ）] 小河内岳 （おごうちだけ、こごうちだけ）は 長野県 下伊那郡 大鹿村 と 静岡県 静岡市 葵区 の境界に位置する 赤石山脈 （南アルプス）の 標高 2,802 m の 山 である。","https://ja.wikipedia.org/wiki/小河内岳","日本の山一覧","https://ja.wikipedia.org/wiki/日本の山一覧","箇条書き,制限あり","北緯35度32分16秒東経138度09分11秒","日本長野県下伊那郡大鹿村静岡県静岡市葵区","北緯35度32分16秒東経138度09分11秒﻿ / ﻿北緯35.53778度 東経138.15306度﻿ /35.53778; 138.15306座標:北緯35度32分16秒東経138度09分11秒﻿ / ﻿北緯35.53778度 東経138.15306度﻿ /35.53778; 138.15306","2,801.56m","赤石山脈","隆起・褶曲","","","","","","","","","","","","","",""
"奥茶臼山","[奥茶臼山] 奥茶臼山 （おくちゃうすやま）は、 長野県 飯田市 と 下伊那郡 大鹿村 にまたがる 赤石山脈 （南アルプス）の 標高 2,474 m の 山  。山頂には二等 三角点 が設置されていて  、山頂部は大鹿村に位置する  。","https://ja.wikipedia.org/wiki/奥茶臼山","日本の山一覧","https://ja.wikipedia.org/wiki/日本の山一覧","箇条書き,制限あり","北緯35度29分06秒東経138度04分09秒","日本長野県飯田市、下伊那郡大鹿村","北緯35度29分06秒東経138度04分09秒﻿ / ﻿北緯35.48500度 東経138.06917度﻿ /35.48500; 138.06917座標:北緯35度29分06秒東経138度04分09秒﻿ / ﻿北緯35.48500度 東経138.06917度﻿ /35.48500; 138.06917","2,474.42m","赤石山脈","","","","","","","","","","","","","","",""
"荒川岳","[荒川岳（最高峰は悪沢岳） - 日本百名山] 荒川岳 （あらかわだけ）は 南アルプス国立公園 内の 赤石山脈 （南アルプス）中央部にある前岳、中岳、悪沢岳（東岳）の3つの 山 の総称である。","https://ja.wikipedia.org/wiki/荒川岳","日本の山一覧","https://ja.wikipedia.org/wiki/日本の山一覧","箇条書き,制限あり","北緯35度30分02秒東経138度10分56秒","日本静岡県静岡市葵区長野県下伊那郡大鹿村","北緯35度30分02秒東経138度10分56秒﻿ / ﻿北緯35.50056度 東経138.18222度﻿ /35.50056; 138.18222座標:北緯35度30分02秒東経138度10分56秒﻿ / ﻿北緯35.50056度 東経138.18222度﻿ /35.50056; 138.18222","3,141m","赤石山脈","","1909年（記録上小島烏水ら）","","","","","","","","","","","","",""
"赤石岳","[赤石岳- 日本百名山] 赤石岳 （あかいしだけ）は 赤石山脈 の 長野県 と 静岡県 にまたがる 標高 3,121 m の 山 である   。 南アルプス国立公園 内にあり  、 日本百名山  及び 新日本百名山  に選定されている。","https://ja.wikipedia.org/wiki/赤石岳","日本の山一覧","https://ja.wikipedia.org/wiki/日本の山一覧","箇条書き,制限あり","北緯35度27分40秒東経138度09分26秒","日本長野県下伊那郡大鹿村静岡県静岡市葵区","北緯35度27分40秒東経138度09分26秒﻿ / ﻿北緯35.4611度 東経138.1572度﻿ /35.4611; 138.1572座標:北緯35度27分40秒東経138度09分26秒﻿ / ﻿北緯35.4611度 東経138.1572度﻿ /35.4611; 138.1572}","3,120.53m","赤石山脈","氷食尖峰、隆起","","","","","","","","","","","","","",""
"聖岳","[聖岳（ひじりだけ） - 日本百名山] 聖岳 （ひじりだけ）は、 赤石山脈 （南アルプス）南部の 静岡市 葵区 と 長野県 飯田市 の境界に位置する 標高 3,013 m の 山 である。 日本百名山 に選定されている  。","https://ja.wikipedia.org/wiki/聖岳","日本の山一覧","https://ja.wikipedia.org/wiki/日本の山一覧","箇条書き,制限あり","北緯35度25分22秒東経138度8分23秒","静岡県静岡市葵区長野県飯田市","北緯35度25分22秒東経138度8分23秒﻿ / ﻿北緯35.42278度 東経138.13972度﻿ /35.42278; 138.13972座標:北緯35度25分22秒東経138度8分23秒﻿ / ﻿北緯35.42278度 東経138.13972度﻿ /35.42278; 138.13972","3,013m","赤石山脈","褶曲隆起","1905年","","","","","","","","","","","","",""
"上河内岳","[上河内岳（かみこうちだけ）] 上河内岳 （かみこうちだけ）は、 静岡市 葵区 と 長野県 飯田市 の境界に位置する 標高 2,803 m の 山 である。 赤石山脈 南部の 南アルプス国立公園 内にあり  、 日本二百名山 に選定されている  。","https://ja.wikipedia.org/wiki/上河内岳","日本の山一覧","https://ja.wikipedia.org/wiki/日本の山一覧","箇条書き,制限あり","北緯35度23分23秒東経138度09分10秒","静岡県静岡市葵区長野県飯田市","北緯35度23分23秒東経138度09分10秒﻿ / ﻿北緯35.38972度 東経138.15278度﻿ /35.38972; 138.15278座標:北緯35度23分23秒東経138度09分10秒﻿ / ﻿北緯35.38972度 東経138.15278度﻿ /35.38972; 138.15278","2803.36m","赤石山脈（南アルプス）","褶曲隆起","","","","","","","","","","","","","",""
"茶臼岳 (赤石山脈)","[茶臼岳] 茶臼岳 （ちゃうすだけ）は、 赤石山脈 （南アルプス）南部の 長野県 飯田市 との 静岡市 葵区 境界に位置する 標高 2,604 m の 山 で、 日本三百名山  に選定されている。","https://ja.wikipedia.org/wiki/茶臼岳_(赤石山脈)","日本の山一覧","https://ja.wikipedia.org/wiki/日本の山一覧","箇条書き,制限あり","北緯35度22分9秒東経138度8分26秒","日本長野県飯田市静岡県静岡市葵区","北緯35度22分9秒東経138度8分26秒﻿ / ﻿北緯35.36917度 東経138.14056度﻿ /35.36917; 138.14056座標:北緯35度22分9秒東経138度8分26秒﻿ / ﻿北緯35.36917度 東経138.14056度﻿ /35.36917; 138.14056","2,604m","赤石山脈","褶曲隆起","","","","","","","","","","","","","",""
"光岳","[光岳（てかりだけ） - 日本百名山] 光岳 （てかりだけ）は 赤石山脈 （南アルプス）南部の 標高 2,592 m の 山 である   。 日本百名山 に選定されている  。","https://ja.wikipedia.org/wiki/光岳","日本の山一覧","https://ja.wikipedia.org/wiki/日本の山一覧","箇条書き,制限あり","北緯35度20分17.4319秒東経138度05分02.6035秒","日本静岡県静岡市葵区・榛原郡川根本町長野県飯田市","北緯35度20分17.4319秒東経138度05分02.6035秒﻿ / ﻿北緯35.338175528度 東経138.084056528度﻿ /35.338175528; 138.084056528座標:北緯35度20分17.4319秒東経138度05分02.6035秒﻿ / ﻿北緯35.338175528度 東経138.084056528度﻿ /35.338175528; 138.084056528","2,591.52m","赤石山脈（南アルプス）","褶曲隆起","","","","","","","","","","","","","",""
"笊ヶ岳","[笊ヶ岳] 笊ヶ岳 （ざるがたけ）は、 山梨県 と 静岡県 とにまたがる 赤石山脈 白峰南嶺 の 標高 2,629 m の 山 。 日本二百名山  及び 山梨百名山  に選定されている。","https://ja.wikipedia.org/wiki/笊ヶ岳","日本の山一覧","https://ja.wikipedia.org/wiki/日本の山一覧","箇条書き,制限あり","北緯35度25分27秒東経138度15分34秒","山梨県南巨摩郡早川町静岡県静岡市葵区","北緯35度25分27秒東経138度15分34秒﻿ / ﻿北緯35.42417度 東経138.25944度﻿ /35.42417; 138.25944座標:北緯35度25分27秒東経138度15分34秒﻿ / ﻿北緯35.42417度 東経138.25944度﻿ /35.42417; 138.25944","2,628.96m","赤石山脈（白峰南嶺）","隆起","中村清太郎（1911年）","","","","","","","","","","","","",""
"大無間山","[大無間山] 大無間山 （だいむげんざん）は、 静岡県 の 赤石山脈 の深南部にある 標高 2,330 m の 山   。 日本二百名山 に選定されている  。","https://ja.wikipedia.org/wiki/大無間山","日本の山一覧","https://ja.wikipedia.org/wiki/日本の山一覧","箇条書き,制限あり","北緯35度15分22秒東経138度9分42秒","静岡県静岡市葵区榛原郡川根本町","北緯35度15分22秒東経138度9分42秒﻿ / ﻿北緯35.25611度 東経138.16167度﻿ /35.25611; 138.16167座標:北緯35度15分22秒東経138度9分42秒﻿ / ﻿北緯35.25611度 東経138.16167度﻿ /35.25611; 138.16167","2330m","赤石山脈","","","","","","","","","","","","","","",""
"池口岳","[池口岳] 池口岳 （いけぐちだけ）は、 長野県 と 静岡県 にまたがる 赤石山脈 南部にある 山 である。 標高 2,392m。 日本二百名山 のひとつ。","https://ja.wikipedia.org/wiki/池口岳","日本の山一覧","https://ja.wikipedia.org/wiki/日本の山一覧","箇条書き,制限あり","北緯35度19分49秒東経138度2分18秒","日本長野県飯田市静岡県榛原郡川根本町","北緯35度19分49秒東経138度2分18秒﻿ / ﻿北緯35.33028度 東経138.03833度﻿ /35.33028; 138.03833座標:北緯35度19分49秒東経138度2分18秒﻿ / ﻿北緯35.33028度 東経138.03833度﻿ /35.33028; 138.03833","2,392m","南アルプス","","","","","","","","","","","","","","",""
"秋葉山 (静岡県)","[秋葉山] 秋葉山 （あきはさん）は、 静岡県 浜松市 天竜区 春野町 領家に位置し 赤石山脈 の南端を占める標高866 m の 山 である。","https://ja.wikipedia.org/wiki/秋葉山_(静岡県)","日本の山一覧","https://ja.wikipedia.org/wiki/日本の山一覧","箇条書き,制限あり","北緯34度58分54秒東経137度51分58秒","静岡県浜松市天竜区","北緯34度58分54秒東経137度51分58秒﻿ / ﻿北緯34.98167度 東経137.86611度﻿ /34.98167; 137.86611","866m","赤石山脈","","","","","","","","","","","","","","",""
"八高山 (存在しないページ)","[八高山]","https://ja.wikipedia.org/w/index.php?title=八高山&amp;action=edit&amp;redlink=1","日本の山一覧","https://ja.wikipedia.org/wiki/日本の山一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"白倉山 (存在しないページ)","[白倉山]","https://ja.wikipedia.org/w/index.php?title=白倉山&amp;action=edit&amp;redlink=1","日本の山一覧","https://ja.wikipedia.org/wiki/日本の山一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
