"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所属路線","キロ程","所属事業者","駅構造","開業年月日","ホーム","所在地","備考","乗車人員,-統計年度-","電報略号","駅番号","乗降人員,-統計年度-","乗換","乗降人員,-統計年次-","種類","本社所在地","設立","業種","法人番号"
"南大高駅","南大高駅（みなみおおだかえき）","https://ja.wikipedia.org/wiki/南大高駅","日本の鉄道駅一覧_み","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_み","箇条書き,制限あり","北緯35度3分18.813秒東経136度56分54.038秒","CA東海道本線（名古屋地区）","351.8 km（東京起点）","東海旅客鉄道（JR東海）","地上駅（橋上駅）","2009年（平成21年）3月14日","2面3線","名古屋市緑区大高町字池之内4-10北緯35度3分18.813秒東経136度56分54.038秒","業務委託駅JR全線きっぷうりば有名古屋市内駅","6,764人/日（降車客含まず）-2019年-","ミホ","CA  62 ","","","","","","","",""
"南大塚駅","南大塚駅（みなみおおつかえき）","https://ja.wikipedia.org/wiki/南大塚駅","日本の鉄道駅一覧_み","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_み","箇条書き,制限あり","北緯35度53分23.3秒東経139度27分15.5秒","■新宿線","43.9 km（西武新宿起点）","西武鉄道","地上駅（橋上駅）","1897年（明治30年）11月14日","2面2線","埼玉県川越市南台三丁目14北緯35度53分23.3秒東経139度27分15.5秒﻿ / ﻿北緯35.889806度 東経139.454306度﻿ /35.889806; 139.454306﻿ (南大塚駅)座標:北緯35度53分23.3秒東経139度27分15.5秒﻿ / ﻿北緯35.889806度 東経139.454306度﻿ /35.889806; 139.454306﻿ (南大塚駅)","","","","SS28","16,937人/日-2019年-","","","","","","",""
"南大町駅","南大町駅（みなみおおまちえき）","https://ja.wikipedia.org/wiki/南大町駅","日本の鉄道駅一覧_み","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_み","箇条書き,制限あり","北緯36度29分29.79秒東経137度51分23.10秒","■大糸線","34.0 km（松本起点）","東日本旅客鉄道（JR東日本）","地上駅","1935年（昭和10年）2月1日[3][4]","1面1線[1]","長野県大町市大町大新田町[1]北緯36度29分29.79秒東経137度51分23.10秒﻿ / ﻿北緯36.4916083度 東経137.8564167度﻿ /36.4916083; 137.8564167座標:北緯36度29分29.79秒東経137度51分23.10秒﻿ / ﻿北緯36.4916083度 東経137.8564167度﻿ /36.4916083; 137.8564167","無人駅[3]*1937年に昭和駅から改称[4]。標高：710.2m[1]","158人/日（降車客含まず）-2011年-","ミオ[1]←ミヲ","□24[2]","","","","","","","",""
"南大嶺駅","南大嶺駅（みなみおおみねえき）","https://ja.wikipedia.org/wiki/南大嶺駅","日本の鉄道駅一覧_み","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_み","箇条書き,制限あり","","■美祢線","16.9 km（厚狭起点）","西日本旅客鉄道（JR西日本）","地上駅","1905年（明治38年）9月13日","2面2線","","無人駅*1949年に伊佐駅から改称[1]。","10人/日（降車客含まず）-2019年-","ミオ","","","","","","","","",""
"南小谷駅","南小谷駅（みなみおたりえき）","https://ja.wikipedia.org/wiki/南小谷駅","日本の鉄道駅一覧_み","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_み","箇条書き,制限あり","","■大糸線","70.1 km（松本起点）","東日本旅客鉄道（JR東日本）西日本旅客鉄道（JR西日本）","地上駅","1935年（昭和10年）11月29日[1]","2面3線","","直営駅（管理駅）みどりの窓口有標高：513.1m","83人/日（降車客含まず）-2019年-","オタ←ヲタ","□9（松本方面のみ[報道 1]）","","","","","","","",""
"南小樽駅","南小樽駅（みなみおたるえき）","https://ja.wikipedia.org/wiki/南小樽駅","日本の鉄道駅一覧_み","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_み","箇条書き,制限あり","北緯43度11分13.5秒東経141度0分27.8秒","■函館本線","254.1 km（函館起点）","北海道旅客鉄道（JR北海道）","地上駅","1880年（明治13年）11月28日[1]","1面2線","北海道小樽市住吉町10番7号北緯43度11分13.5秒東経141度0分27.8秒","業務委託駅[新聞 1]みどりの窓口有","1,989人/日（降車客含まず）-2019年-","タル","○S14","","","","","","","",""
"南小野田駅","南小野田駅（みなみおのだえき）","https://ja.wikipedia.org/wiki/南小野田駅","日本の鉄道駅一覧_み","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_み","箇条書き,制限あり","北緯33度58分38.71秒東経131度10分30.08秒","■小野田線","7.1km（居能起点）宇部新川から8.9 km","西日本旅客鉄道（JR西日本）","地上駅","1962年（昭和37年）3月15日*","1面1線","山口県山陽小野田市平成町6290-2北緯33度58分38.71秒東経131度10分30.08秒﻿ / ﻿北緯33.9774194度 東経131.1750222度﻿ /33.9774194; 131.1750222﻿ (南小野田駅)座標:北緯33度58分38.71秒東経131度10分30.08秒﻿ / ﻿北緯33.9774194度 東経131.1750222度﻿ /33.9774194; 131.1750222﻿ (南小野田駅)","無人駅","113人/日（降車客含まず）-2019年-","ナオ","","","","","","","","",""
"南が丘駅","南が丘駅（みなみがおかえき）","https://ja.wikipedia.org/wiki/南が丘駅","日本の鉄道駅一覧_み","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_み","箇条書き,制限あり","北緯34度41分32.87秒東経136度29分49.01秒","E名古屋線","7.3 km（伊勢中川起点）","近畿日本鉄道（近鉄）","地上駅（橋上駅）","1989年（平成元年）4月28日","2面2線","三重県津市垂水字東焼尾2612-59北緯34度41分32.87秒東経136度29分49.01秒﻿ / ﻿北緯34.6924639度 東経136.4969472度﻿ /34.6924639; 136.4969472座標:北緯34度41分32.87秒東経136度29分49.01秒﻿ / ﻿北緯34.6924639度 東経136.4969472度﻿ /34.6924639; 136.4969472","","1,931人/日（降車客含まず）-2019年-","ミオカ"," E41 ","","","","","","","",""
"南加木屋駅","南加木屋駅（みなみかぎやえき）","https://ja.wikipedia.org/wiki/南加木屋駅","日本の鉄道駅一覧_み","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_み","箇条書き,制限あり","北緯34度59分20秒東経136度54分25秒","河和線","4.1 km（太田川起点）","名古屋鉄道","地上駅(橋上駅)","1931年（昭和6年）4月1日","2面2線","愛知県東海市加木屋町南平井15北緯34度59分20秒東経136度54分25秒﻿ / ﻿北緯34.98889度 東経136.90694度﻿ /34.98889; 136.90694座標:北緯34度59分20秒東経136度54分25秒﻿ / ﻿北緯34.98889度 東経136.90694度﻿ /34.98889; 136.90694","河和駅、内海駅方面管理","","","KC  03 ","8,439人/日-2019年[1]-","","","","","","",""
"南角田駅","南角田駅（みなみかくだえき）","https://ja.wikipedia.org/wiki/南角田駅","日本の鉄道駅一覧_み","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_み","箇条書き,制限あり","北緯37度57分53.47秒東経140度46分10.75秒","■阿武隈急行線","41.6 km（福島起点）","阿武隈急行","地上駅","1986年（昭和61年）7月1日","1面1線","宮城県角田市角田摺鉢北緯37度57分53.47秒東経140度46分10.75秒﻿ / ﻿北緯37.9648528度 東経140.7696528度﻿ /37.9648528; 140.7696528座標:北緯37度57分53.47秒東経140度46分10.75秒﻿ / ﻿北緯37.9648528度 東経140.7696528度﻿ /37.9648528; 140.7696528","無人駅","","","","24人/日-2018年-","","","","","","",""
"南鹿児島駅","南鹿児島駅（みなみかごしまえき）","https://ja.wikipedia.org/wiki/南鹿児島駅","日本の鉄道駅一覧_み","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_み","箇条書き,制限あり","","","","九州旅客鉄道（JR九州・駅詳細）鹿児島市交通局（駅詳細）","","","","鹿児島県鹿児島市南郡元町","","","","","","","","","","","",""
"南鹿児島駅","南鹿児島駅前駅（みなみかごしまえきまええき）","https://ja.wikipedia.org/wiki/南鹿児島駅","日本の鉄道駅一覧_み","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_み","箇条書き,制限あり","","","","九州旅客鉄道（JR九州・駅詳細）鹿児島市交通局（駅詳細）","","","","鹿児島県鹿児島市南郡元町","","","","","","","","","","","",""
"南柏駅","南柏駅（みなみかしわえき）","https://ja.wikipedia.org/wiki/南柏駅","日本の鉄道駅一覧_み","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_み","箇条書き,制限あり","北緯35度50分40.6秒東経139度57分14.9秒","■常磐線（各駅停車）（正式には常磐線）","24.5km（日暮里起点）綾瀬から16.8 km","東日本旅客鉄道（JR東日本）","地上駅（橋上駅）","1953年（昭和28年）10月1日","1面2線","千葉県柏市南柏一丁目1-1北緯35度50分40.6秒東経139度57分14.9秒座標:北緯35度50分40.6秒 東経139度57分14.9秒","業務委託駅","32,930人/日（降車客含まず）-2019年-","ミカ","JL27","","","","","","","",""
"南方駅 (大阪府)","南方駅 (大阪府)（みなみかたえき・阪急京都本線）","https://ja.wikipedia.org/wiki/南方駅_(大阪府)","日本の鉄道駅一覧_み","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_み","箇条書き,制限あり","北緯34度43分32.58秒東経135度29分56.84秒","■京都本線","1.9 km（十三起点）大阪梅田から4.3 km","阪急電鉄","地上駅","1921年（大正10年）4月1日","2面2線","大阪市淀川区西中島三丁目17番3号[1]北緯34度43分32.58秒東経135度29分56.84秒﻿ / ﻿北緯34.7257167度 東経135.4991222度﻿ /34.7257167; 135.4991222座標:北緯34度43分32.58秒東経135度29分56.84秒﻿ / ﻿北緯34.7257167度 東経135.4991222度﻿ /34.7257167; 135.4991222","","","","HK61","（特定日）42,886人/日-2019年-","西中島南方駅（Osaka Metro御堂筋線）","（通年平均）36,578人/日-2019年-","","","","",""
"南方駅 (宮崎県)","南方駅 (宮崎県)（みなみかたえき・九州旅客鉄道日南線）","https://ja.wikipedia.org/wiki/南方駅_(宮崎県)","日本の鉄道駅一覧_み","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_み","箇条書き,制限あり","北緯31度51分33.87秒東経131度26分4.29秒","日南線","4.2 km（南宮崎起点）","九州旅客鉄道（JR九州）","地上駅","1963年（昭和38年）5月8日[1]","1面1線[1]","宮崎県宮崎市大字本郷南方[1]北緯31度51分33.87秒東経131度26分4.29秒﻿ / ﻿北緯31.8594083度 東経131.4345250度﻿ /31.8594083; 131.4345250座標:北緯31度51分33.87秒東経131度26分4.29秒﻿ / ﻿北緯31.8594083度 東経131.4345250度﻿ /31.8594083; 131.4345250","無人駅[1]","89人/日（降車客含まず）-2015年-","ミタ","","","","","","","","",""
"南神城駅","南神城駅（みなみかみしろえき）","https://ja.wikipedia.org/wiki/南神城駅","日本の鉄道駅一覧_み","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_み","箇条書き,制限あり","北緯36度38分13.46秒東経137度50分29.65秒","■大糸線","52.8 km（松本起点）","東日本旅客鉄道（JR東日本）","地上駅（盛土上）","1942年（昭和17年）12月15日[1]","1面1線[1]","長野県北安曇郡白馬村大字神城[1]北緯36度38分13.46秒東経137度50分29.65秒﻿ / ﻿北緯36.6370722度 東経137.8415694度﻿ /36.6370722; 137.8415694座標:北緯36度38分13.46秒東経137度50分29.65秒﻿ / ﻿北緯36.6370722度 東経137.8415694度﻿ /36.6370722; 137.8415694","無人駅[1]標高：769.2m[1]","21人/日（降車客含まず）-2011年-","ミカ[1]","□16[2]","","","","","","","",""
"美並苅安駅","美並苅安駅（みなみかりやすえき）","https://ja.wikipedia.org/wiki/美並苅安駅","日本の鉄道駅一覧_み","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_み","箇条書き,制限あり","北緯35度39分38.47秒東経136度57分18.17秒","越美南線","34.8 km（美濃太田起点）","長良川鉄道","地上駅","1928年5月6日[1]","1面1線","岐阜県郡上市美並町白山北緯35度39分38.47秒東経136度57分18.17秒﻿ / ﻿北緯35.6606861度 東経136.9550472度﻿ /35.6606861; 136.9550472座標:北緯35度39分38.47秒東経136度57分18.17秒﻿ / ﻿北緯35.6606861度 東経136.9550472度﻿ /35.6606861; 136.9550472","委託駅","20人/日（降車客含まず）-2015年-","カリカス（転換前）","21","","","","","","","",""
"南行徳駅","南行徳駅（みなみぎょうとくえき）","https://ja.wikipedia.org/wiki/南行徳駅","日本の鉄道駅一覧_み","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_み","箇条書き,制限あり","北緯35度40分22秒東経139度54分8.2秒","●[1]東西線","24.0 km（中野起点）","東京地下鉄（東京メトロ）","高架駅","1981年（昭和56年）3月27日","2面2線","千葉県市川市相之川四丁目17-1北緯35度40分22秒東経139度54分8.2秒﻿ / ﻿北緯35.67278度 東経139.902278度﻿ /35.67278; 139.902278座標:北緯35度40分22秒東経139度54分8.2秒﻿ / ﻿北緯35.67278度 東経139.902278度﻿ /35.67278; 139.902278","","","ミナ","T19[1]","53,769人/日-2019年-","","","","","","",""
"南草津駅","南草津駅（みなみくさつえき）","https://ja.wikipedia.org/wiki/南草津駅","日本の鉄道駅一覧_み","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_み","箇条書き,制限あり","北緯35度0分13.5秒東経135度56分50.21秒","A東海道本線（琵琶湖線）","493.9km（東京起点）米原から48.0 km","西日本旅客鉄道（JR西日本）","地上駅（橋上駅）","1994年（平成6年）9月4日[1]","2面4線","滋賀県草津市野路一丁目14-1北緯35度0分13.5秒東経135度56分50.21秒﻿ / ﻿北緯35.003750度 東経135.9472806度﻿ /35.003750; 135.9472806﻿ (南草津駅)座標:北緯35度0分13.5秒東経135度56分50.21秒﻿ / ﻿北緯35.003750度 東経135.9472806度﻿ /35.003750; 135.9472806﻿ (南草津駅)","直営駅みどりの窓口有","30,443人/日（降車客含まず）-2019年-","ミク","JR-A25","","","","","","","",""
"南熊本駅","南熊本駅（みなみくまもとえき）","https://ja.wikipedia.org/wiki/南熊本駅","日本の鉄道駅一覧_み","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_み","箇条書き,制限あり","北緯32度47分6.46秒東経130度42分41.72秒","■豊肥本線","144.4 km（大分起点）","九州旅客鉄道（JR九州）","地上駅","1914年（大正3年）6月21日[3]","2面2線[1]","熊本市中央区南熊本三丁目14[1][2]北緯32度47分6.46秒東経130度42分41.72秒","業務委託駅[2]*1940年に春竹駅から改称[4]。","1,074人/日（降車客含まず）-2019年-","ミモ","","","","","","","","",""
"南区役所前停留場","南区役所前停留場（みなみくやくしょまえていりゅうじょう）","https://ja.wikipedia.org/wiki/南区役所前停留場","日本の鉄道駅一覧_み","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_み","箇条書き,制限あり","北緯34度22分52.12秒東経132度28分2.4秒","■皆実線","1.7 km（的場町起点）","広島電鉄","地上駅","1982年（昭和57年）3月1日","2面2線","広島市南区比治山本町・皆実町一丁目北緯34度22分52.12秒東経132度28分2.4秒﻿ / ﻿北緯34.3811444度 東経132.467333度﻿ /34.3811444; 132.467333﻿ (南区役所前停留場)座標:北緯34度22分52.12秒東経132度28分2.4秒﻿ / ﻿北緯34.3811444度 東経132.467333度﻿ /34.3811444; 132.467333﻿ (南区役所前停留場)","","","","●H7","1,927[1]人/日-2019年-","","","","","","",""
"南栗橋駅","南栗橋駅（みなみくりはしえき）","https://ja.wikipedia.org/wiki/南栗橋駅","日本の鉄道駅一覧_み","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_み","箇条書き,制限あり","北緯36度6分47.46秒東経139度42分46.34秒","■日光線","10.4 km（東武動物公園起点）","東武鉄道","地上駅（橋上駅舎）","1986年（昭和61年）8月26日","2面4線","埼玉県久喜市南栗橋一丁目20北緯36度6分47.46秒東経139度42分46.34秒﻿ / ﻿北緯36.1131833度 東経139.7128722度﻿ /36.1131833; 139.7128722﻿ (南栗橋駅)座標:北緯36度6分47.46秒東経139度42分46.34秒﻿ / ﻿北緯36.1131833度 東経139.7128722度﻿ /36.1131833; 139.7128722﻿ (南栗橋駅)","","","ミクリ","TN03","8,843人/日-2019年-","","","","","","",""
"南久留米駅","南久留米駅（みなみくるめえき）","https://ja.wikipedia.org/wiki/南久留米駅","日本の鉄道駅一覧_み","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_み","箇条書き,制限あり","北緯33度18分9.24秒東経130度31分52.86秒","■久大本線","4.9 km（久留米起点）","九州旅客鉄道（JR九州）","地上駅（盛土上）","1928年（昭和3年）12月24日[1]","1面2線","福岡県久留米市野中町1425北緯33度18分9.24秒東経130度31分52.86秒","無人駅","426人/日（降車客含まず）-2019年-","ルメ","","","","","","","","",""
"南気仙沼駅","南気仙沼駅（みなみけせんぬまえき）","https://ja.wikipedia.org/wiki/南気仙沼駅","日本の鉄道駅一覧_み","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_み","箇条書き,制限あり","北緯38度53分42.28秒東経141度34分36.01秒","■気仙沼線BRT","68.3 km（前谷地起点）","東日本旅客鉄道（JR東日本）","地上駅","2012年（平成24年）8月20日*","","宮城県気仙沼市仲町北緯38度53分42.28秒東経141度34分36.01秒座標:北緯38度53分42.28秒 東経141度34分36.01秒","無人駅","99人/日（降車客含まず）-2019年-","ミケ","","","","","","","","",""
"南公園駅","南公園駅（みなみこうえんえき）","https://ja.wikipedia.org/wiki/南公園駅","日本の鉄道駅一覧_み","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_み","箇条書き,制限あり","北緯34度39分52.66秒東経135度13分1.10秒","ポートアイランド線（ポートライナー）","0.6km（市民広場起点）三宮から4.4 km","神戸新交通","高架駅[1]","1981年（昭和56年）2月5日[1]","1面1線[1]","神戸市中央区港島中町八丁目[1]北緯34度39分52.66秒東経135度13分1.10秒﻿ / ﻿北緯34.6646278度 東経135.2169722度﻿ /34.6646278; 135.2169722﻿ (南公園駅)座標:北緯34度39分52.66秒東経135度13分1.10秒﻿ / ﻿北緯34.6646278度 東経135.2169722度﻿ /34.6646278; 135.2169722﻿ (南公園駅)","","2,645人/日（降車客含まず）-2019年-",""," PL07 ","","","","","","","",""
"南河内駅","南河内駅（みなみごうちえき）","https://ja.wikipedia.org/wiki/南河内駅","日本の鉄道駅一覧_み","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_み","箇条書き,制限あり","北緯34度9分56.54秒東経132度6分12.26秒","錦川清流線","8.6 km（川西起点）","錦川鉄道","地上駅","1960年(昭和35年)11月1日","1面1線","山口県岩国市角230北緯34度9分56.54秒東経132度6分12.26秒﻿ / ﻿北緯34.1657056度 東経132.1034056度﻿ /34.1657056; 132.1034056﻿ (南河内駅)座標:北緯34度9分56.54秒東経132度6分12.26秒﻿ / ﻿北緯34.1657056度 東経132.1034056度﻿ /34.1657056; 132.1034056﻿ (南河内駅)","無人駅[2]1987年（昭和62年）7月25日に、岩日線から現在の第三セクターに転換。","","ミコ","","103[1]人/日-2019年-","","","","","","",""
"南甲府駅","南甲府駅（みなみこうふえき）","https://ja.wikipedia.org/wiki/南甲府駅","日本の鉄道駅一覧_み","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_み","箇条書き,制限あり","北緯35度38分36.59秒東経138度34分38.17秒","CC身延線","84.0 km（富士起点）","東海旅客鉄道（JR東海）","地上駅","1928年（昭和3年）3月30日[1]","1面2線","山梨県甲府市南口町1-36北緯35度38分36.59秒東経138度34分38.17秒座標:北緯35度38分36.59秒 東経138度34分38.17秒","駅長配置駅（管理駅）JR全線きっぷうりば有*1938年に甲府南口駅から改称。","512人/日（降車客含まず）-2018年-","コミ","","","","","","","","",""
"南小倉駅","南小倉駅（みなみこくらえき）","https://ja.wikipedia.org/wiki/南小倉駅","日本の鉄道駅一覧_み","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_み","箇条書き,制限あり","北緯33度52分13.30秒東経130度51分52.26秒","JF日豊本線（JI日田彦山線直通含む）","3.5 km（小倉起点）","九州旅客鉄道（JR九州）","地上駅（橋上駅）","1944年（昭和19年）12月1日[2]","1面2線[2]","北九州市小倉北区木町三丁目11-1[1][2]北緯33度52分13.30秒東経130度51分52.26秒","業務委託駅[1]みどりの窓口有北九州市内駅","5,020人/日（降車客含まず）-2019年-","ミコ←ミコラ","JF  03 /JI  03 ","","","","","","","",""
"南越谷駅","南越谷駅（みなみこしがやえき）","https://ja.wikipedia.org/wiki/南越谷駅","日本の鉄道駅一覧_み","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_み","箇条書き,制限あり","北緯35度52分34秒東経139度47分25.7秒","■武蔵野線","72.3 km（鶴見起点）府中本町から43.5 km","東日本旅客鉄道（JR東日本）","高架駅[1]","1973年（昭和48年）4月1日","2面2線[1]","埼玉県越谷市南越谷一丁目21-1北緯35度52分34秒東経139度47分25.7秒﻿ / ﻿北緯35.87611度 東経139.790472度﻿ /35.87611; 139.790472座標:北緯35度52分34秒東経139度47分25.7秒﻿ / ﻿北緯35.87611度 東経139.790472度﻿ /35.87611; 139.790472","直営駅（管理駅）みどりの窓口有","75,390人/日（降車客含まず）-2019年-","ミシ","JM22","","新越谷駅（東武伊勢崎線（東武スカイツリーライン））","","","","","",""
"みなみ子宝温泉駅","みなみ子宝温泉駅（みなみこだからおんせんえき）","https://ja.wikipedia.org/wiki/みなみ子宝温泉駅","日本の鉄道駅一覧_み","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_み","箇条書き,制限あり","北緯35度37分38.84秒東経136度57分1.85秒","越美南線","30.6 km（美濃太田起点）","長良川鉄道","地上駅","2002年(平成14年)4月4日[1]","1面1線","岐阜県郡上市美並町大原北緯35度37分38.84秒東経136度57分1.85秒﻿ / ﻿北緯35.6274556度 東経136.9505139度﻿ /35.6274556; 136.9505139座標:北緯35度37分38.84秒東経136度57分1.85秒﻿ / ﻿北緯35.6274556度 東経136.9505139度﻿ /35.6274556; 136.9505139","委託駅","23人/日（降車客含まず）-2015年-","ミミ","18","","","","","","","",""
"南御殿場駅","南御殿場駅（みなみごてんばえき）","https://ja.wikipedia.org/wiki/南御殿場駅","日本の鉄道駅一覧_み","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_み","箇条書き,制限あり","北緯35度16分37.95秒東経138度55分32.03秒","CB御殿場線","38.2 km（国府津起点）","東海旅客鉄道（JR東海）","地上駅","1962年（昭和37年）7月20日","1面1線","静岡県御殿場市竈北緯35度16分37.95秒東経138度55分32.03秒﻿ / ﻿北緯35.2772083度 東経138.9255639度﻿ /35.2772083; 138.9255639座標:北緯35度16分37.95秒東経138度55分32.03秒﻿ / ﻿北緯35.2772083度 東経138.9255639度﻿ /35.2772083; 138.9255639","駅員無配置駅","327人/日（降車客含まず）-2019年-","ミコ","CB  11 ","","","","","","","",""
"南小松島駅","南小松島駅（みなみこまつしまえき）","https://ja.wikipedia.org/wiki/南小松島駅","日本の鉄道駅一覧_み","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_み","箇条書き,制限あり","北緯34度0分21.27秒東経134度35分11.71秒","■牟岐線","10.9 km（徳島起点）","四国旅客鉄道（JR四国）","地上駅","1916年（大正5年）12月15日","1面2線","徳島県小松島市南小松島町7-43北緯34度0分21.27秒東経134度35分11.71秒﻿ / ﻿北緯34.0059083度 東経134.5865861度﻿ /34.0059083; 134.5865861座標:北緯34度0分21.27秒東経134度35分11.71秒﻿ / ﻿北緯34.0059083度 東経134.5865861度﻿ /34.0059083; 134.5865861","","911人/日（降車客含まず）-2018年-","ミコ","○M06","1,862人/日-2018年-","","","","","","",""
"南酒出駅","南酒出駅（みなみさかいでえき）","https://ja.wikipedia.org/wiki/南酒出駅","日本の鉄道駅一覧_み","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_み","箇条書き,制限あり","北緯36度28分38.5秒東経140度29分54.5秒","■水郡線（常陸太田支線）","2.5 km（上菅谷起点）水戸から12.6 km","東日本旅客鉄道（JR東日本）","地上駅","1935年（昭和10年）9月1日","1面1線","茨城県那珂市南酒出字船岡久保903-1北緯36度28分38.5秒東経140度29分54.5秒座標:北緯36度28分38.5秒 東経140度29分54.5秒","無人駅*1953年に常陸酒出駅から改称。","","ミサ","","","","","","","","",""
"南栄駅","南栄駅（みなみさかええき）","https://ja.wikipedia.org/wiki/南栄駅","日本の鉄道駅一覧_み","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_み","箇条書き,制限あり","北緯34度44分9.29秒東経137度23分7.69秒","渥美線","3.2 km（新豊橋起点）","豊橋鉄道","地上駅","1937年（昭和12年）","1面1線","愛知県豊橋市南栄町字空池46番地の1北緯34度44分9.29秒東経137度23分7.69秒﻿ / ﻿北緯34.7359139度 東経137.3854694度﻿ /34.7359139; 137.3854694座標:北緯34度44分9.29秒東経137度23分7.69秒﻿ / ﻿北緯34.7359139度 東経137.3854694度﻿ /34.7359139; 137.3854694","駅員時間配置駅7:00〜19:30*1947年（昭和22年）1月10日陸軍病院前駅より改称","1,844人/日（降車客含まず）-2019年-",""," 5 ","3,642人/日-2019年-","","","","","","",""
"南寒河江駅","南寒河江駅（みなみさがええき）","https://ja.wikipedia.org/wiki/南寒河江駅","日本の鉄道駅一覧_み","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_み","箇条書き,制限あり","北緯38度21分20.02秒東経140度16分39.73秒","■左沢線","13.5 km（北山形起点）","東日本旅客鉄道（JR東日本）","地上駅","1951年（昭和26年）12月25日[1]","1面1線","山形県寒河江市大字島字島東北緯38度21分20.02秒東経140度16分39.73秒座標:北緯38度21分20.02秒 東経140度16分39.73秒","無人駅","109人/日（降車客含まず）-2004年-","ミエ","","","","","","","","",""
"南桜井駅 (埼玉県)","南桜井駅 (埼玉県)（みなみさくらいえき・東武野田線）","https://ja.wikipedia.org/wiki/南桜井駅_(埼玉県)","日本の鉄道駅一覧_み","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_み","箇条書き,制限あり","北緯35度58分49.64秒東経139度48分28.92秒","■野田線（東武アーバンパークライン）","20.6 km（大宮起点）","東武鉄道","地上駅（橋上駅舎）","1930年（昭和5年）12月9日*","2面2線","埼玉県春日部市米島1185北緯35度58分49.64秒東経139度48分28.92秒﻿ / ﻿北緯35.9804556度 東経139.8080333度﻿ /35.9804556; 139.8080333座標:北緯35度58分49.64秒東経139度48分28.92秒﻿ / ﻿北緯35.9804556度 東経139.8080333度﻿ /35.9804556; 139.8080333","業務委託駅* 永沼臨時停留所を移転・改称した旧・南桜井駅と貨物駅として開業した米島駅を統合、米島駅の場所を所在地とした。東武鉄道による南桜井駅のプロフィールでは開業日を昭和5年12月9日としている。","","ミサ","TD12","14,515人/日-2019年-","","","","","","",""
"南桜井駅 (愛知県)","南桜井駅 (愛知県)（みなみさくらいえき・名鉄西尾線）","https://ja.wikipedia.org/wiki/南桜井駅_(愛知県)","日本の鉄道駅一覧_み","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_み","箇条書き,制限あり","北緯34度54分22.3秒東経137度4分37.7秒","西尾線(GN)[1]","9.5 km（新安城起点）","名古屋鉄道[1]","地上駅","2008年（平成20年）6月29日[1]","2面2線","愛知県安城市小川町水遣23北緯34度54分22.3秒東経137度4分37.7秒﻿ / ﻿北緯34.906194度 東経137.077139度﻿ /34.906194; 137.077139座標:北緯34度54分22.3秒東経137度4分37.7秒﻿ / ﻿北緯34.906194度 東経137.077139度﻿ /34.906194; 137.077139","","","","GN  06 ","6,391人/日-2019年-","","","","","","",""
"南三陸町役場・病院前駅","南三陸町役場・病院前駅（みなみさんりくちょうやくば・びょういんまええき）","https://ja.wikipedia.org/wiki/南三陸町役場・病院前駅","日本の鉄道駅一覧_み","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_み","箇条書き,制限あり","","■気仙沼線BRT","34.5 km（前谷地起点）","東日本旅客鉄道（JR東日本）","地上駅","2012年（平成24年）12月22日[注 1]","","","無人駅","21人/日（降車客含まず）-2019年-","","","","","","","","","",""
