"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所属路線","キロ程","所属事業者","駅構造","開業年月日","所在地","ホーム","備考","駅番号","電報略号","乗車人員,-統計年度-","乗降人員,-統計年度-","乗換","乗降人員,-統計年次-","種類","標高","位置","山系","最新噴火"
"室駅","室駅（むろえき）","https://ja.wikipedia.org/wiki/室駅","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","北緯35度22分2秒東経136度36分23秒","養老線","44.1 km（桑名起点）","養老鉄道","地上駅","1916年（大正5年）4月1日","岐阜県大垣市木戸町134-3北緯35度22分2秒東経136度36分23秒﻿ / ﻿北緯35.36722度 東経136.60639度﻿ /35.36722; 136.60639座標:北緯35度22分2秒東経136度36分23秒﻿ / ﻿北緯35.36722度 東経136.60639度﻿ /35.36722; 136.60639","1面1線","無人駅","","","","647人/日-2018年-","","","","","","",""
"室生口大野駅","室生口大野駅（むろうぐちおおのえき）","https://ja.wikipedia.org/wiki/室生口大野駅","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","北緯34度33分57.67秒東経136度0分54.89秒","D大阪線","57.2 km（大阪上本町起点）","近畿日本鉄道（近鉄）","地上駅（盛土上）","1930年（昭和5年）10月10日","奈良県宇陀市室生大野1756北緯34度33分57.67秒東経136度0分54.89秒﻿ / ﻿北緯34.5660194度 東経136.0152472度﻿ /34.5660194; 136.0152472座標:北緯34度33分57.67秒東経136度0分54.89秒﻿ / ﻿北緯34.5660194度 東経136.0152472度﻿ /34.5660194; 136.0152472","2面2線","無人駅"," D46 ","ムノ","472人/日（降車客含まず）-2018年-","","","","","","","",""
"室堂駅","室堂駅（むろどうえき）","https://ja.wikipedia.org/wiki/室堂駅","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","北緯36度34分38.35秒東経137度35分43.76秒","無軌条電車線（立山トンネルトロリーバス）","0.0 km（室堂起点）","立山黒部貫光","地下駅","1971年（昭和46年）4月25日[1]","富山県中新川郡立山町芦峅寺北緯36度34分38.35秒東経137度35分43.76秒﻿ / ﻿北緯36.5773194度 東経137.5954889度﻿ /36.5773194; 137.5954889﻿ (室堂駅)","","標高：2,450m","","","","","立山高原バス（美女平駅方面）","","","","","",""
"室見駅","室見駅（むろみえき）","https://ja.wikipedia.org/wiki/室見駅","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","北緯33度34分51.46秒東経130度20分24.27秒","空港線","1.5 km（姪浜起点）","福岡市交通局","地下駅","1981年（昭和56年）7月26日","福岡市早良区室見1丁目北緯33度34分51.46秒東経130度20分24.27秒﻿ / ﻿北緯33.5809611度 東経130.3400750度﻿ /33.5809611; 130.3400750座標:北緯33度34分51.46秒東経130度20分24.27秒﻿ / ﻿北緯33.5809611度 東経130.3400750度﻿ /33.5809611; 130.3400750","2面2線","業務委託駅","○K02","","8,783人/日（降車客含まず）-2018年-","","","","","","","",""
"室蘭駅","室蘭駅（むろらんえき）","https://ja.wikipedia.org/wiki/室蘭駅","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","北緯42度19分4.77秒東経140度58分28.01秒","■室蘭本線","7.0 km（東室蘭起点）","北海道旅客鉄道（JR北海道）","地上駅","1897年（明治30年）7月1日","北海道室蘭市中央町4丁目北緯42度19分4.77秒東経140度58分28.01秒﻿ / ﻿北緯42.3179917度 東経140.9744472度﻿ /42.3179917; 140.9744472﻿ (室蘭駅)","1面2線","業務委託駅[1]みどりの窓口有","○M36","ムロ","619人/日（降車客含まず）-2017年-","","","","","","","",""
"明治神宮前駅","明治神宮前駅（めいじじんぐうまええき）","https://ja.wikipedia.org/wiki/明治神宮前駅","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","","●[1]千代田線","19.7 km（綾瀬起点）","東京地下鉄（東京メトロ）","地下駅","1972年（昭和47年）10月20日","","各1面2線（計2面4線）","","C03[1]","クウ","","111,354人/日-2019年-","原宿駅（JR山手線）[2]","","","","","",""
"名城公園駅","名城公園駅（めいじょうこうえんえき）","https://ja.wikipedia.org/wiki/名城公園駅","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","北緯35度11分26秒東経136度54分17秒","名城線","3.9 km（大曽根起点）","名古屋市交通局（名古屋市営地下鉄）","地下駅","1971年（昭和46年）12月20日[2]","名古屋市北区名城二丁目1-26北緯35度11分26秒東経136度54分17秒﻿ / ﻿北緯35.19056度 東経136.90472度﻿ /35.19056; 136.90472座標:北緯35度11分26秒東経136度54分17秒﻿ / ﻿北緯35.19056度 東経136.90472度﻿ /35.19056; 136.90472","1面2線","","M08","","5,394人/日（降車客含まず）-2019年-","10,919[1]人/日-2019年-","","","","","","",""
"明大前駅","明大前駅（めいだいまええき）","https://ja.wikipedia.org/wiki/明大前駅","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","北緯35度40分6.3秒東経139度39分1.8秒","■京王線","5.2 km（新宿起点）","京王電鉄","高架駅（地上駅）","1913年（大正2年）4月15日","東京都世田谷区松原二丁目45番1号北緯35度40分6.3秒東経139度39分1.8秒﻿ / ﻿北緯35.668417度 東経139.650500度﻿ /35.668417; 139.650500座標:北緯35度40分6.3秒東経139度39分1.8秒﻿ / ﻿北緯35.668417度 東経139.650500度﻿ /35.668417; 139.650500","各2面2線","","KO06","","","（京王線）63,198人/日（井の頭線）47,763人/日（合計）110,961人/日-2019年-","","","","","","",""
"名鉄一宮駅","名鉄一宮駅（めいてついちのみやえき）","https://ja.wikipedia.org/wiki/名鉄一宮駅","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","北緯35度18分7秒東経136度47分49秒","名古屋本線","86.4 km（豊橋起点）","名古屋鉄道","高架駅","1900年（明治33年）1月24日","愛知県一宮市新生一丁目1-1北緯35度18分7秒東経136度47分49秒﻿ / ﻿北緯35.30194度 東経136.79694度﻿ /35.30194; 136.79694座標:北緯35度18分7秒東経136度47分49秒﻿ / ﻿北緯35.30194度 東経136.79694度﻿ /35.30194; 136.79694","島式 2面4線","* 改称 : 一ノ宮 → 新一宮（1900年）* 改称 : 新一宮 → 名鉄一宮（2005年）","NH  50 ","","","35,867人/日-2019年[1]-","JR東海道本線（尾張一宮駅）","","","","","",""
"名鉄岐阜駅","名鉄岐阜駅（めいてつぎふえき）","https://ja.wikipedia.org/wiki/名鉄岐阜駅","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","北緯35度24分42.3秒東経136度45分36.7秒","名古屋本線","99.8 km（豊橋起点）","名古屋鉄道","高架駅（名古屋本線）地上駅（各務原線）","1928年（昭和3年）12月28日","岐阜県岐阜市神田町九丁目1北緯35度24分42.3秒東経136度45分36.7秒﻿ / ﻿北緯35.411750度 東経136.760194度﻿ /35.411750; 136.760194座標:北緯35度24分42.3秒東経136度45分36.7秒﻿ / ﻿北緯35.411750度 東経136.760194度﻿ /35.411750; 136.760194","2面4線（名古屋本線）1面2線（各務原線）","*2005年、新岐阜駅から改称。","NH  60 ","","","35,345人/日-2019年[1]-","東海旅客鉄道（岐阜駅）","","","","","",""
"名鉄名古屋駅","名鉄名古屋駅（めいてつなごやえき）","https://ja.wikipedia.org/wiki/名鉄名古屋駅","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","北緯35度10分11秒東経136度53分2秒","名古屋本線","68.0 km（豊橋起点）","名古屋鉄道","地下駅","1941年（昭和16年）8月12日","名古屋市中村区名駅一丁目2-1北緯35度10分11秒東経136度53分2秒﻿ / ﻿北緯35.16972度 東経136.88389度﻿ /35.16972; 136.88389座標:北緯35度10分11秒東経136度53分2秒﻿ / ﻿北緯35.16972度 東経136.88389度﻿ /35.16972; 136.88389","3面2線","*2005年、新名古屋駅から改称。","NH  36 ","","","301,998人/日-2019年[1]-","名古屋駅-東海旅客鉄道（JR東海）-名古屋市交通局（地下鉄）-名古屋臨海高速鉄道（あおなみ線）近鉄名古屋駅-近鉄名古屋線","","","","","",""
"名電赤坂駅","名電赤坂駅（めいでんあかさかえき）","https://ja.wikipedia.org/wiki/名電赤坂駅","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","北緯34度51分33秒東経137度18分41秒","名古屋本線","12.5 km（豊橋起点）","名古屋鉄道","地上駅","1926年（大正15年）4月1日","愛知県豊川市赤坂町松本35-2北緯34度51分33秒東経137度18分41秒﻿ / ﻿北緯34.85917度 東経137.31139度﻿ /34.85917; 137.31139座標:北緯34度51分33秒東経137度18分41秒﻿ / ﻿北緯34.85917度 東経137.31139度﻿ /34.85917; 137.31139","2面2線","無人駅（国府駅管理）*1938年愛電赤坂駅より改称。","NH  06 ","","","1,065人/日-2019年[1]-","","","","","","",""
"名電各務原駅","名電各務原駅（めいでんかかみがはらえき）","https://ja.wikipedia.org/wiki/名電各務原駅","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","北緯35度24分10.23秒東経136度54分5.21秒","名鉄各務原線","13.7 km（名鉄岐阜起点）","名古屋鉄道","地上駅","1926年（大正15年）8月1日","岐阜県各務原市鵜沼各務原町一丁目84北緯35度24分10.23秒東経136度54分5.21秒﻿ / ﻿北緯35.4028417度 東経136.9014472度﻿ /35.4028417; 136.9014472﻿ (名電各務原駅)座標:北緯35度24分10.23秒東経136度54分5.21秒﻿ / ﻿北緯35.4028417度 東経136.9014472度﻿ /35.4028417; 136.9014472﻿ (名電各務原駅)","2面2線","無人駅管理駅：名鉄岐阜","KG  04 ","","","3,403人/日-2019年-","JR東海高山本線：各務ケ原駅","","","","","",""
"名電築港駅","名電築港駅（めいでんちっこうえき）","https://ja.wikipedia.org/wiki/名電築港駅","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","北緯35度5分29.2秒東経136度54分7.4秒","築港線","1.1 km（大江起点）","名古屋鉄道名古屋臨海鉄道","地上駅","1924年（大正13年）1月15日","愛知県名古屋市港区大江町北緯35度5分29.2秒東経136度54分7.4秒﻿ / ﻿北緯35.091444度 東経136.902056度﻿ /35.091444; 136.902056座標:北緯35度5分29.2秒東経136度54分7.4秒﻿ / ﻿北緯35.091444度 東経136.902056度﻿ /35.091444; 136.902056","","貨物専用駅* 1924年 東六号駅として開業1932年-1935年 愛電築港駅1935年-1939年 名電築港駅","","","","","","","","","","",""
"名電長沢駅","名電長沢駅（めいでんながさわえき）","https://ja.wikipedia.org/wiki/名電長沢駅","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","北緯34度52分17.8秒東経137度17分17.2秒","名古屋本線","15.0 km（豊橋起点）","名古屋鉄道","地上駅","1926年（大正15年）4月1日","愛知県豊川市長沢町音羽36北緯34度52分17.8秒東経137度17分17.2秒﻿ / ﻿北緯34.871611度 東経137.288111度﻿ /34.871611; 137.288111座標:北緯34度52分17.8秒東経137度17分17.2秒﻿ / ﻿北緯34.871611度 東経137.288111度﻿ /34.871611; 137.288111","2面2線","無人駅（国府駅管理）*1938年愛電長沢駅より改称。","NH  07 ","","","678人/日-2019年[1]-","","","","","","",""
"名電山中駅","名電山中駅（めいでんやまなかえき）","https://ja.wikipedia.org/wiki/名電山中駅","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","北緯34度53分58.3秒東経137度14分34秒","名古屋本線","20.4 km（豊橋起点）","名古屋鉄道","地上駅","1926年（大正15年）4月1日","愛知県岡崎市舞木町山中町62-4北緯34度53分58.3秒東経137度14分34秒﻿ / ﻿北緯34.899528度 東経137.24278度﻿ /34.899528; 137.24278座標:北緯34度53分58.3秒東経137度14分34秒﻿ / ﻿北緯34.899528度 東経137.24278度﻿ /34.899528; 137.24278","2面2線","無人駅*1938年愛電山中駅より改称。","NH  09 ","","","914人/日-2019年[1]-","","","","","","",""
"姪浜駅","姪浜駅（めいのはまえき）","https://ja.wikipedia.org/wiki/姪浜駅","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","北緯33度35分1.33秒東経130度19分30.85秒","福岡市地下鉄空港線**","0.0 km（姪浜起点）","福岡市交通局（福岡市地下鉄）九州旅客鉄道（JR九州）","高架駅","1925年（大正14年）4月15日","福岡市西区姪の浜四丁目8-1北緯33度35分1.33秒東経130度19分30.85秒﻿ / ﻿北緯33.5837028度 東経130.3252361度﻿ /33.5837028; 130.3252361座標:北緯33度35分1.33秒東経130度19分30.85秒﻿ / ﻿北緯33.5837028度 東経130.3252361度﻿ /33.5837028; 130.3252361","2面4線","共同使用駅（福岡市交通局の管轄駅）直営駅","○K01","メイ","（JR九州）-2019年-6,232人/日（降車客含まず）（福岡市交通局）-2018年-51,377人/日（降車客含まず）","","","","","","","",""
"明峰駅","明峰駅（めいほうえき）","https://ja.wikipedia.org/wiki/明峰駅","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","北緯36度25分29.37秒東経136度27分47.35秒","■北陸本線","151.0 km（米原起点）","西日本旅客鉄道（JR西日本）","高架駅","1988年（昭和63年）10月1日[1][2]","石川県小松市松梨町甲77北緯36度25分29.37秒東経136度27分47.35秒﻿ / ﻿北緯36.4248250度 東経136.4631528度﻿ /36.4248250; 136.4631528座標:北緯36度25分29.37秒東経136度27分47.35秒﻿ / ﻿北緯36.4248250度 東経136.4631528度﻿ /36.4248250; 136.4631528","2面2線","無人駅（自動券売機 有）","","メイ","531人/日（降車客含まず）-2018年-","","","","","","","",""
"夫婦石駅","夫婦石駅（めおといしえき）","https://ja.wikipedia.org/wiki/夫婦石駅","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","北緯33度14分13.88秒東経129度51分2.39秒","■西九州線","7.9 km（有田起点）","松浦鉄道","地上駅","1898年（明治31年）8月7日1988年（昭和63年）4月1日（転換）","佐賀県西松浦郡有田町二ノ瀬北緯33度14分13.88秒東経129度51分2.39秒","2面2線","","","メオ←メヲ","16人/日（降車客含まず）-2017年-","40人/日-2017年-","","","","","","",""
"女鹿駅","女鹿駅（めがえき・東日本旅客鉄道羽越本線）","https://ja.wikipedia.org/wiki/女鹿駅","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","北緯39度5分55.5秒東経139度52分51.4秒","■羽越本線","189.7 km（新津起点）","東日本旅客鉄道（JR東日本）","地上駅","1987年（昭和62年）4月1日","山形県飽海郡遊佐町吹浦字女鹿北緯39度5分55.5秒東経139度52分51.4秒﻿ / ﻿北緯39.098750度 東経139.880944度﻿ /39.098750; 139.880944座標:北緯39度5分55.5秒東経139度52分51.4秒﻿ / ﻿北緯39.098750度 東経139.880944度﻿ /39.098750; 139.880944","1面1線","無人駅","","メカ","","","","","","","","",""
"妻鹿駅","妻鹿駅（めがえき・山陽電気鉄道本線）","https://ja.wikipedia.org/wiki/妻鹿駅","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","北緯34度47分32.21秒東経134度41分34.66秒","本線","49.0 km（西代起点）","山陽電気鉄道","地上駅[1]","1923年（大正12年）8月19日[1][2]","兵庫県姫路市飾磨区妻鹿出口22-6[1]北緯34度47分32.21秒東経134度41分34.66秒﻿ / ﻿北緯34.7922806度 東経134.6929611度﻿ /34.7922806; 134.6929611﻿ (妻鹿駅)座標:北緯34度47分32.21秒東経134度41分34.66秒﻿ / ﻿北緯34.7922806度 東経134.6929611度﻿ /34.7922806; 134.6929611﻿ (妻鹿駅)","2面2線[1]","無人駅[1]","●SY 39","","1,317人/日（降車客含まず）-2017年-","","","","","","","",""
"めがね橋停留場","めがね橋停留場（めがねばしていりゅうじょう）","https://ja.wikipedia.org/wiki/めがね橋停留場","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","北緯32度44分49.33秒東経129度52分42.41秒","蛍茶屋支線（□2号系統・■4号系統・■5号系統）","0.4 km（西浜町起点）","長崎電気軌道","地上駅","1920年（大正9年）12月25日","長崎県長崎市栄町5番1号先北緯32度44分49.33秒東経129度52分42.41秒﻿ / ﻿北緯32.7470361度 東経129.8784472度﻿ /32.7470361; 129.8784472﻿ (めがね橋停留場)","2面2線","","37","","","900人/日-2015年-","","","","","","",""
"恵み野駅","恵み野駅（めぐみのえき）","https://ja.wikipedia.org/wiki/恵み野駅","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","北緯42度54分8.78秒東経141度34分28.28秒","■千歳線","31.9 km（沼ノ端起点）","北海道旅客鉄道（JR北海道）","地上駅（橋上駅）","1982年（昭和57年）3月1日[1]","北海道恵庭市恵み野西1丁目北緯42度54分8.78秒東経141度34分28.28秒﻿ / ﻿北緯42.9024389度 東経141.5745222度﻿ /42.9024389; 141.5745222﻿ (恵み野駅)","相対式 2面2線","業務委託駅みどりの窓口有","○H09","メク","3,208人/日（降車客含まず）-2019年-","","","","","","","",""
"目黒駅","目黒駅（めぐろえき）","https://ja.wikipedia.org/wiki/目黒駅","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","","","","東日本旅客鉄道（JR東日本・駅詳細）東急電鉄（東急・駅詳細）東京地下鉄（東京メトロ・駅詳細）東京都交通局（駅詳細）","","","東京都品川区上大崎","","","","","","","","","","","","",""
"目白駅","目白駅（めじろえき）","https://ja.wikipedia.org/wiki/目白駅","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","北緯35度43分16.3秒東経139度42分23.7秒","■山手線","14.2 km（品川起点）","東日本旅客鉄道（JR東日本）","地上駅（橋上駅）","1885年（明治18年）3月16日","東京都豊島区目白三丁目3-1北緯35度43分16.3秒東経139度42分23.7秒﻿ / ﻿北緯35.721194度 東経139.706583度﻿ /35.721194; 139.706583座標:北緯35度43分16.3秒東経139度42分23.7秒﻿ / ﻿北緯35.721194度 東経139.706583度﻿ /35.721194; 139.706583","1面2線","業務委託駅[1]東京山手線内・東京都区内駅","JY14","メシ","37,536人/日（降車客含まず）-2019年-","","","","","","","",""
"めじろ台駅","めじろ台駅（めじろだいえき）","https://ja.wikipedia.org/wiki/めじろ台駅","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","北緯35度38分36秒東経139度18分27.8秒","■高尾線","4.3 km（北野起点）新宿から40.4 km","京王電鉄","地上駅（橋上駅）","1967年（昭和42年）10月1日","東京都八王子市めじろ台一丁目100-1北緯35度38分36秒東経139度18分27.8秒﻿ / ﻿北緯35.64333度 東経139.307722度﻿ /35.64333; 139.307722﻿ (めじろ台駅)座標:北緯35度38分36秒東経139度18分27.8秒﻿ / ﻿北緯35.64333度 東経139.307722度﻿ /35.64333; 139.307722﻿ (めじろ台駅)","2面2線","","KO50","","","16,780人/日-2019年-","","","","","","",""
"目白山下駅","目白山下駅（めじろやましたえき）","https://ja.wikipedia.org/wiki/目白山下駅","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","北緯35度18分50秒東経139度29分28.5秒","■江の島線","6.2 km（大船起点）","湘南モノレール","高架駅","1971年（昭和46年）7月1日[1]","神奈川県藤沢市片瀬北緯35度18分50秒東経139度29分28.5秒﻿ / ﻿北緯35.31389度 東経139.491250度﻿ /35.31389; 139.491250﻿ (目白山下駅)座標:北緯35度18分50秒東経139度29分28.5秒﻿ / ﻿北緯35.31389度 東経139.491250度﻿ /35.31389; 139.491250﻿ (目白山下駅)","1面2線","無人駅","SMR7","","184人/日（降車客含まず）-2018年-","371人/日-2018年-","","","","","","",""
"目出駅","目出駅（めでえき）","https://ja.wikipedia.org/wiki/目出駅","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","","■小野田線","9.7km（居能起点）宇部新川から11.5 km","西日本旅客鉄道（JR西日本）","地上駅","1915年（大正4年）11月25日","","1面2線","無人駅","","メテ","11人/日（降車客含まず）-2019年-","","","","","","","",""
"メディカルセンター停留場","メディカルセンター停留場","https://ja.wikipedia.org/wiki/メディカルセンター停留場","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","北緯32度44分26.05秒東経129度52分20.78秒","大浦支線（■5号系統）","0.4 km（新地中華街起点）","長崎電気軌道","地上駅","1916年（大正5年）12月27日","長崎県長崎市新地町6番38号先北緯32度44分26.05秒東経129度52分20.78秒﻿ / ﻿北緯32.7405694度 東経129.8724389度﻿ /32.7405694; 129.8724389﻿ (メディカルセンター停留場)","2面2線","","47","","","600人/日-2015年-","","","","","","",""
"目時駅","目時駅（めときえき）","https://ja.wikipedia.org/wiki/目時駅","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","北緯40度21分5.95秒東経141度17分22.19秒","■青い森鉄道線（青い森鉄道）*","0.0 km（目時起点）","青い森鉄道IGRいわて銀河鉄道","地上駅（盛土上）","1948年（昭和23年）10月1日[1]","青森県三戸郡三戸町大字目時字村中北緯40度21分5.95秒東経141度17分22.19秒座標:北緯40度21分5.95秒 東経141度17分22.19秒","2面2線","共同使用駅（青い森鉄道の管轄駅）無人駅","","メキ","","467**人/日-2019年-","","","","","","",""
"目名駅","目名駅（めなえき）","https://ja.wikipedia.org/wiki/目名駅","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","北緯42度45分41秒東経140度27分56.45秒","■函館本線","155.8 km（函館起点）","北海道旅客鉄道（JR北海道）","地上駅","1904年（明治37年）10月15日","北海道磯谷郡蘭越町目名北緯42度45分41秒東経140度27分56.45秒","1面1線","無人駅","○S28","メナ","","8人/日-2014年-","","","","","","",""
"売布神社駅","売布神社駅（めふじんじゃえき）","https://ja.wikipedia.org/wiki/売布神社駅","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","北緯34度48分56.98秒東経135度21分40.67秒","■宝塚本線","22.4 km（大阪梅田起点）","阪急電鉄","地上駅[2]","1914年（大正3年）3月21日[2]","兵庫県宝塚市売布二丁目14番30号[1]北緯34度48分56.98秒東経135度21分40.67秒﻿ / ﻿北緯34.8158278度 東経135.3612972度﻿ /34.8158278; 135.3612972座標:北緯34度48分56.98秒東経135度21分40.67秒﻿ / ﻿北緯34.8158278度 東経135.3612972度﻿ /34.8158278; 135.3612972","2面2線[2]","","HK54","","","","","（通年平均）8,297人/日（特定日）9,357人/日-2019年-","","","","",""
"女満別駅","女満別駅（めまんべつえき）","https://ja.wikipedia.org/wiki/女満別駅","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","北緯43度54分57.54秒東経144度10分15.61秒","■石北本線","218.1 km（新旭川起点）","北海道旅客鉄道（JR北海道）","地上駅","1912年（大正元年）10月5日","北海道網走郡大空町女満別本通1丁目北緯43度54分57.54秒東経144度10分15.61秒","2面2線","無人駅","○A67","メマ","","220人/日-2014年-","","","","","","",""
"芽室駅","芽室駅（めむろえき）","https://ja.wikipedia.org/wiki/芽室駅","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","北緯42度54分36.08秒東経143度2分54.01秒","■根室本線","166.5 km（滝川起点）","北海道旅客鉄道（JR北海道）","地上駅","1907年（明治40年）9月8日","北海道河西郡芽室町本通一丁目北緯42度54分36.08秒東経143度2分54.01秒﻿ / ﻿北緯42.9100222度 東経143.0483361度﻿ /42.9100222; 143.0483361﻿ (芽室駅)","2面3線","業務委託駅みどりの窓口有","○K27","メム","277人/日（降車客含まず）-2019年-","","","","","","","",""
"免田駅","免田駅（めんでんえき）","https://ja.wikipedia.org/wiki/免田駅","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","北緯36度47分44.93秒東経136度44分51.06秒","■七尾線","17.8 km（津幡起点）金沢から29.3 km","西日本旅客鉄道（JR西日本）","地上駅","1950年（昭和25年）5月1日[2]","石川県羽咋郡宝達志水町免田タ106北緯36度47分44.93秒東経136度44分51.06秒﻿ / ﻿北緯36.7958139度 東経136.7475167度﻿ /36.7958139; 136.7475167座標:北緯36度47分44.93秒東経136度44分51.06秒﻿ / ﻿北緯36.7958139度 東経136.7475167度﻿ /36.7958139; 136.7475167","1面2線[1]","無人駅[1]（自動券売機 有[1]）","","メテ","","","","","","","","",""
"茂市駅","茂市駅（もいちえき）","https://ja.wikipedia.org/wiki/茂市駅","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","北緯39度37分14.99秒東経141度47分55.44秒","■山田線[1]","87.0 km（盛岡起点）","東日本旅客鉄道（JR東日本）","地上駅","1934年（昭和9年）11月6日[1][2]","岩手県宮古市茂市3-159-9北緯39度37分14.99秒東経141度47分55.44秒座標:北緯39度37分14.99秒 東経141度47分55.44秒","1面2線","無人駅","","モイ","38人/日（降車客含まず）-2017年-","","","","","","","",""
"藻岩山","もいわ山頂駅（もいわさんちょうえき）","https://ja.wikipedia.org/wiki/藻岩山#札幌もいわ山ロープウェイ","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","北緯43度01分21秒東経141度19分20秒","","","","","","日本北海道札幌市南区","","","","","","","","","複成火山","531m","北緯43度01分21秒東経141度19分20秒﻿ / ﻿北緯43.02250度 東経141.32222度﻿ /43.02250; 141.32222座標:北緯43度01分21秒東経141度19分20秒﻿ / ﻿北緯43.02250度 東経141.32222度﻿ /43.02250; 141.32222[1]","後志山地","280-230万年前"
"藻岩山","もいわ山麓駅（もいわさんろくえき）","https://ja.wikipedia.org/wiki/藻岩山#札幌もいわ山ロープウェイ","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","北緯43度01分21秒東経141度19分20秒","","","","","","日本北海道札幌市南区","","","","","","","","","複成火山","531m","北緯43度01分21秒東経141度19分20秒﻿ / ﻿北緯43.02250度 東経141.32222度﻿ /43.02250; 141.32222座標:北緯43度01分21秒東経141度19分20秒﻿ / ﻿北緯43.02250度 東経141.32222度﻿ /43.02250; 141.32222[1]","後志山地","280-230万年前"
