"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","国","地方","都道府県","面積","総人口","人口密度","所在地","市町村コード","隣接自治体","外部リンク","法人番号","市長","市の花","市の木","市の鳥","特記事項","他のシンボル","区の木","区の花"
"大野市","[大野市] 大野市 （おおのし）は、 福井県 東部に位置する 市 である。","https://ja.wikipedia.org/wiki/大野市","日本の地方公共団体一覧","https://ja.wikipedia.org/wiki/日本の地方公共団体一覧","箇条書き,制限あり","北緯35度58分47秒東経136度29分15秒","日本","中部地方、北陸地方","福井県","872.43km2","30,914人（推計人口、2021年6月1日）","35.4人/km2","〒912-8666福井県大野市天神町1番1号北緯35度58分47秒東経136度29分15秒﻿ / ﻿北緯35.97972度 東経136.48750度﻿ /35.97972; 136.48750座標:北緯35度58分47秒東経136度29分15秒﻿ / ﻿北緯35.97972度 東経136.48750度﻿ /35.97972; 136.48750","18205-2","福井市、勝山市、今立郡池田町石川県白山市岐阜県：高山市、郡上市、関市、本巣市、揖斐郡揖斐川町","公式ウェブサイト","6000020182052","石山志保","コブシ","ブナ","","人口は現市域分推計値の合計大野市の旧境界（2005年11月7日合併前）1. 大野市　2.旧:和泉村","鳥：ウグイス魚：イトヨ","",""
"勝山市","[勝山市] 勝山市 （かつやまし）は、 福井県 北東部の奥越にある 市 である。日本有数の 豪雪地帯 であり、特別豪雪地帯にも指定されている。 福井県立恐竜博物館 （ 世界三大恐竜博物館 ）があり、「恐竜のまち」を標榜している。","https://ja.wikipedia.org/wiki/勝山市","日本の地方公共団体一覧","https://ja.wikipedia.org/wiki/日本の地方公共団体一覧","箇条書き,制限あり","北緯36度3分39.1秒東経136度30分2.3秒","日本","中部地方、北陸地方","福井県","253.88km2","21,872人（推計人口、2021年6月1日）","86.2人/km2","〒911-8501福井県勝山市元町一丁目1番1号北緯36度3分39.1秒東経136度30分2.3秒﻿ / ﻿北緯36.060861度 東経136.500639度﻿ /36.060861; 136.500639座標:北緯36度3分39.1秒東経136度30分2.3秒﻿ / ﻿北緯36.060861度 東経136.500639度﻿ /36.060861; 136.500639市庁舎位置","18206-1","福井市、大野市、坂井市、吉田郡永平寺町石川県：加賀市、小松市、白山市","公式ウェブサイト","5000020182061","水上実喜夫","さつき","杉","","","チャマゴン（恐竜をモチーフとしたキャラクター）","",""
"鯖江市","[鯖江市] 鯖江市 （さばえし）は、 福井県 にある 市 。 嶺北 地方中央部に位置する。 鎌倉時代 に 誠照寺 の 門前町 として発展し、 江戸時代 には 間部氏 鯖江藩 5万 石 （のち4万石）の 鯖江陣屋 を中心とした陣屋町となった。","https://ja.wikipedia.org/wiki/鯖江市","日本の地方公共団体一覧","https://ja.wikipedia.org/wiki/日本の地方公共団体一覧","箇条書き,制限あり","北緯35度57分23.3秒東経136度11分3.4秒","日本","中部地方、北陸地方","福井県","84.59km2","68,405人（推計人口、2021年6月1日）","809人/km2","〒916-8666福井県鯖江市西山町13番1号北緯35度57分23.3秒東経136度11分3.4秒﻿ / ﻿北緯35.956472度 東経136.184278度﻿ /35.956472; 136.184278座標:北緯35度57分23.3秒東経136度11分3.4秒﻿ / ﻿北緯35.956472度 東経136.184278度﻿ /35.956472; 136.184278","18207-9","福井市、越前市、今立郡池田町、丹生郡越前町","公式ウェブサイト","4000020182079","佐々木勝久","つつじ","さくら","おしどり","","","",""
"あわら市","[あわら市] あわら市 （あわらし）は、 福井県 の北端に位置し、 福井平野 から 加越台地 にかけて広がる 市 。","https://ja.wikipedia.org/wiki/あわら市","日本の地方公共団体一覧","https://ja.wikipedia.org/wiki/日本の地方公共団体一覧","箇条書き,制限あり","北緯36度12分40.7秒東経136度13分44.3秒","日本","中部地方、北陸地方","福井県","116.98km2","27,220人（推計人口、2021年6月1日）","233人/km2","〒919-0692福井県あわら市市姫三丁目1番1号北緯36度12分40.7秒東経136度13分44.3秒﻿ / ﻿北緯36.211306度 東経136.228972度﻿ /36.211306; 136.228972座標:北緯36度12分40.7秒東経136度13分44.3秒﻿ / ﻿北緯36.211306度 東経136.228972度﻿ /36.211306; 136.228972","18208-7","坂井市石川県加賀市","公式ウェブサイト","4000020182087","佐々木康男","花菖蒲","梅","白鷺","あわら市の旧境界(2004年3月1日合併前)1.旧:芦原町 2. 旧:金津町","","",""
"越前市","[越前市] 越前市 （えちぜんし）は、 福井県 嶺北 地方中南部に位置する 市 。","https://ja.wikipedia.org/wiki/越前市","日本の地方公共団体一覧","https://ja.wikipedia.org/wiki/日本の地方公共団体一覧","箇条書き,制限あり","北緯35度54分12.6秒東経136度10分7.5秒","日本","中部地方、北陸地方","福井県","230.70km2","80,477人（推計人口、2021年6月1日）","349人/km2","〒915-8530福井県越前市府中一丁目13番7号北緯35度54分12.6秒東経136度10分7.5秒﻿ / ﻿北緯35.903500度 東経136.168750度﻿ /35.903500; 136.168750座標:北緯35度54分12.6秒東経136度10分7.5秒﻿ / ﻿北緯35.903500度 東経136.168750度﻿ /35.903500; 136.168750","18209-5","福井市、鯖江市、今立郡池田町、南条郡南越前町、丹生郡越前町","公式ウェブサイト","4000020182095","奈良俊幸","菊","桜","","越前市の旧境界（2005年10月1日合併前）1.旧:武生市2.旧:今立町","","",""
"坂井市","[坂井市] 坂井市 （さかいし）は、 福井県 の北部に位置する 市 である。","https://ja.wikipedia.org/wiki/坂井市","日本の地方公共団体一覧","https://ja.wikipedia.org/wiki/日本の地方公共団体一覧","箇条書き,制限あり","北緯36度10分1秒東経136度13分53.2秒","日本","中部地方、北陸地方","福井県","209.67km2","88,022人（推計人口、2021年6月1日）","420人/km2","〒919-0592福井県坂井市坂井町下新庄第1号1番地北緯36度10分1秒東経136度13分53.2秒﻿ / ﻿北緯36.16694度 東経136.231444度﻿ /36.16694; 136.231444座標:北緯36度10分1秒東経136度13分53.2秒﻿ / ﻿北緯36.16694度 東経136.231444度﻿ /36.16694; 136.231444","18210-9","福井市、あわら市、勝山市、吉田郡永平寺町石川県：加賀市","公式ウェブサイト","8000020182109","坂本憲男","ユリ","サクラ","カモメ","坂井市の地域自治区（2006年3月20日合併前の旧町境界と同じ）1.三国町, 2.丸岡町, 3.春江町, 4.坂井町","","",""
"吉田郡","[吉田郡：永平寺町] 吉田郡 （よしだぐん）は、 福井県 （ 越前国 ）の 郡 。","https://ja.wikipedia.org/wiki/吉田郡","日本の地方公共団体一覧","https://ja.wikipedia.org/wiki/日本の地方公共団体一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"今立郡","[今立郡：池田町] 今立郡 （いまだてぐん）は、 福井県 （ 越前国 ）の 郡 。","https://ja.wikipedia.org/wiki/今立郡","日本の地方公共団体一覧","https://ja.wikipedia.org/wiki/日本の地方公共団体一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"南条郡","[南条郡：南越前町] 南条郡 （なんじょうぐん）は、 福井県 （ 越前国 ）の 郡 。","https://ja.wikipedia.org/wiki/南条郡","日本の地方公共団体一覧","https://ja.wikipedia.org/wiki/日本の地方公共団体一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"丹生郡","[丹生郡：越前町] 丹生郡 （にゅうぐん）は、 福井県 （ 越前国 ）の 郡 。","https://ja.wikipedia.org/wiki/丹生郡","日本の地方公共団体一覧","https://ja.wikipedia.org/wiki/日本の地方公共団体一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"三方郡","[三方郡：美浜町] ","https://ja.wikipedia.org/wiki/三方郡","日本の地方公共団体一覧","https://ja.wikipedia.org/wiki/日本の地方公共団体一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"大飯郡","[大飯郡：高浜町-おおい町] ","https://ja.wikipedia.org/wiki/大飯郡","日本の地方公共団体一覧","https://ja.wikipedia.org/wiki/日本の地方公共団体一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"三方上中郡","[三方上中郡：若狭町] ","https://ja.wikipedia.org/wiki/三方上中郡","日本の地方公共団体一覧","https://ja.wikipedia.org/wiki/日本の地方公共団体一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"甲府市","[甲府市] 甲府市 （こうふし）は、 山梨県 の 国中地方 に位置する 市 。山梨県の 県庁所在地 で、 中核市 に指定されている。","https://ja.wikipedia.org/wiki/甲府市","日本の地方公共団体一覧","https://ja.wikipedia.org/wiki/日本の地方公共団体一覧","箇条書き,制限あり","北緯35度39分43.7秒東経138度34分5.6秒","日本","中部地方、甲信越地方","山梨県","212.47km2","186,959人（推計人口、2021年6月1日）","880人/km2","〒400-8585山梨県甲府市丸の内1丁目18番1号北緯35度39分43.7秒東経138度34分5.6秒﻿ / ﻿北緯35.662139度 東経138.568222度﻿ /35.662139; 138.568222﻿ (甲府市)座標:北緯35度39分43.7秒東経138度34分5.6秒﻿ / ﻿北緯35.662139度 東経138.568222度﻿ /35.662139; 138.568222﻿ (甲府市)","19201-5","甲斐市、山梨市、笛吹市、北杜市、中央市、中巨摩郡昭和町、南都留郡富士河口湖町、西八代郡市川三郷町、南巨摩郡身延町長野県南佐久郡川上村","公式ウェブサイト","1000020192015","樋口雄一","ナデシコ","カシ","カワセミ","","","",""
"富士吉田市","[富士吉田市] 富士吉田市 （ふじよしだし）は、 山梨県 東南部の 郡内地方 にある 市 。郡内地方の中心都市である。 国際会議観光都市 に指定されている。","https://ja.wikipedia.org/wiki/富士吉田市","日本の地方公共団体一覧","https://ja.wikipedia.org/wiki/日本の地方公共団体一覧","箇条書き,制限あり","北緯35度29分15.1秒東経138度48分27.9秒","日本","中部地方、甲信越地方","山梨県","121.74km2（境界未定部分あり）","46,493人（推計人口、2021年6月1日）","382人/km2","〒403-8601山梨県富士吉田市下吉田六丁目1番1号北緯35度29分15.1秒東経138度48分27.9秒﻿ / ﻿北緯35.487528度 東経138.807750度﻿ /35.487528; 138.807750﻿ (富士吉田市)座標:北緯35度29分15.1秒東経138度48分27.9秒﻿ / ﻿北緯35.487528度 東経138.807750度﻿ /35.487528; 138.807750﻿ (富士吉田市)","19202-3","都留市、南都留郡西桂町、富士河口湖町、忍野村、鳴沢村、山中湖村静岡県：富士宮市、駿東郡小山町","公式ウェブサイト","1000020192023","堀内茂","ふじざくら","しらかば","","","市の鳥:アカゲラ市の愛唱歌:『ここにはいつも富士がある』","",""
"都留市","[都留市] 都留市 （つるし）は、 山梨県 東部の 郡内地方 に位置する 市 である。古くからの甲斐絹の産地である。","https://ja.wikipedia.org/wiki/都留市","日本の地方公共団体一覧","https://ja.wikipedia.org/wiki/日本の地方公共団体一覧","箇条書き,制限あり","北緯35度33分5.5秒東経138度54分19.6秒","日本","中部地方、甲信越地方","山梨県","161.63km2","30,127人（推計人口、2021年6月1日）","186人/km2","〒402-8501山梨県都留市上谷一丁目1番1号北緯35度33分5.5秒東経138度54分19.6秒﻿ / ﻿北緯35.551528度 東経138.905444度﻿ /35.551528; 138.905444﻿ (都留市)座標:北緯35度33分5.5秒東経138度54分19.6秒﻿ / ﻿北緯35.551528度 東経138.905444度﻿ /35.551528; 138.905444﻿ (都留市)","19204-0","富士吉田市、大月市、上野原市、南都留郡道志村、西桂町、忍野村、山中湖村、富士河口湖町","公式ウェブサイト","9000020192040","堀内富久","梅","赤松","鶯","","","",""
"山梨市","[山梨市] 山梨市 （やまなしし）は、 山梨県 にある 市 。 国中地方 に含まれ、 甲府盆地 の東部に位置する  。","https://ja.wikipedia.org/wiki/山梨市","日本の地方公共団体一覧","https://ja.wikipedia.org/wiki/日本の地方公共団体一覧","箇条書き,制限あり","北緯35度41分36.4秒東経138度41分12.8秒","日本","中部地方、甲信越地方","山梨県","289.80km2","32,768人（推計人口、2021年6月1日）","113人/km2","〒405-8501山梨県山梨市小原西955番地北緯35度41分36.4秒東経138度41分12.8秒﻿ / ﻿北緯35.693444度 東経138.686889度﻿ /35.693444; 138.686889﻿ (山梨市)座標:北緯35度41分36.4秒東経138度41分12.8秒﻿ / ﻿北緯35.693444度 東経138.686889度﻿ /35.693444; 138.686889﻿ (山梨市)","19205-8","甲府市、甲州市、笛吹市埼玉県秩父市長野県南佐久郡川上村","公式ウェブサイト","8000020192058","高木晴雄","つつじ","松","チドリ","","","",""
"大月市","[大月市] 大月市 （おおつきし）は、 山梨県 東部の 郡内地方 に位置する人口約2.2万人の 市 である。","https://ja.wikipedia.org/wiki/大月市","日本の地方公共団体一覧","https://ja.wikipedia.org/wiki/日本の地方公共団体一覧","箇条書き,制限あり","北緯35度36分38秒東経138度56分24秒","日本","中部地方、甲信越地方","山梨県","280.25km2","22,171人（推計人口、2021年6月1日）","79.1人/km2","〒401-8601山梨県大月市大月二丁目6番20号北緯35度36分38秒東経138度56分24秒﻿ / ﻿北緯35.61056度 東経138.94000度﻿ /35.61056; 138.94000﻿ (大月市)座標:北緯35度36分38秒東経138度56分24秒﻿ / ﻿北緯35.61056度 東経138.94000度﻿ /35.61056; 138.94000﻿ (大月市)","19206-6","上野原市、都留市、甲州市、笛吹市、南都留郡富士河口湖町、北都留郡小菅村","公式ウェブサイト","8000020192066","小林信保","山ゆり","八重桜","","","","",""
"韮崎市","[韮崎市] 韮崎市 （にらさきし）は、 山梨県 北部に位置する 市 。 国中地方 に含まれる。","https://ja.wikipedia.org/wiki/韮崎市","日本の地方公共団体一覧","https://ja.wikipedia.org/wiki/日本の地方公共団体一覧","箇条書き,制限あり","北緯35度42分31.9秒東経138度26分46.1秒","日本","中部地方、甲信越地方","山梨県","143.69km2","28,808人（推計人口、2021年6月1日）","200人/km2","〒407-8501山梨県韮崎市水神一丁目3番1号北緯35度42分31.9秒東経138度26分46.1秒﻿ / ﻿北緯35.708861度 東経138.446139度﻿ /35.708861; 138.446139","19207-4","南アルプス市、北杜市、甲斐市","公式ウェブサイト","8000020192074","内藤久夫","レンゲつつじ","こぶし","ちょうげんぼう","","","",""
"南アルプス市","[南アルプス市] 南アルプス市 （みなみアルプスし）は、 山梨県 西部の 国中地方 に位置する 市 。","https://ja.wikipedia.org/wiki/南アルプス市","日本の地方公共団体一覧","https://ja.wikipedia.org/wiki/日本の地方公共団体一覧","箇条書き,制限あり","北緯35度36分29.9秒東経138度27分54.1秒","日本","中部地方、甲信越地方","山梨県","264.14km2","69,539人（推計人口、2021年6月1日）","263人/km2","〒400-0395山梨県南アルプス市小笠原376番地北緯35度36分29.9秒東経138度27分54.1秒﻿ / ﻿北緯35.608306度 東経138.465028度﻿ /35.608306; 138.465028﻿ (南アルプス市)座標:北緯35度36分29.9秒東経138度27分54.1秒﻿ / ﻿北緯35.608306度 東経138.465028度﻿ /35.608306; 138.465028﻿ (南アルプス市)","19208-2","韮崎市、北杜市、甲斐市、中央市、南巨摩郡富士川町、早川町、西八代郡市川三郷町、中巨摩郡昭和町長野県伊那市静岡県静岡市","公式ウェブサイト","8000020192082","金丸一元","","","","","","",""
"北杜市","[北杜市] 北杜市 （ほくとし）は、 山梨県 北西部の国中地方に位置する 市 である。山梨県内の自治体として最も大きく、最北端にあたる。","https://ja.wikipedia.org/wiki/北杜市","日本の地方公共団体一覧","https://ja.wikipedia.org/wiki/日本の地方公共団体一覧","箇条書き,制限あり","北緯35度46分35.3秒東経138度25分25.1秒","日本","中部地方、甲信越地方","山梨県","602.48km2","43,406人（推計人口、2021年6月1日）","72人/km2","〒408-0188山梨県北杜市須玉町大豆生田961番地1北緯35度46分35.3秒東経138度25分25.1秒﻿ / ﻿北緯35.776472度 東経138.423639度﻿ /35.776472; 138.423639﻿ (北杜市)座標:北緯35度46分35.3秒東経138度25分25.1秒﻿ / ﻿北緯35.776472度 東経138.423639度﻿ /35.776472; 138.423639﻿ (北杜市)","19209-1","甲府市、韮崎市、南アルプス市、甲斐市長野県：茅野市、伊那市、南佐久郡川上村、南牧村、諏訪郡富士見町、原村","北杜市","7000020192091","上村英司","ヒマワリ","アカマツ","","","","",""
"甲斐市","[甲斐市] 甲斐市 （かいし）は、 山梨県 北西部の 国中地方 に位置する人口約7万人の 市 。 甲府市 に次ぎ県内で人口第2位である。 市章 は、旧三町を表現する三枚の葉で頭文字の「 K 」を形作り、 ハート の造形を図案化したもの。","https://ja.wikipedia.org/wiki/甲斐市","日本の地方公共団体一覧","https://ja.wikipedia.org/wiki/日本の地方公共団体一覧","箇条書き,制限あり","北緯35度39分38.9秒東経138度30分56.8秒","日本","中部地方、甲信越地方","山梨県","71.95km2","75,582人（推計人口、2021年6月1日）","1,050人/km2","〒400-0192山梨県甲斐市篠原2610番地北緯35度39分38.9秒東経138度30分56.8秒﻿ / ﻿北緯35.660806度 東経138.515778度﻿ /35.660806; 138.515778﻿ (甲斐市)座標:北緯35度39分38.9秒東経138度30分56.8秒﻿ / ﻿北緯35.660806度 東経138.515778度﻿ /35.660806; 138.515778﻿ (甲斐市)","19210-4","甲府市、韮崎市、南アルプス市、北杜市、中巨摩郡昭和町","公式ウェブサイト","3000020192104","保坂武","サクラ","ケヤキ","","","","",""
"笛吹市","[笛吹市] 笛吹市 （ふえふきし）は、 山梨県 にある 市 。 国中地方 に含まれ、 甲府盆地 の東寄りに位置する  。2006年度のモモ収穫量は22,900トン、ぶどう収穫量は14,400トンであり、いずれも自治体別では全国1位だった。このことから、2005年（平成17年）10月12日には「 桃 ・ ぶどう 日本一の郷」を  、2013年（平成25年）4月には「日本一 桃源郷 」を宣言している  。","https://ja.wikipedia.org/wiki/笛吹市","日本の地方公共団体一覧","https://ja.wikipedia.org/wiki/日本の地方公共団体一覧","箇条書き,制限あり","北緯35度38分50.3秒東経138度38分23秒","日本","中部地方、甲信越地方","山梨県","201.92km2","67,326人（推計人口、2021年6月1日）","333人/km2","〒406-8510山梨県笛吹市石和町市部777番地北緯35度38分50.3秒東経138度38分23秒﻿ / ﻿北緯35.647306度 東経138.63972度﻿ /35.647306; 138.63972﻿ (笛吹市)座標:北緯35度38分50.3秒東経138度38分23秒﻿ / ﻿北緯35.647306度 東経138.63972度﻿ /35.647306; 138.63972﻿ (笛吹市)笛吹市役所本庁舎（2014年3月撮影）","19211-2","甲府市、山梨市、大月市、甲州市、南都留郡富士河口湖町","公式ウェブサイト","3000020192112","山下政樹","バラ","モモ","オオルリ","","","",""
"上野原市","[上野原市] 上野原市 （うえのはらし）は、 山梨県 最東端に位置する人口約2.2万人の 市 。 郡内地方 に含まれる。","https://ja.wikipedia.org/wiki/上野原市","日本の地方公共団体一覧","https://ja.wikipedia.org/wiki/日本の地方公共団体一覧","箇条書き,制限あり","北緯35度37分48.7秒東経139度6分30.8秒","日本","中部地方、甲信越地方","山梨県","170.57km2","22,504人（推計人口、2021年6月1日）","132人/km2","〒409-0192山梨県上野原市上野原3832番地北緯35度37分48.7秒東経139度6分30.8秒﻿ / ﻿北緯35.630194度 東経139.108556度﻿ /35.630194; 139.108556","19212-1","大月市、都留市、南都留郡道志村、北都留郡小菅村東京都：西多摩郡奥多摩町、檜原村神奈川県相模原市","公式ウェブサイト","2000020192121","村上信行","リンドウ","ヤマモミジ","ウグイス","","","",""
"甲州市","[甲州市] ","https://ja.wikipedia.org/wiki/甲州市","日本の地方公共団体一覧","https://ja.wikipedia.org/wiki/日本の地方公共団体一覧","箇条書き,制限あり","北緯35度42分15.6秒東経138度43分45.9秒","日本","中部地方、甲信越地方","山梨県","264.11km2","28,935人（推計人口、2021年6月1日）","110人/km2","〒404-8501山梨県甲州市塩山上於曽1085番地1北緯35度42分15.6秒東経138度43分45.9秒﻿ / ﻿北緯35.704333度 東経138.729417度﻿ /35.704333; 138.729417﻿ (甲州市)座標:北緯35度42分15.6秒東経138度43分45.9秒﻿ / ﻿北緯35.704333度 東経138.729417度﻿ /35.704333; 138.729417﻿ (甲州市)","19213-9","大月市、山梨市、笛吹市、北都留郡小菅村、丹波山村埼玉県秩父市","公式ウェブサイト","1000020192139","鈴木幹夫","桜","ぶどう","うぐいす","","","",""
"中央市","[中央市] 中央市 （ちゅうおうし）は、 山梨県 の国中地方、甲府盆地の南部にある 市 。中央市の「中央」は甲府盆地の中央、山梨県の中央、日本の中央の意味がある。","https://ja.wikipedia.org/wiki/中央市","日本の地方公共団体一覧","https://ja.wikipedia.org/wiki/日本の地方公共団体一覧","箇条書き,制限あり","北緯35度35分58.6秒東経138度31分2.1秒","日本","中部地方、甲信越地方","山梨県","31.69km2","30,915人（推計人口、2021年6月1日）","976人/km2","〒409-3892山梨県中央市臼井阿原301番地1北緯35度35分58.6秒東経138度31分2.1秒﻿ / ﻿北緯35.599611度 東経138.517250度﻿ /35.599611; 138.517250﻿ (中央市)座標:北緯35度35分58.6秒東経138度31分2.1秒﻿ / ﻿北緯35.599611度 東経138.517250度﻿ /35.599611; 138.517250﻿ (中央市)","19214-7","甲府市、南アルプス市、中巨摩郡昭和町、西八代郡市川三郷町","公式ウェブサイト","1000020192147","田中久雄","れんげ草","桜","","","","",""
"西八代郡","[西八代郡：市川三郷町] ","https://ja.wikipedia.org/wiki/西八代郡","日本の地方公共団体一覧","https://ja.wikipedia.org/wiki/日本の地方公共団体一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"南巨摩郡","[南巨摩郡：早川町-身延町-南部町-富士川町] ","https://ja.wikipedia.org/wiki/南巨摩郡","日本の地方公共団体一覧","https://ja.wikipedia.org/wiki/日本の地方公共団体一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"中巨摩郡","[中巨摩郡：昭和町] ","https://ja.wikipedia.org/wiki/中巨摩郡","日本の地方公共団体一覧","https://ja.wikipedia.org/wiki/日本の地方公共団体一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"南都留郡","[南都留郡：道志村-西桂町-忍野村-山中湖村-鳴沢村-富士河口湖町] ","https://ja.wikipedia.org/wiki/南都留郡","日本の地方公共団体一覧","https://ja.wikipedia.org/wiki/日本の地方公共団体一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"北都留郡","[北都留郡：小菅村-丹波山村] ","https://ja.wikipedia.org/wiki/北都留郡","日本の地方公共団体一覧","https://ja.wikipedia.org/wiki/日本の地方公共団体一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"長野市","[長野市] 長野市 （ながのし）は、 長野県 の 北信地方 に位置する 市 である。長野県の 県庁所在地 でもあり、 中核市 に指定されている。","https://ja.wikipedia.org/wiki/長野市","日本の地方公共団体一覧","https://ja.wikipedia.org/wiki/日本の地方公共団体一覧","箇条書き,制限あり","北緯36度38分54.9秒東経138度11分39.1秒","日本","中部地方、甲信越地方、信越地方","長野県","834.81km2","366,603人（推計人口、2021年6月1日）","439人/km2","〒380-8512長野県長野市大字鶴賀緑町1613番地北緯36度38分54.9秒東経138度11分39.1秒﻿ / ﻿北緯36.648583度 東経138.194194度﻿ /36.648583; 138.194194座標:北緯36度38分54.9秒東経138度11分39.1秒﻿ / ﻿北緯36.648583度 東経138.194194度﻿ /36.648583; 138.194194長野市役所","20201-1","須坂市、中野市、千曲市、上田市、大町市、東筑摩郡筑北村、麻績村、生坂村、上水内郡信濃町、飯綱町、小川村、北安曇郡白馬村、小谷村、上高井郡小布施町新潟県妙高市","公式ウェブサイト","3000020202011","加藤久雄","リンゴ","シナノキ","","","","",""
"松本市","[松本市] 松本市 （まつもとし）は、 長野県 中信地方 に位置する 市 である。 中核市 、 国際会議観光都市 に指定されている。","https://ja.wikipedia.org/wiki/松本市","日本の地方公共団体一覧","https://ja.wikipedia.org/wiki/日本の地方公共団体一覧","箇条書き,制限あり","北緯36度14分16.8秒東経137度58分19.1秒","日本","中部地方、甲信越地方、信越地方","長野県","978.47km2","238,971人（推計人口、2021年6月1日）","244人/km2","〒390-8620長野県松本市丸の内3番7号北緯36度14分16.8秒東経137度58分19.1秒﻿ / ﻿北緯36.238000度 東経137.971972度﻿ /36.238000; 137.971972座標:北緯36度14分16.8秒東経137度58分19.1秒﻿ / ﻿北緯36.238000度 東経137.971972度﻿ /36.238000; 137.971972松本市役所庁舎","20202-9","塩尻市、安曇野市、大町市、岡谷市、上田市、諏訪郡下諏訪町、東筑摩郡山形村、朝日村、筑北村、小県郡長和町、青木村、木曽郡木曽町、木祖村岐阜県高山市","公式ウェブサイト","2000020202029","臥雲義尚","れんげつつじ","あかまつ","","市庁舎位置の標高：592.21m","","",""
"上田市","[上田市] 上田市 （うえだし）は、 長野県 の東部（ 東信地方 ）にある市である。東信地方および 上田地域 の中心都市で、長野県内では 長野市 、 松本市 に次ぐ3番目の規模の都市である。","https://ja.wikipedia.org/wiki/上田市","日本の地方公共団体一覧","https://ja.wikipedia.org/wiki/日本の地方公共団体一覧","箇条書き,制限あり","北緯36度24分6.8秒東経138度14分56.7秒","日本","中部地方、甲信越地方、信越地方","長野県","552.04km2","152,077人（推計人口、2021年6月1日）","275人/km2","〒386-8601長野県上田市大手一丁目11番16号北緯36度24分6.8秒東経138度14分56.7秒﻿ / ﻿北緯36.401889度 東経138.249083度﻿ /36.401889; 138.249083座標:北緯36度24分6.8秒東経138度14分56.7秒﻿ / ﻿北緯36.401889度 東経138.249083度﻿ /36.401889; 138.249083上田市役所 本庁舎","20203-7","東御市、松本市、須坂市、長野市、千曲市、小県郡長和町、青木村、埴科郡坂城町、北佐久郡立科町、東筑摩郡筑北村群馬県吾妻郡嬬恋村","公式ウェブサイト","2000020202037","土屋陽一","サクラ","","","都市圏人口上田都市圏：379,071人（2005年8月1日）上田地方中核都市圏：356,500人（2005年8月1日）上田小都市雇用圏：227,062人（2005年8月1日）","","",""
"岡谷市","[岡谷市] 岡谷市 （おかやし）は、 長野県 南信地方 の 市 で、 諏訪湖 に隣接する工業都市である。 計量特定市 。 諏訪地域 の3市2町1村からなる 諏訪広域連合 の構成自治体である。","https://ja.wikipedia.org/wiki/岡谷市","日本の地方公共団体一覧","https://ja.wikipedia.org/wiki/日本の地方公共団体一覧","箇条書き,制限あり","北緯36度4分1.6秒東経138度2分57.5秒","日本","中部地方、甲信越地方、信越地方","長野県","85.10km2（境界未定部分あり）","47,269人（推計人口、2021年6月1日）","555人/km2","〒394-8510長野県岡谷市幸町8番1号北緯36度4分1.6秒東経138度2分57.5秒﻿ / ﻿北緯36.067111度 東経138.049306度﻿ /36.067111; 138.049306座標:北緯36度4分1.6秒東経138度2分57.5秒﻿ / ﻿北緯36.067111度 東経138.049306度﻿ /36.067111; 138.049306市庁舎位置","20204-5","松本市、塩尻市、諏訪市、諏訪郡下諏訪町、上伊那郡辰野町","公式ウェブサイト","2000020202045","今井竜五","ツツジ","イチイ","","","","",""
"飯田市","[飯田市] 飯田市 （いいだし）は、 長野県 南部に位置する 市 である。","https://ja.wikipedia.org/wiki/飯田市","日本の地方公共団体一覧","https://ja.wikipedia.org/wiki/日本の地方公共団体一覧","箇条書き,制限あり","北緯35度30分54秒東経137度49分17秒","日本","中部地方、甲信越地方、信越地方","長野県","658.66km2","96,216人（推計人口、2021年6月1日）","146人/km2","〒395-8501長野県飯田市大久保町2534北緯35度30分54秒東経137度49分17秒﻿ / ﻿北緯35.51500度 東経137.82139度﻿ /35.51500; 137.82139座標:北緯35度30分54秒東経137度49分17秒﻿ / ﻿北緯35.51500度 東経137.82139度﻿ /35.51500; 137.82139飯田市役所庁舎","20205-3","下伊那郡松川町、高森町、阿智村、下條村、泰阜村、天龍村、喬木村、豊丘村、大鹿村、木曽郡南木曽町、大桑村、上伊那郡飯島町静岡県：静岡市、浜松市、榛原郡川根本町","飯田市","2000020202053","佐藤健","ミツバツツジ","りんご","","","","",""
