"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所属路線","キロ程","所属事業者","駅構造","開業年月日","ホーム","所在地","備考","電報略号","乗車人員,-統計年度-","駅番号","乗降人員,-統計年度-","乗換","種類","本社所在地","設立","業種","法人番号","事業内容"
"野田新町駅","野田新町駅（のだしんまちえき）","https://ja.wikipedia.org/wiki/野田新町駅","日本の鉄道駅一覧_ぬ-の","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ぬ-の","箇条書き,制限あり","北緯34度59分0.743秒東経137度1分41.195秒","CA東海道本線（名古屋地区）","339.7 km（東京起点）","東海旅客鉄道（JR東海）","地上駅（橋上駅）","2007年（平成19年）3月18日","2面2線","愛知県刈谷市野田新町一丁目905北緯34度59分0.743秒東経137度1分41.195秒﻿ / ﻿北緯34.98353972度 東経137.02810972度﻿ /34.98353972; 137.02810972座標:北緯34度59分0.743秒東経137度1分41.195秒﻿ / ﻿北緯34.98353972度 東経137.02810972度﻿ /34.98353972; 137.02810972","駅員無配置駅（自動券売機 有）[1]集中旅客サービスシステム導入駅","ノマ","2,652人/日（降車客含まず）-2019年-","CA  57 ","","","","","","","",""
"野田玉川駅","野田玉川駅（のだたまがわえき）","https://ja.wikipedia.org/wiki/野田玉川駅","日本の鉄道駅一覧_ぬ-の","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ぬ-の","箇条書き,制限あり","北緯40度4分58.13秒東経141度49分43.93秒","■リアス線","147.9 km（盛起点）","三陸鉄道","地上駅","1975年（昭和50年）7月20日","2面2線","岩手県九戸郡野田村大字玉川北緯40度4分58.13秒東経141度49分43.93秒﻿ / ﻿北緯40.0828139度 東経141.8288694度﻿ /40.0828139; 141.8288694座標:北緯40度4分58.13秒東経141度49分43.93秒﻿ / ﻿北緯40.0828139度 東経141.8288694度﻿ /40.0828139; 141.8288694","","ノタ","","","16人/日-2018年-","","","","","","",""
"野田阪神駅","野田阪神駅（のだはんしんえき）","https://ja.wikipedia.org/wiki/野田阪神駅","日本の鉄道駅一覧_ぬ-の","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ぬ-の","箇条書き,制限あり","北緯34度41分40.59秒東経135度28分29.45秒","●千日前線","0.0 km（野田阪神起点）","大阪市高速電気軌道(Osaka Metro)","地下駅","1969年（昭和44年）4月16日","2面2線","大阪市福島区大開一丁目14-18北緯34度41分40.59秒東経135度28分29.45秒﻿ / ﻿北緯34.6946083度 東経135.4748472度﻿ /34.6946083; 135.4748472﻿ (野田阪神駅)","","","12,585人/日（降車客含まず）-2020年-"," S11 ","24,539人/日-2020年-","野田駅（阪神本線）海老江駅（JR東西線）","","","","","",""
"野馳駅","野馳駅（のちえき）","https://ja.wikipedia.org/wiki/野馳駅","日本の鉄道駅一覧_ぬ-の","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ぬ-の","箇条書き,制限あり","北緯34度54分54.17秒東経133度19分0.6秒","P芸備線","13.6km（備中神代起点）新見から20.0 km","西日本旅客鉄道（JR西日本）","地上駅","1930年（昭和5年）11月25日","1面1線","岡山県新見市哲西町畑木字キシ添808-2北緯34度54分54.17秒東経133度19分0.6秒﻿ / ﻿北緯34.9150472度 東経133.316833度﻿ /34.9150472; 133.316833座標:北緯34度54分54.17秒東経133度19分0.6秒﻿ / ﻿北緯34.9150472度 東経133.316833度﻿ /34.9150472; 133.316833","簡易委託駅","ノチ","26人/日（降車客含まず）-2019年-","","","","","","","","",""
"野幌駅","野幌駅（のっぽろえき）","https://ja.wikipedia.org/wiki/野幌駅","日本の鉄道駅一覧_ぬ-の","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ぬ-の","箇条書き,制限あり","北緯43度5分33.59秒東経141度31分46.48秒","■函館本線","304.2 km（函館起点）","北海道旅客鉄道（JR北海道）","高架駅","1889年（明治22年）11月3日","2面2線","北海道江別市野幌町94-1北緯43度5分33.59秒東経141度31分46.48秒座標:北緯43度5分33.59秒 東経141度31分46.48秒","業務委託駅みどりの窓口有","ノツ","6,402人/日（降車客含まず）-2019年-","○A07","","","","","","","",""
"能登鹿島駅","能登鹿島駅（のとかしまえき）","https://ja.wikipedia.org/wiki/能登鹿島駅","日本の鉄道駅一覧_ぬ-の","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ぬ-の","箇条書き,制限あり","北緯37度10分47.46秒東経136度53分53.24秒","七尾線","26.8 km（七尾起点）","のと鉄道","地上駅","1932年（昭和7年）8月27日","2面2線","石川県鳳珠郡穴水町曽福北緯37度10分47.46秒東経136度53分53.24秒﻿ / ﻿北緯37.1798500度 東経136.8981222度﻿ /37.1798500; 136.8981222座標:北緯37度10分47.46秒東経136度53分53.24秒﻿ / ﻿北緯37.1798500度 東経136.8981222度﻿ /37.1798500; 136.8981222","無人駅","トシ","","","4人/日-2019年-","","","","","","",""
"能登川駅","能登川駅（のとがわえき）","https://ja.wikipedia.org/wiki/能登川駅","日本の鉄道駅一覧_ぬ-の","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ぬ-の","箇条書き,制限あり","北緯35度10分47.68秒東経136度9分57.22秒","A東海道本線（琵琶湖線）","465.7km（東京起点）米原から19.8 km","西日本旅客鉄道（JR西日本）","地上駅（橋上駅[1]）","1889年（明治22年）7月1日[2]","2面3線","滋賀県東近江市林町北緯35度10分47.68秒東経136度9分57.22秒﻿ / ﻿北緯35.1799111度 東経136.1658944度﻿ /35.1799111; 136.1658944座標:北緯35度10分47.68秒東経136度9分57.22秒﻿ / ﻿北緯35.1799111度 東経136.1658944度﻿ /35.1799111; 136.1658944","業務委託駅みどりの券売機プラス設置駅","ノト","7,303人/日（降車客含まず）-2019年-","JR-A17","","","","","","","",""
"能登中島駅","能登中島駅（のとなかじまえき）","https://ja.wikipedia.org/wiki/能登中島駅","日本の鉄道駅一覧_ぬ-の","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ぬ-の","箇条書き,制限あり","北緯37度6分33.02秒東経136度51分11.95秒","七尾線","16.3 km（七尾起点）","のと鉄道","地上駅","1928年（昭和3年）10月31日","2面3線（実質2面2線）","石川県七尾市中島町浜田ノ1-2北緯37度6分33.02秒東経136度51分11.95秒﻿ / ﻿北緯37.1091722度 東経136.8533194度﻿ /37.1091722; 136.8533194座標:北緯37度6分33.02秒東経136度51分11.95秒﻿ / ﻿北緯37.1091722度 東経136.8533194度﻿ /37.1091722; 136.8533194","簡易委託駅","ノカ","115人/日（降車客含まず）-2019年-","","","","","","","","",""
"能登二宮駅","能登二宮駅（のとにのみやえき）","https://ja.wikipedia.org/wiki/能登二宮駅","日本の鉄道駅一覧_ぬ-の","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ぬ-の","箇条書き,制限あり","北緯36度59分5.29秒東経136度55分2.52秒","■七尾線","46.1 km（津幡起点）金沢から57.6 km","西日本旅客鉄道（JR西日本）","地上駅","1960年（昭和35年）2月10日[1]","1面1線[1]","石川県鹿島郡中能登町武部へ7-1北緯36度59分5.29秒東経136度55分2.52秒﻿ / ﻿北緯36.9848028度 東経136.9173667度﻿ /36.9848028; 136.9173667座標:北緯36度59分5.29秒東経136度55分2.52秒﻿ / ﻿北緯36.9848028度 東経136.9173667度﻿ /36.9848028; 136.9173667","無人駅[1]（自動券売機 有）","ノミ","","","","","","","","","",""
"能登部駅","能登部駅（のとべえき）","https://ja.wikipedia.org/wiki/能登部駅","日本の鉄道駅一覧_ぬ-の","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ぬ-の","箇条書き,制限あり","北緯36度57分41.01秒東経136度52分10.69秒","■七尾線","41.1 km（津幡起点）金沢から52.6 km","西日本旅客鉄道（JR西日本）","地上駅","1898年（明治31年）4月24日[1]","2面2線[1]","石川県鹿島郡中能登町徳丸ロ41北緯36度57分41.01秒東経136度52分10.69秒﻿ / ﻿北緯36.9613917度 東経136.8696361度﻿ /36.9613917; 136.8696361座標:北緯36度57分41.01秒東経136度52分10.69秒﻿ / ﻿北緯36.9613917度 東経136.8696361度﻿ /36.9613917; 136.8696361","無人駅[2]","ノト","511人/日（降車客含まず）-2019年-","","","","","","","","",""
"野内駅","野内駅（のないえき）","https://ja.wikipedia.org/wiki/野内駅","日本の鉄道駅一覧_ぬ-の","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ぬ-の","箇条書き,制限あり","北緯40度50分45.6秒東経140度49分0.3秒","■青い森鉄道線","111.2km（目時起点）東京から728.5 km","青い森鉄道","高架駅","1893年（明治26年）7月16日","2面2線","青森県青森市大字野内字菊川北緯40度50分45.6秒東経140度49分0.3秒座標:北緯40度50分45.6秒 東経140度49分0.3秒","無人駅","ノナ","-2016年- 445人/日（降車客含まず）","","-2017年- 1,063人/日","","","","","","",""
"野中駅","野中駅（のなかえき）","https://ja.wikipedia.org/wiki/野中駅","日本の鉄道駅一覧_ぬ-の","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ぬ-の","箇条書き,制限あり","北緯33度12分42.03秒東経129度42分31.05秒","■西九州線","86.2 km（有田起点）","松浦鉄道","地上駅","1990年（平成2年）3月10日","1面1線","長崎県佐世保市野中町北緯33度12分42.03秒東経129度42分31.05秒","","","","","172人/日-2018年-","","","","","","",""
"野並駅","野並駅（のなみえき）","https://ja.wikipedia.org/wiki/野並駅","日本の鉄道駅一覧_ぬ-の","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ぬ-の","箇条書き,制限あり","北緯35度6分7.20秒東経136度57分20.52秒","桜通線","14.9 km（中村区役所駅起点）","名古屋市交通局（名古屋市営地下鉄）","地下駅","1994年（平成6年）3月30日[2]","1面2線","愛知県名古屋市天白区古川町200北緯35度6分7.20秒東経136度57分20.52秒﻿ / ﻿北緯35.1020000度 東経136.9557000度﻿ /35.1020000; 136.9557000座標:北緯35度6分7.20秒東経136度57分20.52秒﻿ / ﻿北緯35.1020000度 東経136.9557000度﻿ /35.1020000; 136.9557000","","","6,764人/日（降車客含まず）-2019年-","S17","13,470[1]人/日-2019年-","","","","","","",""
"野々市駅 (JR西日本)","野々市駅 (JR西日本)（ののいちえき・西日本旅客鉄道北陸本線）","https://ja.wikipedia.org/wiki/野々市駅_(JR西日本)","日本の鉄道駅一覧_ぬ-の","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ぬ-の","箇条書き,制限あり","北緯36度32分30.23秒東経136度35分53.41秒","■北陸本線","170.5 km（米原起点）","西日本旅客鉄道（JR西日本）","地上駅","1968年（昭和43年）3月25日[1][2]","2面2線","石川県野々市市二日市三丁目1北緯36度32分30.23秒東経136度35分53.41秒﻿ / ﻿北緯36.5417306度 東経136.5981694度﻿ /36.5417306; 136.5981694座標:北緯36度32分30.23秒東経136度35分53.41秒﻿ / ﻿北緯36.5417306度 東経136.5981694度﻿ /36.5417306; 136.5981694","無人駅[3]","ノノ","2,000人/日（降車客含まず）-2019年-","","","","","","","","",""
"野々市駅 (北陸鉄道)","野々市駅 (北陸鉄道)（ののいちえき・北陸鉄道石川線）","https://ja.wikipedia.org/wiki/野々市駅_(北陸鉄道)","日本の鉄道駅一覧_ぬ-の","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ぬ-の","箇条書き,制限あり","北緯36度32分11.22秒東経136度37分15.21秒","■石川線","4.0 km（野町起点）","北陸鉄道","地上駅","1916年（大正5年）12月1日","単式 1面1線","石川県野々市市本町1丁目74-2北緯36度32分11.22秒東経136度37分15.21秒﻿ / ﻿北緯36.5364500度 東経136.6208917度﻿ /36.5364500; 136.6208917座標:北緯36度32分11.22秒東経136度37分15.21秒﻿ / ﻿北緯36.5364500度 東経136.6208917度﻿ /36.5364500; 136.6208917","","","","○I05","112人/日-2017年-","","","","","","",""
"野々市工大前駅","野々市工大前駅（ののいちこうだいまええき）","https://ja.wikipedia.org/wiki/野々市工大前駅","日本の鉄道駅一覧_ぬ-の","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ぬ-の","箇条書き,制限あり","北緯36度31分58.34秒東経136度37分18.5秒","■石川線","4.5 km（野町起点）","北陸鉄道","地上駅","1931年（昭和6年）8月11日","単式 1面1線","石川県野々市市本町2丁目北緯36度31分58.34秒東経136度37分18.5秒﻿ / ﻿北緯36.5328722度 東経136.621806度﻿ /36.5328722; 136.621806座標:北緯36度31分58.34秒東経136度37分18.5秒﻿ / ﻿北緯36.5328722度 東経136.621806度﻿ /36.5328722; 136.621806","","","","○I06","552人/日-2017年-","","","","","","",""
"野々口駅","野々口駅（ののくちえき）","https://ja.wikipedia.org/wiki/野々口駅","日本の鉄道駅一覧_ぬ-の","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ぬ-の","箇条書き,制限あり","北緯34度46分16.57秒東経133度55分56.70秒","T津山線","16.7 km（岡山起点）","西日本旅客鉄道（JR西日本）","地上駅","1898年（明治31年）12月21日","2面2線","岡山市北区御津野々口1135北緯34度46分16.57秒東経133度55分56.70秒","無人駅（乗車駅証明書発行機 現在廃止）","ノノ","134人/日（降車客含まず）-2019年-","","","","","","","","",""
"のの岳駅","のの岳駅（ののだけえき）","https://ja.wikipedia.org/wiki/のの岳駅","日本の鉄道駅一覧_ぬ-の","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ぬ-の","箇条書き,制限あり","","■気仙沼線","6.2 km（前谷地起点）小牛田から19.0 km","東日本旅客鉄道（JR東日本）","地上駅","1968年（昭和43年）10月24日","1面1線","","無人駅","ノノ","7人/日（降車客含まず）-2015年-","","","","","","","","",""
"野蒜駅","野蒜駅（のびるえき）","https://ja.wikipedia.org/wiki/野蒜駅","日本の鉄道駅一覧_ぬ-の","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ぬ-の","箇条書き,制限あり","","■仙石線","33.4 km（あおば通起点）","東日本旅客鉄道（JR東日本）","地上駅","1928年（昭和3年）4月10日[1]","1面2線","","業務委託駅","ノル","213人/日（降車客含まず）-2019年-","","","","","","","","",""
"延方駅","延方駅（のぶかたえき）","https://ja.wikipedia.org/wiki/延方駅","日本の鉄道駅一覧_ぬ-の","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ぬ-の","箇条書き,制限あり","北緯35度57分29.42秒東経140度35分19.05秒","■鹿島線","10.4 km（香取起点）","東日本旅客鉄道（JR東日本）","高架駅","1970年（昭和45年）8月20日[1]","1面2線","茨城県潮来市宮前一丁目15北緯35度57分29.42秒東経140度35分19.05秒座標:北緯35度57分29.42秒 東経140度35分19.05秒","無人駅（乗車駅証明書発行機 有）","ノフ","","","","","","","","","",""
"延岡駅","延岡駅（のべおかえき）","https://ja.wikipedia.org/wiki/延岡駅","日本の鉄道駅一覧_ぬ-の","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ぬ-の","箇条書き,制限あり","","■日豊本線","256.2 km（小倉起点）","九州旅客鉄道（JR九州）日本貨物鉄道（JR貨物）","地上駅","1922年（大正11年）5月1日[1][2]","2面3線[1]","","直営駅みどりの窓口有[1]","ノヘ","1,177人/日（降車客含まず）-2019年-","","","","","","","","",""
"野辺地駅","野辺地駅（のへじえき）","https://ja.wikipedia.org/wiki/野辺地駅","日本の鉄道駅一覧_ぬ-の","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ぬ-の","箇条書き,制限あり","北緯40度51分19.51秒東経141度7分11.14秒","■青い森鉄道線（青い森鉄道）","77.3km（目時起点）東京から694.6 km","青い森鉄道東日本旅客鉄道（JR東日本）","地上駅","1891年（明治24年）9月1日","3面5線","青森県上北郡野辺地町字上小中野49-2北緯40度51分19.51秒東経141度7分11.14秒座標:北緯40度51分19.51秒 東経141度7分11.14秒","共同使用駅（青い森鉄道の管轄駅）直営駅（管理駅）","ノチ","（JR東日本）-2019年- 276人/日（降車客含まず）","","（青い森鉄道）-2018年- 2,068人/日","","","","","","",""
"野辺山駅","野辺山駅（のべやまえき）","https://ja.wikipedia.org/wiki/野辺山駅","日本の鉄道駅一覧_ぬ-の","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ぬ-の","箇条書き,制限あり","北緯35度57分19.26秒東経138度28分27.97秒","■小海線","23.4 km（小淵沢起点）","東日本旅客鉄道（JR東日本）","地上駅","1935年（昭和10年）11月29日[1]","2面3線[2]","長野県南佐久郡南牧村大字野辺山306[1]北緯35度57分19.26秒東経138度28分27.97秒﻿ / ﻿北緯35.9553500度 東経138.4744361度﻿ /35.9553500; 138.4744361座標:北緯35度57分19.26秒東経138度28分27.97秒﻿ / ﻿北緯35.9553500度 東経138.4744361度﻿ /35.9553500; 138.4744361","業務委託駅標高：1,345.67m（JRグループ最高）[1]","ノヘ[1]","145人/日（降車客含まず）-2019年-","","","","","","","","",""
"登戸駅","登戸駅（のぼりとえき）","https://ja.wikipedia.org/wiki/登戸駅","日本の鉄道駅一覧_ぬ-の","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ぬ-の","箇条書き,制限あり","","","","東日本旅客鉄道（JR東日本・駅詳細）小田急電鉄（小田急・駅詳細）","","","","川崎市多摩区登戸","","","","","","","","","","","",""
"登別駅","登別駅（のぼりべつえき）","https://ja.wikipedia.org/wiki/登別駅","日本の鉄道駅一覧_ぬ-の","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ぬ-の","箇条書き,制限あり","北緯42度27分7.5秒東経141度10分49.6秒","■室蘭本線","94.7 km（長万部起点）","北海道旅客鉄道（JR北海道）","地上駅","1892年（明治25年）8月1日","島式・単式 2面3線","北海道登別市登別港町1丁目4番地1北緯42度27分7.5秒東経141度10分49.6秒座標:北緯42度27分7.5秒 東経141度10分49.6秒","直営駅（管理駅）みどりの窓口有話せる券売機設置駅[1]","ノホ","384人/日（降車客含まず）-2019年-","○H28","","","","","","","",""
"野間駅","野間駅（のまえき）","https://ja.wikipedia.org/wiki/野間駅","日本の鉄道駅一覧_ぬ-の","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ぬ-の","箇条書き,制限あり","北緯34度46分20秒東経136度51分38秒","名鉄知多新線","9.8 km（富貴起点）","名古屋鉄道","高架駅","1976年（昭和51年）4月4日","2面2線","知多郡美浜町野間新大町168-2北緯34度46分20秒東経136度51分38秒﻿ / ﻿北緯34.77222度 東経136.86056度﻿ /34.77222; 136.86056座標:北緯34度46分20秒東経136度51分38秒﻿ / ﻿北緯34.77222度 東経136.86056度﻿ /34.77222; 136.86056","無人駅管理駅：太田川","","","KC  23 ","641人/日-2019年[1]-","","","","","","",""
"野町駅","野町駅（のまちえき）","https://ja.wikipedia.org/wiki/野町駅","日本の鉄道駅一覧_ぬ-の","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ぬ-の","箇条書き,制限あり","北緯36度33分14.27秒東経136度38分39.87秒","■石川線","0.0 km（野町起点）","北陸鉄道","地上駅","1922年（大正11年）10月1日[1]","頭端式 2面2線","石川県金沢市野町5丁目59-1北緯36度33分14.27秒東経136度38分39.87秒﻿ / ﻿北緯36.5539639度 東経136.6444083度﻿ /36.5539639; 136.6444083座標:北緯36度33分14.27秒東経136度38分39.87秒﻿ / ﻿北緯36.5539639度 東経136.6444083度﻿ /36.5539639; 136.6444083","","","","○I01","1,712人/日-2017年-","","","","","","",""
"能美根上駅","能美根上駅（のみねあがりえき）","https://ja.wikipedia.org/wiki/能美根上駅","日本の鉄道駅一覧_ぬ-の","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ぬ-の","箇条書き,制限あり","北緯36度27分7.38秒東経136度27分34.77秒","■北陸本線","154.0 km（米原起点）","西日本旅客鉄道（JR西日本）","地上駅（橋上駅）","1912年（大正元年）12月20日[1]","1面2線","石川県能美市大成町チ303北緯36度27分7.38秒東経136度27分34.77秒﻿ / ﻿北緯36.4520500度 東経136.4596583度﻿ /36.4520500; 136.4596583座標:北緯36度27分7.38秒東経136度27分34.77秒﻿ / ﻿北緯36.4520500度 東経136.4596583度﻿ /36.4520500; 136.4596583","業務委託駅みどりの窓口有","","1,291人/日（降車客含まず）-2019年-","","","","","","","","",""
"野矢駅","野矢駅（のやえき）","https://ja.wikipedia.org/wiki/野矢駅","日本の鉄道駅一覧_ぬ-の","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ぬ-の","箇条書き,制限あり","北緯33度14分25.56秒東経131度15分6.54秒","■久大本線","88.2 km（久留米起点）","九州旅客鉄道（JR九州）","地上駅","1926年（大正15年）11月26日[3][4]","2面2線[1]","大分県玖珠郡九重町大字野上[1]字上恒406[2]北緯33度14分25.56秒東経131度15分6.54秒","無人駅[1]","ノヤ","7人/日（降車客含まず）-2015年-","","19人/日-2015年-","","","","","","",""
