"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","法人番号","位置","創建年","山号","本尊","宗派","文化財","開基","札所等","正式名","別称","公式HP","寺格","開山","宗旨","院号","中興","中興年"
"千光寺 (生駒郡平群町)","[千光寺（せんこうじ）（奈良県平群町）] 千光寺 （せんこうじ）は、 奈良県 生駒郡 平群町 にある 真言宗醍醐派 の寺院。山号は 鳴川山 。通称は 元山上千光寺 。 ユースホステル の運営も行っている。","https://ja.wikipedia.org/wiki/千光寺_(生駒郡平群町)","日本の寺院一覧","https://ja.wikipedia.org/wiki/日本の寺院一覧","箇条書き,制限あり","","奈良県生駒郡平群町鳴川188","8150005003422","","","鳴川山","","醍醐派","梵鐘（県指定）役行者・前鬼・後鬼像（町指定）十三重層塔・宝塔（町指定）","","仏塔古寺十八尊第14番役行者霊蹟札所大和北部八十八ヶ所霊場第39番","","","","","","真言宗","","",""
"善光寺","[善光寺（ぜんこうじ）（長野県長野市）] 善光寺 （ぜんこうじ）は、 長野県 長野市 元善町 にある無宗派の単立 仏教 寺院 。 住職 は「大勧進貫主」と「大本願上人」の両名が務める。 本尊 は 日本 最古と伝わる 一光三尊阿弥陀如来 で、絶対 秘仏 である  （ 開帳 は前立本尊で行う  ）。","https://ja.wikipedia.org/wiki/善光寺","日本の寺院一覧","https://ja.wikipedia.org/wiki/日本の寺院一覧","箇条書き,制限あり","北緯36度39分42.12秒東経138度11分15.76秒","長野県長野市元善町491","4100005000576","北緯36度39分42.12秒東経138度11分15.76秒﻿ / ﻿北緯36.6617000度 東経138.1877111度﻿ /36.6617000; 138.1877111座標:北緯36度39分42.12秒東経138度11分15.76秒﻿ / ﻿北緯36.6617000度 東経138.1877111度﻿ /36.6617000; 138.1877111","(伝)皇極天皇3年（644年）","定額山","一光三尊阿弥陀如来（絶対秘仏）","無宗派","本堂（国宝）三門、銅造阿弥陀如来及び両脇侍立像ほか（重要文化財）","(伝)皇極天皇（勅願）","西国三十三所（番外）坂東三十三箇所（番外）秩父三十四箇所（番外）西山国師遺跡霊場（客番）真盛上人二十五霊場（番外）","","信州善光寺、信濃善光寺","信州善光寺ホームページ","","","","","",""
"千手院 (松江市)","[千手院（せんじゅいん）（島根県松江市石橋町）] 千手院 （せんじゅいん）は、 島根県 松江市 石橋町にある 高野山真言宗 の寺院。山号は尊照山。本尊は 不動明王 。","https://ja.wikipedia.org/wiki/千手院_(松江市)","日本の寺院一覧","https://ja.wikipedia.org/wiki/日本の寺院一覧","箇条書き,制限あり","北緯35度28分51.2秒東経133度3分21.6秒","松江市石橋町385","3280005000840","北緯35度28分51.2秒東経133度3分21.6秒﻿ / ﻿北緯35.480889度 東経133.056000度﻿ /35.480889; 133.056000座標:北緯35度28分51.2秒東経133度3分21.6秒﻿ / ﻿北緯35.480889度 東経133.056000度﻿ /35.480889; 133.056000","","尊照山","不動明王","高野山真言宗","千手院のしだれ桜","","","","","","","","真言宗","","",""
"専修寺","[専修寺（せんじゅじ）（三重県津市、栃木県芳賀郡二宮町）] 専修寺 （せんじゅじ）は、 栃木県 真岡市 高田にある 真宗高田派 の本寺。 山号 は高田山。 本尊 は 善光寺式阿弥陀三尊 （一光三尊仏）。 本寺専修寺 と呼ばれている。","https://ja.wikipedia.org/wiki/専修寺","日本の寺院一覧","https://ja.wikipedia.org/wiki/日本の寺院一覧","箇条書き,制限あり","","栃木県真岡市高田1482","7190005000763","","嘉禄元年（1225年）","高田山","善光寺式阿弥陀三尊（一光三尊仏）","真宗高田派","如来堂、御影堂、楼門、総門など（重要文化財）","","","","本寺専修寺","真宗高田派　本寺専修寺","","親鸞聖人","","","",""
"善水寺","[善水寺（ぜんすいじ）（滋賀県湖南市）] 善水寺 （ぜんすいじ）は、 滋賀県 湖南市 にある 天台宗 の 寺院 。 山号 は岩根山（いわねさん）。本尊は 薬師如来 。","https://ja.wikipedia.org/wiki/善水寺","日本の寺院一覧","https://ja.wikipedia.org/wiki/日本の寺院一覧","箇条書き,制限あり","北緯35度0分23.2秒東経136度6分45.2秒","滋賀県湖南市岩根3518","9160005002604","北緯35度0分23.2秒東経136度6分45.2秒﻿ / ﻿北緯35.006444度 東経136.112556度﻿ /35.006444; 136.112556座標:北緯35度0分23.2秒東経136度6分45.2秒﻿ / ﻿北緯35.006444度 東経136.112556度﻿ /35.006444; 136.112556","和銅年間（708年-715年）","岩根山（いわねさん）","薬師如来（秘仏、重要文化財）","天台宗","本堂（国宝）木造薬師如来坐像他8件（重要文化財）","元明天皇（勅願）","西国薬師四十九霊場第47番甲賀西国三十三所第21番びわ湖百八霊場第93番湖南三山","岩根山医王院善水寺","","岩根山 国宝 善水寺","","","","医王院","",""
"浅草寺","[浅草寺（せんそうじ）（東京都台東区）] 浅草寺 （せんそうじ）は、 東京都 台東区 浅草 2丁目にある東京都内最古の 寺 である。正式には 金龍山浅草寺 （きんりゅうざんせんそうじ）と号し、観音菩薩を本尊とすることから 浅草観音 （あさくさかんのん）として知られている。 山号 は金龍山。","https://ja.wikipedia.org/wiki/浅草寺","日本の寺院一覧","https://ja.wikipedia.org/wiki/日本の寺院一覧","箇条書き,制限あり","北緯35度42分53秒東経139度47分48.3秒","東京都台東区浅草二丁目3番1号","2010505000327","北緯35度42分53秒東経139度47分48.3秒﻿ / ﻿北緯35.71472度 東経139.796750度﻿ /35.71472; 139.796750座標:北緯35度42分53秒東経139度47分48.3秒﻿ / ﻿北緯35.71472度 東経139.796750度﻿ /35.71472; 139.796750","（伝）推古天皇36年（628年）","金龍山","聖観世音菩薩（絶対秘仏）","聖観音宗（天台宗系単立）","法華経（国宝）二天門・伝法院・元版一切経（重要文化財）","（伝）土師中知（真中知）","坂東三十三箇所13番江戸三十三箇所1番","金龍山淺草寺金龍山浅草寺","浅草観音","senso-ji.jp","本山","","","","",""
"善通寺","[善通寺（ぜんつうじ）（香川県善通寺市）] 善通寺 （ぜんつうじ）は、 香川県 善通寺市 にある 寺院 。 真言宗善通寺派 総本山。 屏風浦五岳山誕生院 と号する。 本尊 は 薬師如来 。 四国八十八箇所 霊場 の第七十五番、 真言宗十八本山 一番札所。 和歌山県 の 高野山 、 京都府 の 東寺 と共に弘法大師三大霊場に数えられる。","https://ja.wikipedia.org/wiki/善通寺","日本の寺院一覧","https://ja.wikipedia.org/wiki/日本の寺院一覧","箇条書き,制限あり","北緯34度13分30.4秒東経133度46分26.9秒","香川県善通寺市善通寺町三丁目3番1号","3470005002818","北緯34度13分30.4秒東経133度46分26.9秒﻿ / ﻿北緯34.225111度 東経133.774139度﻿ /34.225111; 133.774139﻿ (善通寺)座標:北緯34度13分30.4秒東経133度46分26.9秒﻿ / ﻿北緯34.225111度 東経133.774139度﻿ /34.225111; 133.774139﻿ (善通寺)","（伝）大同2年（807年）","屏風浦五岳山","薬師如来","真言宗善通寺派","金銅錫杖頭・一字一仏法華経序品（国宝）金堂、五重塔ほか（重要文化財）","佐伯善通","四国八十八箇所75番真言宗十八本山1番讃岐三十三観音礼参本山","屏風浦五岳山 誕生院 善通寺","","総本山善通寺","総本山","","","","",""
"善導寺 (久留米市)","[善導寺（ぜんどうじ）（福岡県久留米市）] 善導寺 （ぜんどうじ）は、 福岡県 久留米市 善導寺町 にある 浄土宗 大本山の寺院。","https://ja.wikipedia.org/wiki/善導寺_(久留米市)","日本の寺院一覧","https://ja.wikipedia.org/wiki/日本の寺院一覧","箇条書き,制限あり","北緯33度19分48.1秒東経130度36分13.7秒","福岡県久留米市善導寺町飯田550","4290005010037","北緯33度19分48.1秒東経130度36分13.7秒﻿ / ﻿北緯33.330028度 東経130.603806度﻿ /33.330028; 130.603806座標:北緯33度19分48.1秒東経130度36分13.7秒﻿ / ﻿北緯33.330028度 東経130.603806度﻿ /33.330028; 130.603806","建長2年（1191年）","井上山","阿弥陀如来","浄土宗","本堂、大門、大庫裏ほか（重要文化財）本朝祖師伝記絵詞、梵鐘（県指定文化財）","聖光（弁長）","","","","大本山善導寺ホームページ","大本山","","","","",""
"泉涌寺","[泉涌寺（せんにゅうじ）（京都市東山区）] 泉涌寺 （せんにゅうじ）は、 京都市 東山区 泉涌寺山内町にある 真言宗泉涌寺派 総本山の寺院。 山号 は東山（とうざん）または泉山（せんざん）。 本尊 は 釈迦如来 、 阿弥陀如来 、 弥勒如来 の三世仏。 皇室 の 菩提寺 （皇室香華院）として 御寺 （みてら）と呼ばれている。","https://ja.wikipedia.org/wiki/泉涌寺","日本の寺院一覧","https://ja.wikipedia.org/wiki/日本の寺院一覧","箇条書き,制限あり","北緯34度58分41秒東経135度46分49.2秒","京都府京都市東山区泉涌寺山内町27","2130005002225","北緯34度58分41秒東経135度46分49.2秒﻿ / ﻿北緯34.97806度 東経135.780333度﻿ /34.97806; 135.780333座標:北緯34度58分41秒東経135度46分49.2秒﻿ / ﻿北緯34.97806度 東経135.780333度﻿ /34.97806; 135.780333","伝・斉衡3年（856年）","東山（とうざん）泉山（せんざん）","釈迦如来阿弥陀如来弥勒如来","真言宗泉涌寺派","泉涌寺勧縁疏・附法状（国宝）大門・仏殿・木造観音菩薩坐像ほか（重要文化財）","伝・藤原緒嗣","真言宗十八本山第8番神仏霊場巡拝の道第121番（京都第41番）洛陽三十三所観音霊場第20番京都十三仏霊場第6番泉山七福神巡り番外","","御寺","御寺 泉涌寺","総本山","伝・神修","","","",""
"善福院","[善福院（ぜんぷくいん）（和歌山県海南市）] 善福院 （ぜんぷくいん）は、 和歌山県 海南市 にある 仏教 寺院 。 天台宗 、山号は宝遊山。","https://ja.wikipedia.org/wiki/善福院","日本の寺院一覧","https://ja.wikipedia.org/wiki/日本の寺院一覧","箇条書き,制限あり","北緯34度7分50.0秒東経135度10分38.1秒","和歌山県海南市下津町梅田271","6170005002267","北緯34度7分50.0秒東経135度10分38.1秒﻿ / ﻿北緯34.130556度 東経135.177250度﻿ /34.130556; 135.177250座標:北緯34度7分50.0秒東経135度10分38.1秒﻿ / ﻿北緯34.130556度 東経135.177250度﻿ /34.130556; 135.177250","建保3年（1215年）","宝遊山","釈迦如来","天台宗もと臨済宗、高野山真言宗","釈迦堂（国宝）","","","宝遊山 広福寺 善福院 釈迦堂寶遊山廣福寺善福院釋迦堂","","","臨済宗廣福寺（廣福禪寺）の塔頭","栄西","","善福院","",""
"禅瀧寺","[禅瀧寺（ぜんりゅうじ）（兵庫県加東市）] 禅瀧寺 （ぜんりゅうじ）は 兵庫県 加東市 にある 高野山真言宗 の仏教寺院。 山号 は神谷山（こうだにさん）。本尊は 薬師如来 、 日光菩薩 、 月光菩薩 （秘仏）。開祖は 法道 仙人と伝わる。","https://ja.wikipedia.org/wiki/禅瀧寺","日本の寺院一覧","https://ja.wikipedia.org/wiki/日本の寺院一覧","箇条書き,制限あり","北緯34度53分53.96秒東経135度1分6.24秒","兵庫県加東市栄枝72","6140005016740","北緯34度53分53.96秒東経135度1分6.24秒﻿ / ﻿北緯34.8983222度 東経135.0184000度﻿ /34.8983222; 135.0184000座標:北緯34度53分53.96秒東経135度1分6.24秒﻿ / ﻿北緯34.8983222度 東経135.0184000度﻿ /34.8983222; 135.0184000","伝・大化年間（645年-650年）","神谷山","薬師如来（秘仏）","高野山真言宗","本堂（市文化財）、不動明王像（市文化財）、大般若経及び経櫃、経箱、経軸（市文化財）、弁天堂（市文化財）","伝・法道","播磨八薬師霊場6番加東四国八十八カ所霊場73番","","お大師さん（おだいっさん）曼珠沙華の寺","神谷山禅瀧寺","","","","","瀧見常","明治14年（1881年）"
"禅林寺 (京都市)","[禅林寺（ぜんりんじ）（永観堂、京都市左京区）] 禅林寺 （ぜんりんじ）は、 京都市 左京区 永観堂町にある 浄土宗西山禅林寺派 の 総本山 の 寺院 。通称の 永観堂 （えいかんどう）の名で知られる。 山号 を 聖衆来迎山 （しょうじゅらいごうさん）と称する。 紅葉 の名所として知られ、古くより「秋はもみじの永観堂」といわれる。また、京都に3箇所あった 勧学院 （学問研究所）の一つでもあり、古くから学問（論義）が盛んである。","https://ja.wikipedia.org/wiki/禅林寺_(京都市)","日本の寺院一覧","https://ja.wikipedia.org/wiki/日本の寺院一覧","箇条書き,制限あり","北緯35度0分52.29秒東経135度47分43.05秒","京都府京都市左京区永観堂町48","6130005000539","北緯35度0分52.29秒東経135度47分43.05秒﻿ / ﻿北緯35.0145250度 東経135.7952917度﻿ /35.0145250; 135.7952917座標:北緯35度0分52.29秒東経135度47分43.05秒﻿ / ﻿北緯35.0145250度 東経135.7952917度﻿ /35.0145250; 135.7952917","仁寿3年（853年）","聖衆来迎山","阿弥陀如来（みかえり阿弥陀、重要文化財）","浄土宗西山禅林寺派","山越阿弥陀図、金銅蓮華文磬（国宝）木造阿弥陀如来立像、絹本著色薬師如来像ほか（重要文化財）","","洛陽六阿弥陀めぐり第2番法然上人二十五霊跡縁故本山（番外）西山国師遺跡霊場第8番","聖衆來迎山無量壽院禪林寺","永観堂","永観堂(Eikando,Kyoto)","総本山","真紹","","無量寿院","",""
"總持寺 (足立区)","[總持寺（そうじじ）（西新井大師、東京都足立区）] 總持寺 （そうじじ）は、 東京都 足立区 西新井 一丁目にある 真言宗豊山派 の寺で、 西新井大師 （にしあらいだいし）の通称で広く知られる。山号を五智山と称し、寺名は詳しくは五智山遍照院總持寺（ごちさん へんじょういん そうじじ）と称する。古くから「関東の 高野山  」とも呼ばれる。","https://ja.wikipedia.org/wiki/總持寺_(足立区)","日本の寺院一覧","https://ja.wikipedia.org/wiki/日本の寺院一覧","箇条書き,制限あり","北緯35度46分48.5秒東経139度46分48.0秒","東京都足立区西新井一丁目15番1号","6011805000161","北緯35度46分48.5秒東経139度46分48.0秒﻿ / ﻿北緯35.780139度 東経139.780000度﻿ /35.780139; 139.780000座標:北緯35度46分48.5秒東経139度46分48.0秒﻿ / ﻿北緯35.780139度 東経139.780000度﻿ /35.780139; 139.780000","伝・天長3年（826年）","五智山（ごちさん）","十一面観世音菩薩、弘法大師","真言宗豊山派","鋳銅刻画蔵王権現像（国宝、東京国立博物館寄託）絹本著色弘法大師像、銅鐘ほか（重要文化財）","伝・空海","関東三大師関東八十八箇所特別霊場関東三十六不動26番東国花の寺百ヶ寺 東京1番","五智山 遍照院 總持寺","西新井大師、火伏せの大師、ボタン大師、お大師さま","","","","","遍照院","",""
"總持寺","[總持寺（そうじじ）（横浜市鶴見区）] 總持寺 （そうじじ）は、 神奈川県 横浜市 鶴見区 鶴見 二丁目にある 曹洞宗 の 仏教 寺院 。 永平寺 と並ぶ日本曹洞宗の中心寺院（ 大本山 ）である   。1911年に 石川県 鳳至郡 門前町 から現在地に移転。 山号 は諸嶽山（しょがくさん）  。 本尊 は 釈迦如来 。 寺紋 は五七桐紋。","https://ja.wikipedia.org/wiki/總持寺","日本の寺院一覧","https://ja.wikipedia.org/wiki/日本の寺院一覧","箇条書き,制限あり","北緯35度30分25.16秒東経139度40分17.25秒","神奈川県横浜市鶴見区鶴見二丁目1番1号","3020005000313","北緯35度30分25.16秒東経139度40分17.25秒﻿ / ﻿北緯35.5069889度 東経139.6714583度﻿ /35.5069889; 139.6714583座標:北緯35度30分25.16秒東経139度40分17.25秒﻿ / ﻿北緯35.5069889度 東経139.6714583度﻿ /35.5069889; 139.6714583","伝・奈良時代","諸嶽山","釈迦如来","","絹本著色紹瑾和尚像（重文）ほか","伝・行基","東海三十三観音霊場鶴見七福神京浜四大本山","","","曹洞宗大本山總持寺","大本山","","曹洞宗","","移転：石川素童","移転：明治44年（1911年）"
"総持寺 (茨木市)","[総持寺（そうじじ）（大阪府茨木市）] 総持寺 （そうじじ）は、 大阪府 茨木市 にある 高野山真言宗 の寺院。 山号 は補陀洛山 （ふだらくさん）。 本尊 は 千手観音 。 西国三十三所 第22番札所。 開基 である 藤原山蔭 は 四条流庖丁道 という新たな庖丁式（料理作法）を定めたことから料理人の信仰を受けている。","https://ja.wikipedia.org/wiki/総持寺_(茨木市)","日本の寺院一覧","https://ja.wikipedia.org/wiki/日本の寺院一覧","箇条書き,制限あり","北緯34度49分44.77秒東経135度34分53.65秒","大阪府茨木市総持寺1丁目6番1号","3120905000071","北緯34度49分44.77秒東経135度34分53.65秒﻿ / ﻿北緯34.8291028度 東経135.5815694度﻿ /34.8291028; 135.5815694﻿ (総持寺)座標:北緯34度49分44.77秒東経135度34分53.65秒﻿ / ﻿北緯34.8291028度 東経135.5815694度﻿ /34.8291028; 135.5815694﻿ (総持寺)","元慶3年（879年）頃","補陀洛山","千手観音","高野山真言宗","本堂・薬師金堂・仁王門など（市指定文化財）","藤原山蔭","西国三十三所第22番摂津国八十八箇所第47番摂津国三十三箇所第27番ぼけ封じ近畿十楽観音霊場第6番神仏霊場巡拝の道第63番（大阪第22番）","補陀洛山 総持寺","","","","","","","",""
"総持寺 (和歌山市)","[総持寺（そうじじ）（和歌山県和歌山市）] 總持寺 （そうじじ）は、 和歌山県 和歌山市 梶取にある 浄土宗西山派 の 寺院 。 梶取本山 （かんどりほんざん）、 梶取本山総持寺 とも。","https://ja.wikipedia.org/wiki/総持寺_(和歌山市)","日本の寺院一覧","https://ja.wikipedia.org/wiki/日本の寺院一覧","箇条書き,制限あり","北緯34度15分11.2秒東経135度9分38.1秒","和歌山県和歌山市梶取86番地","9170005000549","北緯34度15分11.2秒東経135度9分38.1秒﻿ / ﻿北緯34.253111度 東経135.160583度﻿ /34.253111; 135.160583座標:北緯34度15分11.2秒東経135度9分38.1秒﻿ / ﻿北緯34.253111度 東経135.160583度﻿ /34.253111; 135.160583","1450年","梶取本山","","浄土宗西山派","絹本著色釈迦三尊像（重要文化財）総門、本堂、鐘楼（和歌山県指定文化財）他","明秀光雲","","","","","","","","","",""
"惣宗寺","[惣宗寺（そうしゅうじ）（佐野厄除け大師、栃木県佐野市）] 惣宗寺 （そうしゅうじ） は、 栃木県 佐野市 にある 天台宗 の 寺院 である。 山号 は「春日岡山」、 寺号 は詳しくは「春日岡山 転法輪院 惣宗官寺（かすがおかやま てんぼうりんいん そうしゅうかんじ）」と称する。一般には 佐野厄除け大師  の通称で知られる。 年末年始 には 関東地方 を中心に テレビ CM が多く放送されるため広く知られている。","https://ja.wikipedia.org/wiki/惣宗寺","日本の寺院一覧","https://ja.wikipedia.org/wiki/日本の寺院一覧","箇条書き,制限あり","北緯36度18分39.32秒東経139度34分16.85秒","栃木県佐野市金井上町2233","4060005006941","北緯36度18分39.32秒東経139度34分16.85秒﻿ / ﻿北緯36.3109222度 東経139.5713472度﻿ /36.3109222; 139.5713472座標:北緯36度18分39.32秒東経139度34分16.85秒﻿ / ﻿北緯36.3109222度 東経139.5713472度﻿ /36.3109222; 139.5713472","天慶7年（944年）","","如意輪観音元三大師","天台宗","","藤原秀郷","関東三大師","春日岡山転法輪院惣宗官寺","佐野厄除け大師","","","","","","",""
"増上寺","[増上寺（ぞうじょうじ）（東京都港区）] 増上寺 （ぞうじょうじ）は、 東京都 港区 芝公園 四丁目にある 浄土宗 の 仏教 寺院 。 山号 は三縁山。三縁山広度院増上寺（ さんえんざん こうどいん ぞうじょうじ ）と称する。","https://ja.wikipedia.org/wiki/増上寺","日本の寺院一覧","https://ja.wikipedia.org/wiki/日本の寺院一覧","箇条書き,制限あり","北緯35度39分26.7秒東経139度44分53.8秒","東京都港区芝公園4丁目7番35号","7010405001420","北緯35度39分26.7秒東経139度44分53.8秒﻿ / ﻿北緯35.657417度 東経139.748278度﻿ /35.657417; 139.748278座標:北緯35度39分26.7秒東経139度44分53.8秒﻿ / ﻿北緯35.657417度 東経139.748278度﻿ /35.657417; 139.748278","明徳4年（1393年）","三縁山（さんえんざん）","阿弥陀如来","鎮西派","三解脱門、紙本著色法然上人絵伝ほか（重要文化財）徳川家霊廟","聖聡","江戸三十三箇所21番","三縁山 広度院 増上寺","","増上寺 公式ホームページ（日本語）","大本山","","浄土宗","","",""
"増善寺","[増善寺（ぞうぜんじ）（静岡市葵区）] 増善寺 （ぞうぜんじ）は 静岡市 葵区 慈悲尾（しいのお）にある 曹洞宗 の寺院である。 天武天皇 10年（ 681年 ）に 法相宗 の始祖 道昭 法師が開いた 真言宗 の寺で、「慈悲寺」と呼ばれていた。","https://ja.wikipedia.org/wiki/増善寺","日本の寺院一覧","https://ja.wikipedia.org/wiki/日本の寺院一覧","箇条書き,制限あり","北緯35度0分4.3秒東経138度20分40.4秒","静岡県静岡市葵区慈悲尾302","9080005000401","北緯35度0分4.3秒東経138度20分40.4秒﻿ / ﻿北緯35.001194度 東経138.344556度﻿ /35.001194; 138.344556座標:北緯35度0分4.3秒東経138度20分40.4秒﻿ / ﻿北緯35.001194度 東経138.344556度﻿ /35.001194; 138.344556","天武天皇10年（681年）","慈悲山","地蔵菩薩","曹洞宗","今川氏親公木木造今川氏親頌徳碑今川氏親文学碑今川家霊廟","今川氏親","駿河三十三箇所16番","慈悲山 増善寺","","","","","","","",""
"崇福寺 (長崎市)","[崇福寺（そうふくじ）（長崎県長崎市）] 崇福寺 （そうふくじ）は、 長崎県 長崎市 にある 黄檗宗 の 寺院 。大雄宝殿と第一峰門は 国宝 建築である。 興福寺 ・ 福済寺 とともに「 長崎三福寺 」に数えられる。長崎に4つある唐寺の一つ。","https://ja.wikipedia.org/wiki/崇福寺_(長崎市)","日本の寺院一覧","https://ja.wikipedia.org/wiki/日本の寺院一覧","箇条書き,制限あり","北緯32度44分32.1秒東経129度53分1.2秒","長崎県長崎市鍛冶屋町","7310005000420","北緯32度44分32.1秒東経129度53分1.2秒﻿ / ﻿北緯32.742250度 東経129.883667度﻿ /32.742250; 129.883667﻿ (崇福寺)座標:北緯32度44分32.1秒東経129度53分1.2秒﻿ / ﻿北緯32.742250度 東経129.883667度﻿ /32.742250; 129.883667﻿ (崇福寺)","寛永6年（1629年）","聖寿山","","黄檗宗","大雄宝殿・第一峰門（国宝）三門・鐘鼓楼・護法堂・媽姐門他（重文）","超然","","","","","","","","","",""
"大安寺","[大安寺（だいあんじ）（奈良県奈良市）] 大安寺 （だいあんじ）は、 奈良県 奈良市 大安寺にある 高野山真言宗 の 寺院 。 本尊 は 十一面観音 。 開基 は 舒明天皇 と伝える。 南都七大寺 の1つで、 奈良時代 から 平安時代 前半までは、 東大寺 や 興福寺 と並ぶ大寺であった。","https://ja.wikipedia.org/wiki/大安寺","日本の寺院一覧","https://ja.wikipedia.org/wiki/日本の寺院一覧","箇条書き,制限あり","北緯34度40分4.8秒東経135度48分45.8秒","奈良県奈良市大安寺2丁目18-1","3150005000283","北緯34度40分4.8秒東経135度48分45.8秒﻿ / ﻿北緯34.668000度 東経135.812722度﻿ /34.668000; 135.812722座標:北緯34度40分4.8秒東経135度48分45.8秒﻿ / ﻿北緯34.668000度 東経135.812722度﻿ /34.668000; 135.812722","伝・飛鳥時代","無し","十一面観音","高野山真言宗","十一面観音立像・馬頭観音立像・不空羂索観音立像ほか（重要文化財）","伝・舒明天皇","大和十三仏霊場第13番神仏霊場巡拝の道第17番（奈良第4番）聖徳太子霊跡第23番大和北部八十八ヶ所霊場第1・2番南都七大寺","","","病気平癒・癌封じの祈祷やお守り 奈良県のお寺｜大安寺 南都七大寺","","","","","",""
"大雲寺 (京都市)","[大雲寺（だいうんじ）（京都市左京区）] 大雲寺 （だいうんじ）は、 京都府 京都市 左京区 岩倉 にある 仏教 寺院 。宗旨は 天台寺門宗 系 単立 （ 天台證門宗 ）。 山号 は「紫雲山」または「石座山」および「岩蔵山」。 本尊 は 十一面観音菩薩 で、岩倉観音・観音院などとも称される。","https://ja.wikipedia.org/wiki/大雲寺_(京都市)","日本の寺院一覧","https://ja.wikipedia.org/wiki/日本の寺院一覧","箇条書き,制限あり","北緯35度4分48秒東経135度46分56秒","京都府京都市左京区岩倉上蔵町305","2130005001788","北緯35度4分48秒東経135度46分56秒﻿ / ﻿北緯35.08000度 東経135.78222度﻿ /35.08000; 135.78222座標:北緯35度4分48秒東経135度46分56秒﻿ / ﻿北緯35.08000度 東経135.78222度﻿ /35.08000; 135.78222","天禄2年 (971年)","紫雲山石座山","十一面観音(秘仏)","","","","","","","京都 大雲寺公式ホームページ","総本山","真覚","天台證門宗","","",""
"大雄寺 (大田原市)","[大雄寺（だいおうじ）（栃木県大田原市）] 大雄寺 （だいおうじ）は 栃木県 大田原市 にある 曹洞宗 の寺院。山号は黒羽山。","https://ja.wikipedia.org/wiki/大雄寺_(大田原市)","日本の寺院一覧","https://ja.wikipedia.org/wiki/日本の寺院一覧","箇条書き,制限あり","","栃木県大田原市黒羽田町450","6060005004539","","応永11年（1404年）","黒羽山","釈迦如来坐像","曹洞宗","本堂、禅堂、庫裏、鐘楼、経蔵、総門、廻廊 3棟（重要文化財）御霊屋（県文化財）","","東国花の寺百ヶ寺 栃木11番","","","","","","","","",""
"大覚寺","[大覚寺（だいかくじ）（京都市右京区）] 大覚寺 （だいかくじ）は、 京都市 右京区 嵯峨 にある、 真言宗大覚寺派 大本山の 寺院 。山号を嵯峨山と称する。本尊は 不動明王 を中心とする 五大明王 、開基は 嵯峨天皇 である。嵯峨天皇の 離宮 を 寺 に改めた 皇室 ゆかりの寺院である。また、 後宇多法皇 がここで 院政 を行うなど、日本の政治史に深い関わりをもつ寺院である。また、嵯峨天皇を流祖と仰ぐ 華道嵯峨御流 の総司所（家元）である  。","https://ja.wikipedia.org/wiki/大覚寺","日本の寺院一覧","https://ja.wikipedia.org/wiki/日本の寺院一覧","箇条書き,制限あり","北緯35度1分41.65秒東経135度40分39.87秒","京都府京都市右京区嵯峨大沢町4","6130005002238","北緯35度1分41.65秒東経135度40分39.87秒﻿ / ﻿北緯35.0282361度 東経135.6777417度﻿ /35.0282361; 135.6777417座標:北緯35度1分41.65秒東経135度40分39.87秒﻿ / ﻿北緯35.0282361度 東経135.6777417度﻿ /35.0282361; 135.6777417","貞観18年（876年）","嵯峨山","五大明王（重要文化財）","真言宗大覚寺派","後宇多天皇宸翰御手印遺告、後宇多天皇宸翰弘法大師伝（国宝）正寝殿、絹本著色五大虚空蔵像、木造五大明王像5躯ほか（重要文化財）御所跡（史跡）大沢池、附名古曽滝跡（名勝）","嵯峨天皇","真言宗十八本山5番近畿三十六不動尊13番神仏霊場巡拝の道第89番（京都第9番）","旧嵯峨御所大覚寺門跡","大覚寺門跡、旧嵯峨御所","","大本山","","","","",""
"泰岳寺","[泰岳寺（たいがくじ）（愛知県春日井市）] 泰岳寺 （たいがくじ）は 愛知県 春日井市 上条町 にある 臨済宗妙心寺派 の 寺院 。 山号 は寶雲山。","https://ja.wikipedia.org/wiki/泰岳寺","日本の寺院一覧","https://ja.wikipedia.org/wiki/日本の寺院一覧","箇条書き,制限あり","北緯35度13分49.92秒東経136度59分2.19秒","愛知県春日井市上条町10-198","3180005008134","北緯35度13分49.92秒東経136度59分2.19秒﻿ / ﻿北緯35.2305333度 東経136.9839417度﻿ /35.2305333; 136.9839417座標:北緯35度13分49.92秒東経136度59分2.19秒﻿ / ﻿北緯35.2305333度 東経136.9839417度﻿ /35.2305333; 136.9839417","文明18年（1486年）","寶雲山","聖観世音菩薩","臨済宗妙心寺派","","林重緒","","","","禅宗 臨済宗妙心寺派 寶雲山泰岳寺","","仁済宗恕","","","",""
"退耕庵","[退耕庵（たいこうあん）（京都市東山区）] 退耕庵 （たいこうあん）は、 京都市 東山区 にある 臨済宗 東福寺派 の大本山・ 東福寺 の 塔頭 。本尊は 千手観音 。 小野小町 ゆかりの寺として知られる。拝観には予約が必要である。","https://ja.wikipedia.org/wiki/退耕庵","日本の寺院一覧","https://ja.wikipedia.org/wiki/日本の寺院一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
