"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","面積","分類","運営者","開園","事務所所在地","事務所","公式サイト","告示","備考","設備・遊具","地域","創立日","年来園者数","位置","アクセス","標高","山系","現況"
"魚沼連峰県立自然公園","[魚沼連峰県立自然公園] 魚沼連峰県立自然公園 （うおぬまれんぽうけんりつしぜんこうえん）は、 日本百名山 ・ 巻機山 を中心とした 新潟県 と 群馬県 境の山岳地帯にある総面積13,827 ha の 県立自然公園 である。","https://ja.wikipedia.org/wiki/魚沼連峰県立自然公園","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"米山福浦八景県立自然公園 (存在しないページ)","[米山福浦八景県立自然公園]","https://ja.wikipedia.org/w/index.php?title=米山福浦八景県立自然公園&amp;action=edit&amp;redlink=1","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"直峰松之山大池県立自然公園 (存在しないページ)","[直峰松之山大池県立自然公園]","https://ja.wikipedia.org/w/index.php?title=直峰松之山大池県立自然公園&amp;action=edit&amp;redlink=1","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"久比岐県立自然公園 (存在しないページ)","[久比岐県立自然公園]","https://ja.wikipedia.org/w/index.php?title=久比岐県立自然公園&amp;action=edit&amp;redlink=1","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"白馬山麓県立自然公園 (存在しないページ)","[白馬山麓県立自然公園]","https://ja.wikipedia.org/w/index.php?title=白馬山麓県立自然公園&amp;action=edit&amp;redlink=1","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"親不知子不知県立自然公園 (存在しないページ)","[親不知子不知県立自然公園]","https://ja.wikipedia.org/w/index.php?title=親不知子不知県立自然公園&amp;action=edit&amp;redlink=1","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"小佐渡県立自然公園 (存在しないページ)","[小佐渡県立自然公園]","https://ja.wikipedia.org/w/index.php?title=小佐渡県立自然公園&amp;action=edit&amp;redlink=1","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"朝日県立自然公園","[朝日県立自然公園] 朝日県立自然公園 （あさひけんりつしぜんこうえん）は、 富山県 下新川郡 朝日町 にある 県立自然公園 。面積9,623ha（その他海域660ha）。 1973年 （昭和48年） 3月13日 指定。","https://ja.wikipedia.org/wiki/朝日県立自然公園","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","北緯36度51分22秒東経137度40分30秒","日本富山県下新川郡朝日町","96,230,000m2","自然公園","","","富山県富山市新総曲輪1-7","富山県生活環境文化部自然保護課","","1973年3月13日","","","","","","","","","",""
"有峰県立自然公園","[有峰県立自然公園] 有峰県立自然公園 （ありみねけんりつしぜんこうえん）は、 富山県 富山市 の南東にある 県立自然公園 。面積11,600 ha 。 1973年 （昭和48年） 3月13日 指定。","https://ja.wikipedia.org/wiki/有峰県立自然公園","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","北緯36度29分30秒東経137度27分36秒","日本富山県富山市","116,000,000m2","自然公園","","","富山県富山市新総曲輪1-7","富山県生活環境文化部自然保護課","","1973年3月13日","","","","","","","","","",""
"五箇山県立自然公園","[五箇山県立自然公園] 五箇山県立自然公園 （ごかやまけんりつしぜんこうえん）は、 富山県 南砺市 にある 県立自然公園 。面積は3856ha（38.56km 2 ）。","https://ja.wikipedia.org/wiki/五箇山県立自然公園","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","北緯36度24分48秒東経136度52分48秒","日本富山県南砺市","38,560,000m2","自然公園","","","富山県富山市新総曲輪1-7","富山県生活環境文化部自然保護課","","1973年3月13日","","","","","","","","","",""
"白木水無県立自然公園","[白木水無県立自然公園] 白木水無県立自然公園 （しらきみずなしけんりつしぜんこうえん）は、 富山県 富山市 と 南砺市 にまたがる 県立自然公園 。1974（昭和49）年指定。面積は11500ha（115km 2 ）。","https://ja.wikipedia.org/wiki/白木水無県立自然公園","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","北緯36度45分42秒東経137度33分49秒","日本富山県富山市・南砺市","115,000,000m2","自然公園","","","富山県富山市新総曲輪1-7","富山県生活環境文化部自然保護課","","","","","","","","","","","",""
"医王山県立自然公園","[医王山県立自然公園] 医王山県立自然公園 （いおうぜんけんりつしぜんこうえん）は、 富山県 と 石川県 の2県にまたがる総面積2.940haの 県立自然公園 である。","https://ja.wikipedia.org/wiki/医王山県立自然公園","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","北緯36度32分11秒東経136度48分52秒","日本富山県南砺市・石川県金沢市","29,400,000m2","自然公園","","","富山県富山市新総曲輪1-7石川県金沢市鞍月1-1","富山県生活環境文化部自然保護課石川県環境部自然環境課","医王山県立自然公園","1975年2月22日","","","","","","","","","",""
"僧ヶ岳県立自然公園","[僧ヶ岳県立自然公園] 僧ヶ岳県立自然公園 （そうがたけけんりつしぜんこうえん）は、 富山県 魚津市 と 黒部市 にまたがる 県立自然公園 。面積5,800ha。 2011年 （平成23年） 9月8日 指定。","https://ja.wikipedia.org/wiki/僧ヶ岳県立自然公園","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","北緯36度45分42秒東経137度33分49秒","日本富山県魚津市・黒部市","58,000,000m2","自然公園","","","富山県富山市新総曲輪1-7","富山県生活環境文化部自然保護課","","2011年9月8日","","","","","","","","","",""
"山中・大日山県立自然公園","[山中・大日山県立自然公園] 山中・大日山県立自然公園 （やまなか・だいにちさんけんりつしぜんこうえん）は、 石川県 の 県立自然公園 。 加賀市 と 小松市 にまたがる。","https://ja.wikipedia.org/wiki/山中・大日山県立自然公園","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"獅子吼・手取県立自然公園","[獅子吼・手取県立自然公園] 獅子吼・手取県立自然公園 （ししく・てどりけんりつしぜんこうえん）は、 石川県 内の 県立自然公園 である。指定面積6.410ha。","https://ja.wikipedia.org/wiki/獅子吼・手取県立自然公園","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"碁石ケ峰県立自然公園","[碁石ケ峰県立自然公園] 碁石ケ峰県立自然公園 （ごいしがみねけんりつしぜんこうえん）は、 石川県 の 県立自然公園 。 鹿島郡 中能登町 と 羽咋市 にまたがる。","https://ja.wikipedia.org/wiki/碁石ケ峰県立自然公園","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"白山一里野県立自然公園","[白山一里野県立自然公園] 白山一里野県立自然公園 （はくさんいちりのけんりつしぜんこうえん）は、 石川県 の 県立自然公園 。 白山市 の山間部に位置する。","https://ja.wikipedia.org/wiki/白山一里野県立自然公園","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"医王山県立自然公園","[医王山県立自然公園] 医王山県立自然公園 （いおうぜんけんりつしぜんこうえん）は、 富山県 と 石川県 の2県にまたがる総面積2.940haの 県立自然公園 である。","https://ja.wikipedia.org/wiki/医王山県立自然公園","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","北緯36度32分11秒東経136度48分52秒","日本富山県南砺市・石川県金沢市","29,400,000m2","自然公園","","","富山県富山市新総曲輪1-7石川県金沢市鞍月1-1","富山県生活環境文化部自然保護課石川県環境部自然環境課","医王山県立自然公園","1975年2月22日","","","","","","","","","",""
"奥越高原県立自然公園","[奥越高原県立自然公園] 奥越高原県立自然公園 （おくえつこうげんけんりつしぜんこうえん）は、 福井県 勝山市 および 大野市 （奥越地区）を中心とする 県立自然公園 。 1955年 （ 昭和 30年） 10月21日 に指定され、福井県唯一の県立山岳公園  である。","https://ja.wikipedia.org/wiki/奥越高原県立自然公園","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"千本松原県立自然公園","[千本松原県立自然公園] 千本松原 （せんぼんまつばら）は 岐阜県 海津市 海津町 油島にある 松 が植えられた 堤防 。 木曽三川 （ 木曽川 ・ 長良川 ・ 揖斐川 ）の 三川分流工事 に伴い、分流堤に約1000本の松が植えられた。 油島千本松締切堤 ともいい  、 1940年 （昭和15年） 7月12日 に国の 史跡 に指定された  。岐阜県の「千本松原県立自然公園」（面積42 ha ）である  。","https://ja.wikipedia.org/wiki/千本松原県立自然公園","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","北緯35度8分20秒 東経136度40分8秒","","","","","","","","","","","","","","","","","","",""
"揖斐県立自然公園","[揖斐県立自然公園] 揖斐県立自然公園 （いびけんりつしぜんこうえん）は、 岐阜県 西濃地区 にある 県立自然公園 。 面積 は、52,834 ha  。","https://ja.wikipedia.org/wiki/揖斐県立自然公園","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"奥飛騨数河流葉県立自然公園","[奥飛騨数河流葉県立自然公園] 奥飛騨数河流葉県立自然公園 （おくひだすごうながれはけんりつしぜんこうえん）は、 岐阜県 飛騨市 にある 県立自然公園 。面積2,959 ha （特別地区228ha）  。","https://ja.wikipedia.org/wiki/奥飛騨数河流葉県立自然公園","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"宇津江四十八滝県立自然公園","[宇津江四十八滝県立自然公園] 宇津江四十八滝 （うつえしじゅうはちたき）は、 岐阜県 高山市 国府町宇津江にある 渓谷 、 滝 。宮川（ 神通川 ）の支流・宇津江川にあり、その上流の渓谷にある一連の滝の総称である。","https://ja.wikipedia.org/wiki/宇津江四十八滝県立自然公園","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","北緯36度11分48.72秒東経137度9分23.52秒","岐阜県高山市国府町宇津江","","","","","","","","","","","","","","北緯36度11分48.72秒東経137度9分23.52秒﻿ / ﻿北緯36.1968667度 東経137.1565333度﻿ /36.1968667; 137.1565333座標:北緯36度11分48.72秒東経137度9分23.52秒﻿ / ﻿北緯36.1968667度 東経137.1565333度﻿ /36.1968667; 137.1565333","","","",""
"恵那峡県立自然公園 (存在しないページ)","[恵那峡県立自然公園]","https://ja.wikipedia.org/w/index.php?title=恵那峡県立自然公園&amp;action=edit&amp;redlink=1","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"胞山県立自然公園","[胞山県立自然公園] 胞山県立自然公園 （えなさんけんりつしぜんこうえん）は、 岐阜県 東濃地方 の 長野県 境に位置する 県立自然公園 。面積5,027ha。 1954年 （昭和29年） 9月14日 指定。","https://ja.wikipedia.org/wiki/胞山県立自然公園","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"裏木曽県立自然公園","[裏木曽県立自然公園] 裏木曽県立自然公園 （うらきそけんりつしぜんこうえん）は、 岐阜県 東濃地区 にある 県立自然公園 。面積11,654 ha （特別地区456ha）  。","https://ja.wikipedia.org/wiki/裏木曽県立自然公園","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"伊吹県立自然公園 (存在しないページ)","[伊吹県立自然公園]","https://ja.wikipedia.org/w/index.php?title=伊吹県立自然公園&amp;action=edit&amp;redlink=1","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"土岐三国山県立自然公園 (存在しないページ)","[土岐三国山県立自然公園]","https://ja.wikipedia.org/w/index.php?title=土岐三国山県立自然公園&amp;action=edit&amp;redlink=1","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"位山舟山県立自然公園 (存在しないページ)","[位山舟山県立自然公園]","https://ja.wikipedia.org/w/index.php?title=位山舟山県立自然公園&amp;action=edit&amp;redlink=1","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"奥長良川県立自然公園","[奥長良川県立自然公園] 奥長良川県立自然公園 （おくながらがわけんりつしぜんこうえん）は、 岐阜県 中濃地区 にある 県立自然公園 。面積30,122 ha （特別地区7,099ha）  。","https://ja.wikipedia.org/wiki/奥長良川県立自然公園","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"野麦県立自然公園 (存在しないページ)","[野麦県立自然公園]","https://ja.wikipedia.org/w/index.php?title=野麦県立自然公園&amp;action=edit&amp;redlink=1","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"せせらぎ渓谷県立自然公園 (存在しないページ)","[せせらぎ渓谷県立自然公園]","https://ja.wikipedia.org/w/index.php?title=せせらぎ渓谷県立自然公園&amp;action=edit&amp;redlink=1","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"天生県立自然公園 (存在しないページ)","[天生県立自然公園]","https://ja.wikipedia.org/w/index.php?title=天生県立自然公園&amp;action=edit&amp;redlink=1","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"御嶽山県立自然公園","[御嶽山県立自然公園] 御嶽山県立自然公園 （おんたけさんけんりつしぜんこうえん）は、 岐阜県 飛騨地方 南東部に位置する 県立自然公園 。面積4,276 ha  。 1999年 （平成11年） 4月1日 指定  。","https://ja.wikipedia.org/wiki/御嶽山県立自然公園","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"日本平県立自然公園 (存在しないページ)","[日本平県立自然公園]","https://ja.wikipedia.org/w/index.php?title=日本平県立自然公園&amp;action=edit&amp;redlink=1","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"奥大井県立自然公園","[奥大井県立自然公園] 奥大井県立自然公園 （おくおおいけんりつしぜんこうえん）は、 静岡県 北部に位置する 県立自然公園 。面積8,531 ha  。 1968年 （ 昭和 43年） 4月1日 指定  。","https://ja.wikipedia.org/wiki/奥大井県立自然公園","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","北緯35度10分51.8秒 東経138度6分41.8秒","","","","","","","","","","","","","","","","","","",""
"御前崎遠州灘県立自然公園 (存在しないページ)","[御前崎遠州灘県立自然公園]","https://ja.wikipedia.org/w/index.php?title=御前崎遠州灘県立自然公園&amp;action=edit&amp;redlink=1","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"浜名湖県立自然公園 (存在しないページ)","[浜名湖県立自然公園]","https://ja.wikipedia.org/w/index.php?title=浜名湖県立自然公園&amp;action=edit&amp;redlink=1","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"渥美半島県立自然公園","[渥美半島県立自然公園] 渥美半島県立自然公園 （あつみはんとうけんりつしぜんこうえん）は、 愛知県 にある総面積12,556haの 県立自然公園 である。","https://ja.wikipedia.org/wiki/渥美半島県立自然公園","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","北緯34度36分25.62秒 東経137度5分47.97秒","","","","","","","","","","","","","","","","","","",""
"南知多県立自然公園","[南知多県立自然公園] 南知多県立自然公園 （みなみちたけんりつしぜんこうえん）は、 愛知県 にある総面積8,649haの 県立自然公園 である。","https://ja.wikipedia.org/wiki/南知多県立自然公園","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","北緯34度44分51.93秒 東経136度54分0.32秒","","","","","","","","","","","","","","","","","","",""
"段戸高原県立自然公園","[段戸高原県立自然公園] 段戸高原県立自然公園 （だんどこうげんけんりつしぜんこうえん）は、 愛知県 にある総面積3,781haの 県立自然公園 である。","https://ja.wikipedia.org/wiki/段戸高原県立自然公園","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","北緯35度10分2.61秒 東経137度28分23.53秒","","","","","","","","","","","","","","","","","","",""
"振草渓谷県立自然公園","[振草渓谷県立自然公園] 振草渓谷県立自然公園 （ふりくさけいこくけんりつしぜんこうえん）は、 愛知県 にある総面積2,198haの 県立自然公園 である。","https://ja.wikipedia.org/wiki/振草渓谷県立自然公園","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","北緯35度4分36.94秒 東経137度39分54.48秒","","","","","","","","","","","","","","","","","","",""
"本宮山県立自然公園","[本宮山県立自然公園] 本宮山県立自然公園 （ほんぐうさんけんりつしぜんこうえん）は、 愛知県 にある総面積7,294haの 県立自然公園 である。 1969年 3月14日 に愛知県の 県立自然公園 に指定された。","https://ja.wikipedia.org/wiki/本宮山県立自然公園","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","北緯34度54分29.95秒 東経137度25分15.61秒","","","","","","","","","","","","","","","","","","",""
"桜淵県立自然公園","[桜淵県立自然公園] 桜淵県立自然公園 （さくらぶちけんりつしぜんこうえん）は、 愛知県 にある総面積2,517haの 県立自然公園 である。","https://ja.wikipedia.org/wiki/桜淵県立自然公園","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","北緯34度53分44.60秒 東経137度30分22.93秒","","","","","","","","","","","","","","","","","","",""
"石巻山多米県立自然公園","[石巻山多米県立自然公園] 石巻山多米県立自然公園 （いしまきさんためけんりつしぜんこうえん）は、 愛知県 にある総面積2,061haの 県立自然公園 である。","https://ja.wikipedia.org/wiki/石巻山多米県立自然公園","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","北緯34度47分20.4秒 東経137度27分38.19秒","","","","","","","","","","","","","","","","","","",""
"水郷県立自然公園","[水郷県立自然公園] 水郷県立自然公園 （すいごうけんりつしぜんこうえん）は 三重県 北部 の 水郷 地帯に広がる 県立自然公園 である。 1953年 （ 昭和 28年） 10月1日 に三重県が指定した。 桑名市 と 桑名郡 木曽岬町 にまたがる公園で、 面積 は6,842 ha である。　","https://ja.wikipedia.org/wiki/水郷県立自然公園","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"伊勢の海県立自然公園","[伊勢の海県立自然公園] 伊勢の海県立自然公園 （いせのうみけんりつしぜんこうえん）は 三重県 中勢 地域 沿岸 部一帯に広がる 県立自然公園 である。 1953年 （ 昭和 28年） 10月1日 に三重県が指定し、指定 面積 は782 ha である  。2003年（平成15年）の観光入込客数は60万1千人であった  。","https://ja.wikipedia.org/wiki/伊勢の海県立自然公園","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"赤目一志峡県立自然公園","[赤目一志峡県立自然公園] 赤目一志峡県立自然公園 （あかめいちしきょうけんりつしぜんこうえん  ）は、 三重県 中部にある 県立自然公園 。 雲出川 と 名張川 の上流部にあたり、 赤目四十八滝 など多くの 景勝地 を抱える 公園 である  。公園の総 面積 は22,043 ha で、指定面積の大半が 津市 （旧 美杉村 ）に含まれる  。 2013年 （平成25年）の公園利用者数は17万2千人  。","https://ja.wikipedia.org/wiki/赤目一志峡県立自然公園","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","日本三重県名張市・津市・松阪市","22,043ha","都道府県立自然公園","三重県","1948年（昭和23年）10月14日","三重県津市広明町13番地三重県庁舎6階","三重県農林水産部みどり共生推進課自然公園班","","","","","","","17.2万人（2013年）","","","","","開園中"
"香肌峡県立自然公園","[香肌峡県立自然公園] 香肌峡県立自然公園 （かはだきょうけんりつしぜんこうえん）は、 三重県 中勢 地域西部の 県立自然公園 である。 2003年 （平成15年）の観光入込客数は58万8千人であった  。","https://ja.wikipedia.org/wiki/香肌峡県立自然公園","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"奥伊勢宮川峡県立自然公園","[奥伊勢宮川峡県立自然公園] 奥伊勢宮川峡県立自然公園 （おくいせみやがわきょうけんりつしぜんこうえん）は、 三重県 南勢 地域西部（奥伊勢）の 県立自然公園 である。2003年（平成15年）の観光入込客数は、125万4千人であった  。","https://ja.wikipedia.org/wiki/奥伊勢宮川峡県立自然公園","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"三上・田上・信楽県立自然公園","[三上・田上・信楽県立自然公園] 三上・田上・信楽県立自然公園 （みかみ・たなかみ・しがらきけんりつしぜんこうえん）は、 滋賀県 南部の 県立自然公園 である。","https://ja.wikipedia.org/wiki/三上・田上・信楽県立自然公園","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","","18,177 ha(44,920エーカー)","","","","","","","","","","滋賀県","1969-12-26","","","","","",""
"朽木・葛川県立自然公園","[朽木・葛川県立自然公園] 朽木・葛川県立自然公園 （くつき・かつらがわけんりつしぜんこうえん）は、 滋賀県 西部の 県立自然公園 である。","https://ja.wikipedia.org/wiki/朽木・葛川県立自然公園","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","","14,342 ha(35,440エーカー)","","","","","","","","","","滋賀県","1971-10-08","","","","","",""
"湖東県立自然公園","[湖東県立自然公園] 湖東県立自然公園 （ことうけんりつしぜんこうえん）は、 滋賀県 東部の 県立自然公園 である。","https://ja.wikipedia.org/wiki/湖東県立自然公園","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","","4,367 ha(10,790エーカー)","","","","","","","","","","滋賀県","1987-05-11","","","","","",""
"府立るり渓自然公園 (存在しないページ)","[府立るり渓自然公園]","https://ja.wikipedia.org/w/index.php?title=府立るり渓自然公園&amp;action=edit&amp;redlink=1","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"府立保津峡自然公園 (存在しないページ)","[府立保津峡自然公園]","https://ja.wikipedia.org/w/index.php?title=府立保津峡自然公園&amp;action=edit&amp;redlink=1","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"府立笠置山自然公園 (存在しないページ)","[府立笠置山自然公園]","https://ja.wikipedia.org/w/index.php?title=府立笠置山自然公園&amp;action=edit&amp;redlink=1","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"大阪府立北摂自然公園","[府立北摂自然公園] 大阪府立北摂自然公園 （おおさかふりつほくせつしぜんこうえん）とは、 大阪府 北部の 北摂山系 の森林地帯にある 自然公園 で、5市町に点在している。","https://ja.wikipedia.org/wiki/大阪府立北摂自然公園","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","日本高槻市・茨木市・島本町・豊能町・能勢町","2,594ha","自然公園","大阪府","2001年8月31日","","","","","","","","","78万人","","","","",""
"多紀連山県立自然公園","[多紀連山県立自然公園] 多紀連山県立自然公園 （たきれんざんけんりつしぜんこうえん）とは、 兵庫県 東部にある兵庫県立の 自然公園 である。","https://ja.wikipedia.org/wiki/多紀連山県立自然公園","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","日本兵庫県丹波篠山市、丹波市","9,350ha","自然公園","","","","","","","","なし","","","","","","","",""
"猪名川渓谷県立自然公園","[猪名川渓谷県立自然公園] 猪名川渓谷県立自然公園 （いながわけいこくけんりつしぜんこうえん）とは、 兵庫県 東部にある兵庫県立の 自然公園 である。","https://ja.wikipedia.org/wiki/猪名川渓谷県立自然公園","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"清水東条湖立杭県立自然公園","[清水東条湖立杭県立自然公園] 清水東条湖立杭県立自然公園 （きよみずとうじょうこたちくいけんりつしぜんこうえん）とは、 兵庫県 中部にある兵庫県立の 自然公園 である。","https://ja.wikipedia.org/wiki/清水東条湖立杭県立自然公園","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","北緯35度1分1.9秒東経135度3分55.9秒","日本兵庫県西脇市、三田市、丹波篠山市、加東市の加古川東部に広がる","8,850ha","自然公園","兵庫県","1957年4月27日","","","","","","","","","","","","","",""
"朝来群山県立自然公園","[朝来群山県立自然公園] 朝来群山県立自然公園 （あさごぐんざんけんりつしぜんこうえん）は、 兵庫県 の中部にある兵庫県立の 自然公園 。","https://ja.wikipedia.org/wiki/朝来群山県立自然公園","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","北緯35度14分1.7秒東経134度52分46.4秒","日本兵庫県朝来市、多可郡、丹波市","14,766ヘクタール","自然公園","兵庫県","","〒650-8567 兵庫県神戸市中央区下山手通5丁目10−1","兵庫県 農政環境部 環境創造局自然環境課・鳥獣対策課","","","","","","","","","","","",""
"音水ちくさ県立自然公園","[音水ちくさ県立自然公園] 音水ちくさ県立自然公園 （おんずいちくさけんりつしぜんこうえん）とは、 兵庫県 中西部にある兵庫県立の 自然公園 である。","https://ja.wikipedia.org/wiki/音水ちくさ県立自然公園","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"但馬山岳県立自然公園","[但馬山岳県立自然公園] 但馬山岳県立自然公園 （たじまさんがくけんりつしぜんこうえん）とは、 兵庫県 北部にある兵庫県立の 自然公園 である。","https://ja.wikipedia.org/wiki/但馬山岳県立自然公園","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","北緯35度32分12秒東経134度37分43秒","日本兵庫県豊岡市、養父市、美方郡香美町、新温泉町","自然公園","","","","〒668－0025 豊岡市幸町7－11","但馬県民局","","","","","","","","","","","",""
