"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","開園","公式サイト","管理運営","位置","面積","事業主体","前身","愛称","閉園","キャッチコピー","来園者数","運営者","テーマ","所有者","分類","外部リンク","住所","開業"
"いなせランド総合遊園地","[いなせランド総合遊園地01北海道?-2001] いなせランド総合遊園地 は、かつて 北海道 弟子屈町 に存在していた総合レジャー施設。","https://ja.wikipedia.org/wiki/いなせランド総合遊園地","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","北緯43度36分7秒東経144度21分14秒","北海道川上郡弟子屈町字屈斜路2","","","大阪緑風観光株式会社","北緯43度36分7秒東経144度21分14秒﻿ / ﻿北緯43.60194度 東経144.35389度﻿ /43.60194; 144.35389座標:北緯43度36分7秒東経144度21分14秒﻿ / ﻿北緯43.60194度 東経144.35389度﻿ /43.60194; 144.35389","","","","いなせランド","2001年7月31日","","","","","","","","",""
"オタモイ遊園地","[オタモイ遊園地01北海道1935-1952] 加藤秋太郎がオタモイ沿岸の山と漁場を合わせて10万坪を購入。 1931年 （ 昭和 6年）に遊園地の建設を開始。白蛇弁天堂が着工される。3年後の 1932年 （昭和 7年）にはさらにオタモイの土地5万坪を購入。白蛇弁天堂完成。オタモイの 唐門 竣工、開門式挙行される  。","https://ja.wikipedia.org/wiki/オタモイ遊園地","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","北緯43度13分46.8秒東経140度57分28.5秒","","","","","","","","","","","","","","","","","","",""
"小樽公園","[小樽公園01北海道1970-2006/公園部分は営業中] 小樽公園 （おたるこうえん）は、 北海道 小樽市 にある 公園 。","https://ja.wikipedia.org/wiki/小樽公園","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","北緯43度11分17秒東経140度59分34秒","日本北海道小樽市花園","1900年","小樽市：小樽公園","","","23.5ヘクタール","","","","","","","小樽市","","","総合公園","","",""
"長崎屋","[帯広ファンタジードーム01北海道/ファンタジープラザ] 「長崎屋」の事実上の創業者である 岩田孝八 の先祖は 江戸時代 、 東海道 大磯宿 で 本陣 に次ぐクラスの 旅籠 「長崎屋」を営み、 名主 もつとめたが、 明治 3年に廃業したとされる  。","https://ja.wikipedia.org/wiki/長崎屋#グループ企業","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","","","","","","","","","","","","","","","","","","公式ウェブサイト","",""
"カナディアンワールド公園","[カナディアンワールド01北海道?-1997/市営公園] カナディアンワールド公園 （カナディアンワールドこうえん）とは、 北海道 芦別市 にある民営 公園 である。","https://ja.wikipedia.org/wiki/カナディアンワールド公園","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","北緯43度33分58秒東経142度14分21.2秒","日本北海道芦別市黄金町731","1990年（平成2年）7月29日（テーマパーク）↓1999年（平成11年）7月4日（市営公園）↓2020年（令和２年）4月1日（民営公園）","https://www.canadian-world.com","","","448,551 平方メートル","","カナディアンワールド（テーマパーク）","","","","","カナディアンワールド振興会","","","普通公園","","",""
"グリュック王国","[グリュック王国01北海道1989-2007] 国鉄 の 広尾線 の廃止に象徴されるように従来の道内産業基盤が弱体化する中、1980年代の好況を背景に、観光による町おこしを目指して 帯広空港 近くに建設された。ぜんりんレジャーランドの社長がヨーロッパ旅行の際に訪れたドイツの美しい町並みや環境、「未来の子供たちのために」として今ある物を次世代に伝えるドイツ人の行動規範に感銘を受けてドイツ調のテーマパーク開発が行われた。","https://ja.wikipedia.org/wiki/グリュック王国","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","北緯42度44分40秒 東経143度12分8.5秒","〒089-1246北海道帯広市幸福町東6線","1989年7月1日","","株式会社ぜんりんレジャーランド","","","","","","2007年2月5日","グリム童話と中世ドイツの街並み。","71万人（1992年度）","","","","","","",""
"紅桜庭園","[紅桜庭園01北海道] 紅桜公園 （べにざくらこうえん）は、 北海道 札幌市 南区 澄川 389にある私設の公園である。紅桜庭園、紅桜遊園地とも呼ばれる。","https://ja.wikipedia.org/wiki/紅桜庭園","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","","","","","","","","","","","","","","","","","","","",""
"深川市桜山公園","[桜山遊園地01北海道] 深川市桜山公園 （ふかがわしさくらやまこうえん）は、 北海道 深川市 一已町にある 公園 である。深川市より管理受託している深川振興公社が運営している。","https://ja.wikipedia.org/wiki/深川市桜山公園","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","北緯43度45分16.3秒東経142度0分47.9秒","日本北海道深川市一已町字一已1863番地","","桜山公園（深川市）","","","","","桜山遊園地（旧・桜山レジャーランド）","","","","","深川振興公社","","","自然公園","","",""
"シーサイドパーク広尾 (存在しないページ)","[シーサイドパーク広尾01北海道1972-?]","https://ja.wikipedia.org/w/index.php?title=シーサイドパーク広尾&amp;action=edit&amp;redlink=1","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","","","","","","","","","","","","","","","","","","","",""
"ジョイランド樽前","[ジョイランド樽前01北海道1984-?] 1975年 （ 昭和 50年） 8月 、 株式会社 道王  が温浴施設・ホテル「苫小牧温泉・ジョイランド樽前」を開業  。","https://ja.wikipedia.org/wiki/ジョイランド樽前","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","北緯42度37分16秒 東経141度28分12秒","","","","","","","","","","","","","","","","","","",""
"太平洋スカイランド","[太平洋スカイランド01北海道1969-2002] 太平洋スカイランド （たいへいようスカイランド）は、かつて 北海道 釧路市 に存在していた総合レジャー施設である。","https://ja.wikipedia.org/wiki/太平洋スカイランド","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","","北海道釧路市桜ケ丘3丁目","1969年5月","","","","","太平洋炭礦株式会社","","","2002年3月15日","","","","","","","","",""
"TBS樽前ハイランド","[TBS樽前ハイランド01北海道] TBS樽前ハイランド （ティービーエスたるまえハイランド）は、かつて 北海道 苫小牧市 にあった レジャー施設 である。","https://ja.wikipedia.org/wiki/TBS樽前ハイランド","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","","日本","","","","","","","","","","","","","","TBS不動産","","","北海道苫小牧市字樽前","1970年11月11日"
"中島公園","[中島公園子供の国01北海道] 中島公園 （なかじまこうえん）は、 札幌市 中央区 にある 公園 ・ 地名 。「 日本の都市公園100選 」「 日本の歴史公園100選 」選定  。","https://ja.wikipedia.org/wiki/中島公園","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","北緯43度02分39秒東経141度21分18秒","日本札幌市中央区中島公園・南14条西5丁目・南15条西4丁目","","中島公園","","","23.6ヘクタール","","中島遊園地","","","","","公園緑化協会・中島公園コンソーシアム（指定管理者）","","","総合公園","","",""
"錦沢遊園地","[錦沢遊園地01北海道?-1970] 錦沢遊園地 （にしきざわゆうえんち）は、 北海道 夕張市 に存在した 遊園地 。","https://ja.wikipedia.org/wiki/錦沢遊園地","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","","","","","","","","","","","","","","","","","","","",""
"ファンタジードーム","[苫小牧ファンタジードーム01北海道1990-1997日本初の屋内型遊園地 / 現MEGAドン・キホーテ苫小牧店] ファンタジードーム は、 北海道 苫小牧市 木場町 1-6番地に存在した日本初の 全天候型 アミューズメントパーク（ 遊園地 ）である  。所在地から 苫小牧ファンタジードーム とも称される。現在、跡地は MEGAドン・キホーテ 苫小牧店になっている  。","https://ja.wikipedia.org/wiki/ファンタジードーム","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","","〒053-0033北海道苫小牧市木場町1丁目6-1","1990年9月5日","","サンファンタジーとまこまい","","14,000m2","長崎屋","","","1997年1月16日","ノー天気遊園地","","","","","","","",""
"藻岩ドリームランド","[藻岩ドリームランド01北海道] 藻岩山 （もいわやま）は、 北海道 札幌市 の中心部から南西約5 キロメートル （ 札幌駅 の南西6km  ）に位置する  標高531 メートル (530.9m   〈531.03m  〉) の山  。藻岩山には ロープウェイ や 自動車道 が通り  、 展望台 や冬季は スキー場 により、札幌市民や観光客の行楽地となっている  。","https://ja.wikipedia.org/wiki/藻岩ドリームランド","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","北緯43度01分21秒東経141度19分20秒","日本北海道札幌市南区","","","","北緯43度01分21秒東経141度19分20秒﻿ / ﻿北緯43.02250度 東経141.32222度﻿ /43.02250; 141.32222座標:北緯43度01分21秒東経141度19分20秒﻿ / ﻿北緯43.02250度 東経141.32222度﻿ /43.02250; 141.32222","","","","","","","","","","","","","",""
"稚内公園","[稚内公園01北海道/公園部分は営業中] 稚内公園 （わっかないこうえん）は、 北海道 稚内市 にある 公園 。","https://ja.wikipedia.org/wiki/稚内公園","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","北緯45度25分11秒東経141度40分01秒","日本北海道稚内市中央","1954年（昭和29年）","","","","45.2ヘクタール","","","","","","","稚内市シルバー人材センター（指定管理者）","","","総合公園","","",""
"長根運動公園","[八戸市児童遊園地02青森1958-1985] 長根公園 （ながねこうえん）とは、 青森県 八戸市 にある、 都市公園 （ 運動公園 ）である  。","https://ja.wikipedia.org/wiki/長根運動公園","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","北緯40度30分37秒 東経141度28分54秒","青森県八戸市大字売市字輿遊下","","八戸市のサイト","","","17.1ha","","","","","","","八戸市","","","都市公園（運動公園）","","",""
"はごろも自然遊園地","[はごろも自然遊園地02青森] はごろも自然遊園地 （はごろもしぜんゆうえんち）は、 青森県 八戸市 にかつて存在した 遊園地 である。","https://ja.wikipedia.org/wiki/はごろも自然遊園地","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","北緯40度28分35秒 東経141度38分30秒","","","","","","","","","","","","","","","","","","",""
"プレイピア白浜","[プレイピア白浜02青森1985-1998/2009年より公園部分は休業中] プレイピア白浜 （プレイピアしらはま）は、 青森県 八戸市 鮫町に存在する 公園 。公園としては存在するが、公開はしていない。公園敷地の所有は株式会社長寿であったが、 2013年 6月、根抵当権による競売でみちのく資源開発株式会社が所有権を取得した。","https://ja.wikipedia.org/wiki/プレイピア白浜","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","","","","","","","","","","","","","","","","","","","",""
"ワンダーランドASAMUSHI","[ワンダーランドASAMUSHI02青森旧・あさむしキディランド] ワンダーランドASAMUSHI （ - あさむし）は、 青森県 青森市 にかつて存在した 遊園地 である。","https://ja.wikipedia.org/wiki/ワンダーランドASAMUSHI","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","","青森県青森市浅虫坂本","2000年4月","","株式会社岡本製作所","","","","あさむしキディランド","","2005年10月10日","海の見えるシーサイド遊園地","約10万人（2000年度）","","","","","","",""
"馬仙峡ユーランド","[馬仙峡ユーランド03岩手] 馬仙峡ユーランド （ばせんきょうユーランド）は、 岩手県 二戸市 にかつて存在した 遊園地 である。","https://ja.wikipedia.org/wiki/馬仙峡ユーランド","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","北緯40度15分04.9秒東経141度17分12.8秒","岩手県二戸市","","","","北緯40度15分04.9秒東経141度17分12.8秒﻿ / ﻿北緯40.251361度 東経141.286889度﻿ /40.251361; 141.286889座標:北緯40度15分04.9秒東経141度17分12.8秒﻿ / ﻿北緯40.251361度 東経141.286889度﻿ /40.251361; 141.286889","","","","","","","","","","","","","",""
"サニーランド蛇の島","[サニーランド蛇の島03岩手1967-1970] サニーランド蛇の島 （サニーランドじゃのしま）は、 岩手県 盛岡市 上堂にかつて存在した 遊園地 である。","https://ja.wikipedia.org/wiki/サニーランド蛇の島","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","","","","","","","","","","","","","","","","","","","",""
"マリンパーク山田","[マリンパーク山田03岩手1988-1999] マリンパーク山田 （マリンパークやまだ）は、 岩手県 山田町 にかつて存在した 遊園地 である。","https://ja.wikipedia.org/wiki/マリンパーク山田","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","","","","","","","","","","","","","","","","","","","",""
"化女沼レジャーランド","[化女沼レジャーランド04宮城1979-2000] 化女沼レジャーランド （けじょぬまレジャーランド）は、かつて 宮城県 古川市 （現・ 大崎市 ）で運営されていた 遊園地 。旧名、 化女沼保養ランド （けじょぬまほようランド）。閉鎖後は、跡地の買い手が付かず 廃墟 化している。 化女沼 の東側にある  。","https://ja.wikipedia.org/wiki/化女沼レジャーランド","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","北緯38度37分56.2秒東経140度57分59.2秒","宮城県大崎市古川小野遠沢","","","","","約15ha","","","","","","","","","","","","古川小野遠沢10-39","1979年"
"ベイパーク石巻","[ベイパーク石巻04宮城1993-2002] ベイパーク石巻 （ベイパークいしのまき）は、かつて 宮城県 石巻市 にあった 万石ベイパーク 経営の 遊園地 である。","https://ja.wikipedia.org/wiki/ベイパーク石巻","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","","宮城県石巻市流留七勺1丁目1番地","1993年7月","","万石ベイパーク","","約66,115平方メートル","","","","2002年5月30日","","約13万人（1993年度）","","","","","","",""
"南三陸シーサイドパレス","[南三陸シーサイドパレス04宮城1972-?] 南三陸シーサイドパレス （みなみさんりくシーサイドパレス）は、かつて 宮城県 本吉郡 本吉町 （現在の 気仙沼市 本吉町中島）の旧 小泉村 域にあった レジャー施設 である。","https://ja.wikipedia.org/wiki/南三陸シーサイドパレス","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","北緯38度46分14.4秒東経141度30分49.2秒","宮城県気仙沼市","","","","","約3ha","","","","","","","","","","","","本吉町中島","1972年（昭和47年）"
"仙台ハイランド","[仙台ハイランド04宮城1974-2015旧・西仙台ハイランド] 南東北 遊園地協議会加盟の 遊園地 。 八木山ベニーランド （仙台市）および リナワールド （ 山形県 上山市 ）との間で共通サービスがあった。","https://ja.wikipedia.org/wiki/仙台ハイランド","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","北緯38度17分27秒東経140度37分42秒","日本宮城県仙台市","","www.aobagolf.jp/amusement/index","","","","","","","","","","","","株式会社青葉ゴルフ","","","青葉区新川早坂12","1981年"
"田沢湖スイス村","[田沢湖スイス村05秋田?-2003] 田沢湖スイス村 （たざわこスイスむら）は、かつて 秋田県 仙北郡 田沢湖町 （現・ 仙北市 田沢湖）に 2001年 まであった スイス を題材にした テーマパーク である  。","https://ja.wikipedia.org/wiki/田沢湖スイス村","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","北緯39度41分48.95秒東経140度38分53.53秒","〒014-1203秋田県仙北郡田沢湖町潟字荒沢77-6","1988年7月","","ミナミユースランド→東日本ライン","北緯39度41分48.95秒東経140度38分53.53秒﻿ / ﻿北緯39.6969306度 東経140.6482028度﻿ /39.6969306; 140.6482028","","","","","2001年11月","","","","スイス","","","","",""
"仁別レジャーランド","[仁別レジャーランド05秋田] 仁別レジャーランド （にべつレジャーランド）は、 秋田県 秋田市 の 太平山スキー場オーパス の隣接地にかつて存在した 遊園地 である。正式名称は『 秋田市仁別家族旅行村 』（あきたしにべつかぞくりょこうむら）  。","https://ja.wikipedia.org/wiki/仁別レジャーランド","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","","秋田県秋田市仁別蛇馬目沢","1982年7月1日","","","","","秋田県秋田市","","","1989年3月","","","","","","","","",""
"猿羽根山遊園地","[猿羽根山遊園地06山形] 猿羽根峠 （さばねとうげ）は、 山形県 尾花沢市 と 最上郡 舟形町 との間にある 峠 。標高150m。","https://ja.wikipedia.org/wiki/猿羽根山遊園地","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","北緯38度40分46秒 東経140度19分35秒","","","","","","","","","","","","","","","","","","",""
"ゆのはまランド","[ゆのはまランド06山形] ゆのはまランド は、 山形県 酒田市 浜中にかつて存在した 遊園地 。","https://ja.wikipedia.org/wiki/ゆのはまランド","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","","","","","","","","","","","","","","","","","","","",""
"いわき仏の里","[いわき仏の里07福島] いわき仏の里 （ - ほとけのさと）は、かつて 福島県 いわき市 の湯の岳中腹にあった宗教 テーマパーク である。","https://ja.wikipedia.org/wiki/いわき仏の里","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","","","","","","","","","","","","","","","","","","","",""
"高子沼グリーンランド","[高子沼グリーンランド07福島] 高子沼グリーンランド （たかこぬまグリーンランド）は、 福島県 福島市 にかつて存在した 遊園地 である。 阿武隈川 と 高子沼 （ 福島県 伊達市 ）の間にある 丘陵地 に位置する。","https://ja.wikipedia.org/wiki/高子沼グリーンランド","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","北緯37度48分18秒 東経140度31分09秒","","","","","","","","","","","","","","","","","","",""
"アリスの森","[アリスの森08茨城1989-1993] アリスの森 （アリスのもり）は、 茨城県 緒川村 （現 常陸大宮市 ）にかつて存在した 遊園地 である。","https://ja.wikipedia.org/wiki/アリスの森","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","","","","","","","","","","","","","","","","","","","",""
"偕楽園レイクランド","[偕楽園レイクランド08茨城1968-?] 偕楽園レイクランド （かいらくえんレイクランド）は、かつて 茨城県 水戸市 千波町533にあった娯楽施設である。 1968年 10月20日 開園  。 偕楽園 の南にあり、 千波湖 沿いにあった。園内には千波湖を一望できる観覧車やジェットコースターがあり、 D51形蒸気機関車 (D51515)や ダグラス DC-3 旅客機が展示されていた。D51に関しては2021年現在も展示してあり、自由に触れたり乗ることができる。 また、2010年公開の映画「 桜田門外ノ変 」のオープンセットがあった。","https://ja.wikipedia.org/wiki/偕楽園レイクランド","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","","","","","","","","","","","","","","","","","","","",""
"小山ゆうえんち","[小山ゆうえんち09栃木1960-2005] 小山ゆうえんち （おやまゆうえんち）は、 栃木県 小山市 喜沢にかつて存在した 遊園地 。 1960年 5月に創業地に開園し、 2005年 2月6日 に閉園した。","https://ja.wikipedia.org/wiki/小山ゆうえんち","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","","","","","","","","","","","","","","","","","","","",""
"那須ロイヤルセンター","[那須ロイヤルセンター09栃木1969-2000] 本館、別館、第二別館を合わせて合計約2500名収容可能。本館は鉄筋鉄骨地上5階建て、地下1階、海抜800メートルの位置に建設。ホテル本館には七色照明を備えた「大浴場」、「サウナ」、「スナック」、「コーヒーショップ ローレル」（24席、13時間営業）、「レストラン メイプル」（メインダイニング、114席）、「グリルテラス スカーレット」（80席、噴水つき室内グリル料理専門店）、けやき造りの国際会議場施設「けやき」、大休憩所「菊の間」（1500名収容・宴会可能）、「大広間」（名称：ゴールデン、1000名収容可能・宴会可能）、「民芸大舞台」（民謡・演芸専用の常設舞台）、「中・小会議場」（松・竹）、「成人向け娯楽映画館」、「ショッピングコーナー」（常設30店舗のお土産品・物販コーナー）、貴賓室1室、スイートルーム3室（4階、名称：バイオレット、3部屋続き、室料5万円）、洋室77室、和室19室、和洋室10室などを備え収容人員は300名の高級タイプのリゾートホテル。エントランス・ロビーからエレベータホールの壁面と柱はイタリア産のピンク色の大理石で施工されていた。","https://ja.wikipedia.org/wiki/那須ロイヤルセンター","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","","栃木県那須郡那須町高久乙3375番地・3376番地","","","福島交通","","","福島交通","","","","","","","","","","","",""
"カッパピア","[カッパピア10群馬1961-2003] カッパピア は、かつて 群馬県 高崎市 高崎観音山 丘陵近辺に存在した、 上信電鉄 傘下の高崎フェアリーランド株式会社経営の 遊園地 である。","https://ja.wikipedia.org/wiki/カッパピア","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","","","","","","","","","","","","","","","","","","","",""
"新川児童遊園地","[新川児童遊園地10群馬1953-1971] 新川児童遊園地 （しんかわじどうゆうえんち）は、 群馬県 桐生市 にかつて存在した 遊園地 である。","https://ja.wikipedia.org/wiki/新川児童遊園地","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","","","","","","","","","","","","","","","","","","","",""
"テングランド","[テングランド10群馬] テングランド とは、 群馬県 沼田市 岩本町にかつて存在した 遊園地 。","https://ja.wikipedia.org/wiki/テングランド","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","","","","","","","","","","","","","","","","","","","",""
"ながめ遊園地","[ながめ遊園地10群馬1925-1987] ながめ遊園地 （ながめゆうえんち）は、 群馬県 山田郡 大間々町 大間々1635（現・ みどり市 ）にかつて存在した 遊園地 である。","https://ja.wikipedia.org/wiki/ながめ遊園地","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","","","","","","","","","","","","","","","","","","","",""
"犬吠オーシャンランド","[犬吠オーシャンランド12千葉1973-1989] 犬吠オーシャンランド （いぬぼうオーシャンランド）は、 千葉県 銚子市 にかつて存在した 遊園地 である。","https://ja.wikipedia.org/wiki/犬吠オーシャンランド","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","","","","","","","","","","","","","","","","","","","",""
"行川アイランド","[行川アイランド12千葉1964-2001] 行川アイランド （なめがわアイランド）は、かつて 千葉県 勝浦市 浜行川にあった 動 ・ 植物園 を中心とした レジャー施設  、運営会社の名称である。","https://ja.wikipedia.org/wiki/行川アイランド","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","北緯35度7分3.7秒東経140度13分52.6秒","〒299-5255千葉県勝浦市浜行川606","1964年8月13日","外部リンク参照","行川アイランド","北緯35度7分3.7秒東経140度13分52.6秒﻿ / ﻿北緯35.117694度 東経140.231278度﻿ /35.117694; 140.231278座標:北緯35度7分3.7秒東経140度13分52.6秒﻿ / ﻿北緯35.117694度 東経140.231278度﻿ /35.117694; 140.231278","総面積 450,000m2（内開発面積 330,000m2）","","","","","","","","","冶金興産（日本冶金工業子会社）","","","",""
"船橋ヘルスセンター","[船橋ヘルスセンター12千葉1955-1977/ららぽーとTOKYO-BAY] 船橋ヘルスセンター （ふなばしヘルスセンター、 1955年 11月3日 - 1977年 5月5日 閉館）は、かつて 千葉県 船橋市 浜町 に存在した総合 レジャー施設 である。","https://ja.wikipedia.org/wiki/船橋ヘルスセンター","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","北緯35度41分8.4秒東経139度59分24.5秒","〒273（現・273-0012）千葉県船橋市浜町2丁目1-1","","","","","","","","","","","","","","","","","",""
"谷津遊園","[谷津遊園12千葉1925-1982/谷津バラ園] 谷津遊園 （やつゆうえん）は、 千葉県 習志野市 谷津にかつて存在した 遊園地 。 京成電鉄 が直営運営を行っていた。 1982年 （ 昭和 57年） 12月21日 に閉園。現在は施設内の バラ園 が、習志野市営の 谷津バラ園 として現存している。","https://ja.wikipedia.org/wiki/谷津遊園","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","北緯35度40分51.1秒 東経140度0分20秒","","","","","","","","","","","","","","","","","","",""
"朝霞テック","[朝霞テック11埼玉1964-1973] 朝霞テック （あさかテック）は、 埼玉県 朝霞市 にかつて存在した 遊園地 である。","https://ja.wikipedia.org/wiki/朝霞テック","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","","","","","","","","","","","","","","","","","","","",""
"東松山遊園地","[東松山遊園地11埼玉] 東松山遊園地 （ひがしまつやまゆうえんち）は、 埼玉県 東松山市 大字松山にかつて存在した 遊園地 である。","https://ja.wikipedia.org/wiki/東松山遊園地","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","北緯36度2分50.8秒 東経139度24分40.2秒","","","","","","","","","","","","","","","","","","",""
"ユネスコ村","[ユネスコ村11埼玉1951-2006] ユネスコ村 （ユネスコむら）とは、 1950年代 から 平成 初期にかけて 埼玉県 所沢市 にあった 西武鉄道 が所有する 遊園地 である。 1997年 （ 平成 9年）より 2006年 （平成18年）の閉園まで 西武園ゆうえんち などと共に 西武レクリエーション に受託運営させていた。","https://ja.wikipedia.org/wiki/ユネスコ村","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","","","","","","","","","","","","","","","","","","","",""
"わんぱくランド (存在しないページ)","[わんぱくランド11埼玉1968-2019]","https://ja.wikipedia.org/w/index.php?title=わんぱくランド&amp;action=edit&amp;redlink=1","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","","","","","","","","","","","","","","","","","","","",""
"兎月園","[兎月園13東京1924-1943] 兎月園 （とげつえん）は、かつて 東武東上線 の 成増駅 の南口方面にあった レジャー施設 （ 東京都 練馬区 ）。","https://ja.wikipedia.org/wiki/兎月園","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","","","","","","","","","","","","","","","","","","","",""
"青梅鉄道楽々園","[青梅鉄道楽々園13東京] 青梅鉄道楽々園 （おうめてつどうらくらくえん）は、 東京都 青梅市 にかつて存在した 遊園地 である。青梅鉄道（現・ 東日本旅客鉄道 （JR東日本） 青梅線 ）が経営していた。","https://ja.wikipedia.org/wiki/青梅鉄道楽々園","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","","","","","","","","","","","","","","","","","","","",""
"京王閣","[京王閣13東京1927-1947/京王閣競輪場] 京王閣 （けいおうかく）は、かつて 東京都 調布市 に存在し、京王電気軌道（京王電軌、現・ 京王電鉄 ）が経営していた レジャー施設 である。","https://ja.wikipedia.org/wiki/京王閣","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","","","","","","","","","","","","","","","","","","","",""
"京王遊園","[京王遊園13東京1955-1971] 京王遊園 （けいおうゆうえん）は、 東京都 調布市 にかつて存在した、京王帝都電鉄（現・ 京王電鉄 ）経営の 遊園地 である。 1955年 （ 昭和 30年） 4月3日 、京王帝都電鉄（当時） 京王多摩川駅 付近の「京王多摩川野球場」跡地にオープン  。 1959年 （昭和34年）にはプール（後の 京王プール ）も開設され多くの客で賑わった。 1971年 （昭和46年）遊園地の営業が終了。 1990年 前後にはプールも営業を終えている。その後、遊園地エリアには 京王テニスクラブ  が開業、プールエリアは 住宅地 となり現在に至る。","https://ja.wikipedia.org/wiki/京王遊園","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","","","","","","","","","","","","","","","","","","","",""
"新宿ジョイポリス","[新宿ジョイポリス13東京1996-2000] 新宿ジョイポリス （しんじゅくジョイポリス）は、かつて 東京都 渋谷区 にあったアミューズメント テーマパーク である。","https://ja.wikipedia.org/wiki/新宿ジョイポリス","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","","","","","","","","","","","","","","","","","","","",""
"多摩川園","[多摩川園13東京1925-1979] 多摩川園 （たまがわえん）は、 東京都 大田区 田園調布 にかつて存在した 遊園地 である。現在の 東急電鉄 多摩川駅  の駅前に正面入口があり、面積は約5haであった。","https://ja.wikipedia.org/wiki/多摩川園","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","","","","","","","","","","","","","","","","","","","",""
"多摩テック","[多摩テック13東京1961-2009] 多摩テック （たまテック、 Tama Tech ）はかつて 東京都 日野市 に存在した モータースポーツ をテーマにした 遊園地 および 温泉 施設である。遊園地は同じ経営主体による 鈴鹿サーキット とともに「 モートピア 」と称された。","https://ja.wikipedia.org/wiki/多摩テック","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","北緯35度38分31秒東経139度23分29秒","日本東京都日野市","","","","","","","","","","","","","","","","多摩テック","",""
"東京マリン","[東京マリン13東京1972-2001] 東京マリン （とうきょうマリン）とは、 1972年 から 2001年 まで 東京都 足立区 に存在した ウォーターパーク （ プール ）、およびそれを経営していた 会社 である。","https://ja.wikipedia.org/wiki/東京マリン","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","","","","","","","","","","","","","","","","","","","",""
