"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所属路線","キロ程","所属事業者","駅構造","開業年月日","ホーム","所在地","備考","電報略号","乗車人員,-統計年度-","駅番号","乗降人員,-統計年度-","乗換","乗降人員,-統計年次-","乗車人員,-統計年次-","Hidden","Hidden","Hidden","Hidden"
"中福良駅","中福良駅（なかふくらえき）","https://ja.wikipedia.org/wiki/中福良駅","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","北緯31度48分49.84秒東経130度43分58.42秒","肥薩線","114.4 km（八代起点）","九州旅客鉄道（JR九州）","地上駅","1958年（昭和33年）2月1日[1]","1面1線","鹿児島県霧島市隼人町嘉例川3881北緯31度48分49.84秒東経130度43分58.42秒﻿ / ﻿北緯31.8138444度 東経130.7328944度﻿ /31.8138444; 130.7328944﻿ (中福良駅)","無人駅","ナフ","3人/日（降車客含まず）-2016年-","","5人/日-2016年-","","","","","","",""
"中伏木停留場","中伏木停留場（なかふしきていりゅうじょう）","https://ja.wikipedia.org/wiki/中伏木停留場","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","北緯36度47分17.64秒東経137度3分41.85秒","高岡軌道線","7.5 km（高岡駅起点）","万葉線","地上駅","1951年（昭和26年）4月1日","2面1線","富山県射水市庄西町2丁目北緯36度47分17.64秒東経137度3分41.85秒﻿ / ﻿北緯36.7882333度 東経137.0616250度﻿ /36.7882333; 137.0616250座標:北緯36度47分17.64秒東経137度3分41.85秒﻿ / ﻿北緯36.7882333度 東経137.0616250度﻿ /36.7882333; 137.0616250","","","","","198人/日-2016年[1]-","","","","","","",""
"中ふ頭駅","中ふ頭駅（なかふとうえき・大阪市交通局南港ポートタウン線）","https://ja.wikipedia.org/wiki/中ふ頭駅","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","北緯34度38分2.50秒東経135度25分2.92秒","●南港ポートタウン線（ニュートラム）","1.3 km（コスモスクエア起点）","大阪市高速電気軌道(Osaka Metro)","高架駅","1981年（昭和56年）3月16日","1面2線","大阪市住之江区南港中5丁目北緯34度38分2.50秒東経135度25分2.92秒﻿ / ﻿北緯34.6340278度 東経135.4174778度﻿ /34.6340278; 135.4174778座標:北緯34度38分2.50秒東経135度25分2.92秒﻿ / ﻿北緯34.6340278度 東経135.4174778度﻿ /34.6340278; 135.4174778","","","2,397人/日（降車客含まず）-2020年-"," P11 ","4,810人/日-2020年-","","","","","","",""
"中埠頭駅","中埠頭駅（なかふとうえき・神戸新交通ポートアイランド線）","https://ja.wikipedia.org/wiki/中埠頭駅","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","北緯34度40分9.96秒東経135度13分1.80秒","ポートアイランド線（ポートライナー）","1.2km（市民広場起点）三宮から5.0 km","神戸新交通","高架駅[1]","1981年（昭和56年）2月5日[1]","島式1面2線[1]","神戸市中央区港島中町七丁目[1]北緯34度40分9.96秒東経135度13分1.80秒﻿ / ﻿北緯34.6694333度 東経135.2171667度﻿ /34.6694333; 135.2171667﻿ (中埠頭駅)座標:北緯34度40分9.96秒東経135度13分1.80秒﻿ / ﻿北緯34.6694333度 東経135.2171667度﻿ /34.6694333; 135.2171667﻿ (中埠頭駅)","","","1,620人/日（降車客含まず）-2019年-"," PL08 ","","","","","","","",""
"中舟生駅","中舟生駅（なかふにゅうえき）","https://ja.wikipedia.org/wiki/中舟生駅","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","北緯36度38分44.4秒東経140度23分32.1秒","■水郡線","37.9 km（水戸起点）","東日本旅客鉄道（JR東日本）","地上駅","1956年（昭和31年）11月19日","1面1線","茨城県常陸大宮市舟生字堂下296-1北緯36度38分44.4秒東経140度23分32.1秒","無人駅","ナフ","","","","","","","","","",""
"中富良野駅","中富良野駅（なかふらのえき）","https://ja.wikipedia.org/wiki/中富良野駅","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","北緯43度24分20.41秒東経142度25分14.88秒","■富良野線","47.3 km（旭川起点）","北海道旅客鉄道（JR北海道）","地上駅","1900年（明治33年）8月1日","2面2線","北海道空知郡中富良野町西町8北緯43度24分20.41秒東経142度25分14.88秒﻿ / ﻿北緯43.4056694度 東経142.4208000度﻿ /43.4056694; 142.4208000﻿ (中富良野駅)","無人駅","ナノ","","○F42","258人/日-2014年-","","","","","","",""
"長堀橋駅","長堀橋駅（ながほりばしえき）","https://ja.wikipedia.org/wiki/長堀橋駅","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","北緯34度40分28.73秒東経135度30分22.76秒","●堺筋線","3.9 km（天神橋筋六丁目起点）","大阪市高速電気軌道(Osaka Metro)","地下駅","1969年（昭和44年）12月6日","各線1面2線 計2面4線","大阪市中央区島之内一丁目北緯34度40分28.73秒東経135度30分22.76秒﻿ / ﻿北緯34.6746472度 東経135.5063222度﻿ /34.6746472; 135.5063222﻿ (長堀橋駅)","キロ程・駅間距離は営業キロ。","","20,355人/日（降車客含まず）-2020年-"," K16 ","42,417人/日-2020年-","","","","","","",""
"中間駅","中間駅（なかまえき）","https://ja.wikipedia.org/wiki/中間駅","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","北緯33度49分39.35秒東経130度42分35.19秒","JC筑豊本線（福北ゆたか線）","14.9 km（若松起点）","九州旅客鉄道（JR九州）","地上駅","1891年（明治24年）8月30日[1][2]","2面3線[1]","福岡県中間市中央[1]二丁目12-12北緯33度49分39.35秒東経130度42分35.19秒﻿ / ﻿北緯33.8275972度 東経130.7097750度﻿ /33.8275972; 130.7097750﻿ (中間駅)","駅集中管理システム（Smart Support Station）採用のため無人駅[注 1]","カマ","1,764人/日（降車客含まず）-2018年-","JC  24 ","","","","1,762人/日（降車客含まず）-2018年-","","","",""
"長町駅","長町駅（ながまちえき）","https://ja.wikipedia.org/wiki/長町駅","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","","","","東日本旅客鉄道（JR東日本・駅詳細）仙台市交通局（駅詳細）","","","","仙台市太白区長町五丁目","","","","","","","","","","","",""
"長町一丁目駅","長町一丁目駅（ながまちいっちょうめえき）","https://ja.wikipedia.org/wiki/長町一丁目駅","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","北緯38度14分3.22秒東経140度53分14.95秒","■南北線","11.7 km（泉中央起点）","仙台市交通局（仙台市地下鉄）","地下駅","1987年（昭和62年）7月15日","1面2線","仙台市太白区長町一丁目2-12先北緯38度14分3.22秒東経140度53分14.95秒﻿ / ﻿北緯38.2342278度 東経140.8874861度﻿ /38.2342278; 140.8874861座標:北緯38度14分3.22秒東経140度53分14.95秒﻿ / ﻿北緯38.2342278度 東経140.8874861度﻿ /38.2342278; 140.8874861","","","4,204人/日（降車客含まず）-2019年-","○N14","8,256[1]人/日-2019年-","","","","","","",""
"仲町台駅","仲町台駅（なかまちだいえき）","https://ja.wikipedia.org/wiki/仲町台駅","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","北緯35度32分7.1秒東経139度35分22.1秒","■ブルーライン（3号線）","14.4km（関内*起点）湘南台から34.1 km","横浜市交通局（横浜市営地下鉄）","高架駅","1993年（平成5年）3月18日","2面2線","横浜市都筑区仲町台一丁目1番1号[1]北緯35度32分7.1秒東経139度35分22.1秒﻿ / ﻿北緯35.535306度 東経139.589472度﻿ /35.535306; 139.589472﻿ (仲町台駅)座標:北緯35度32分7.1秒東経139度35分22.1秒﻿ / ﻿北緯35.535306度 東経139.589472度﻿ /35.535306; 139.589472﻿ (仲町台駅)","業務委託駅（横浜市交通局協力会）[2]","","16,565人/日（降車客含まず）-2019年-","B28","33,642人/日-2019年-","","","","","","",""
"中町（西町北）停留場","中町（西町北）停留場（なかまち（にしちょうきた）ていりゅうじょう）","https://ja.wikipedia.org/wiki/中町（西町北）停留場","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","北緯36度41分25.1秒東経137度12分56.6秒","富山軌道線（本線）","2.3 km（南富山駅前起点）","富山地方鉄道","地上駅","2013年（平成25年）5月17日","単式1面1線","富山県富山市総曲輪北緯36度41分25.1秒東経137度12分56.6秒﻿ / ﻿北緯36.690306度 東経137.215722度﻿ /36.690306; 137.215722﻿ (中町（西町北）停留場)座標:北緯36度41分25.1秒東経137度12分56.6秒﻿ / ﻿北緯36.690306度 東経137.215722度﻿ /36.690306; 137.215722﻿ (中町（西町北）停留場)","","","","C09","621[1]人/日-2019年-","","","","","","",""
"長町南駅","長町南駅（ながまちみなみえき）","https://ja.wikipedia.org/wiki/長町南駅","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","北緯38度13分28.72秒東経140度52分35.65秒","■南北線","13.3 km（泉中央起点）","仙台市交通局（仙台市地下鉄）","地下駅","1987年（昭和62年）7月15日","1面2線","仙台市太白区長町南三丁目1-60先北緯38度13分28.72秒東経140度52分35.65秒﻿ / ﻿北緯38.2246444度 東経140.8765694度﻿ /38.2246444; 140.8765694座標:北緯38度13分28.72秒東経140度52分35.65秒﻿ / ﻿北緯38.2246444度 東経140.8765694度﻿ /38.2246444; 140.8765694","","","11,739人/日（降車客含まず）-2019年-","○N16","23,638[1]人/日-2019年-","","","","","","",""
"中松駅","中松駅（なかまつえき）","https://ja.wikipedia.org/wiki/中松駅","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","北緯32度49分38.6秒東経131度3分13秒","高森線","","南阿蘇鉄道","地上駅","1928年（昭和3年）2月12日","2面2線","熊本県阿蘇郡南阿蘇村大字一関北緯32度49分38.6秒東経131度3分13秒座標:北緯32度49分38.6秒 東経131度3分13秒","無人駅","ナカ","41人/日（降車客含まず）-2018年-","","","","","","","","",""
"中松江駅","中松江駅（なかまつええき）","https://ja.wikipedia.org/wiki/中松江駅","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","北緯34度14分54.71秒東経135度8分0.01秒","■加太線","3.3km（紀ノ川起点）和歌山市から5.9 km","南海電気鉄道","地上駅","1912年（明治45年）6月16日","1面2線","和歌山県和歌山市松江中三丁目3番1号北緯34度14分54.71秒東経135度8分0.01秒﻿ / ﻿北緯34.2485306度 東経135.1333361度﻿ /34.2485306; 135.1333361座標:北緯34度14分54.71秒東経135度8分0.01秒﻿ / ﻿北緯34.2485306度 東経135.1333361度﻿ /34.2485306; 135.1333361","","ナカエ","","NK 44-2","883人/日-2019年-","","","","","","",""
"中水野駅","中水野駅（なかみずのえき）","https://ja.wikipedia.org/wiki/中水野駅","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","北緯35度15分0秒東経137度4分19秒","■愛知環状鉄道線","41.9 km（岡崎起点）","愛知環状鉄道","高架駅","1988年（昭和63年）1月31日","2面2線","愛知県瀬戸市内田町二丁目200-1北緯35度15分0秒東経137度4分19秒﻿ / ﻿北緯35.25000度 東経137.07194度﻿ /35.25000; 137.07194座標:北緯35度15分0秒東経137度4分19秒﻿ / ﻿北緯35.25000度 東経137.07194度﻿ /35.25000; 137.07194","駅員時間配置駅","ミス","","○22","3,317人/日-2018年-","","","","","","",""
"中三田駅","中三田駅（なかみたえき）","https://ja.wikipedia.org/wiki/中三田駅","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","北緯34度30分47.2秒東経132度36分32.48秒","P芸備線","134.0km（備中神代起点）三次から43.7 km","西日本旅客鉄道（JR西日本）","地上駅","1915年（大正4年）4月28日","1面2線","広島市安佐北区白木町大字三田7145北緯34度30分47.2秒東経132度36分32.48秒﻿ / ﻿北緯34.513111度 東経132.6090222度﻿ /34.513111; 132.6090222座標:北緯34度30分47.2秒東経132度36分32.48秒﻿ / ﻿北緯34.513111度 東経132.6090222度﻿ /34.513111; 132.6090222","無人駅（自動券売機 有）広島市内駅","ナミ","81人/日（降車客含まず）-2019年-","","","","","","","","",""
"那珂湊駅","那珂湊駅（なかみなとえき）","https://ja.wikipedia.org/wiki/那珂湊駅","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","北緯36度20分42.41秒東経140度35分16.84秒","湊線","8.2 km（勝田起点）","ひたちなか海浜鉄道","地上駅","1913年（大正2年）12月25日","2面3線","茨城県ひたちなか市釈迦町22-2北緯36度20分42.41秒東経140度35分16.84秒﻿ / ﻿北緯36.3451139度 東経140.5880111度﻿ /36.3451139; 140.5880111座標:北緯36度20分42.41秒東経140度35分16.84秒﻿ / ﻿北緯36.3451139度 東経140.5880111度﻿ /36.3451139; 140.5880111","有人駅","","","","680[1]人/日-2019年-","","","","","","",""
"長峰駅","長峰駅（ながみねえき）","https://ja.wikipedia.org/wiki/長峰駅","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","","■奥羽本線","432.0 km（福島起点）","東日本旅客鉄道（JR東日本）","地上駅","1952年（昭和27年）12月1日[1]","2面2線[1]","","無人駅[1]","ナカ","","","","","","","","","",""
"中名駅","中名駅（なかみょうえき）","https://ja.wikipedia.org/wiki/中名駅","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","北緯31度23分36.84秒東経130度32分6.51秒","指宿枕崎線","24.0 km（鹿児島中央起点）","九州旅客鉄道（JR九州）","地上駅","1934年（昭和9年）5月20日","1面2線","鹿児島県鹿児島市喜入中名町885北緯31度23分36.84秒東経130度32分6.51秒","無人駅駅集中管理システム（Smart Support Station）採用[1]","ナカ","165人/日（降車客含まず）-2015年-","","327人/日-2015年-","","","","","","",""
"中三依温泉駅","中三依温泉駅（なかみよりおんせんえき）","https://ja.wikipedia.org/wiki/中三依温泉駅","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","北緯36度59分7.1秒東経139度41分56.3秒","会津鬼怒川線","16.8 km（新藤原起点）","野岩鉄道","地上駅","1986年（昭和61年）10月9日","島式 1面2線","栃木県日光市中三依378-2北緯36度59分7.1秒東経139度41分56.3秒﻿ / ﻿北緯36.985306度 東経139.698972度﻿ /36.985306; 139.698972座標:北緯36度59分7.1秒東経139度41分56.3秒﻿ / ﻿北緯36.985306度 東経139.698972度﻿ /36.985306; 139.698972","","ナミ","12人/日（降車客含まず）-2016年-","","","","","","","","",""
"中村駅","中村駅（なかむらえき）","https://ja.wikipedia.org/wiki/中村駅","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","北緯32度59分3.89秒東経132度56分38.36秒","■中村線","43.0 km（窪川起点）","土佐くろしお鉄道（TKT）","地上駅","1970年（昭和45年）10月1日","2面3線","高知県四万十市駅前町7-1北緯32度59分3.89秒東経132度56分38.36秒","直営駅（管理駅）みどりの窓口有","ナム","","○TK40","923人/日-2018年-","","","","","","",""
"中村区役所駅","中村区役所駅（なかむらくやくしょえき）","https://ja.wikipedia.org/wiki/中村区役所駅","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","北緯35度10分3.2秒東経136度52分24秒","桜通線[1]","0.0 km（中村区役所起点）","名古屋市交通局（名古屋市営地下鉄）","地下駅","1989年（平成元年）9月10日[1]","1面2線","名古屋市中村区太閤通三丁目27-3北緯35度10分3.2秒東経136度52分24秒﻿ / ﻿北緯35.167556度 東経136.87333度﻿ /35.167556; 136.87333座標:北緯35度10分3.2秒東経136度52分24秒﻿ / ﻿北緯35.167556度 東経136.87333度﻿ /35.167556; 136.87333","","","6,570人/日（降車客含まず）-2019年-","S01","12,657[2]人/日-2019年-","","","","","","",""
"中村公園駅","中村公園駅（なかむらこうえんえき）","https://ja.wikipedia.org/wiki/中村公園駅","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","北緯35度10分4.2秒東経136度51分18.5秒","東山線","3.1 km（高畑起点）","名古屋市交通局（名古屋市営地下鉄）","地下駅","1969年（昭和44年）4月1日[2]","2面2線","名古屋市中村区豊国通一丁目3北緯35度10分4.2秒東経136度51分18.5秒﻿ / ﻿北緯35.167833度 東経136.855139度﻿ /35.167833; 136.855139座標:北緯35度10分4.2秒東経136度51分18.5秒﻿ / ﻿北緯35.167833度 東経136.855139度﻿ /35.167833; 136.855139","","","13,000人/日（降車客含まず）-2019年-","H04","27,125[1]人/日-2019年-","","","","","","",""
"中村日赤駅","中村日赤駅（なかむらにっせきえき）","https://ja.wikipedia.org/wiki/中村日赤駅","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","北緯35度10分20.5秒東経136度51分43秒","東山線","3.9 km（高畑起点）","名古屋市交通局（名古屋市営地下鉄）","地下駅","1969年（昭和44年）4月1日","2面2線","名古屋市中村区道下町三丁目35北緯35度10分20.5秒東経136度51分43秒﻿ / ﻿北緯35.172361度 東経136.86194度﻿ /35.172361; 136.86194座標:北緯35度10分20.5秒東経136度51分43秒﻿ / ﻿北緯35.172361度 東経136.86194度﻿ /35.172361; 136.86194","","","4,994人/日（降車客含まず）-2019年-","H05","9,906[1]人/日-2019年-","","","","","","",""
"中村橋駅","中村橋駅（なかむらばしえき）","https://ja.wikipedia.org/wiki/中村橋駅","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","北緯35度44分12.5秒東経139度38分16秒","■池袋線","7.5km（池袋起点）小竹向原から4.1 km","西武鉄道","高架駅[1]","1924年（大正13年）6月11日","1面2線","東京都練馬区中村北四丁目2-1北緯35度44分12.5秒東経139度38分16秒﻿ / ﻿北緯35.736806度 東経139.63778度﻿ /35.736806; 139.63778座標:北緯35度44分12.5秒東経139度38分16秒﻿ / ﻿北緯35.736806度 東経139.63778度﻿ /35.736806; 139.63778","","","","SI07","41,021人/日-2019年-","","","","","","",""
"中目黒駅","中目黒駅（なかめぐろえき）","https://ja.wikipedia.org/wiki/中目黒駅","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","北緯35度38分39.5秒東経139度41分57秒","■東急東横線","2.2 km（渋谷起点）","東急電鉄東京地下鉄（東京メトロ）","高架駅","1927年（昭和2年）8月28日","2面4線","東京都目黒区上目黒三丁目4-1北緯35度38分39.5秒東経139度41分57秒﻿ / ﻿北緯35.644306度 東経139.69917度﻿ /35.644306; 139.69917座標:北緯35度38分39.5秒東経139度41分57秒﻿ / ﻿北緯35.644306度 東経139.69917度﻿ /35.644306; 139.69917","共同使用駅（東急の管轄駅）[2]","ナメ（東京メトロ）","","TY03","（東急電鉄）-2020年-131,668[* 1]人/日（東京メトロ）-2019年-230,353[* 2]人/日","","","","","","",""
"中百舌鳥駅","中百舌鳥駅（なかもずえき）","https://ja.wikipedia.org/wiki/中百舌鳥駅","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","","","","南海電気鉄道（駅詳細）泉北高速鉄道（駅詳細）大阪市高速電気軌道（Osaka Metro・駅詳細）","","","","堺市北区中百舌鳥町2丁","","","","","","","","","","","",""
"長森駅","長森駅（ながもりえき）","https://ja.wikipedia.org/wiki/長森駅","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","北緯35度24分7.6秒東経136度48分10秒","CG高山本線","4.2 km（岐阜起点）","東海旅客鉄道（JR東海）","地上駅","1920年（大正9年）11月1日[1]","2面2線[1]","岐阜県岐阜市蔵前二丁目14-12北緯35度24分7.6秒東経136度48分10秒","無人駅[1]","ナモ","816人/日（降車客含まず）-2019年-","CG  01 ","","","","","","","",""
"長屋駅","長屋駅（ながやえき）","https://ja.wikipedia.org/wiki/長屋駅","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","北緯36度52分25.46秒東経137度28分13.64秒","■本線","39.6 km（電鉄富山起点）","富山地方鉄道","地上駅","1922年（大正11年）11月5日","単式1面1線","富山県黒部市長屋1382北緯36度52分25.46秒東経137度28分13.64秒﻿ / ﻿北緯36.8737389度 東経137.4704556度﻿ /36.8737389; 137.4704556﻿ (長屋駅)座標:北緯36度52分25.46秒東経137度28分13.64秒﻿ / ﻿北緯36.8737389度 東経137.4704556度﻿ /36.8737389; 137.4704556﻿ (長屋駅)","","","","T30","27人/日-2019年-","","","","","","",""
"中八木駅","中八木駅（なかやぎえき）","https://ja.wikipedia.org/wiki/中八木駅","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","北緯34度40分14.59秒東経134度56分9.91秒","本線","21.8 km（西代起点）","山陽電気鉄道","地上駅[1]","1923年（大正12年）8月19日[1][2]","2面2線[1]","兵庫県明石市大久保町八木道重110-2[1]北緯34度40分14.59秒東経134度56分9.91秒﻿ / ﻿北緯34.6707194度 東経134.9360861度﻿ /34.6707194; 134.9360861﻿ (中八木駅)座標:北緯34度40分14.59秒東経134度56分9.91秒﻿ / ﻿北緯34.6707194度 東経134.9360861度﻿ /34.6707194; 134.9360861﻿ (中八木駅)","無人駅[1]","","1,658人/日（降車客含まず）-2017年-","●SY 21","","","","","","","",""
"中山駅 (神奈川県)","中山駅 (神奈川県)（なかやまえき・東日本旅客鉄道横浜線・横浜市営地下鉄グリーンライン）","https://ja.wikipedia.org/wiki/中山駅_(神奈川県)","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","","","","東日本旅客鉄道（JR東日本・駅詳細）横浜市交通局（駅詳細）","","","","横浜市緑区","","","","","","","","","","","",""
"中山停留場","中山停留場（なかやまていりゅうじょう・とさでん交通伊野線）","https://ja.wikipedia.org/wiki/中山停留場","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","北緯33度33分6.14秒東経133度27分10.17秒","伊野線","8.9 km（はりまや橋起点）","とさでん交通","地上駅","1908年（明治41年）2月20日","2面1線","高知県吾川郡いの町枝川北緯33度33分6.14秒東経133度27分10.17秒﻿ / ﻿北緯33.5517056度 東経133.4528250度﻿ /33.5517056; 133.4528250﻿ (中山停留場)","","","","","","","","","","","",""
"長山駅","長山駅（ながやまえき・東海旅客鉄道飯田線）","https://ja.wikipedia.org/wiki/長山駅","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","北緯34度51分51.75秒東経137度25分52.86秒","CD飯田線","14.4 km（豊橋起点）","東海旅客鉄道（JR東海）","地上駅","1899年（明治32年）10月19日","2面2線","愛知県豊川市上長山町西水神平北緯34度51分51.75秒東経137度25分52.86秒﻿ / ﻿北緯34.8643750度 東経137.4313500度﻿ /34.8643750; 137.4313500座標:北緯34度51分51.75秒東経137度25分52.86秒﻿ / ﻿北緯34.8643750度 東経137.4313500度﻿ /34.8643750; 137.4313500","駅員無配置駅","ヤマ","205人/日（降車客含まず）-2017年-","","","","","","","","",""
"永山駅","永山駅（ながやまえき・北海道旅客鉄道宗谷本線）","https://ja.wikipedia.org/wiki/永山駅","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","北緯43度48分50.5秒東経142度26分3.7秒","■宗谷本線","9.3 km（旭川起点）","北海道旅客鉄道（JR北海道）","地上駅","1898年（明治31年）8月12日","相対式 2面2線","北海道旭川市永山1条19丁目北緯43度48分50.5秒東経142度26分3.7秒","直営駅（管理駅）みどりの窓口有","ナカ","483人/日（降車客含まず）-2019年-","○W31","","","","","","","",""
"中山香駅","中山香駅（なかやまがえき）","https://ja.wikipedia.org/wiki/中山香駅","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","","■日豊本線","90.4 km（小倉起点）","九州旅客鉄道（JR九州）","地上駅","1910年（明治43年）12月15日[2]","2面3線[1]","","業務委託駅[3]","ヤカ","230人/日（降車客含まず）-2015年-","","464人/日-2015年-","","","","","","",""
"中山観音駅","中山観音駅（なかやまかんのんえき）","https://ja.wikipedia.org/wiki/中山観音駅","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","北緯34度49分10.75秒東経135度22分8.97秒","■宝塚本線","21.5 km（大阪梅田起点）","阪急電鉄","地上駅[2]","1910年（明治43年）3月10日[2]","2面2線[2]","兵庫県宝塚市中山寺二丁目7番1号[1]北緯34度49分10.75秒東経135度22分8.97秒﻿ / ﻿北緯34.8196528度 東経135.3691583度﻿ /34.8196528; 135.3691583﻿ (中山観音駅*)座標:北緯34度49分10.75秒東経135度22分8.97秒﻿ / ﻿北緯34.8196528度 東経135.3691583度﻿ /34.8196528; 135.3691583﻿ (中山観音駅*)","* 2013年（平成25年）12月21日に中山駅から改称。","","","HK53","","","（通年平均）11,350人/日（特定日）11,994人/日-2019年-","","","","",""
"中山口駅","中山口駅（なかやまぐちえき）","https://ja.wikipedia.org/wiki/中山口駅","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","北緯35度31分15.06秒東経133度35分24.06秒","A山陰本線","295.5 km（京都起点）","西日本旅客鉄道（JR西日本）","地上駅","1951年（昭和26年）11月1日[1]","1面1線","鳥取県西伯郡大山町田中637北緯35度31分15.06秒東経133度35分24.06秒﻿ / ﻿北緯35.5208500度 東経133.5900167度﻿ /35.5208500; 133.5900167﻿ (中山口駅)","無人駅","ナヤ","","","134人/日-2018年-","","","","","","",""
"中山宿駅","中山宿駅（なかやまじゅくえき）","https://ja.wikipedia.org/wiki/中山宿駅","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","北緯37度29分44.49秒東経140度13分10.68秒","■磐越西線[1]","20.8 km（郡山起点）","東日本旅客鉄道（JR東日本）","地上駅","1898年（明治31年）7月26日[1][3]","1面1線[2][3]","福島県郡山市熱海町中山字早稲田[1]北緯37度29分44.49秒東経140度13分10.68秒座標:北緯37度29分44.49秒 東経140度13分10.68秒","無人駅[2]","ナク","11人/日（降車客含まず）-2004年-","","","","","","","","",""
"中山平温泉駅","中山平温泉駅（なかやまだいらおんせんえき）","https://ja.wikipedia.org/wiki/中山平温泉駅","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","北緯38度43分35.50秒東経140度40分4.66秒","■陸羽東線","50.0 km（小牛田起点）","東日本旅客鉄道（JR東日本）","地上駅","1917年（大正6年）11月1日","1面1線","宮城県大崎市鳴子温泉字星沼79北緯38度43分35.50秒東経140度40分4.66秒座標:北緯38度43分35.50秒 東経140度40分4.66秒","無人駅*1997年に中山平駅から改称[1]","ナヒ","","","","","","","","","",""
