"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","位置","所在地","地図","築造時期","形状","史跡","規模","出土品","埋葬施設","法人番号","文化財","創建年","宗派","山号","別名","本尊","開基","所属","札所等"
"一須賀古墳群","[一須賀古墳群（いちすかこふんぐん）〔南河内郡太子町・河南町〕] 一須賀古墳群 （いちすかこふんぐん）は、 大阪府 南河内郡 河南町 一須賀、東山、 太子町 葉室にわたる丘陵上にある 古墳群 で、国の 史跡 となっている  。","https://ja.wikipedia.org/wiki/一須賀古墳群","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","北緯34度30分8.5秒東経135度38分46.0秒","北緯34度30分8.5秒東経135度38分46.0秒﻿ / ﻿北緯34.502361度 東経135.646111度﻿ /34.502361; 135.646111","大阪府南河内郡河南町一須賀、東山、太子町葉室","一須賀古墳群大阪府内の位置","6世紀前半から7世紀中頃","群集墳","1994年（平成6年）10月7日国指定","23支群・総数262基","","","","","","","","","","","",""
"金山古墳","[金山古墳（かなやまこふん）〔南河内郡河南町〕] 金山古墳 （かなやまこふん）は、 大阪府 南河内郡 河南町 芹生谷（せりゅうたに）にある 古墳 。形状は双円墳。国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/金山古墳","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","北緯34度28分9.95秒東経135度37分37.50秒","北緯34度28分9.95秒東経135度37分37.50秒﻿ / ﻿北緯34.4694306度 東経135.6270833度﻿ /34.4694306; 135.6270833座標:北緯34度28分9.95秒東経135度37分37.50秒﻿ / ﻿北緯34.4694306度 東経135.6270833度﻿ /34.4694306; 135.6270833","大阪府南河内郡河南町大字芹生谷185-1他（字墓添）（史跡金山古墳公園内）","金山古墳","6世紀末-7世紀初頭","双円墳","国の史跡「金山古墳」","墳丘長85.8m高さ9.4m（南丘）","北丘：副葬品多数","北丘：両袖式横穴式石室　（内部に刳抜式家形石棺2基）南丘：（推定）横穴式石室","","","","","","","","","",""
"下赤坂城","[赤阪城跡（あかさかじょうあと）〔南河内郡千早赤阪村〕1934年3月13日] 下赤坂城 （しもあかさかじょう）は、 日本の城 。所在地は 大阪府 南河内郡 千早赤阪村 森屋。国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/下赤坂城","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","北緯34度27分35.0秒東経135度37分7.0秒","北緯34度27分35.0秒東経135度37分7.0秒﻿ / ﻿北緯34.459722度 東経135.618611度﻿ /34.459722; 135.618611","","下赤坂城","","","","","","","","","","","","","","","",""
"上赤坂城","[楠木城跡（上赤坂城跡）（くすのきじょうあと（かみあかさかじょうあと））〔南河内郡千早赤阪村〕1934年3月13日] 上赤坂城 （かみあかさかじょう）は、 日本の城 。所在地は 大阪府 南河内郡 千早赤阪村 上赤阪。「上赤阪城」と書くこともある。別名、楠木城。小根田城、桐山城とも言う。 楠木七城 の一つ。「楠木城跡（上赤阪城跡）」として国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/上赤坂城","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","北緯34度26分52.8秒東経135度37分50.9秒","北緯34度26分52.8秒東経135度37分50.9秒﻿ / ﻿北緯34.448000度 東経135.630806度﻿ /34.448000; 135.630806","","上赤坂城","","","","","","","","","","","","楠木城、小根田城、桐山城","","","",""
"千早城","[千早城跡（ちはやじょうあと）〔南河内郡千早赤阪村〕1934年3月13日] 千早城 （ちはやじょう）は、 大阪府 南河内郡 千早赤阪村 大字 千早 にある 日本の城 。国の 史跡 に指定されている。 鎌倉時代 末期より 南北朝時代 に存在した 楠木正成 ・築城の城である。四方を絶壁に囲まれ要塞堅固を誇ったといわれる連郭式 山城 である。 金剛山 城。 楠木七城 の一つ。","https://ja.wikipedia.org/wiki/千早城","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","北緯34度25分2.01秒東経135度39分4.31秒","北緯34度25分2.01秒東経135度39分4.31秒﻿ / ﻿北緯34.4172250度 東経135.6511972度﻿ /34.4172250; 135.6511972座標:北緯34度25分2.01秒東経135度39分4.31秒﻿ / ﻿北緯34.4172250度 東経135.6511972度﻿ /34.4172250; 135.6511972","","千早城","","","","","","","","","","","","楠木詰城、金剛山城、千早の詰め城、千早のかくれ城","","","",""
"烏帽子形城","[烏帽子形城跡（えぼしがたじょうあと）〔河内長野市〕] 烏帽子形城 （えぼしがたじょう）は、 大阪府 河内長野市 喜多町 の 烏帽子形山 にあった 日本の城 。別名「押子形城」。 奥河内 の名所である高野街道の沿線にあり、城跡は国の 史跡 に指定されている。また 日本遺産 『中世に出逢えるまち 〜千年にわたり護られてきた中世文化遺産の宝庫〜』の構成文化財のひとつでもある。","https://ja.wikipedia.org/wiki/烏帽子形城","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","北緯34度26分40.4秒東経135度33分53秒","北緯34度26分40.4秒東経135度33分53秒﻿ / ﻿北緯34.444556度 東経135.56472度﻿ /34.444556; 135.56472","","烏帽子形城","","","","","","","","","","","","押子形城","","","",""
"観心寺","[観心寺境内（かんしんじけいだい）〔河内長野市〕] 観心寺 （かんしんじ）は、 大阪府 河内長野市 にある 高野山真言宗 の 遺跡 本山 の 寺院 。 山号 は檜尾山、 本尊 は 如意輪観音 。 大阪みどりの百選 に選定されている  。また 日本遺産 『中世に出逢えるまち 〜千年にわたり護られてきた中世文化遺産の宝庫〜』の構成文化財のひとつでもある。","https://ja.wikipedia.org/wiki/観心寺","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","北緯34度26分14.43秒東経135度35分54.94秒","北緯34度26分14.43秒東経135度35分54.94秒﻿ / ﻿北緯34.4373417度 東経135.5985944度﻿ /34.4373417; 135.5985944","大阪府河内長野市寺元475","","","","","","","","2120105005434","金堂、木造如意輪観音坐像、観心寺縁起資財帳（国宝）書院、絹本著色大随求像、木造釈迦如来坐像ほか（重要文化財）","天長2年（825年）または天長4年（827年）","高野山真言宗","檜尾山","","如意輪観音（国宝）","伝・役小角","","新西国三十三箇所客番仏塔古寺十八尊第13番関西花の寺二十五霊場第25番河泉二十四地蔵霊場第5番河内飛鳥古寺霊場第10番役行者霊蹟札所神仏霊場巡拝の道第56番（大阪第15番）"
"金剛寺 (河内長野市)","[金剛寺境内（こんごうじけいだい）〔河内長野市〕] 金剛寺 （こんごうじ）は、 大阪府 河内長野市 にある 真言宗御室派 の 大本山 の 寺院 。 山号 は天野山（あまのさん）。 高野山 が 女人禁制 だったのに対して女性も参詣ができたため、「 女人高野 」とも呼ばれる。 奥河内 の観光地の一つ。","https://ja.wikipedia.org/wiki/金剛寺_(河内長野市)","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","北緯34度25分46.42秒東経135度31分44.57秒","北緯34度25分46.42秒東経135度31分44.57秒﻿ / ﻿北緯34.4295611度 東経135.5290472度﻿ /34.4295611; 135.5290472座標:北緯34度25分46.42秒東経135度31分44.57秒﻿ / ﻿北緯34.4295611度 東経135.5290472度﻿ /34.4295611; 135.5290472","大阪府河内長野市天野町996","","","","","","","","6120105005422","延喜式神名帳、延喜式第十二残巻・第十四・第十六、紙本著色日月四季山水、剣 無銘、木造大日如来坐像・木造不動・降三世明王坐像 3躯（国宝）楼門・金堂ほか（重要文化財）","伝・天平年間（729年-748年）","真言宗御室派","天野山","","大日如来坐像（国宝）","聖武天皇（勅願）","","新西国三十三箇所第7番河泉二十四地蔵霊場第12番河内飛鳥古社寺霊場第8番神仏霊場巡拝の道第55番（大阪第14番）"
"いたすけ古墳","[いたすけ古墳（いたすけこふん）] いたすけ古墳 （いたすけこふん）は、 大阪府 堺市 北区 百舌鳥本町にある 前方後円墳 。 百舌鳥古墳群 を構成する古墳の1つ。国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/いたすけ古墳","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","北緯34度33分11.70秒東経135度29分7.84秒","北緯34度33分11.70秒東経135度29分7.84秒﻿ / ﻿北緯34.5532500度 東経135.4855111度﻿ /34.5532500; 135.4855111﻿ (いたすけ古墳)座標:北緯34度33分11.70秒東経135度29分7.84秒﻿ / ﻿北緯34.5532500度 東経135.4855111度﻿ /34.5532500; 135.4855111﻿ (いたすけ古墳)","大阪府堺市北区百舌鳥本町3丁","","5世紀前半","前方後円墳","国の史跡「いたすけ古墳」（「百舌鳥古墳群」に包含）","墳丘長146m高さ12.2m（後円部）","衝角付冑形埴輪など","不明","","","","","","","","","百舌鳥古墳群",""
"長塚古墳 (堺市)","[長塚古墳（ながつかこふん）] 長塚古墳 （ながつかこふん）は、 大阪府 堺市 堺区 百舌鳥夕雲町2丁に所在する古墳時代中期の 前方後円墳 。百舌鳥古墳群に属しており、国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/長塚古墳_(堺市)","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","北緯34度33分27.6秒東経135度29分15.0秒","北緯34度33分27.6秒東経135度29分15.0秒﻿ / ﻿北緯34.557667度 東経135.487500度﻿ /34.557667; 135.487500","大阪府堺市堺区百舌鳥夕雲町2丁","","5世紀","前方後円墳","国の史跡（1958年指定）","墳丘長102 m","埴輪","不明","","","","","","","","","百舌鳥古墳群",""
"収塚古墳","[収塚古墳（おさめづかこふん）] 収塚古墳 （おさめづかこふん）は、 大阪府 堺市 堺区 百舌鳥夕雲町2丁150－2に所在する 古墳 である。 百舌鳥古墳群 に属する 前方後円墳 （ 帆立貝形古墳 とも）で、すぐ近くにある 大仙陵古墳 の 陪塚 とされる。国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/収塚古墳","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","北緯34度33分31.6秒東経135度29分17.0秒","北緯34度33分31.6秒東経135度29分17.0秒﻿ / ﻿北緯34.558778度 東経135.488056度﻿ /34.558778; 135.488056","大阪府堺市堺区百舌鳥夕雲町","","5世紀","前方後円墳","国の史跡（1958年指定）","墳丘長61ｍ　","円筒埴輪","","","","","","","","","","百舌鳥古墳群",""
"塚廻古墳","[塚廻古墳（つかまわりこふん）] 塚廻古墳 （つかまわりこふん）は、 大阪府 堺市 堺区 百舌鳥夕雲町に所在する 古墳 （ 円墳 ）である。 百舌鳥古墳群 に属しており、すぐ近くにある 大仙陵古墳 の 陪塚 とされる。国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/塚廻古墳","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","北緯34度33分46.0秒東経135度29分26.4秒","北緯34度33分46.0秒東経135度29分26.4秒﻿ / ﻿北緯34.562778度 東経135.490667度﻿ /34.562778; 135.490667","大阪府堺市堺区百舌鳥夕雲町","","5世紀","円墳","国の史跡","径35ｍ　","銅鏡 碧玉製勾玉 鉄剣","木棺","","","","","","","","","百舌鳥古墳群",""
"文珠塚古墳","[文珠塚古墳（もんじゅづかこふん）] 文珠塚古墳 （もんじゅづかこふん）は、 大阪府 堺市 西区 上野芝向ヶ丘町1丁772－3に所在する 前方後円墳 。 百舌鳥古墳群 内にあり、国の 史跡 である。","https://ja.wikipedia.org/wiki/文珠塚古墳","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","北緯34度32分48.0秒東経135度28分54.2秒","北緯34度32分48.0秒東経135度28分54.2秒﻿ / ﻿北緯34.546667度 東経135.481722度﻿ /34.546667; 135.481722","大阪府堺市西区上野芝向ヶ丘町","","5世紀","前方後円墳","国の史跡","墳丘長58ｍ　","円筒埴輪","不明","","","","","","","","","百舌鳥古墳群",""
"丸保山古墳","[丸保山古墳（まるほやまこふん）] 丸保山古墳 （まるほやまこふん）は、 大阪府 堺市 堺区 北丸保園に所在する 古墳 （ 前方後円墳 ）である。 百舌鳥古墳群 の中の一基であり、すぐ近くにある 大仙陵古墳 の 陪塚 と考えられている。国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/丸保山古墳","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","北緯34度34分1.9秒東経135度29分7.8秒","北緯34度34分1.9秒東経135度29分7.8秒﻿ / ﻿北緯34.567194度 東経135.485500度﻿ /34.567194; 135.485500","大阪府堺市堺区北丸保園","","5世紀","前方後円墳","国の史跡","墳丘長87ｍ　","","","","","","","","","","","百舌鳥古墳群",""
"乳岡古墳","[乳岡古墳（ちのおかこふん）] 乳岡古墳 （ちのおかこふん）は、 大阪府 堺市 堺区 石津町2丁に所在する 前方後円墳 。 百舌鳥古墳群 に属しており、国の 史跡 である。","https://ja.wikipedia.org/wiki/乳岡古墳","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","北緯34度33分21.1秒東経135度27分55.6秒","北緯34度33分21.1秒東経135度27分55.6秒﻿ / ﻿北緯34.555861度 東経135.465444度﻿ /34.555861; 135.465444﻿ (乳岡古墳)座標:北緯34度33分21.1秒東経135度27分55.6秒﻿ / ﻿北緯34.555861度 東経135.465444度﻿ /34.555861; 135.465444﻿ (乳岡古墳)","大阪府堺市堺区石津町2丁","","4世紀末","前方後円墳","国の史跡（1974年指定）","墳丘長150ｍ　","碧玉製鍬形石　車輪石","長持形石棺","","","","","","","","","百舌鳥古墳群",""
"旧堺燈台","[旧堺燈台（きゅうさかいとうだい）〔堺市〕] 旧堺燈台 （きゅうさかいとうだい）は、 大阪府 堺市 堺区 大浜北町5丁にある木製洋式 灯台 跡である。現存する最古の木製洋式灯台のひとつとして、国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/旧堺燈台","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","北緯34度35分0.55秒東経135度27分32.39秒","北緯34度35分0.55秒東経135度27分32.39秒﻿ / ﻿北緯34.5834861度 東経135.4589972度﻿ /34.5834861; 135.4589972座標:北緯34度35分0.55秒東経135度27分32.39秒﻿ / ﻿北緯34.5834861度 東経135.4589972度﻿ /34.5834861; 135.4589972","大阪府堺市堺区大浜北町5丁","","","","","","","","","","","","","","","","",""
"黒姫山古墳","[黒姫山古墳（くろひめやまこふん）〔堺市〕] 黒姫山古墳 （くろひめやまこふん）は、 大阪府 堺市 美原区 黒山にある 5世紀 中頃築造と考えられる 前方後円墳 。国の 史跡 に指定されている  。","https://ja.wikipedia.org/wiki/黒姫山古墳","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","北緯34度32分44.21秒東経135度33分27.53秒","北緯34度32分44.21秒東経135度33分27.53秒﻿ / ﻿北緯34.5456139度 東経135.5576472度﻿ /34.5456139; 135.5576472","大阪府堺市美原区黒山","黒姫山古墳府内の位置","5世紀中頃","前方後円墳","1957年（昭和32年）国指定","全長114m、高さ11m","甲冑、鉄刀、鉄剣、鉄鏃ほか多数","","","","","","","","","","",""
"土塔","[土塔（どとう）〔堺市〕] 土塔 （どとう、 大野寺土塔 ）は、 大阪府 堺市 中区 土塔町 の大野寺にあった土製の 塔 。国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/土塔","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","北緯34度31分56秒 東経135度30分31.9秒","","","","","","","","","","","","","","","","","","",""
"四ツ池遺跡","[四ツ池遺跡（よついけいせき）〔堺市〕] 四ツ池遺跡 （よついけいせき）は、 大阪府 堺市 西区 浜寺船尾町西・鳳北町にある、 弥生時代 の 遺跡 。 1989年 9月22日に、国の史跡に指定された  。","https://ja.wikipedia.org/wiki/四ツ池遺跡","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","北緯34度32分40秒 東経135度27分30秒","","","","","","","","","","","","","","","","","","",""
"池上曽根遺跡","[池上曽根遺跡（いけがみそねいせき）〔和泉市・泉大津市〕] 池上曽根弥生情報館","https://ja.wikipedia.org/wiki/池上曽根遺跡","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","北緯34度30分6.6秒 東経135度25分38.2秒","","","","","","","","","","","","","","","","","","",""
"和泉黄金塚古墳","[和泉黄金塚古墳（いずみこがねづかこふん ）〔和泉市〕] 和泉黄金塚古墳 （いずみこがねづかこふん）は、 大阪府 和泉市 上代町（うえだいちょう）にある 古墳 。形状は 前方後円墳 。国の 史跡 に指定され、出土品は国の 重要文化財 に指定されている。","https://ja.wikipedia.org/wiki/和泉黄金塚古墳","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","北緯34度30分51秒東経135度27分21秒","北緯34度30分51秒東経135度27分21秒﻿ / ﻿北緯34.51417度 東経135.45583度﻿ /34.51417; 135.45583","大阪府和泉市上代町","","古墳時代前期末","前方後円墳","平成20年（2008年）国指定","全長約94m","銅鏡、革製漆塗盾、勾玉、鉄鏃など","","","","","","","","","","",""
"摩湯山古墳","[摩湯山古墳（まゆやまこふん）〔岸和田市〕] 摩湯山古墳 （まゆやまこふん）は、 大阪府 岸和田市 摩湯町にある 古墳 。形状は 前方後円墳 。国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/摩湯山古墳","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","北緯34度27分44.70秒東経135度26分0.05秒","北緯34度27分44.70秒東経135度26分0.05秒﻿ / ﻿北緯34.4624167度 東経135.4333472度﻿ /34.4624167; 135.4333472座標:北緯34度27分44.70秒東経135度26分0.05秒﻿ / ﻿北緯34.4624167度 東経135.4333472度﻿ /34.4624167; 135.4333472","大阪府岸和田市摩湯町","摩湯山古墳","4世紀後半","前方後円墳（柄鏡式）","国の史跡「摩湯山古墳」","墳丘長200m","土師器・埴輪","（推定）竪穴式石室","","","","","","","","","",""
"丸山古墳 (貝塚市)","[丸山古墳（まるやまこふん）〔貝塚市〕] 丸山古墳 （まるやまこふん、 地蔵堂丸山古墳 ）は、 大阪府 貝塚市 地蔵堂にある 古墳 。形状は 前方後円墳 。地蔵堂古墳群を構成する古墳の1つ。国の 史跡 に指定され、出土埴輪は貝塚市指定有形文化財に指定されている。","https://ja.wikipedia.org/wiki/丸山古墳_(貝塚市)","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","北緯34度25分42.95秒東経135度21分19.30秒","北緯34度25分42.95秒東経135度21分19.30秒﻿ / ﻿北緯34.4285972度 東経135.3553611度﻿ /34.4285972; 135.3553611座標:北緯34度25分42.95秒東経135度21分19.30秒﻿ / ﻿北緯34.4285972度 東経135.3553611度﻿ /34.4285972; 135.3553611","大阪府貝塚市地蔵堂","丸山古墳","4世紀後半","前方後円墳","国の史跡「丸山古墳」","墳丘長72m高さ5m（後円部）","埴輪片","不明","","","","","","地蔵堂丸山古墳/貝塚丸山古墳","","","地蔵堂古墳群",""
"日根荘","[日根荘遺跡（ひねのしょういせき）〔泉佐野市〕 -慈眼院境内ほか15ヶ所] 日根荘 （ひねのしょう）は、 鎌倉時代 の 1234年 （ 天福 2年／ 文暦 元年）に 和泉国 日根郡 に立荘された 九条家 の 家領 荘園 。同地の歴史的景観を構成するものの中から、14か所が 1998年 （ 平成 10年）に「 日根荘遺跡 」として国の 史跡 に指定され、 2005年 （平成17年）に長福寺跡が、 2013年 （平成25年）に 土丸 ・ 雨山城 が追加指定された。","https://ja.wikipedia.org/wiki/日根荘#日根荘遺跡指定地一覧","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","北緯34度41分30.1秒 東経135度47分17.9秒","","","","","","","","","","","","","","","","","","",""
"海会寺跡","[海会寺跡（かいえじあと）〔泉南市〕] 海会寺跡 （かいえじあと）は、 大阪府 泉南市 信達大苗代（しんだちおのしろ）にある古代 仏教 寺院 の跡。国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/海会寺跡","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","北緯34度22分31.7秒 東経135度17分25.6秒","","","","","","","","","","","","","","","","","","",""
"西陵古墳","[西陵古墳第一、第二古墳（さいりょうこふん だいいち・だいにこふん）〔泉南郡岬町〕] 西陵古墳 （さいりょうこふん）は、 大阪府 泉南郡 岬町 淡輪 （たんのわ）にある 古墳 。形状は 前方後円墳 。淡輪古墳群を構成する古墳の1つ。国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/西陵古墳","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","北緯34度19分37.31秒東経135度10分8.44秒","北緯34度19分37.31秒東経135度10分8.44秒﻿ / ﻿北緯34.3270306度 東経135.1690111度﻿ /34.3270306; 135.1690111座標:北緯34度19分37.31秒東経135度10分8.44秒﻿ / ﻿北緯34.3270306度 東経135.1690111度﻿ /34.3270306; 135.1690111","大阪府泉南郡岬町淡輪","西陵古墳","5世紀前半頃","前方後円墳","国の史跡「西陵古墳 第一、第二古墳」","墳丘長210m高さ約15m（後円部）","円筒埴輪・器材埴輪など","（推定）竪穴式石室　（内部に長持形石棺）","","","","","","","","","淡輪古墳群",""
"姫路城","[姫路城跡（ひめじじょうあと）〔姫路市〕1928年9月20日] 姫路城 （ひめじじょう）は 兵庫県 姫路市 にある 日本の城 。 江戸時代 初期に建てられた 天守 や 櫓 等の主要 建築物 が現存し、 国宝 や 重要文化財 に指定されている。また、主郭部を含む中堀の内側は「姫路城跡」として国の 特別史跡 に指定されている   。また、 ユネスコ の 世界遺産 リストにも登録され   、 日本100名城  などに選定されている。別名は 白鷺城 （はくろじょう・しらさぎじょう。詳細は 名称の由来と別名 を参照）という。","https://ja.wikipedia.org/wiki/姫路城","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","北緯34度50分21.76秒東経134度41分38.75秒","北緯34度50分21.76秒東経134度41分38.75秒﻿ / ﻿北緯34.8393778度 東経134.6940972度﻿ /34.8393778; 134.6940972座標:北緯34度50分21.76秒東経134度41分38.75秒﻿ / ﻿北緯34.8393778度 東経134.6940972度﻿ /34.8393778; 134.6940972","","姫路城","","","","","","","","","","","","白鷺城","","","",""
"柏原陣屋","[柏原藩陣屋跡（かいばらはんじんやあと）〔丹波市〕1971年1月6日] 柏原陣屋 （かいばらじんや）は現在の 兵庫県 丹波市 柏原町（ 丹波国 氷上郡）にあった 柏原藩 の藩庁である 陣屋 である。国指定の 史跡 。","https://ja.wikipedia.org/wiki/柏原陣屋","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","北緯35度7分43.8秒 東経135度4分55.9秒","","","","","","","","","","","","","","","","","","",""
"黒井城","[黒井城跡（くろいじょうあと）〔丹波市〕1988年8月11日 -興禅寺] 黒井城 （くろいじょう）は、 兵庫県 丹波市 にある 日本の城 跡。別名を 保月城 （ほげつじょう）、 保築城 （ほづきじょう）ともいう。国の 史跡 。","https://ja.wikipedia.org/wiki/黒井城","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","北緯35度10分45.0秒東経135度6分14.6秒","北緯35度10分45.0秒東経135度6分14.6秒﻿ / ﻿北緯35.179167度 東経135.104056度﻿ /35.179167; 135.104056座標:北緯35度10分45.0秒東経135度6分14.6秒﻿ / ﻿北緯35.179167度 東経135.104056度﻿ /35.179167; 135.104056","","黒井城","","","","","","","","","","","","保月城、保築城","","","",""
"篠山城","[篠山城跡（ささやまじょうあと）〔丹波篠山市〕1956年12月28日] 篠山城 （ささやまじょう）は、 兵庫県 丹波篠山市 北新町 にある 日本の城 跡（ 近世城郭 ）。 篠山盆地 の中央部、笹山とよばれる小丘陵に築かれた 平山城 で、 篠山藩 の 藩庁 であった。国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/篠山城","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","北緯35度4分22.16秒東経135度13分5.71秒","北緯35度4分22.16秒東経135度13分5.71秒﻿ / ﻿北緯35.0728222度 東経135.2182528度﻿ /35.0728222; 135.2182528","","篠山城","","","","","","","","","","","","桐ヶ城","","","",""
"八上城","[八上城跡（やがみじょうあと）〔丹波篠山市〕2005年3月2日] 八上城 （やかみじょう）は、 兵庫県 丹波篠山市 にあった 中世 、 室町時代 から 戦国時代 にかけて 丹波国 の 国人 である 波多野氏 が本拠とした 日本の城 （ 山城 ）。国の 史跡 に指定されている。別名は八上高城。","https://ja.wikipedia.org/wiki/八上城","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","北緯35度3分42.41秒東経135度15分20.58秒","北緯35度3分42.41秒東経135度15分20.58秒﻿ / ﻿北緯35.0617806度 東経135.2557167度﻿ /35.0617806; 135.2557167","","八上城","","","","","","","","","","","","八上高城","","","",""
"加茂遺跡 (川西市)","[加茂遺跡（かもいせき）〔川西市〕1999年11月19日] 加茂遺跡 （かもいせき）は、 兵庫県 川西市 の 伊丹 段丘 の東北端にある 弥生時代 の巨大集落 遺跡 である。標高40～45メートルの台地で、 大阪平野 を一望できる場所に立地している  。東西800メートル、南北400メートル、広さ約20万平方メートルの規模に及ぶ広大な 環濠集落 である。環濠集落の中でも防御性に特徴がある、斜面環濠をもつ遺跡として例の少ない遺跡である  。","https://ja.wikipedia.org/wiki/加茂遺跡_(川西市)","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","北緯34度49分15.4秒東経135度24分28.1秒","","兵庫県川西市加茂１丁目","","","","","","","","","","","","","","","","",""
"多田神社","[多田院（ただいん）〔川西市〕1951年6月9日] 多田神社 （ただじんじゃ）は、 兵庫県 川西市 多田院多田所町にある 神社 。 旧社格 は 県社 で、現在は 神社本庁 の 別表神社 。","https://ja.wikipedia.org/wiki/多田神社","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","北緯34度51分40.6秒東経135度24分9.4秒","北緯34度51分40.6秒東経135度24分9.4秒﻿ / ﻿北緯34.861278度 東経135.402611度﻿ /34.861278; 135.402611﻿ (多田神社)座標:北緯34度51分40.6秒東経135度24分9.4秒﻿ / ﻿北緯34.861278度 東経135.402611度﻿ /34.861278; 135.402611﻿ (多田神社)","兵庫県川西市多田院多田所町1-1","多田神社","","","","","","","","","","","","多田院（旧称）","","","",""
