"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","位置","標高","山系","種類","初登頂","最高峰","最新噴火","延長","幅","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden"
"藤原岳"," 藤原岳 （ふじわらだけ）は 鈴鹿国定公園 の 三重県 いなべ市 と 滋賀県 東近江市 との境界にある 山 。 標高 1,144 m  。 鈴鹿山脈 の北部に位置し、 日本三百名山 及び 関西百名山 、 花の百名山 に選定されている。","https://ja.wikipedia.org/wiki/藤原岳","日本三百名山","https://ja.wikipedia.org/wiki/日本三百名山","グループ形式","北緯35度09分31秒東経136度27分10秒","日本三重県いなべ市滋賀県東近江市","北緯35度09分31秒東経136度27分10秒﻿ / ﻿北緯35.15861度 東経136.45278度﻿ /35.15861; 136.45278座標:北緯35度09分31秒東経136度27分10秒﻿ / ﻿北緯35.15861度 東経136.45278度﻿ /35.15861; 136.45278","1,144m","鈴鹿山脈","堆積岩（石灰岩）","","","","","","","","","","","","","",""
"倶留尊山"," 倶留尊山 （くろそやま）は、 三重県 津市 と 奈良県 宇陀郡 曽爾村 にまたがる 高見山地 の標高1,037 m の 山 である。 日本三百名山 の一つに数えられる  。","https://ja.wikipedia.org/wiki/倶留尊山","日本三百名山","https://ja.wikipedia.org/wiki/日本三百名山","グループ形式","北緯34度31分51秒東経136度10分13秒","日本三重県津市・奈良県宇陀郡曽爾村","北緯34度31分51秒東経136度10分13秒﻿ / ﻿北緯34.53083度 東経136.17028度﻿ /34.53083; 136.17028座標:北緯34度31分51秒東経136度10分13秒﻿ / ﻿北緯34.53083度 東経136.17028度﻿ /34.53083; 136.17028","1,037.27m","高見山地","","","","","","","","","","","","","","",""
"三峰山 (三重県・奈良県)"," 三峰山 （みうねやま）は、 高見山地 に属する 山 である。 日本三百名山 の一つに数えられる  。","https://ja.wikipedia.org/wiki/三峰山_(三重県・奈良県)","日本三百名山","https://ja.wikipedia.org/wiki/日本三百名山","グループ形式","北緯34度26分55秒東経136度12分23秒","三重県松阪市・津市奈良県御杖村","北緯34度26分55秒東経136度12分23秒﻿ / ﻿北緯34.44861度 東経136.20639度﻿ /34.44861; 136.20639座標:北緯34度26分55秒東経136度12分23秒﻿ / ﻿北緯34.44861度 東経136.20639度﻿ /34.44861; 136.20639","1,235.2m","高見山地","","","","","","","","","","","","","","",""
"高見山"," 高見山 （たかみさん、たかみやま）は、 奈良県 吉野郡 東吉野村 と 三重県 松阪市 （旧 飯南郡 飯高町 ）との境界にある山である。 標高 は1,248.4m。","https://ja.wikipedia.org/wiki/高見山","日本三百名山","https://ja.wikipedia.org/wiki/日本三百名山","グループ形式","北緯34度25分43秒東経136度05分19秒","奈良県吉野郡東吉野村・三重県松阪市","北緯34度25分43秒東経136度05分19秒﻿ / ﻿北緯34.42861度 東経136.08861度﻿ /34.42861; 136.08861座標:北緯34度25分43秒東経136度05分19秒﻿ / ﻿北緯34.42861度 東経136.08861度﻿ /34.42861; 136.08861","1,248.4m","高見山地・台高山脈","","","","","","","","","","","","","","",""
"竜門岳"," 竜門岳 （りゅうもんがだけ）は、 奈良県 の 宇陀市 と 吉野郡 吉野町 の市町境にある 山 で、 竜門山地  に属している。 龍門岳 あるいは 龍門ガ岳 （ 龍門ヶ岳 ）と表記されることもある  。 日本三百名山 の一つに数えられる  。","https://ja.wikipedia.org/wiki/竜門岳","日本三百名山","https://ja.wikipedia.org/wiki/日本三百名山","グループ形式","北緯34度26分26秒東経135度53分52秒","奈良県吉野町","北緯34度26分26秒東経135度53分52秒﻿ / ﻿北緯34.44056度 東経135.89778度﻿ /34.44056; 135.89778","904.1m","竜門山地","","","","","","","","","","","","","","",""
"護摩壇山"," 護摩壇山 （ごまだんざん、ごまだんやま）は、 和歌山県 田辺市 と 奈良県 吉野郡 十津川村 との県境にある 山 である。 標高 は1,372 m 。 紀伊山地 に属する。","https://ja.wikipedia.org/wiki/護摩壇山","日本三百名山","https://ja.wikipedia.org/wiki/日本三百名山","グループ形式","北緯34度03分27秒東経135度34分01秒","日本和歌山県田辺市龍神村奈良県吉野郡十津川村","北緯34度03分27秒東経135度34分01秒﻿ / ﻿北緯34.05750度 東経135.56694度﻿ /34.05750; 135.56694座標:北緯34度03分27秒東経135度34分01秒﻿ / ﻿北緯34.05750度 東経135.56694度﻿ /34.05750; 135.56694","1,372m","護摩壇山山系","","","","","","","","","","","","","","",""
"大和葛城山"," 大和葛城山 （やまとかつらぎさん）は、 奈良県 御所市 と 大阪府 南河内郡 千早赤阪村 との境に位置する標高959.2mの 山 である。単に 葛城山 と呼ばれることもある。","https://ja.wikipedia.org/wiki/大和葛城山","日本三百名山","https://ja.wikipedia.org/wiki/日本三百名山","グループ形式","北緯34度27分22秒東経135度40分56秒","日本奈良県御所市・大阪府南河内郡千早赤阪村","北緯34度27分22秒東経135度40分56秒﻿ / ﻿北緯34.45611度 東経135.68222度﻿ /34.45611; 135.68222座標:北緯34度27分22秒東経135度40分56秒﻿ / ﻿北緯34.45611度 東経135.68222度﻿ /34.45611; 135.68222","959.2m","金剛山地","","","","","","","","","","","","","","",""
"蓬莱山 (滋賀県)"," 蓬萊山 （ほうらいさん）は、 比良山地 中部に属する 山 である。比良山地の中では 武奈ヶ岳 に次ぐ高峰であり、 日本三百名山 の一つに数えられる  。","https://ja.wikipedia.org/wiki/蓬莱山_(滋賀県)","日本三百名山","https://ja.wikipedia.org/wiki/日本三百名山","グループ形式","北緯35度12分34秒東経135度53分09秒","滋賀県大津市","北緯35度12分34秒東経135度53分09秒﻿ / ﻿北緯35.20944度 東経135.88583度﻿ /35.20944; 135.88583","1,174m","比良山地","","","","","","","","","","","","","","",""
"比叡山"," 比叡山 （ひえいざん）は、 滋賀県 大津市 西部と 京都府 京都市 北東部にまたがる 山 。大津市と京都市 左京区 の県境に位置する 大比叡 （848.3m）と左京区に位置する 四明岳 （しめいがたけ、838m）の二峰から成る双耳峰の総称である。 高野山 と並び古くより信仰対象の山とされ、 延暦寺 や 日吉大社 があり繁栄した。 東山三十六峰 に含まれる場合も有る  。別称は叡山、北嶺、天台山、都富士など。","https://ja.wikipedia.org/wiki/比叡山","日本三百名山","https://ja.wikipedia.org/wiki/日本三百名山","グループ形式","北緯35度03分57秒東経135度50分04秒","日本滋賀県大津市・京都府京都市左京区","北緯35度03分57秒東経135度50分04秒﻿ / ﻿北緯35.06583度 東経135.83444度﻿ /35.06583; 135.83444座標:北緯35度03分57秒東経135度50分04秒﻿ / ﻿北緯35.06583度 東経135.83444度﻿ /35.06583; 135.83444","848.3m","","","","","","","","","","","","","","","",""
"愛宕山 (京都市)"," 愛宕山 （あたごやま、あたごさん）は、 京都府 京都市 右京区 の北西部、 山城国 と 丹波国 の国境にある 山 である。京都市街を取り巻く山の中で、 比叡山 と並びよく目立っており、信仰の山としても知られる。","https://ja.wikipedia.org/wiki/愛宕山_(京都市)","日本三百名山","https://ja.wikipedia.org/wiki/日本三百名山","グループ形式","北緯35度03分36秒東経135度38分03秒","日本京都府京都市右京区","北緯35度03分36秒東経135度38分03秒﻿ / ﻿北緯35.06000度 東経135.63417度﻿ /35.06000; 135.63417座標:北緯35度03分36秒東経135度38分03秒﻿ / ﻿北緯35.06000度 東経135.63417度﻿ /35.06000; 135.63417","924m","","","","","","","","","","","","","","","",""
"六甲山"," 六甲山 （ろっこうさん）は、 兵庫県 南東部、 神戸市 の市街地の西から北にかけて位置する 山塊 である。 瀬戸内海国立公園 の区域に指定されており、また 新日本百名山 、 日本三百名山 、 ふるさと兵庫50山 の一つでもある。","https://ja.wikipedia.org/wiki/六甲山","日本三百名山","https://ja.wikipedia.org/wiki/日本三百名山","グループ形式","北緯34度46分40.815秒東経135度15分49.4669秒","日本兵庫県神戸市東灘区・北区","北緯34度46分40.815秒東経135度15分49.4669秒﻿ / ﻿北緯34.77800417度 東経135.263740806度﻿ /34.77800417; 135.263740806座標:北緯34度46分40.815秒東経135度15分49.4669秒﻿ / ﻿北緯34.77800417度 東経135.263740806度﻿ /34.77800417; 135.263740806","931.25m","六甲山系","","","","","","","","","","","","","","",""
"山上ヶ岳"," 大峰山 （おおみねさん）は、 奈良県 の南部にある 山 。現在では広義には 大峰山脈 を、狭義には 山上ヶ岳 （さんじょうがたけ）を指す。歴史的には「大峰山」は、大峰山脈のうち山上ヶ岳の南にある小篠（おざさ）から 熊野 までの峰々の呼び名であった。対して小篠から山上ヶ岳を含み尾根沿いに 吉野川 河岸までを 金峰山 という。","https://ja.wikipedia.org/wiki/山上ヶ岳","日本三百名山","https://ja.wikipedia.org/wiki/日本三百名山","グループ形式","","","","","","","","","","","","","","","","","","","",""
"扇ノ山"," 扇ノ山 （おうぎのせん）は、 兵庫県 と 鳥取県 にまたがる山で、 標高 1,309.9m  。 関西百名山 や 日本三百名山 に選ばれている  。","https://ja.wikipedia.org/wiki/扇ノ山","日本三百名山","https://ja.wikipedia.org/wiki/日本三百名山","グループ形式","北緯35度26分23秒東経134度26分27秒","日本兵庫県美方郡新温泉町（旧温泉町）・鳥取県鳥取市（旧国府町）・八頭郡八頭町（旧郡家町・旧八東町）・若桜町","北緯35度26分23秒東経134度26分27秒﻿ / ﻿北緯35.43972度 東経134.44083度﻿ /35.43972; 134.44083座標:北緯35度26分23秒東経134度26分27秒﻿ / ﻿北緯35.43972度 東経134.44083度﻿ /35.43972; 134.44083","1,309.9m","","","","","","","","","","","","","","","",""
"那岐山"," 那岐山 （なぎさん）は 鳥取県 八頭郡 智頭町 と 岡山県 勝田郡 奈義町 の境界にある 山 。「 なぎせん 」とも呼ばれる。 氷ノ山 、 後山 などと並んで、 氷ノ山後山那岐山国定公園 の区域に指定されている。","https://ja.wikipedia.org/wiki/那岐山","日本三百名山","https://ja.wikipedia.org/wiki/日本三百名山","グループ形式","北緯35度10分11秒東経134度10分40秒","日本岡山県勝田郡奈義町鳥取県八頭郡智頭町","北緯35度10分11秒東経134度10分40秒﻿ / ﻿北緯35.16972度 東経134.17778度﻿ /35.16972; 134.17778座標:北緯35度10分11秒東経134度10分40秒﻿ / ﻿北緯35.16972度 東経134.17778度﻿ /35.16972; 134.17778","1,255.0m","那岐山系（中国山地）","残丘","","","","","","","","","","","","","",""
"道後山"," 道後山 （どうごやま）は、 中国山地 中部に属する 山 である。 日本三百名山 の一つに数えられる  。","https://ja.wikipedia.org/wiki/道後山","日本三百名山","https://ja.wikipedia.org/wiki/日本三百名山","グループ形式","北緯35度04分12秒東経133度14分09秒","日本鳥取県日野郡日南町・広島県庄原市","北緯35度04分12秒東経133度14分09秒﻿ / ﻿北緯35.07000度 東経133.23583度﻿ /35.07000; 133.23583座標:北緯35度04分12秒東経133度14分09秒﻿ / ﻿北緯35.07000度 東経133.23583度﻿ /35.07000; 133.23583","1,268m","中国山地","","","","","","","","","","","","","","",""
"吾妻山 (広島県・島根県)"," 吾妻山 （あづまやま）は 広島県 庄原市 と 島根県 仁多郡 奥出雲町 との境にある 標高 1,239mの山。 比婆道後帝釈国定公園 に属している。","https://ja.wikipedia.org/wiki/吾妻山_(広島県・島根県)","日本三百名山","https://ja.wikipedia.org/wiki/日本三百名山","グループ形式","北緯35度04分05秒東経133度01分59秒","日本広島県庄原市・島根県仁多郡奥出雲町","北緯35度04分05秒東経133度01分59秒﻿ / ﻿北緯35.06806度 東経133.03306度﻿ /35.06806; 133.03306座標:北緯35度04分05秒東経133度01分59秒﻿ / ﻿北緯35.06806度 東経133.03306度﻿ /35.06806; 133.03306","1,238.4m","比婆山地","","","","","","","","","","","","","","",""
"伊予富士"," 伊予富士 （いよふじ）は、 四国山地 西部の 石鎚山地 に属する 山 である。 日本三百名山 の一つに数えられる  。","https://ja.wikipedia.org/wiki/伊予富士","日本三百名山","https://ja.wikipedia.org/wiki/日本三百名山","グループ形式","北緯33度47分17秒東経133度14分53秒","日本愛媛県西条市・高知県いの町","北緯33度47分17秒東経133度14分53秒﻿ / ﻿北緯33.78806度 東経133.24806度﻿ /33.78806; 133.24806座標:北緯33度47分17秒東経133度14分53秒﻿ / ﻿北緯33.78806度 東経133.24806度﻿ /33.78806; 133.24806","1,756m","四国山地","","","","","","","","","","","","","","",""
"瓶ヶ森"," 瓶ヶ森 （かめがもり）は、 四国山地 西部の 石鎚山脈 に属する 山 である。標高1,897m   。 日本三百名山 および 四国百名山 の一つに数えられる   。 愛媛県 第三の高峰で、 四国 でも 二ノ森 (1,929m) に次いで5位、 西日本 でも 八経ヶ岳 に次いで7位となる。瓶ヶ森の名称は山頂西側の 湧水 のたまる瓶壺（かめつぼ）に由来する  。","https://ja.wikipedia.org/wiki/瓶ヶ森","日本三百名山","https://ja.wikipedia.org/wiki/日本三百名山","グループ形式","北緯33度47分41秒東経133度11分36秒","愛媛県西条市","北緯33度47分41秒東経133度11分36秒﻿ / ﻿北緯33.79472度 東経133.19333度﻿ /33.79472; 133.19333座標:北緯33度47分41秒東経133度11分36秒﻿ / ﻿北緯33.79472度 東経133.19333度﻿ /33.79472; 133.19333","1,897m","石鎚山脈（四国山地）","","","","","","","","","","","","","","",""
"三本杭"," 三本杭 （さんぼんぐい）は、 四国山地 西部に属する 山 である。 国土地理院 では 石鎚山 と同じ四国山地西部に分類しているが、石鎚山からは隔てられた四国南西部に位置する。 滑床渓谷 のすぐ南側に聳え、 滑床山 （なめとこやま）とも呼ばれる。 日本三百名山 の一つに数えられる  。","https://ja.wikipedia.org/wiki/三本杭","日本三百名山","https://ja.wikipedia.org/wiki/日本三百名山","グループ形式","北緯33度11分18秒東経132度38分07秒","日本愛媛県宇和島市","北緯33度11分18秒東経132度38分07秒﻿ / ﻿北緯33.18833度 東経132.63528度﻿ /33.18833; 132.63528座標:北緯33度11分18秒東経132度38分07秒﻿ / ﻿北緯33.18833度 東経132.63528度﻿ /33.18833; 132.63528","1,225.7m","四国山地","","","","","","","","","","","","","","",""
"篠山 (高知県・愛媛県)"," 篠山 （ささやま）は、 四国山地 西部に属する 山 である。 日本三百名山 の1つ。山名は ミヤコザサ および アケボノツツジ の大群落があることに由来する  。","https://ja.wikipedia.org/wiki/篠山_(高知県・愛媛県)","日本三百名山","https://ja.wikipedia.org/wiki/日本三百名山","グループ形式","北緯33度03分21秒東経132度39分33秒","日本愛媛県愛南町・高知県宿毛市","北緯33度03分21秒東経132度39分33秒﻿ / ﻿北緯33.05583度 東経132.65917度﻿ /33.05583; 132.65917座標:北緯33度03分21秒東経132度39分33秒﻿ / ﻿北緯33.05583度 東経132.65917度﻿ /33.05583; 132.65917","1,065m","四国山地","","","","","","","","","","","","","","",""
"脊振山"," 脊振山 （せふりさん）は、 福岡県 福岡市 早良区 と 佐賀県 神埼市 との境に位置する 標高 1,054.6m、 脊振山系 最高峰の 山 である。 日本三百名山 の一つ。山頂には、 航空自衛隊 、 アメリカ軍 の レーダーサイト （ 脊振山分屯基地 ）がある。","https://ja.wikipedia.org/wiki/脊振山","日本三百名山","https://ja.wikipedia.org/wiki/日本三百名山","グループ形式","北緯33度26分11秒東経130度22分07秒","日本福岡県福岡市早良区・佐賀県神埼市","北緯33度26分11秒東経130度22分07秒﻿ / ﻿北緯33.43639度 東経130.36861度﻿ /33.43639; 130.36861座標:北緯33度26分11秒東経130度22分07秒﻿ / ﻿北緯33.43639度 東経130.36861度﻿ /33.43639; 130.36861","1,054.6m","脊振山地","","","","","","","","","","","","","","",""
"多良岳"," 多良岳 （たらだけ）は、 九州 の 山 。 長崎県 と 佐賀県 の県境に位置する標高996mの山。多良岳山系の一峰。","https://ja.wikipedia.org/wiki/多良岳","日本三百名山","https://ja.wikipedia.org/wiki/日本三百名山","グループ形式","北緯32度58分31.7秒東経130度5分33秒","佐賀県藤津郡太良町・長崎県諫早市","北緯32度58分31.7秒東経130度5分33秒﻿ / ﻿北緯32.975472度 東経130.09250度﻿ /32.975472; 130.09250座標:北緯32度58分31.7秒東経130度5分33秒﻿ / ﻿北緯32.975472度 東経130.09250度﻿ /32.975472; 130.09250","996m","多良岳山系","成層火山、溶岩ドーム","","","","","","","","","","","","","",""
"鶴見岳"," 鶴見岳 （つるみだけ）は、 大分県 別府市 にある 活火山 。標高は1,375m。 日本三百名山 のひとつ。東側山麓の 扇状地 には 別府温泉 （ 別府八湯 ）が広がる。","https://ja.wikipedia.org/wiki/鶴見岳","日本三百名山","https://ja.wikipedia.org/wiki/日本三百名山","グループ形式","北緯33度17分12秒東経131度25分47秒","日本大分県別府市","北緯33度17分12秒東経131度25分47秒﻿ / ﻿北緯33.28667度 東経131.42972度﻿ /33.28667; 131.42972座標:北緯33度17分12秒東経131度25分47秒﻿ / ﻿北緯33.28667度 東経131.42972度﻿ /33.28667; 131.42972","1,374.5m","","成層火山、溶岩ドーム(活火山ランクB)","","","","","","","","","","","","","",""
"大船山 (大分県)"," 大船山 （たいせんざん）は、 大分県 竹田市 （旧 久住町 ）にあり、 九重連山 を形成する 火山 のひとつである。 標高 1,786m。","https://ja.wikipedia.org/wiki/大船山_(大分県)","日本三百名山","https://ja.wikipedia.org/wiki/日本三百名山","グループ形式","北緯33度05分42秒東経131度16分50秒","日本大分県竹田市","北緯33度05分42秒東経131度16分50秒﻿ / ﻿北緯33.09500度 東経131.28056度﻿ /33.09500; 131.28056座標:北緯33度05分42秒東経131度16分50秒﻿ / ﻿北緯33.09500度 東経131.28056度﻿ /33.09500; 131.28056","1,786,2m","九重山系","第四紀火山","","","","","","","","","","","","","",""
"涌蓋山"," 涌蓋山 （ 湧蓋山 、わいたざん  、わいたさん）は、 大分県 玖珠郡 九重町 と 熊本県 阿蘇郡 小国町 にまたがる 第四紀 の 火山 。 活火山 ではなく、山体地形は 侵食 がやや進んでいる。 放射年代 によれば約50万年前～40万年前の 噴火 で誕生したとされる。","https://ja.wikipedia.org/wiki/涌蓋山","日本三百名山","https://ja.wikipedia.org/wiki/日本三百名山","グループ形式","北緯33度08分22.85秒東経131度09分52.64秒","日本大分県玖珠郡九重町","北緯33度08分22.85秒東経131度09分52.64秒﻿ / ﻿北緯33.1396806度 東経131.1646222度﻿ /33.1396806; 131.1646222座標:北緯33度08分22.85秒東経131度09分52.64秒﻿ / ﻿北緯33.1396806度 東経131.1646222度﻿ /33.1396806; 131.1646222","1,500m","独立峰","成層火山、溶岩ドーム","","","","","","","","","","","","","",""
"傾山"," 傾山 （かたむきやま、かたむきさん）は、 大分県 と 宮崎県 の県境にある祖母傾山系の山。山頂は大分県 豊後大野市 に位置し、標高1,605m  。 祖母傾国定公園 に指定されており、 日本三百名山 及び 大分百山 にも選ばれている。","https://ja.wikipedia.org/wiki/傾山","日本三百名山","https://ja.wikipedia.org/wiki/日本三百名山","グループ形式","北緯32度50分20秒東経131度28分33秒","大分県豊後大野市・佐伯市宮崎県日之影町","北緯32度50分20秒東経131度28分33秒﻿ / ﻿北緯32.83889度 東経131.47583度﻿ /32.83889; 131.47583座標:北緯32度50分20秒東経131度28分33秒﻿ / ﻿北緯32.83889度 東経131.47583度﻿ /32.83889; 131.47583","1,605m","九州山地祖母傾山系","","","","","","","","","","","","","","",""
"国見岳 (熊本県・宮崎県)"," 国見岳 （くにみだけ）は、 九州山地 中央部の向霧立山地に属する 山 である。 標高 は1,739mであり、 熊本県 最高峰 。 九州 本土では 祖母山 （1,756m）および 市房山 （1,721m）と並ぶ屈指の高峰であるが、交通の便が悪い地域に位置する。 日本三百名山 、 一等三角点百名山 の一つに数えられる  。","https://ja.wikipedia.org/wiki/国見岳_(熊本県・宮崎県)","日本三百名山","https://ja.wikipedia.org/wiki/日本三百名山","グループ形式","北緯32度32分50秒東経131度01分06秒","日本熊本県八代市・宮崎県椎葉村","北緯32度32分50秒東経131度01分06秒﻿ / ﻿北緯32.54722度 東経131.01833度﻿ /32.54722; 131.01833座標:北緯32度32分50秒東経131度01分06秒﻿ / ﻿北緯32.54722度 東経131.01833度﻿ /32.54722; 131.01833","1,739m","九州山地","","","","","","","","","","","","","","",""
"高隈山地"," 高隈山地 （たかくまさんち）は、 大隅半島 中央部の 鹿児島湾 沿いに連なる 山地 である。一般には 鹿児島県 鹿屋市 と 垂水市 との境界付近に横たわる南北約25 km 、東西約15kmの山地を指し、その中心部にそびえる大箆柄岳や御岳などを含む標高1,000 m 以上の山岳群を総称して 高隈山 （たかくまやま）と呼ぶ。","https://ja.wikipedia.org/wiki/高隈山地","日本三百名山","https://ja.wikipedia.org/wiki/日本三百名山","グループ形式","北緯31度29分10秒東経130度49分7秒","日本鹿児島県","北緯31度29分10秒東経130度49分7秒﻿ / ﻿北緯31.48611度 東経130.81861度﻿ /31.48611; 130.81861座標:北緯31度29分10秒東経130度49分7秒﻿ / ﻿北緯31.48611度 東経130.81861度﻿ /31.48611; 130.81861","","","","","大箆柄岳（1,236m）","","25km","15km","","","","","","","","",""
