"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","面積","淡水・汽水","成因","周囲長","水面の,標高","最大水深","位置","湖沼型","平均水深","透明度","貯水量","国","人口密度","推計人口"," • 合計","最大都市","流出河川","凍結"
"黒浜沼","[黒浜沼くろはまぬま埼玉県その他0.032--一級河川・利根川水系。堰止湖。] 黒浜沼 （くろはまぬま）は、 埼玉県 蓮田市 大字 黒浜に位置する 沼 。","https://ja.wikipedia.org/wiki/黒浜沼","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","","","","","","","","","","","","","","","","","","","",""
"柴山沼","[柴山沼しばやまぬま埼玉県河跡0.1258-一級河川・利根川水系。] 柴山沼 （しばやまぬま）は、 埼玉県 白岡市 の北西部にある 沼 である。","https://ja.wikipedia.org/wiki/柴山沼","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","北緯36度02分15.2秒東経139度37分10.7秒","日本埼玉県白岡市","0.125km2","","","","","8m","北緯36度02分15.2秒東経139度37分10.7秒﻿ / ﻿北緯36.037556度 東経139.619639度﻿ /36.037556; 139.619639座標:北緯36度02分15.2秒東経139度37分10.7秒﻿ / ﻿北緯36.037556度 東経139.619639度﻿ /36.037556; 139.619639","","","","","","","","","","",""
"白幡沼","[白幡沼しらはたぬま埼玉県----] 白幡沼 （しらはたぬま）は、 埼玉県 さいたま市 南区 にある 沼 である。","https://ja.wikipedia.org/wiki/白幡沼","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","","日本埼玉県さいたま市南区","--km2","淡水","--","--km","--  m","--m","","--","-- m","-- m","--km3","","","","","","",""
"鳥羽井沼","[鳥羽井沼とばいぬま埼玉県河跡0.022--] 鳥羽井沼 （とばいぬま）とは、 埼玉県 比企郡 川島町 大字鳥羽井新田にある 安永 年間に 市野川 の 洪水 でできた 河跡湖 （押堀：おっぽり）  である。","https://ja.wikipedia.org/wiki/鳥羽井沼","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","北緯36度00分18.0秒東経139度29分15.5秒","日本埼玉県比企郡川島町","0.01495km2","","河跡湖","","","","北緯36度00分18.0秒東経139度29分15.5秒﻿ / ﻿北緯36.005000度 東経139.487639度﻿ /36.005000; 139.487639座標:北緯36度00分18.0秒東経139度29分15.5秒﻿ / ﻿北緯36.005000度 東経139.487639度﻿ /36.005000; 139.487639","","約6 m","","","","","","","","",""
"原市沼","[原市沼はらいちぬま埼玉県----一級河川・利根川水系。] 原市沼 （はらいちぬま）は、 埼玉県 上尾市 原市 と 北足立郡 伊奈町 小室 の境界にある 湖沼 。","https://ja.wikipedia.org/wiki/原市沼","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","北緯35度58分29.1秒 東経139度37分30.7秒","","","","","","","","","","","","","","","","","","",""
"別所沼","[別所沼べっしょぬま埼玉県その他0.03--堰止湖。] 別所沼 （べっしょぬま）は、 埼玉県 さいたま市 南区 別所 四丁目にある 沼 である。","https://ja.wikipedia.org/wiki/別所沼","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","北緯35度51分22.9秒 東経139度38分27.1秒","日本埼玉県さいたま市南区別所4丁目","--km2","淡水","--","--km","--  m","--m","","--","-- m","-- m","--km3","","","","","","",""
"印旛沼","[印旛沼いんばぬま千葉県その他9.432.50.0277一級河川・利根川水系。河川による堰止湖。] 印旛沼 （いんばぬま）は、 千葉県 北部の 利根川 下流南岸に位置する利根川水系の 湖沼 である。 千葉県立印旛手賀自然公園 に属する。","https://ja.wikipedia.org/wiki/印旛沼","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","北緯35度48分0秒東経140度15分0秒","日本千葉県（印西市、佐倉市、成田市、八千代市、栄町）北緯35度48分0秒東経140度15分0秒﻿ / ﻿北緯35.80000度 東経140.25000度﻿ /35.80000; 140.25000﻿ (印旛沼)印旛沼-地理院地図印旛沼-Google マップ印旛沼の位置千葉県の地図を表示印旛沼 (関東地方)関東地方の地図を表示印旛沼 (日本)日本の地図を表示","9.43km2","淡水","河川による堰止湖","47.5km","灌漑期 2.5 (Y.P.)  m","2.5m","","過栄養湖","1.7 m","0.7 m","0.0277km3","","","","","","",""
"手賀沼","[手賀沼てがぬま千葉県その他4.023.80.0056一級河川・利根川水系。河川による堰止湖。] 手賀沼 （てがぬま）は、 千葉県 北部の 柏市 、 我孫子市 、 白井市 、 印西市 にまたがる 利根川 水系の 湖沼 。 湖沼水質保全特別措置法 指定湖沼。","https://ja.wikipedia.org/wiki/手賀沼","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","北緯35度51分24秒東経140度1分54秒","日本千葉県","4.02km2","淡水","河川による堰止湖","38.0km","3  m","3.8m","北緯35度51分24秒東経140度1分54秒﻿ / ﻿北緯35.85667度 東経140.03167度﻿ /35.85667; 140.03167﻿ (手賀沼)座標:北緯35度51分24秒東経140度1分54秒﻿ / ﻿北緯35.85667度 東経140.03167度﻿ /35.85667; 140.03167﻿ (手賀沼)（手賀沼）北緯35度49分51秒東経140度5分54秒﻿ / ﻿北緯35.83083度 東経140.09833度﻿ /35.83083; 140.09833﻿ (下手賀沼)（下手賀沼）","過栄養湖","0.9 m","0.5 m","0.0056km3","","","","","","",""
"古利根沼","[古利根沼ふるとねぬま千葉県・茨城県河跡---一級河川・利根川水系。利根川の河川改修により生まれた。] 古利根沼 （ふるとねぬま、Old Lake Tone）は、 千葉県 我孫子市 と 茨城県 取手市 との県境に位置する 三日月湖 である。","https://ja.wikipedia.org/wiki/古利根沼","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","","","","","","","","","","","","","","","","","","","",""
"与田浦","[与田浦よだうら千葉県海跡1.231.2-] 与田浦 （よだうら）は、 千葉県 香取市 にある 湖沼 。 利根川 の堆積作用によってできた 砂州 に取り残される形で形成されている。 一級河川 与田浦川と一体化している。","https://ja.wikipedia.org/wiki/与田浦","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","","","","","","","","","","","","","","","","","","","",""
"不忍池","[不忍池しのばずのいけ東京都海跡1.1-0.000095] 不忍池 （しのばずのいけ）は 上野恩賜公園 （ 東京都 台東区 ）の中に位置する天然の 池 である。","https://ja.wikipedia.org/wiki/不忍池","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","北緯35度42分40秒東経139度46分20秒","東京都台東区","0.11km2","","","2km","5  m","","北緯35度42分40秒東経139度46分20秒﻿ / ﻿北緯35.71111度 東経139.77222度﻿ /35.71111; 139.77222座標:北緯35度42分40秒東経139度46分20秒﻿ / ﻿北緯35.71111度 東経139.77222度﻿ /35.71111; 139.77222","","","","","","","","","","",""
"洗足池","[洗足池せんぞくいけ東京都湧水0.412.0-] 洗足池 （せんぞくいけ）は、 東京都 大田区 南千束 に存在する 池 である。","https://ja.wikipedia.org/wiki/洗足池","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","北緯35度36分6秒東経139度41分25秒","東京都大田区","0.041km2","","溜池","約1.2kmkm","","","北緯35度36分6秒東経139度41分25秒﻿ / ﻿北緯35.60167度 東経139.69028度﻿ /35.60167; 139.69028座標:北緯35度36分6秒東経139度41分25秒﻿ / ﻿北緯35.60167度 東経139.69028度﻿ /35.60167; 139.69028","","","","","","","","","","",""
"芦ノ湖","[芦ノ湖あしのこ神奈川県火山7.0343.50.13二級河川・早川水系。] 神奈川県 南西部にある県内最大の 湖 で、 早川水系 に属する 二級河川 でもある。","https://ja.wikipedia.org/wiki/芦ノ湖","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","北緯35度12分35秒東経139度00分16秒","日本神奈川県足柄下郡箱根町","7.03km2","淡水","カルデラ湖","21.1km","723  m","43.5m","北緯35度12分35秒東経139度00分16秒﻿ / ﻿北緯35.20972度 東経139.00444度﻿ /35.20972; 139.00444座標:北緯35度12分35秒東経139度00分16秒﻿ / ﻿北緯35.20972度 東経139.00444度﻿ /35.20972; 139.00444","中栄養湖","15.0 m","7 m","","","","","","","",""
"震生湖","[震生湖しんせいこ神奈川県その他0.013100.00006関東大震災で誕生した堰止湖。] 震生湖 （しんせいこ）は、 大磯丘陵 北部、 神奈川県 の 秦野市 と 中井町 にまたがる 堰止湖 。","https://ja.wikipedia.org/wiki/震生湖","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","北緯35度21分37秒東経139度12分39秒","神奈川県","0.013km2","淡水","堰止湖","1km","約155  m","10m","北緯35度21分37秒東経139度12分39秒﻿ / ﻿北緯35.36028度 東経139.21083度﻿ /35.36028; 139.21083座標:北緯35度21分37秒東経139度12分39秒﻿ / ﻿北緯35.36028度 東経139.21083度﻿ /35.36028; 139.21083","-","4 m","- m","-km3","","","","","","",""
"加茂湖","[加茂湖かもこ新潟県海跡4.858.70.025佐渡島にある汽水湖。] 加茂湖 （かもこ）は、 新潟県 佐渡市 （ 佐渡島 ）にある 汽水湖 で、 日本百景 の一つである。 新潟県 で最大の湖沼であり、また 日本 の 離島 の中でも最大の湖沼である  。","https://ja.wikipedia.org/wiki/加茂湖","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","北緯38度4分8秒 東経138度25分48秒","日本新潟県佐渡市","4.85km2","汽水","","17km","","","","","","","","","","","","","",""
"佐潟","[佐潟さかた新潟県その他0.436--砂丘湖。ラムサール条約登録湿地。] 佐潟 （さかた）とは、 新潟市 西区 赤塚 にある 砂丘湖 。 ラムサール条約 の登録 湿地 であり、 日本の重要湿地500 でもある。","https://ja.wikipedia.org/wiki/佐潟","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","北緯37度49分00秒東経138度52分30秒","日本新潟県新潟市西区","0.436km2","淡水","砂丘湖","","5  m","","北緯37度49分00秒東経138度52分30秒﻿ / ﻿北緯37.81667度 東経138.87500度﻿ /37.81667; 138.87500座標:北緯37度49分00秒東経138度52分30秒﻿ / ﻿北緯37.81667度 東経138.87500度﻿ /37.81667; 138.87500","","1 m","","","","","","","","",""
"鳥屋野潟","[鳥屋野潟とやのがた新潟県海跡1.372-一級河川・信濃川水系。] 鳥屋野潟 （とやのがた）は 新潟県 新潟市 中央区 にある 潟 。栗ノ木川に合流する 一級河川 （ 信濃川 水系）でもある。 新潟駅 から2〜3km南西に位置する。鳥屋野潟周辺の公園などに関しては 鳥屋野潟公園 を参照。","https://ja.wikipedia.org/wiki/鳥屋野潟","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","北緯37度53分20秒 東経139度3分24秒","日本新潟県新潟市中央区","1.58km2","","","","","","","","","","","","","","","","",""
"福島潟","[福島潟ふくしまがた新潟県海跡1.930.6-一級河川・阿賀野川水系。] 福島潟 （ふくしまがた）は、 新潟県 新潟市 北区 新鼻 に位置する 潟 。潟の下流は 新井郷川 と同分水路、 福島潟放水路 へとつながり、周辺部には 水の公園福島潟 が整備されている。","https://ja.wikipedia.org/wiki/福島潟","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","北緯37度54分36秒東経139度14分49秒","日本新潟県新潟市北区","2.62km2","","","","","","北緯37度54分36秒東経139度14分49秒﻿ / ﻿北緯37.91000度 東経139.24694度﻿ /37.91000; 139.24694座標:北緯37度54分36秒東経139度14分49秒﻿ / ﻿北緯37.91000度 東経139.24694度﻿ /37.91000; 139.24694","","","","","","","","","","",""
"松浜の池","[松浜の池まつはまのいけ新潟県その他0.022--オニバスの北限] 松浜の池 （まつはまのいけ）とは、 新潟市 北区 松浜にある 河口 閉塞 湖 。松浜の 沼 、 ひょうたん池 と呼称されることもある。過去には池が浅く丸い形をしていたことから輪湖（わご）と呼ばれていた。","https://ja.wikipedia.org/wiki/松浜の池","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","北緯37度57分41.8秒東経139度08分15.2秒","日本新潟県新潟市北区","0.022km2","淡水","河口閉塞湖","","T.P.+0.5  m","","北緯37度57分41.8秒東経139度08分15.2秒﻿ / ﻿北緯37.961611度 東経139.137556度﻿ /37.961611; 139.137556座標:北緯37度57分41.8秒東経139度08分15.2秒﻿ / ﻿北緯37.961611度 東経139.137556度﻿ /37.961611; 139.137556","","","","","","","","","","",""
"十二町潟","[十二町潟じゅうにちょうがた富山県海跡0.061.1-] 十二町潟オニバス発生地 （じゅうにちょうがたオニバスはっせいち）とは、 富山県 氷見市 にある 潟湖 十二町潟 水域の一角にある国の 天然記念物 に指定された オニバス の生育地である     。","https://ja.wikipedia.org/wiki/十二町潟","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","北緯36度50分19.37秒 東経136度58分12.72秒","","","","","","","","","","","","","","","","","","",""
"足洗潟","[足洗潟あしあらいかた富山県海跡--足洗潟公園。] 足洗潟 （あしあらいかた）は、 富山県 射水市 海老江練合 に位置する 池 。池の周囲は 足洗潟公園 として整備されている。","https://ja.wikipedia.org/wiki/足洗潟","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","北緯36度45分35.65秒東経137度9分54.94秒","富山県射水市海老江練合","0.01km2","淡水","海跡湖","-km","0  m","-m","北緯36度45分35.65秒東経137度9分54.94秒﻿ / ﻿北緯36.7599028度 東経137.1652611度﻿ /36.7599028; 137.1652611座標:北緯36度45分35.65秒東経137度9分54.94秒﻿ / ﻿北緯36.7599028度 東経137.1652611度﻿ /36.7599028; 137.1652611","-","- m","- m","-km3","","","","","","",""
"ミクリガ池","[ミクリガ池みくりがいけ富山県火山0.0315-立山火山の火口湖。] ミクリガ池 （ミクリガいけ）は、 富山県 中新川郡 立山町 の 標高 2,405 m に位置する 池 。平仮名で「 みくりが池 」とも表記されるが、 国土地理院 の 地形図  や当地の看板などでは片仮名で「 ミクリガ池 」と表記されている。","https://ja.wikipedia.org/wiki/ミクリガ池","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","北緯36度34分50秒東経137度35分50秒","富山県中新川郡立山町室堂","0.03km2","淡水湖","立山火山","0.631km","2,405  m","15m","北緯36度34分50秒東経137度35分50秒﻿ / ﻿北緯36.58056度 東経137.59722度﻿ /36.58056; 137.59722座標:北緯36度34分50秒東経137度35分50秒﻿ / ﻿北緯36.58056度 東経137.59722度﻿ /36.58056; 137.59722","火口湖","","","","","","","","","",""
"ミドリガ池","[ミドリガ池みどりがいけ富山県火山0.0041.60.0002立山火山の火口湖。] ミドリガ池 （ミドリガいけ）は、 富山県 中新川郡 立山町 にある 池 。平仮名で みどりが池 とも表記される。","https://ja.wikipedia.org/wiki/ミドリガ池","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","北緯36度34分48秒東経137度36分0秒","富山県中新川郡立山町室堂","","淡水湖","","","","","北緯36度34分48秒東経137度36分0秒﻿ / ﻿北緯36.58000度 東経137.60000度﻿ /36.58000; 137.60000座標:北緯36度34分48秒東経137度36分0秒﻿ / ﻿北緯36.58000度 東経137.60000度﻿ /36.58000; 137.60000","火口湖","1.6 m","1.6 m","","","","","","","",""
"リンドウ池","[リンドウ池りんどういけ富山県火山---立山火山の火口湖。] リンドウ池 （リンドウいけ）は、 富山県 中新川郡 立山町 にある 池 。平仮名で「 りんどう池 」とも表記される。","https://ja.wikipedia.org/wiki/リンドウ池","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","北緯36度34分59秒東経137度35分56秒","富山県中新川郡立山町室堂","","淡水湖","","","2,354  m","","北緯36度34分59秒東経137度35分56秒﻿ / ﻿北緯36.58306度 東経137.59889度﻿ /36.58306; 137.59889座標:北緯36度34分59秒東経137度35分56秒﻿ / ﻿北緯36.58306度 東経137.59889度﻿ /36.58306; 137.59889","火口湖","1m","","","","","","","","",""
"血の池 (富山県)","[血の池ちのいけ富山県火山---立山火山の火口湖。] 血の池 （ちのいけ）は、 富山県 中新川郡 立山町 にある 池 （湿地帯）。 立山 室堂 の火口湖群の1つ。","https://ja.wikipedia.org/wiki/血の池_(富山県)","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","北緯36度34分55秒東経137度35分55秒","富山県中新川郡立山町室堂","","淡水湖","","","","","北緯36度34分55秒東経137度35分55秒﻿ / ﻿北緯36.58194度 東経137.59861度﻿ /36.58194; 137.59861座標:北緯36度34分55秒東経137度35分55秒﻿ / ﻿北緯36.58194度 東経137.59861度﻿ /36.58194; 137.59861","火口湖","","","","","","","","","",""
"水晶池","[水晶池すいしょういけ富山県その他0.0075-] 水晶池 （すいしょういけ）は、 富山県 富山市 有峰に所在する 池 。","https://ja.wikipedia.org/wiki/水晶池","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","北緯36度25分42.66秒東経137度35分19.91秒","富山県富山市有峰","0.0075km2","淡水","堰止湖（地すべり）","0.50km","2290  m","-m","北緯36度25分42.66秒東経137度35分19.91秒﻿ / ﻿北緯36.4285167度 東経137.5888639度﻿ /36.4285167; 137.5888639座標:北緯36度25分42.66秒東経137度35分19.91秒﻿ / ﻿北緯36.4285167度 東経137.5888639度﻿ /36.4285167; 137.5888639","貧栄養湖","- m","","-km3","","","","","","",""
"竜晶池","[竜晶池りゅうしょういけ富山県その他0.005-] 竜晶池 （りゅうしょういけ）は、 富山県 富山市 の 飛騨山脈 （北アルプス）内にある 高層湿原 ・ 高天原 の北部に位置する 池 。","https://ja.wikipedia.org/wiki/竜晶池","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","北緯36度26分54.19秒東経137度34分58.95秒","富山県富山市有峰","","淡水","堰止湖 (地滑り)","0.30km","2056  m","","北緯36度26分54.19秒東経137度34分58.95秒﻿ / ﻿北緯36.4483861度 東経137.5830417度﻿ /36.4483861; 137.5830417座標:北緯36度26分54.19秒東経137度34分58.95秒﻿ / ﻿北緯36.4483861度 東経137.5830417度﻿ /36.4483861; 137.5830417","貧栄養湖","","","","","","","","","",""
"長池 (富山県)","[長池ながいけ富山県その他0.005-] 長池 （ながいけ）は、 富山県 下新川郡 朝日町 の 白馬岳 中腹に位置する 池 。面積は約0.5ha。三国境と呼ばれるピークの地滑りによる堰き止め湖とされる。","https://ja.wikipedia.org/wiki/長池_(富山県)","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","北緯36度46分26.1秒東経137度45分0.3秒","富山県下新川郡朝日町山崎","0.005km2","淡水","堰止湖 (地滑り)","","2317  m","-m","北緯36度46分26.1秒東経137度45分0.3秒﻿ / ﻿北緯36.773917度 東経137.750083度﻿ /36.773917; 137.750083座標:北緯36度46分26.1秒東経137度45分0.3秒﻿ / ﻿北緯36.773917度 東経137.750083度﻿ /36.773917; 137.750083","貧栄養湖","- m","","-km3","","","","","","",""
"祖父谷の天然ダム湖","[祖父谷の天然ダム湖じじだんのてんねんだむこ富山県その他-] 祖父谷の天然ダム湖 （じじだんのてんねんダムこ）とは 富山県 黒部市 の 黒部川 水系祖父谷上流（ 黒部峡谷 ）にある湖沼。この名称は通称で正式名称はまだ無く、 祖父谷の自然ダム湖 、 祖父谷の堰き止め湖 などの別名がある。 1995年 （ 平成 5年）の 7.11水害 による山体の崩壊によって形成された若い堰き止め湖（ 天然ダム ）であり、決壊が危惧されたが、最大湛水容量の小ささなどもあり現在においても決壊に至っていない。","https://ja.wikipedia.org/wiki/祖父谷の天然ダム湖","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","北緯36度42分17.63秒東経137度43分2.10秒","富山県黒部市","-km2","淡水","岩盤滑り","-km","1274  m","-m","北緯36度42分17.63秒東経137度43分2.10秒﻿ / ﻿北緯36.7048972度 東経137.7172500度﻿ /36.7048972; 137.7172500座標:北緯36度42分17.63秒東経137度43分2.10秒﻿ / ﻿北緯36.7048972度 東経137.7172500度﻿ /36.7048972; 137.7172500","アルカリ栄養湖","- m","","0.00075km3","","","","","","",""
"五郎池","[五郎池ごろういけ富山県氷河0.004-モレーンによる堰き止め] 五郎池 （ごろういけ）は、 富山県 富山市 に位置する 池 。面積は約0.25ha。 野口五郎岳 カール中にあるモレーン堰き止め 氷河湖 とされる。","https://ja.wikipedia.org/wiki/五郎池","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","北緯36度25分45.46秒東経137度37分38.58秒","富山県富山市有峰","0.0025km2","淡水","氷河湖 (モレーン堰止)","-km","2545  m","-m","北緯36度25分45.46秒東経137度37分38.58秒﻿ / ﻿北緯36.4292944度 東経137.6273833度﻿ /36.4292944; 137.6273833座標:北緯36度25分45.46秒東経137度37分38.58秒﻿ / ﻿北緯36.4292944度 東経137.6273833度﻿ /36.4292944; 137.6273833","貧栄養湖","- m","","-km3","","","","","","",""
"縄ヶ池","[縄ヶ池なわがいけ富山県その他0.0311-ミズバショウ自生地。] 縄ヶ池 （なわがいけ）は、 富山県 南砺市 正谷に位置する 池 。池の周囲の湿地は標高1000m以下の所では珍しいミズバショウの自生地として知られている。","https://ja.wikipedia.org/wiki/縄ヶ池","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","北緯36度28分41.17秒東経136度55分54.99秒","富山県南砺市正谷","約0.3km2","淡水","地滑り","2km","809  m","11m","北緯36度28分41.17秒東経136度55分54.99秒﻿ / ﻿北緯36.4781028度 東経136.9319417度﻿ /36.4781028; 136.9319417座標:北緯36度28分41.17秒東経136度55分54.99秒﻿ / ﻿北緯36.4781028度 東経136.9319417度﻿ /36.4781028; 136.9319417","堰止湖","- m","- m","","","","","","","",""
"猫池","[猫池ねこいけ富山県湧水---浮島あり] 猫池 （ねこいけ）は、 富山県 南砺市 に位置する 池 。周囲長は300m。山の尾根上に位置している。","https://ja.wikipedia.org/wiki/猫池","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","北緯36度26分20.01秒東経136度59分43.33秒","富山県南砺市","-km2","淡水","二重尾根+湧水","0.2km","1048  m","-m","北緯36度26分20.01秒東経136度59分43.33秒﻿ / ﻿北緯36.4388917度 東経136.9953694度﻿ /36.4388917; 136.9953694座標:北緯36度26分20.01秒東経136度59分43.33秒﻿ / ﻿北緯36.4388917度 東経136.9953694度﻿ /36.4388917; 136.9953694","-","- m","- m","-km3","","","","","","",""
"黒池","[黒池くろいけ富山県湧水---メススジゲンゴロウの自生地南端] 黒池 （くろいけ）は、 富山県 南砺市 に位置する 池 。アクセスの困難さから幻の池と言われている。","https://ja.wikipedia.org/wiki/黒池","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","北緯36度20分13.86秒東経136度48分12.55秒","富山県南砺市桂","-km2","淡水","二重尾根","-km","1323  m","-m","北緯36度20分13.86秒東経136度48分12.55秒﻿ / ﻿北緯36.3371833度 東経136.8034861度﻿ /36.3371833; 136.8034861座標:北緯36度20分13.86秒東経136度48分12.55秒﻿ / ﻿北緯36.3371833度 東経136.8034861度﻿ /36.3371833; 136.8034861","-","- m","- m","-km3","","","","","","",""
"赤倉池","[赤倉池あかくらのいけ富山県その他---地滑りによる堰き止め湖。] 赤倉池 （あかくらのいけ）とは富山県富山市 八尾町桐谷 にある湖沼。 久婦須川 が地滑りによって堰き止められて形成された。","https://ja.wikipedia.org/wiki/赤倉池","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","北緯36度31分54.0秒東経137度10分44.3秒","富山県富山市桐谷","-km2","淡水","地滑り","-km","360  m","","北緯36度31分54.0秒東経137度10分44.3秒﻿ / ﻿北緯36.531667度 東経137.178972度﻿ /36.531667; 137.178972座標:北緯36度31分54.0秒東経137度10分44.3秒﻿ / ﻿北緯36.531667度 東経137.178972度﻿ /36.531667; 137.178972","中栄養湖","- m","","","","","","","","",""
"新湯","[新湯しんゆ富山県火山-5-水温70度以上。国の天然記念物。] 新湯 （しんゆ）は、 富山県 富山市 の 立山カルデラ 内に位置する 池 。池の水は70°Cと極めて高温である。 オパール の一種である玉滴石を産し、「新湯の玉滴石産地」として国の天然記念物となっている  。","https://ja.wikipedia.org/wiki/新湯","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","北緯36度33分17.72秒東経137度34分33.15秒","富山県富山市有峰","0.0007km2","温泉","火口湖","0.05km","1619  m","5m","北緯36度33分17.72秒東経137度34分33.15秒﻿ / ﻿北緯36.5549222度 東経137.5758750度﻿ /36.5549222; 137.5758750座標:北緯36度33分17.72秒東経137度34分33.15秒﻿ / ﻿北緯36.5549222度 東経137.5758750度﻿ /36.5549222; 137.5758750","強酸性温泉","- m","〜0.1 m","","","","","","","",""
"刈込池 (富山県)","[刈込池かりこみいけ富山県火山-10立山火山の火口湖。] 刈込池 （かりこめいけ）は、 富山県 富山市 の 立山カルデラ 内に位置する 池 。火口湖とされており、立山カルデラの湖沼の中では最も水深が深い  。","https://ja.wikipedia.org/wiki/刈込池_(富山県)","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","北緯36度33分16.76秒東経137度34分12.19秒","富山県富山市有峰","","淡水","火口湖","0.36km","1620  m","10m","北緯36度33分16.76秒東経137度34分12.19秒﻿ / ﻿北緯36.5546556度 東経137.5700528度﻿ /36.5546556; 137.5700528座標:北緯36度33分16.76秒東経137度34分12.19秒﻿ / ﻿北緯36.5546556度 東経137.5700528度﻿ /36.5546556; 137.5700528","中栄養湖","- m","","","","","","","","",""
"多枝原池","[多枝原池たえだはらいけ富山県その他0.01247.4鳶山崩れによる堰き止め湖] 多枝原池 （だしはらいけ）は、 富山県 富山市 の 立山カルデラ 内に位置する 池 。鳶山崩れによって作られた堰き止め湖とされている。","https://ja.wikipedia.org/wiki/多枝原池","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","北緯36度31分58.31秒東経137度32分47.40秒","富山県富山市有峰","0.0124km2","淡水","堰止湖 (地滑り)","0.48km","1445  m","7.4m","北緯36度31分58.31秒東経137度32分47.40秒﻿ / ﻿北緯36.5328639度 東経137.5465000度﻿ /36.5328639; 137.5465000座標:北緯36度31分58.31秒東経137度32分47.40秒﻿ / ﻿北緯36.5328639度 東経137.5465000度﻿ /36.5328639; 137.5465000","中栄養湖","- m","","","","","","","","",""
"泥鰌池","[泥鰌池どじょういけ富山県その他0.01922.3鳶山崩れによる堰き止め湖] 泥鰌池 （どじょういけ）は、 富山県 中新川郡 立山町 の 立山カルデラ 内に位置する 池 。湯川谷の右岸、旧立山温泉源の直上にある立山カルデラ内で最大の面積（約1.9ha）を持つ池で、鳶山崩れによって作られた堰き止め湖とされている。","https://ja.wikipedia.org/wiki/泥鰌池","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","北緯36度33分1.80秒東経137度33分4.51秒","富山県中新川郡立山町芦峅寺","0.0192km2","淡水","堰止湖 (地滑り)","0.55km","1335  m","2.3m","北緯36度33分1.80秒東経137度33分4.51秒﻿ / ﻿北緯36.5505000度 東経137.5512528度﻿ /36.5505000; 137.5512528座標:北緯36度33分1.80秒東経137度33分4.51秒﻿ / ﻿北緯36.5505000度 東経137.5512528度﻿ /36.5505000; 137.5512528","貧栄養湖","- m","","","","","","","","",""
