"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","位置","面積","標高","外部リンク","成因","淡水・汽水","湖沼型","山系","種類","周囲長","最大水深","水面の,標高","透明度","交通","最高標高","平均水深","都道府県","人口密度"
"厳島","[宮島（広島県）] 厳島 （いつくしま）は、日本の 広島県 廿日市市 宮島町にある島。 瀬戸内海 西部、 広島湾 の北西部に位置する。通称は 宮島 （みやじま）。また 安芸の宮島 ともいう。","https://ja.wikipedia.org/wiki/厳島","新日本旅行地100選","https://ja.wikipedia.org/wiki/新日本旅行地100選","箇条書き,制限あり","北緯34度16分0秒東経132度18分0秒","日本（広島県廿日市市）","","30.39km²","","","","","","","","","","","","","535.0m","","",""
"鷲羽山","[鷲羽山（岡山県）] 鷲羽山 （わしゅうざん）は、 岡山県 倉敷市 下津井 田ノ浦にある 山 である。 児島半島 最南端付近に位置する。","https://ja.wikipedia.org/wiki/鷲羽山","新日本旅行地100選","https://ja.wikipedia.org/wiki/新日本旅行地100選","箇条書き,制限あり","北緯34度26分07.7217秒東経133度48分44.8102秒","日本岡山県倉敷市下津井田ノ浦","北緯34度26分07.7217秒東経133度48分44.8102秒﻿ / ﻿北緯34.435478250度 東経133.812447278度﻿ /34.435478250; 133.812447278座標:北緯34度26分07.7217秒東経133度48分44.8102秒﻿ / ﻿北緯34.435478250度 東経133.812447278度﻿ /34.435478250; 133.812447278","","133m","","","","","","","","","","","","","","",""
"倉敷","[倉敷（岡山県）] 倉敷 （くらしき）は、 岡山県 倉敷市 倉敷地域 にある地区である。同市の中心市街地にあたり、ほとんどが近世に 窪屋郡 倉敷村 であった地域である。狭義の倉敷、元来の倉敷の範囲にあたる。 美観地区 は、かつて当地の中枢地であった。江戸時代には、 倉敷代官所 が置かれ 陣屋町 となり、また 阿智神社 他の寺社の 門前町 、 倉敷川 の水運を利用した 川港 町 、さらに 商家町 などの側面を持ち、繁栄をした。","https://ja.wikipedia.org/wiki/倉敷","新日本旅行地100選","https://ja.wikipedia.org/wiki/新日本旅行地100選","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"足摺岬","[足摺岬（高知県）] 足摺岬 （あしずりみさき）は、 高知県 南西部 土佐清水市 に属し、 太平洋 （ フィリピン海 ）に突き出る足摺半島の先端の 岬 。 足摺宇和海国立公園 に指定されている。","https://ja.wikipedia.org/wiki/足摺岬","新日本旅行地100選","https://ja.wikipedia.org/wiki/新日本旅行地100選","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"小豆島","[小豆島（香川県）] 小豆島 （しょうどしま）は、 瀬戸内海 ・ 播磨灘 にある 島 。行政区分は 香川県 小豆郡 に属し  、 小豆島町 、 土庄町 の2町からなり、人口は2万8,764人（2016年度推計）。近年、人口が減少の一途をたどっており、2013年6月24日に隣接する 沖之島 とあわせて、 国土交通省 より「 離島振興法 」の指定を受けた。離島振興法の活用で、今後10年間の人口減少率を10%以内に抑えることを目指す  。","https://ja.wikipedia.org/wiki/小豆島","新日本旅行地100選","https://ja.wikipedia.org/wiki/新日本旅行地100選","箇条書き,制限あり","北緯34度30分49秒東経134度17分8秒","日本（香川県小豆郡）","","153.30km²","","","","","","","","","","","","","816.7m","","",""
"道後温泉","[道後温泉（愛媛県）] 道後温泉 （どうごおんせん）は、 四国 ・ 愛媛県 松山市 （旧国 伊予国 ）に湧出する 温泉 である。 日本三古湯 の一つといわれる。","https://ja.wikipedia.org/wiki/道後温泉","新日本旅行地100選","https://ja.wikipedia.org/wiki/新日本旅行地100選","箇条書き,制限あり","北緯33度51分7.2秒東経132度47分11.2秒","日本愛媛県松山市道後温泉松山駅愛媛県地図","","","","道後温泉道後温泉物語 - 道後温泉旅館協同組合","","","","","","","","","","詳しくはアクセスの項を参照のこと","","","",""
"鳴門の渦潮","[鳴門（徳島県・兵庫県）] 鳴門の渦潮 （なるとのうずしお）は、 徳島県 鳴門市 と 兵庫県 南あわじ市 の間にある 鳴門海峡 で発生する 渦潮 である。大潮の際には 渦 の直径は最大で30mに達するといわれ  、渦の大きさは世界最大級といわれる  。","https://ja.wikipedia.org/wiki/鳴門の渦潮","新日本旅行地100選","https://ja.wikipedia.org/wiki/新日本旅行地100選","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"室戸岬","[室戸岬（高知県）] 室戸岬 （むろとざき、むろとみさき）は、 高知県 室戸市 に属し、 太平洋 （ フィリピン海 ）に面する 岬 。国の 名勝 （1928年指定）、および 室戸阿南海岸国定公園 に指定されている。 .mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap} 北緯33度14分34秒 東経134度10分35秒 ﻿ / ﻿ 北緯33.24278度 東経134.17639度 ﻿ / 33.24278; 134.17639 ﻿ ( 室戸岬 ) 座標 : 北緯33度14分34秒 東経134度10分35秒 ﻿ / ﻿ 北緯33.24278度 東経134.17639度 ﻿ / 33.24278; 134.17639 ﻿ ( 室戸岬 ) 。 波乗り ( サーフィン )の名所でもある。","https://ja.wikipedia.org/wiki/室戸岬","新日本旅行地100選","https://ja.wikipedia.org/wiki/新日本旅行地100選","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"栗林公園","[栗林公園（香川県）] 栗林公園 （りつりんこうえん）は、 香川県 高松市 に所在し、国の 特別名勝 に指定された回遊式 大名庭園 （ 日本庭園 ）である   。県立の 都市公園 （ 歴史公園 ）として運営されている  。","https://ja.wikipedia.org/wiki/栗林公園","新日本旅行地100選","https://ja.wikipedia.org/wiki/新日本旅行地100選","箇条書き,制限あり","北緯34度19分49.2秒東経134度2分39.85秒","日本香川県高松市栗林町","","75ha（紫雲山を含む）16ha（平庭部）","","","","","","","","","","","","","","","",""
"屋島","[屋島（香川県）] 屋島 （やしま、 旧字体 ： 屋嶋 ）は、 日本 の 四国 北東部の、 香川県 高松市 の東北に位置する、硬質の溶岩に覆われた平坦面が侵食された残丘。南北に長い 台地 状の地形  。","https://ja.wikipedia.org/wiki/屋島","新日本旅行地100選","https://ja.wikipedia.org/wiki/新日本旅行地100選","箇条書き,制限あり","北緯34度21分21秒東経134度6分17秒","香川県高松市","北緯34度21分21秒東経134度6分17秒﻿ / ﻿北緯34.35583度 東経134.10472度﻿ /34.35583; 134.10472﻿ (屋島)座標:北緯34度21分21秒東経134度6分17秒﻿ / ﻿北緯34.35583度 東経134.10472度﻿ /34.35583; 134.10472﻿ (屋島)","","南嶺 292m","","","","","独立峰","台地の地形（メサ型溶岩台地）","","","","","","","","",""
"阿蘇","[阿蘇（熊本県）] 阿蘇 （あそ）","https://ja.wikipedia.org/wiki/阿蘇","新日本旅行地100選","https://ja.wikipedia.org/wiki/新日本旅行地100選","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"青島 (宮崎県)","[青島（宮崎県）] 青島 （あおしま）は、 宮崎県 宮崎市 の南東部海岸付近にある周囲860m、面積約4.4 ha 、高さ約6mの 島 。 陸繋島 になりつつある。対岸は 青島海岸 と呼ばれ、 青島海水浴場 などを含む一大観光地になっている。青島と青島海岸とは弥生橋によって結ばれている。","https://ja.wikipedia.org/wiki/青島_(宮崎県)","新日本旅行地100選","https://ja.wikipedia.org/wiki/新日本旅行地100選","箇条書き,制限あり","北緯31度48分18.8秒東経131度28分33.2秒","日本宮崎県","","0.044km²","","","","","","","","","","","","","6m","","",""
"雲仙温泉","[雲仙温泉（長崎県）] 雲仙温泉 （うんぜんおんせん）は、 長崎県 雲仙市 小浜町雲仙（旧国 肥前国 ）にある、 キリシタン 殉教悲史の舞台で世界的に有名な 温泉 。日本初の 国立公園 （ 雲仙天草国立公園 ）に指定された温泉保養地である。","https://ja.wikipedia.org/wiki/雲仙温泉","新日本旅行地100選","https://ja.wikipedia.org/wiki/新日本旅行地100選","箇条書き,制限あり","","長崎県雲仙市小浜町雲仙","","","","雲仙温泉観光協会","","","","","","","","","","車 :長崎自動車道諫早ICより車で60分鉄道 :長崎本線諫早駅よりバスで70分飛行機 :長崎空港よりバスで100分","","","",""
"指宿温泉","[指宿温泉（鹿児島県）] 指宿温泉 （いぶすきおんせん）は、 鹿児島県 指宿市 東部（旧国 薩摩国 ）にある 摺ヶ浜温泉 （ 砂蒸し で有名）、 弥次ヶ湯温泉 、 二月田温泉 などの 温泉 群の総称。鹿児島県内有数の観光地であり、2003年（ 平成 15年）において年間285万人の観光客が訪れ、91万人の宿泊客を集めている。農業や養殖などへの温泉利用も盛んであり、温泉の9割が産業利用されていた時期もあった。また、1960年頃から始まったハネムーンブームの中、「東洋のハワイ」と呼ばれた指宿温泉は、そのメッカとして賑わった。","https://ja.wikipedia.org/wiki/指宿温泉","新日本旅行地100選","https://ja.wikipedia.org/wiki/新日本旅行地100選","箇条書き,制限あり","北緯31度13分23.4秒東経130度39分18.2秒","鹿児島県指宿市東部","","","","指宿市観光協会","","","","","","","","","","JR鹿児島中央駅から指宿枕崎線で約1時間。鹿児島空港から直行バスで約1時間35分","","","",""
"長崎市","[長崎（長崎県）] 〒 850-8685 長崎県長崎市桜町2番22号 .mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap} 北緯32度45分1.2秒 東経129度52分40.3秒 ﻿ / ﻿ 北緯32.750333度 東経129.877861度 ﻿ / 32.750333; 129.877861 ﻿ ( 長崎市 ) 座標 : 北緯32度45分1.2秒 東経129度52分40.3秒 ﻿ / ﻿ 北緯32.750333度 東経129.877861度 ﻿ / 32.750333; 129.877861 ﻿ ( 長崎市 )","https://ja.wikipedia.org/wiki/長崎市","新日本旅行地100選","https://ja.wikipedia.org/wiki/新日本旅行地100選","箇条書き,制限あり","北緯32度45分1.2秒東経129度52分40.3秒","〒850-8685長崎県長崎市桜町2番22号北緯32度45分1.2秒東経129度52分40.3秒﻿ / ﻿北緯32.750333度 東経129.877861度﻿ /32.750333; 129.877861﻿ (長崎市)座標:北緯32度45分1.2秒東経129度52分40.3秒﻿ / ﻿北緯32.750333度 東経129.877861度﻿ /32.750333; 129.877861﻿ (長崎市)市庁舎位置","","405.86km2","","公式ウェブサイト","","","","","","","","","","","","","長崎県","992人/km2"
"えびの高原","[えびの高原（宮崎県）] えびの高原 （えびのこうげん）は、 九州 南部に連なる 霧島山 の 韓国岳 、蝦野岳、 白鳥山 、 甑岳 に囲まれた盆地状の 高原 である。","https://ja.wikipedia.org/wiki/えびの高原","新日本旅行地100選","https://ja.wikipedia.org/wiki/新日本旅行地100選","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"桜島","[桜島（鹿児島県）] 桜島 （さくらじま）は、 日本 の 九州 南部、 鹿児島県 の 鹿児島湾 （錦江湾）にある東西約12km、南北約10 km、周囲約55 km、面積約77km 2  の 火山 。かつては 島 であったが、 1914年 （ 大正 3年）の噴火により、 鹿児島市 の対岸の 大隅半島 と 陸続き になった         。","https://ja.wikipedia.org/wiki/桜島","新日本旅行地100選","https://ja.wikipedia.org/wiki/新日本旅行地100選","箇条書き,制限あり","北緯31度35分19秒東経130度39分17秒","日本鹿児島県鹿児島市","北緯31度35分19秒東経130度39分17秒﻿ / ﻿北緯31.58861度 東経130.65472度﻿ /31.58861; 130.65472﻿ (桜島)座標:北緯31度35分19秒東経130度39分17秒﻿ / ﻿北緯31.58861度 東経130.65472度﻿ /31.58861; 130.65472﻿ (桜島)","","1,117m","","","","","独立峰","成層火山（活火山ランクA）","","","","","","","","",""
"都井岬","[都井岬（宮崎県）] 都井岬 （といのみさき・といみさき）は、 宮崎県 串間市 大納に属し、 太平洋 に面する 岬 。 志布志湾 の東端かつ 日向灘 の南端。","https://ja.wikipedia.org/wiki/都井岬","新日本旅行地100選","https://ja.wikipedia.org/wiki/新日本旅行地100選","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"奄美大島","[奄美大島（鹿児島県）] 奄美大島 （あまみおおしま）は、 九州 南方海上、 鹿児島市 と 沖縄本島 のほぼ中間に位置する、 鹿児島県 奄美群島 の主要な 島 で、他の島と混同されない場合には単に大島（おおしま 奄美方言 で うしま ）ともいう。また、 奄美群島 内の他の島々との対比で大島本島と表現される場合もある。ウミガメが産卵に訪れる砂浜、' アマミブルー とも称される透明度の高い青い海や、 恐竜 の森のようなイメージの 原生林 が広がっており、 大島海峡 沿岸、 ホノホシ海岸 などの周辺海域や 湯湾岳 などの山地は 奄美群島国立公園 の一部となっており、 徳之島 、 沖縄県 の 西表島 、 沖縄島 北部と共に 世界自然遺産 候補地として登録が推薦されている。気候については島の中央部の名瀬に 測候所 がある 奄美市 を参照。 特に南部の自然は豊かで、希少な生物も多種見られる他、養殖 クロマグロ の出荷日本一の 瀬戸内町 では、本 マグロや、 リュウキュウイノシシ の 料理 なども賞味できる。","https://ja.wikipedia.org/wiki/奄美大島","新日本旅行地100選","https://ja.wikipedia.org/wiki/新日本旅行地100選","箇条書き,制限あり","北緯28度19分35秒東経129度22分28秒","日本・鹿児島県","","712.35km²","","","","","","","","","","","","","694m","","",""
"佐多岬","[佐多岬（鹿児島県）] 座標 : .mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap} 北緯30度59分42秒 東経130度39分42秒 ﻿ / ﻿ 北緯30.99500度 東経130.66167度 ﻿ / 30.99500; 130.66167","https://ja.wikipedia.org/wiki/佐多岬","新日本旅行地100選","https://ja.wikipedia.org/wiki/新日本旅行地100選","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
