"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所属路線","キロ程","所属事業者","開業年月日","駅構造","ホーム","所在地","備考","電報略号","乗車人員,-統計年度-","駅番号","乗降人員,-統計年度-","乗換","乗降人員,-統計年次-","種別","起終点","駅数","開業","所有者"
"男鹿駅","男鹿駅（おがえき）","https://ja.wikipedia.org/wiki/男鹿駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯39度53分6.2秒東経139度50分55.1秒","■男鹿線","26.4 km（追分起点）秋田から39.4 km","東日本旅客鉄道（JR東日本）","1916年（大正5年）12月16日","地上駅","1面2線","秋田県男鹿市船川港船川字新浜町1北緯39度53分6.2秒東経139度50分55.1秒﻿ / ﻿北緯39.885056度 東経139.848639度﻿ /39.885056; 139.848639座標:北緯39度53分6.2秒東経139度50分55.1秒﻿ / ﻿北緯39.885056度 東経139.848639度﻿ /39.885056; 139.848639","業務委託駅*1968年に船川駅から改称。","オカフカ（改称前）","352人/日（降車客含まず）-2019年-","","","","","","","","",""
"小垣江駅","小垣江駅（おがきええき）","https://ja.wikipedia.org/wiki/小垣江駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯34度57分49.3秒東経136度59分43.2秒","三河線","29.4km（猿投起点）知立から8.1 km","名古屋鉄道","1914年（大正3年）2月5日","地上駅","1面2線","愛知県刈谷市小垣江町下半ノ木20-3北緯34度57分49.3秒東経136度59分43.2秒﻿ / ﻿北緯34.963694度 東経136.995333度﻿ /34.963694; 136.995333座標:北緯34度57分49.3秒東経136度59分43.2秒﻿ / ﻿北緯34.963694度 東経136.995333度﻿ /34.963694; 136.995333","無人駅（駅集中管理システム導入駅）","","","MU  04 ","3,846人/日-2019年-","","","","","","",""
"岡崎駅","岡崎駅（おかざきえき）","https://ja.wikipedia.org/wiki/岡崎駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯34度55分32.199秒東経137度9分26.334秒","CA東海道本線（名古屋地区）","325.9 km（東京起点）","東海旅客鉄道（JR東海）愛知環状鉄道（愛環）","1888年（明治21年）9月1日[1]","地上駅（橋上駅）","3面5線","愛知県岡崎市羽根町字東荒子北緯34度55分32.199秒東経137度9分26.334秒﻿ / ﻿北緯34.92561083度 東経137.15731500度﻿ /34.92561083; 137.15731500座標:北緯34度55分32.199秒東経137度9分26.334秒﻿ / ﻿北緯34.92561083度 東経137.15731500度﻿ /34.92561083; 137.15731500","共同使用駅（JR東海の管轄駅）JR東海：駅長配置駅（管理駅）JR東海：JR全線きっぷうりば有","オカ←ヲカ","（JR東海）18,555人/日（降車客含まず）-2019年-","CA  52 ","（愛環）11,043人/日-2019年-","","","","","","",""
"岡崎公園前駅","岡崎公園前駅（おかざきこうえんまええき）","https://ja.wikipedia.org/wiki/岡崎公園前駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯34度57分18秒東経137度9分11.3秒","名古屋本線","31.1 km（豊橋起点）","名古屋鉄道","1926年（大正15年）4月1日","高架駅","2面2線","愛知県岡崎市中岡崎町15-2北緯34度57分18秒東経137度9分11.3秒﻿ / ﻿北緯34.95500度 東経137.153139度﻿ /34.95500; 137.153139座標:北緯34度57分18秒東経137度9分11.3秒﻿ / ﻿北緯34.95500度 東経137.153139度﻿ /34.95500; 137.153139","*1936年、西岡崎駅から改称","","","NH  14 ","4,970人/日-2019年[1]-","■愛知環状鉄道線（中岡崎駅）","","","","","",""
"岡崎前駅","岡崎前駅（おかざきまええき）","https://ja.wikipedia.org/wiki/岡崎前駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯34度12分12.77秒東経135度13分30.38秒","貴志川線","5.4 km（和歌山起点）","和歌山電鐵","1916年（大正5年）2月15日","地上駅","1面2線","和歌山県和歌山市朝日北緯34度12分12.77秒東経135度13分30.38秒座標:北緯34度12分12.77秒 東経135度13分30.38秒","無人駅","オマ","","○07","922人/日-2019年-","","","","","","",""
"岡地駅 (天竜浜名湖鉄道)","岡地駅（おかじえき）","https://ja.wikipedia.org/wiki/岡地駅_(天竜浜名湖鉄道)","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯34度48分44秒東経137度39分56秒","天竜浜名湖線","43.5 km（掛川起点）","天竜浜名湖鉄道","1987年（昭和62年）3月15日","地上駅","1面1線","浜松市北区細江町中川4672-3北緯34度48分44秒東経137度39分56秒﻿ / ﻿北緯34.81222度 東経137.66556度﻿ /34.81222; 137.66556座標:北緯34度48分44秒東経137度39分56秒﻿ / ﻿北緯34.81222度 東経137.66556度﻿ /34.81222; 137.66556","* 2015年3月14日、気賀高校前駅から改称。** 1日当たりの乗車人員は、年間の乗車人員を日数で除することにより算出した。","","24人/日（降車客含まず）-2016年-","","50人/日-2016年-","","","","","","",""
"笑内駅","笑内駅（おかしないえき）","https://ja.wikipedia.org/wiki/笑内駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯39度56分6.50秒東経140度24分47.08秒","■秋田内陸線[1]","40.9 km（鷹巣起点）","秋田内陸縦貫鉄道[1]","1963年（昭和38年）10月15日","地上駅","1面1線","秋田県北秋田市阿仁笑内字笑内北緯39度56分6.50秒東経140度24分47.08秒﻿ / ﻿北緯39.9351389度 東経140.4130778度﻿ /39.9351389; 140.4130778座標:北緯39度56分6.50秒東経140度24分47.08秒﻿ / ﻿北緯39.9351389度 東経140.4130778度﻿ /39.9351389; 140.4130778","無人駅","カシ","","","6人/日-2018年-","","","","","","",""
"苧ヶ瀬駅","苧ヶ瀬駅（おがせえき）","https://ja.wikipedia.org/wiki/苧ヶ瀬駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","","各務原線","14.6 km（名鉄岐阜起点）","名古屋鉄道","1927年（昭和2年）9月20日","地上駅","2面2線","","無人駅管理駅：名鉄岐阜","","","KG  03 ","838人/日-2019年-","","","","","","",""
"岡田駅 (愛媛県)","岡田駅 (愛媛県)（おかだえき・伊予鉄道郡中線）","https://ja.wikipedia.org/wiki/岡田駅_(愛媛県)","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯33度47分56.77秒東経132度43分26.94秒","郡中線","5.6 km（松山市起点）","伊予鉄道","1910年7月18日","地上駅","2面2線","愛媛県伊予郡松前町昌農内北緯33度47分56.77秒東経132度43分26.94秒﻿ / ﻿北緯33.7991028度 東経132.7241500度﻿ /33.7991028; 132.7241500﻿ (岡田駅)","","","","●IY29","970人/日-2019年-","","","","","","",""
"岡田駅 (香川県)","岡田駅 (香川県)（おかだえき・高松琴平電気鉄道琴平線）","https://ja.wikipedia.org/wiki/岡田駅_(香川県)","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯34度13分15秒東経133度51分39.2秒","■琴平線","27.2 km（高松築港起点）","高松琴平電気鉄道","1927年（昭和2年）3月15日","地上駅","島式1面2線","香川県丸亀市綾歌町岡田下字西小椎尾北緯34度13分15秒東経133度51分39.2秒﻿ / ﻿北緯34.22083度 東経133.860889度﻿ /34.22083; 133.860889座標:北緯34度13分15秒東経133度51分39.2秒﻿ / ﻿北緯34.22083度 東経133.860889度﻿ /34.22083; 133.860889","途中下車指定駅","","254人/日（降車客含まず）-2018年-"," K18 ","","","","","","","",""
"緒方駅","緒方駅（おがたえき・九州旅客鉄道豊肥本線）","https://ja.wikipedia.org/wiki/緒方駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯32度58分16.45秒東経131度28分35.96秒","■豊肥本線","47.5 km（大分起点）","九州旅客鉄道（JR九州）","1922年（大正11年）11月23日[2]","地上駅","2面2線[1]","大分県豊後大野市緒方町馬場[1]北緯32度58分16.45秒東経131度28分35.96秒","無人駅[3][4]","オタ←ヲタ","205人/日（降車客含まず）-2015年-","","411人/日-2015年-","","","","","","",""
"岡田浦駅","岡田浦駅（おかだうらえき）","https://ja.wikipedia.org/wiki/岡田浦駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯34度23分5.53秒東経135度16分38.85秒","■南海本線","38.8 km（難波起点）","南海電気鉄道","1915年（大正4年）11月1日","地上駅","2面2線","大阪府泉南市岡田五丁目24番3号北緯34度23分5.53秒東経135度16分38.85秒﻿ / ﻿北緯34.3848694度 東経135.2774583度﻿ /34.3848694; 135.2774583座標:北緯34度23分5.53秒東経135度16分38.85秒﻿ / ﻿北緯34.3848694度 東経135.2774583度﻿ /34.3848694; 135.2774583","","オカ","","NK 35","","","2,478人/日-2019年-","","","","",""
"御徒町駅","御徒町駅（おかちまちえき）","https://ja.wikipedia.org/wiki/御徒町駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯35度42分26.7秒東経139度46分28.7秒","■京浜東北線*","3.0 km（東京起点）大宮から27.3 km","東日本旅客鉄道（JR東日本）","1925年（大正14年）11月1日","高架駅","2面4線","東京都台東区上野五丁目27北緯35度42分26.7秒東経139度46分28.7秒﻿ / ﻿北緯35.707417度 東経139.774639度﻿ /35.707417; 139.774639座標:北緯35度42分26.7秒東経139度46分28.7秒﻿ / ﻿北緯35.707417度 東経139.774639度﻿ /35.707417; 139.774639","業務委託駅[1]みどりの窓口有東京山手線内・東京都区内駅","オチ←ヲチ","69,666人/日（降車客含まず）-2019年-","JK29","","G15上野広小路駅（東京メトロ銀座線）H17仲御徒町駅（東京メトロ日比谷線）E09上野御徒町駅（都営地下鉄大江戸線）","","","","","",""
"岡寺駅","岡寺駅（おかでらえき）","https://ja.wikipedia.org/wiki/岡寺駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯34度28分27.32秒東経135度47分45.92秒","F吉野線","1.1km（橿原神宮前起点）大阪阿部野橋から40.8 km","近畿日本鉄道（近鉄）","1923年（大正12年）12月5日","地上駅","2面2線","奈良県橿原市見瀬町590北緯34度28分27.32秒東経135度47分45.92秒﻿ / ﻿北緯34.4742556度 東経135.7960889度﻿ /34.4742556; 135.7960889座標:北緯34度28分27.32秒東経135度47分45.92秒﻿ / ﻿北緯34.4742556度 東経135.7960889度﻿ /34.4742556; 135.7960889","無人駅","オカ","909人/日（降車客含まず）-2018年-"," F43 ","","","","","","","",""
"おかどめ幸福駅","おかどめ幸福駅（おかどめこうふくえき）","https://ja.wikipedia.org/wiki/おかどめ幸福駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯32度13分52.9秒東経130度52分30.2秒","■湯前線","13.0 km（人吉温泉駅起点）","くま川鉄道","1989年（平成元年）10月1日","地上駅","1面1線","熊本県球磨郡あさぎり町免田北緯32度13分52.9秒東経130度52分30.2秒﻿ / ﻿北緯32.231361度 東経130.875056度﻿ /32.231361; 130.875056﻿ (おかどめ幸福駅)座標:北緯32度13分52.9秒東経130度52分30.2秒﻿ / ﻿北緯32.231361度 東経130.875056度﻿ /32.231361; 130.875056﻿ (おかどめ幸福駅)","無人駅","","","","158人/日-2018年-","","","","","","",""
"岡場駅","岡場駅（おかばえき）","https://ja.wikipedia.org/wiki/岡場駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","","三田線","3.3km（有馬口起点）湊川から23.3km新開地から23.7 km","神戸電鉄","1928年（昭和3年）12月18日[1]","高架駅[1]","2面4線[1]","","","","6,074人/日（降車客含まず）-2019年-","○KB22","9,396[2]人/日-2019年-","","","","","","",""
"岡花駅","岡花駅（おかばなえき）","https://ja.wikipedia.org/wiki/岡花駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯33度31分47.64秒東経133度21分3.59秒","■土讃線","145.7 km（多度津起点）","四国旅客鉄道（JR四国）","1960年（昭和35年）8月20日","地上駅","1面1線","高知県高岡郡日高村本郷北緯33度31分47.64秒東経133度21分3.59秒","無人駅","オハ","","○K10","126人/日-2018年-","","","","","","",""
"岡部駅","岡部駅（おかべえき）","https://ja.wikipedia.org/wiki/岡部駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯36度12分21.13秒東経139度14分15.5秒","■高崎線","50.1 km（大宮起点）東京から尾久経由で80.6 km","東日本旅客鉄道（JR東日本）日本貨物鉄道（JR貨物）","1909年（明治42年）12月16日[1]","地上駅","2面4線[1]","埼玉県深谷市岡2661-3北緯36度12分21.13秒東経139度14分15.5秒﻿ / ﻿北緯36.2058694度 東経139.237639度﻿ /36.2058694; 139.237639﻿ (岡部駅)","業務委託駅","カヘ","3,183人/日（降車客含まず）-2019年-","","","","","","","","",""
"岡町駅","岡町駅（おかまちえき）","https://ja.wikipedia.org/wiki/岡町駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯34度46分44.62秒東経135度27分54.17秒","■宝塚本線","9.5 km（大阪梅田起点）","阪急電鉄","1910年（明治43年）3月10日","高架駅[2]","1面2線[2]","大阪府豊中市中桜塚一丁目1番1号[1]北緯34度46分44.62秒東経135度27分54.17秒﻿ / ﻿北緯34.7790611度 東経135.4650472度﻿ /34.7790611; 135.4650472座標:北緯34度46分44.62秒東経135度27分54.17秒﻿ / ﻿北緯34.7790611度 東経135.4650472度﻿ /34.7790611; 135.4650472","","","","○HK-45","（特定日）18,673人/日-2016年-","","（通年平均）16,773人/日-2017年-","","","","",""
"岡見駅","岡見駅（おかみえき）","https://ja.wikipedia.org/wiki/岡見駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯34度46分18.46秒東経131度54分47.57秒","D山陰本線","497.6 km（京都起点）","西日本旅客鉄道（JR西日本）","1926年（大正15年）4月1日","高架駅（盛土上）","1面2線","島根県浜田市三隅町岡見2110北緯34度46分18.46秒東経131度54分47.57秒﻿ / ﻿北緯34.7717944度 東経131.9132139度﻿ /34.7717944; 131.9132139﻿ (岡見駅)","無人駅","オミ","31人/日（降車客含まず）-2018年-","","","","","","","","",""
"岡本駅 (栃木県)","岡本駅 (栃木県)（おかもとえき・東日本旅客鉄道東北本線）","https://ja.wikipedia.org/wiki/岡本駅_(栃木県)","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯36度35分53.65秒東経139度56分40.21秒","■東北本線（宇都宮線）（■烏山線直通含む）","115.7km（東京起点）東京から尾久経由で115.9 km","東日本旅客鉄道（JR東日本）","1897年（明治30年）2月25日","地上駅（橋上駅）","2面4線（実質2面2線）","栃木県宇都宮市下岡本町1986北緯36度35分53.65秒東経139度56分40.21秒﻿ / ﻿北緯36.5982361度 東経139.9445028度﻿ /36.5982361; 139.9445028座標:北緯36度35分53.65秒東経139度56分40.21秒﻿ / ﻿北緯36.5982361度 東経139.9445028度﻿ /36.5982361; 139.9445028","業務委託駅","オカ←ヲカ","2,704人/日（降車客含まず）-2019年-","","","","","","","","",""
"岡本駅 (兵庫県)","岡本駅 (兵庫県)（おかもとえき・阪急神戸本線）","https://ja.wikipedia.org/wiki/岡本駅_(兵庫県)","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯34度43分44.78秒東経135度16分32.63秒","■神戸本線","23.4 km（大阪梅田起点）","阪急電鉄","1920年（大正9年）7月16日","地上駅[2]","2面2線[2]","神戸市東灘区岡本五丁目1番1号[1][2]北緯34度43分44.78秒東経135度16分32.63秒﻿ / ﻿北緯34.7291056度 東経135.2757306度﻿ /34.7291056; 135.2757306﻿ (岡本駅)座標:北緯34度43分44.78秒東経135度16分32.63秒﻿ / ﻿北緯34.7291056度 東経135.2757306度﻿ /34.7291056; 135.2757306﻿ (岡本駅)","","","19,899人/日（降車客含まず）-2019年-","HK11","","","（通年平均）28,105人/日-2019年-","","","","",""
"岡本駅 (香川県)","岡本駅 (香川県)（おかもとえき・高松琴平電気鉄道琴平線）","https://ja.wikipedia.org/wiki/岡本駅_(香川県)","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","","■琴平線","13.8 km（高松築港起点）","高松琴平電気鉄道","1926年（大正15年）12月21日","地上駅","相対式2面2線","","無人駅","",""," K10 ","851人/日-2018年-","","","","","","",""
"岡谷駅","岡谷駅（おかやえき）","https://ja.wikipedia.org/wiki/岡谷駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯36度3分24.28秒東経138度2分40.62秒","■中央本線（本線）","210.4 km（東京起点）","東日本旅客鉄道（JR東日本）","1905年（明治38年）11月25日[1]","地上駅","2面4線[1]","長野県岡谷市本町一丁目[1]北緯36度3分24.28秒東経138度2分40.62秒﻿ / ﻿北緯36.0567444度 東経138.0446167度﻿ /36.0567444; 138.0446167座標:北緯36度3分24.28秒東経138度2分40.62秒﻿ / ﻿北緯36.0567444度 東経138.0446167度﻿ /36.0567444; 138.0446167","直営駅（管理駅）話せる指定席券売機設置駅[2]標高：766.2m[1]","カヤ[1]","3,106人/日（降車客含まず）-2019年-","","","","","","","","",""
"岡山駅","岡山駅（おかやまえき）","https://ja.wikipedia.org/wiki/岡山駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","","","","西日本旅客鉄道（JR西日本・駅詳細）岡山電気軌道（駅詳細）","","","","岡山市北区","","","","","","","","","","","",""
"岡山駅","岡山駅前駅（おかやまえきまええき）","https://ja.wikipedia.org/wiki/岡山駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","","","","西日本旅客鉄道（JR西日本・駅詳細）岡山電気軌道（駅詳細）","","","","岡山市北区","","","","","","","","","","","",""
"岡山貨物ターミナル駅","岡山貨物ターミナル駅（おかやまかもつターミナルえき）","https://ja.wikipedia.org/wiki/岡山貨物ターミナル駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯34度39分24.75秒東経133度53分54.45秒","W山陽本線","145.9 km（神戸起点）","日本貨物鉄道（JR貨物）","1969年（昭和44年）10月1日","地上駅","","岡山市北区野田四丁目1-90北緯34度39分24.75秒東経133度53分54.45秒﻿ / ﻿北緯34.6568750度 東経133.8984583度﻿ /34.6568750; 133.8984583座標:北緯34度39分24.75秒東経133度53分54.45秒﻿ / ﻿北緯34.6568750度 東経133.8984583度﻿ /34.6568750; 133.8984583","貨物専用駅","オタ","","","","","","","","","",""
"緒川駅","緒川駅（おがわえき・東海旅客鉄道武豊線）","https://ja.wikipedia.org/wiki/緒川駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","","CE武豊線","3.1 km（大府起点）","東海旅客鉄道（JR東海）","1900年（明治33年）3月1日","高架駅","2面2線","","駅員無配置駅（集中旅客サービスシステム導入駅）","オワ←ヲワ","1,896人/日（降車客含まず）-2019年-","CE  02 ","","","","","","","",""
"小川駅 (東京都)","小川駅 (東京都)（おがわえき・西武国分寺線）","https://ja.wikipedia.org/wiki/小川駅_(東京都)","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯35度44分15秒東経139度27分48.7秒","■国分寺線","5.1 km（国分寺起点）","西武鉄道","1894年（明治27年）12月21日","地上駅（橋上駅）","2面4線","東京都小平市小川東町一丁目20-1北緯35度44分15秒東経139度27分48.7秒﻿ / ﻿北緯35.73750度 東経139.463528度﻿ /35.73750; 139.463528﻿ (小川駅)座標:北緯35度44分15秒東経139度27分48.7秒﻿ / ﻿北緯35.73750度 東経139.463528度﻿ /35.73750; 139.463528﻿ (小川駅)","","","","SK04","29,859人/日-2019年-","","","","","","",""
"小川駅 (熊本県)","小川駅 (熊本県)（おがわえき・九州旅客鉄道鹿児島本線）","https://ja.wikipedia.org/wiki/小川駅_(熊本県)","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯32度36分3.52秒東経130度41分39.62秒","■鹿児島本線","218.5 km（門司港起点）","九州旅客鉄道（JR九州）","1896年（明治29年）11月21日[1]","地上駅","2面2線[1]","熊本県宇城市小川町川尻332-2[1][2]北緯32度36分3.52秒東経130度41分39.62秒﻿ / ﻿北緯32.6009778度 東経130.6943389度﻿ /32.6009778; 130.6943389﻿ (小川駅)","業務委託駅[2]","オワ","1,163人/日（降車客含まず）-2019年-","","","","","","","","",""
"小川郷駅","小川郷駅（おがわごうえき）","https://ja.wikipedia.org/wiki/小川郷駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","","■磐越東線","10.3 km（いわき起点）","東日本旅客鉄道（JR東日本）","1915年（大正4年）7月10日[1]","地上駅","1面2線[1]","","無人駅[1]（乗車駅証明書発行機 有）","ワコ","268人/日（降車客含まず）-2004年-","","","","","","","","",""
"小川町駅 (埼玉県)","小川町駅 (埼玉県)（おがわまちえき・東日本旅客鉄道八高線・東武東上線）","https://ja.wikipedia.org/wiki/小川町駅_(埼玉県)","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯36度03分32秒東経139度15分39秒","■東上本線（東武）","64.1 km（池袋起点）","東武鉄道（東武）東日本旅客鉄道（JR東日本）","1923年（大正12年）11月5日（東武）1934年（昭和9年）3月24日（JR）[1]","地上駅","2面4線（東武）1面2線（JR東日本）[1]","埼玉県比企郡小川町大字大塚1146北緯36度03分32秒東経139度15分39秒﻿ / ﻿北緯36.058903度 東経139.26079度﻿ /36.058903; 139.26079座標:北緯36度03分32秒東経139度15分39秒﻿ / ﻿北緯36.058903度 東経139.26079度﻿ /36.058903; 139.26079","共同使用駅（東武の管轄駅）[1]","オカマ（東武）カマ（JR東日本）←ヲカマ","（JR東日本）-2019年-599人/日（降車客含まず）","TJ33","（東武）-2019年-9,449人/日","","","","","","",""
"小川町駅 (東京都)","小川町駅 (東京都)（おがわまちえき・都営地下鉄新宿線）","https://ja.wikipedia.org/wiki/小川町駅_(東京都)","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","","●[1]新宿線","6.5 km（新宿起点）","東京都交通局（都営地下鉄）","1980年（昭和55年）3月16日","地下駅","1面2線","","","川（駅名略称）","","S07[1]","74,725人/日-2019年-","M19[1]淡路町駅（丸ノ内線）C12[1]新御茶ノ水駅（千代田線）","","","","","",""
"小城駅","小城駅（おぎえき）","https://ja.wikipedia.org/wiki/小城駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯33度17分8.7秒東経130度11分55.24秒","■唐津線","5.1 km（久保田起点）","九州旅客鉄道（JR九州）","1903年（明治36年）12月14日[1]","地上駅","2面2線","佐賀県小城市三日月町久米2083北緯33度17分8.7秒東経130度11分55.24秒座標:北緯33度17分8.7秒 東経130度11分55.24秒","業務委託駅[1]（朝夕除き駅員配置なし）","オキ","1,050人/日（降車客含まず）-2019年-","","","","","","","","",""
"荻川駅","荻川駅（おぎかわえき）","https://ja.wikipedia.org/wiki/荻川駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯37度50分0秒東経139度6分41.2秒","■信越本線（■磐越西線直通含む）","124.9 km（直江津起点）","東日本旅客鉄道（JR東日本）","1926年（大正15年）11月20日*[1]","地上駅（橋上駅）[1]","2面2線[1]","新潟市秋葉区中野[1]三丁目5-1北緯37度50分0秒東経139度6分41.2秒﻿ / ﻿北緯37.83333度 東経139.111444度﻿ /37.83333; 139.111444座標:北緯37度50分0秒東経139度6分41.2秒﻿ / ﻿北緯37.83333度 東経139.111444度﻿ /37.83333; 139.111444","業務委託駅みどりの窓口有[1]","オキ←ヲキ","1,943人/日（降車客含まず）-2019年-","","","","","","","","",""
"荻窪駅","荻窪駅（おぎくぼえき）","https://ja.wikipedia.org/wiki/荻窪駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","","","","東日本旅客鉄道（JR東日本・駅詳細）東京地下鉄（東京メトロ・駅詳細）","","","","東京都杉並区","","","","","","","","","","","",""
"興津駅","興津駅（おきつえき）","https://ja.wikipedia.org/wiki/興津駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯35度3分8.90秒東経138度31分19.08秒","CA東海道本線（静岡地区）","164.3 km（東京起点）","東海旅客鉄道（JR東海）","1889年（明治22年）2月1日","地上駅","2面3線","静岡市清水区興津中町300-14北緯35度3分8.90秒東経138度31分19.08秒","業務委託駅（夜間無人駅）JR全線きっぷうりば有","オキ←ヲキ","2,139人/日（降車客含まず）-2019年-","CA  13 ","","","","","","","",""
"小木津駅","小木津駅（おぎつえき）","https://ja.wikipedia.org/wiki/小木津駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯36度38分12.43秒東経140度40分30.76秒","■常磐線","152.4 km（日暮里起点）","東日本旅客鉄道（JR東日本）","1910年（明治43年）3月18日","地上駅（橋上駅）","1面2線","茨城県日立市日高町一丁目2北緯36度38分12.43秒東経140度40分30.76秒座標:北緯36度38分12.43秒 東経140度40分30.76秒","業務委託駅","オキ←ヲキ","2,504人/日（降車客含まず）-2019年-","","","","","","","","",""
"翁島駅","翁島駅（おきなしまえき）","https://ja.wikipedia.org/wiki/翁島駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","","■磐越西線","41.1 km（郡山起点）","東日本旅客鉄道（JR東日本）","1899年（明治32年）7月15日[1]","地上駅","2面2線[2]","","無人駅[2]","オナ←ヲナ","27人/日（降車客含まず）-2004年-","","","","","","","","",""
"荻野駅","荻野駅（おぎのえき・東日本旅客鉄道磐越西線）","https://ja.wikipedia.org/wiki/荻野駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","","■磐越西線","97.2 km（郡山起点）","東日本旅客鉄道（JR東日本）","1914年（大正3年）11月1日[1]","地上駅","1面1線[2]","","簡易委託駅[2]","キノ","22人/日（降車客含まず）-2019年-","","","","","","","","",""
